date,count,package
2020-01-01,0,BARIS
2020-01-02,0,BARIS
2020-01-03,0,BARIS
2020-01-04,0,BARIS
2020-01-05,0,BARIS
2020-01-06,0,BARIS
2020-01-07,0,BARIS
2020-01-08,0,BARIS
2020-01-09,0,BARIS
2020-01-10,0,BARIS
2020-01-11,0,BARIS
2020-01-12,0,BARIS
2020-01-13,0,BARIS
2020-01-14,0,BARIS
2020-01-15,0,BARIS
2020-01-16,0,BARIS
2020-01-17,0,BARIS
2020-01-18,0,BARIS
2020-01-19,0,BARIS
2020-01-20,0,BARIS
2020-01-21,0,BARIS
2020-01-22,0,BARIS
2020-01-23,0,BARIS
2020-01-24,0,BARIS
2020-01-25,0,BARIS
2020-01-26,0,BARIS
2020-01-27,0,BARIS
2020-01-28,0,BARIS
2020-01-29,0,BARIS
2020-01-30,0,BARIS
2020-01-31,0,BARIS
2020-02-01,0,BARIS
2020-02-02,0,BARIS
2020-02-03,0,BARIS
2020-02-04,0,BARIS
2020-02-05,0,BARIS
2020-02-06,0,BARIS
2020-02-07,0,BARIS
2020-02-08,0,BARIS
2020-02-09,0,BARIS
2020-02-10,0,BARIS
2020-02-11,0,BARIS
2020-02-12,0,BARIS
2020-02-13,0,BARIS
2020-02-14,0,BARIS
2020-02-15,0,BARIS
2020-02-16,0,BARIS
2020-02-17,0,BARIS
2020-02-18,0,BARIS
2020-02-19,0,BARIS
2020-02-20,0,BARIS
2020-02-21,0,BARIS
2020-02-22,0,BARIS
2020-02-23,0,BARIS
2020-02-24,10,BARIS
2020-02-25,8,BARIS
2020-02-26,9,BARIS
2020-02-27,24,BARIS
2020-02-28,17,BARIS
2020-02-29,5,BARIS
2020-03-01,17,BARIS
2020-03-02,16,BARIS
2020-03-03,17,BARIS
2020-03-04,24,BARIS
2020-03-05,18,BARIS
2020-03-06,17,BARIS
2020-03-07,24,BARIS
2020-03-08,18,BARIS
2020-03-09,20,BARIS
2020-03-10,19,BARIS
2020-03-11,6,BARIS
2020-03-12,22,BARIS
2020-03-13,15,BARIS
2020-03-14,15,BARIS
2020-03-15,11,BARIS
2020-03-16,20,BARIS
2020-03-17,11,BARIS
2020-03-18,5,BARIS
2020-03-19,10,BARIS
2020-03-20,12,BARIS
2020-03-21,10,BARIS
2020-03-22,13,BARIS
2020-03-23,8,BARIS
2020-03-24,13,BARIS
2020-03-25,12,BARIS
2020-03-26,14,BARIS
2020-03-27,11,BARIS
2020-03-28,9,BARIS
2020-03-29,21,BARIS
2020-03-30,23,BARIS
2020-03-31,17,BARIS
2020-04-01,16,BARIS
2020-04-02,15,BARIS
2020-04-03,12,BARIS
2020-04-04,11,BARIS
2020-04-05,12,BARIS
2020-04-06,16,BARIS
2020-04-07,20,BARIS
2020-04-08,19,BARIS
2020-04-09,17,BARIS
2020-04-10,6,BARIS
2020-04-11,9,BARIS
2020-04-12,8,BARIS
2020-04-13,6,BARIS
2020-04-14,12,BARIS
2020-04-15,20,BARIS
2020-04-16,21,BARIS
2020-04-17,22,BARIS
2020-04-18,9,BARIS
2020-04-19,6,BARIS
2020-04-20,18,BARIS
2020-04-21,9,BARIS
2020-04-22,45,BARIS
2020-04-23,5,BARIS
2020-04-24,35,BARIS
2020-04-25,49,BARIS
2020-04-26,15,BARIS
2020-04-27,31,BARIS
2020-04-28,43,BARIS
2020-04-29,51,BARIS
2020-04-30,38,BARIS
2020-05-01,32,BARIS
2020-05-02,28,BARIS
2020-05-03,23,BARIS
2020-05-04,25,BARIS
2020-05-05,19,BARIS
2020-05-06,34,BARIS
2020-05-07,31,BARIS
2020-05-08,20,BARIS
2020-05-09,29,BARIS
2020-05-10,58,BARIS
2020-05-11,50,BARIS
2020-05-12,25,BARIS
2020-05-13,21,BARIS
2020-05-14,18,BARIS
2020-05-15,18,BARIS
2020-05-16,19,BARIS
2020-05-17,18,BARIS
2020-05-18,27,BARIS
2020-05-19,25,BARIS
2020-05-20,27,BARIS
2020-05-21,14,BARIS
2020-05-22,23,BARIS
2020-05-23,19,BARIS
2020-05-24,18,BARIS
2020-05-25,28,BARIS
2020-05-26,31,BARIS
2020-05-27,46,BARIS
2020-05-28,33,BARIS
2020-05-29,39,BARIS
2020-05-30,42,BARIS
2020-05-31,35,BARIS
2020-06-01,37,BARIS
2020-06-02,35,BARIS
2020-06-03,42,BARIS
2020-06-04,26,BARIS
2020-06-05,30,BARIS
2020-06-06,27,BARIS
2020-06-07,26,BARIS
2020-06-08,26,BARIS
2020-06-09,29,BARIS
2020-06-10,40,BARIS
2020-06-11,26,BARIS
2020-06-12,20,BARIS
2020-06-13,20,BARIS
2020-06-14,24,BARIS
2020-06-15,18,BARIS
2020-06-16,18,BARIS
2020-06-17,28,BARIS
2020-06-18,35,BARIS
2020-06-19,22,BARIS
2020-06-20,15,BARIS
2020-06-21,20,BARIS
2020-06-22,30,BARIS
2020-06-23,31,BARIS
2020-06-24,28,BARIS
2020-06-25,23,BARIS
2020-06-26,22,BARIS
2020-06-27,23,BARIS
2020-06-28,24,BARIS
2020-06-29,22,BARIS
2020-06-30,28,BARIS
2020-07-01,24,BARIS
2020-07-02,24,BARIS
2020-07-03,23,BARIS
2020-07-04,16,BARIS
2020-07-05,15,BARIS
2020-07-06,19,BARIS
2020-07-07,30,BARIS
2020-07-08,25,BARIS
2020-07-09,19,BARIS
2020-07-10,20,BARIS
2020-07-11,17,BARIS
