date,count,package
2020-01-01,0,DemografixeR
2020-01-02,0,DemografixeR
2020-01-03,0,DemografixeR
2020-01-04,0,DemografixeR
2020-01-05,0,DemografixeR
2020-01-06,0,DemografixeR
2020-01-07,0,DemografixeR
2020-01-08,0,DemografixeR
2020-01-09,0,DemografixeR
2020-01-10,0,DemografixeR
2020-01-11,0,DemografixeR
2020-01-12,0,DemografixeR
2020-01-13,0,DemografixeR
2020-01-14,0,DemografixeR
2020-01-15,0,DemografixeR
2020-01-16,0,DemografixeR
2020-01-17,0,DemografixeR
2020-01-18,0,DemografixeR
2020-01-19,0,DemografixeR
2020-01-20,0,DemografixeR
2020-01-21,0,DemografixeR
2020-01-22,0,DemografixeR
2020-01-23,0,DemografixeR
2020-01-24,0,DemografixeR
2020-01-25,0,DemografixeR
2020-01-26,0,DemografixeR
2020-01-27,0,DemografixeR
2020-01-28,0,DemografixeR
2020-01-29,0,DemografixeR
2020-01-30,0,DemografixeR
2020-01-31,0,DemografixeR
2020-02-01,0,DemografixeR
2020-02-02,0,DemografixeR
2020-02-03,0,DemografixeR
2020-02-04,0,DemografixeR
2020-02-05,0,DemografixeR
2020-02-06,0,DemografixeR
2020-02-07,0,DemografixeR
2020-02-08,0,DemografixeR
2020-02-09,0,DemografixeR
2020-02-10,0,DemografixeR
2020-02-11,0,DemografixeR
2020-02-12,0,DemografixeR
2020-02-13,0,DemografixeR
2020-02-14,0,DemografixeR
2020-02-15,0,DemografixeR
2020-02-16,0,DemografixeR
2020-02-17,0,DemografixeR
2020-02-18,0,DemografixeR
2020-02-19,0,DemografixeR
2020-02-20,0,DemografixeR
2020-02-21,0,DemografixeR
2020-02-22,0,DemografixeR
2020-02-23,0,DemografixeR
2020-02-24,0,DemografixeR
2020-02-25,0,DemografixeR
2020-02-26,0,DemografixeR
2020-02-27,0,DemografixeR
2020-02-28,0,DemografixeR
2020-02-29,0,DemografixeR
2020-03-01,0,DemografixeR
2020-03-02,0,DemografixeR
2020-03-03,0,DemografixeR
2020-03-04,0,DemografixeR
2020-03-05,0,DemografixeR
2020-03-06,0,DemografixeR
2020-03-07,0,DemografixeR
2020-03-08,0,DemografixeR
2020-03-09,0,DemografixeR
2020-03-10,0,DemografixeR
2020-03-11,0,DemografixeR
2020-03-12,0,DemografixeR
2020-03-13,0,DemografixeR
2020-03-14,0,DemografixeR
2020-03-15,0,DemografixeR
2020-03-16,0,DemografixeR
2020-03-17,0,DemografixeR
2020-03-18,0,DemografixeR
2020-03-19,0,DemografixeR
2020-03-20,0,DemografixeR
2020-03-21,0,DemografixeR
2020-03-22,0,DemografixeR
2020-03-23,0,DemografixeR
2020-03-24,0,DemografixeR
2020-03-25,0,DemografixeR
2020-03-26,0,DemografixeR
2020-03-27,0,DemografixeR
2020-03-28,0,DemografixeR
2020-03-29,0,DemografixeR
2020-03-30,0,DemografixeR
2020-03-31,0,DemografixeR
2020-04-01,0,DemografixeR
2020-04-02,0,DemografixeR
2020-04-03,0,DemografixeR
2020-04-04,0,DemografixeR
2020-04-05,0,DemografixeR
2020-04-06,0,DemografixeR
2020-04-07,0,DemografixeR
2020-04-08,0,DemografixeR
2020-04-09,0,DemografixeR
2020-04-10,0,DemografixeR
2020-04-11,0,DemografixeR
2020-04-12,0,DemografixeR
2020-04-13,0,DemografixeR
2020-04-14,0,DemografixeR
2020-04-15,0,DemografixeR
2020-04-16,0,DemografixeR
2020-04-17,0,DemografixeR
2020-04-18,0,DemografixeR
2020-04-19,0,DemografixeR
2020-04-20,0,DemografixeR
2020-04-21,0,DemografixeR
2020-04-22,0,DemografixeR
2020-04-23,0,DemografixeR
2020-04-24,0,DemografixeR
2020-04-25,0,DemografixeR
2020-04-26,0,DemografixeR
2020-04-27,0,DemografixeR
2020-04-28,0,DemografixeR
2020-04-29,15,DemografixeR
2020-04-30,22,DemografixeR
2020-05-01,13,DemografixeR
2020-05-02,12,DemografixeR
2020-05-03,21,DemografixeR
2020-05-04,24,DemografixeR
2020-05-05,28,DemografixeR
2020-05-06,51,DemografixeR
2020-05-07,38,DemografixeR
2020-05-08,24,DemografixeR
2020-05-09,41,DemografixeR
2020-05-10,62,DemografixeR
2020-05-11,55,DemografixeR
2020-05-12,25,DemografixeR
2020-05-13,31,DemografixeR
2020-05-14,27,DemografixeR
2020-05-15,25,DemografixeR
2020-05-16,18,DemografixeR
2020-05-17,12,DemografixeR
2020-05-18,25,DemografixeR
2020-05-19,16,DemografixeR
2020-05-20,18,DemografixeR
2020-05-21,10,DemografixeR
2020-05-22,11,DemografixeR
2020-05-23,5,DemografixeR
2020-05-24,7,DemografixeR
2020-05-25,9,DemografixeR
2020-05-26,10,DemografixeR
2020-05-27,14,DemografixeR
2020-05-28,18,DemografixeR
2020-05-29,11,DemografixeR
2020-05-30,9,DemografixeR
2020-05-31,16,DemografixeR
2020-06-01,10,DemografixeR
2020-06-02,11,DemografixeR
2020-06-03,11,DemografixeR
2020-06-04,9,DemografixeR
2020-06-05,11,DemografixeR
2020-06-06,7,DemografixeR
2020-06-07,7,DemografixeR
2020-06-08,12,DemografixeR
2020-06-09,10,DemografixeR
2020-06-10,20,DemografixeR
2020-06-11,21,DemografixeR
2020-06-12,8,DemografixeR
2020-06-13,7,DemografixeR
2020-06-14,11,DemografixeR
2020-06-15,7,DemografixeR
2020-06-16,8,DemografixeR
2020-06-17,15,DemografixeR
2020-06-18,20,DemografixeR
2020-06-19,13,DemografixeR
2020-06-20,11,DemografixeR
2020-06-21,10,DemografixeR
2020-06-22,13,DemografixeR
2020-06-23,14,DemografixeR
2020-06-24,19,DemografixeR
2020-06-25,9,DemografixeR
2020-06-26,10,DemografixeR
2020-06-27,9,DemografixeR
2020-06-28,9,DemografixeR
2020-06-29,9,DemografixeR
2020-06-30,5,DemografixeR
2020-07-01,9,DemografixeR
2020-07-02,12,DemografixeR
2020-07-03,11,DemografixeR
2020-07-04,7,DemografixeR
2020-07-05,3,DemografixeR
2020-07-06,9,DemografixeR
2020-07-07,18,DemografixeR
2020-07-08,15,DemografixeR
2020-07-09,10,DemografixeR
2020-07-10,13,DemografixeR
2020-07-11,6,DemografixeR
2020-07-12,10,DemografixeR
2020-07-13,12,DemografixeR
2020-07-14,11,DemografixeR
2020-07-15,14,DemografixeR
2020-07-16,11,DemografixeR
2020-07-17,8,DemografixeR
2020-07-18,12,DemografixeR
2020-07-19,9,DemografixeR
2020-07-20,7,DemografixeR
2020-07-21,20,DemografixeR
2020-07-22,15,DemografixeR
2020-07-23,11,DemografixeR
2020-07-24,8,DemografixeR
2020-07-25,13,DemografixeR
2020-07-26,9,DemografixeR
2020-07-27,8,DemografixeR
2020-07-28,11,DemografixeR
2020-07-29,11,DemografixeR
2020-07-30,21,DemografixeR
2020-07-31,6,DemografixeR
2020-08-01,2,DemografixeR
2020-08-02,5,DemografixeR
2020-08-03,23,DemografixeR
2020-08-04,13,DemografixeR
2020-08-05,15,DemografixeR
2020-08-06,12,DemografixeR
2020-08-07,17,DemografixeR
2020-08-08,15,DemografixeR
2020-08-09,11,DemografixeR
2020-08-10,16,DemografixeR
2020-08-11,7,DemografixeR
2020-08-12,11,DemografixeR
2020-08-13,13,DemografixeR
2020-08-14,12,DemografixeR
2020-08-15,5,DemografixeR
2020-08-16,5,DemografixeR
2020-08-17,20,DemografixeR
2020-08-18,9,DemografixeR
2020-08-19,12,DemografixeR
2020-08-20,5,DemografixeR
2020-08-21,11,DemografixeR
2020-08-22,6,DemografixeR
2020-08-23,4,DemografixeR
2020-08-24,9,DemografixeR
2020-08-25,8,DemografixeR
2020-08-26,12,DemografixeR
2020-08-27,10,DemografixeR
2020-08-28,7,DemografixeR
2020-08-29,7,DemografixeR
2020-08-30,6,DemografixeR
2020-08-31,15,DemografixeR
2020-09-01,11,DemografixeR
2020-09-02,13,DemografixeR
2020-09-03,13,DemografixeR
2020-09-04,7,DemografixeR
2020-09-05,13,DemografixeR
2020-09-06,19,DemografixeR
2020-09-07,27,DemografixeR
2020-09-08,20,DemografixeR
2020-09-09,22,DemografixeR
2020-09-10,17,DemografixeR
2020-09-11,19,DemografixeR
2020-09-12,19,DemografixeR
2020-09-13,20,DemografixeR
2020-09-14,27,DemografixeR
2020-09-15,15,DemografixeR
2020-09-16,11,DemografixeR
2020-09-17,25,DemografixeR
2020-09-18,17,DemografixeR
2020-09-19,11,DemografixeR
2020-09-20,11,DemografixeR
2020-09-21,17,DemografixeR
2020-09-22,18,DemografixeR
2020-09-23,13,DemografixeR
2020-09-24,12,DemografixeR
2020-09-25,16,DemografixeR
2020-09-26,14,DemografixeR
2020-09-27,7,DemografixeR
2020-09-28,13,DemografixeR
2020-09-29,14,DemografixeR
2020-09-30,17,DemografixeR
2020-10-01,12,DemografixeR
2020-10-02,15,DemografixeR
2020-10-03,11,DemografixeR
2020-10-04,9,DemografixeR
2020-10-05,8,DemografixeR
2020-10-06,7,DemografixeR
2020-10-07,9,DemografixeR
2020-10-08,8,DemografixeR
2020-10-09,10,DemografixeR
2020-10-10,16,DemografixeR
2020-10-11,8,DemografixeR
2020-10-12,7,DemografixeR
2020-10-13,11,DemografixeR
2020-10-14,17,DemografixeR
2020-10-15,5,DemografixeR
2020-10-16,9,DemografixeR
2020-10-17,2,DemografixeR
