date,count,package
2020-01-01,0,FCPS
2020-01-02,0,FCPS
2020-01-03,0,FCPS
2020-01-04,0,FCPS
2020-01-05,0,FCPS
2020-01-06,0,FCPS
2020-01-07,0,FCPS
2020-01-08,0,FCPS
2020-01-09,0,FCPS
2020-01-10,0,FCPS
2020-01-11,0,FCPS
2020-01-12,0,FCPS
2020-01-13,0,FCPS
2020-01-14,0,FCPS
2020-01-15,0,FCPS
2020-01-16,0,FCPS
2020-01-17,0,FCPS
2020-01-18,0,FCPS
2020-01-19,0,FCPS
2020-01-20,0,FCPS
2020-01-21,0,FCPS
2020-01-22,0,FCPS
2020-01-23,0,FCPS
2020-01-24,0,FCPS
2020-01-25,0,FCPS
2020-01-26,0,FCPS
2020-01-27,0,FCPS
2020-01-28,0,FCPS
2020-01-29,0,FCPS
2020-01-30,0,FCPS
2020-01-31,0,FCPS
2020-02-01,0,FCPS
2020-02-02,0,FCPS
2020-02-03,0,FCPS
2020-02-04,0,FCPS
2020-02-05,0,FCPS
2020-02-06,0,FCPS
2020-02-07,0,FCPS
2020-02-08,0,FCPS
2020-02-09,0,FCPS
2020-02-10,0,FCPS
2020-02-11,7,FCPS
2020-02-12,11,FCPS
2020-02-13,23,FCPS
2020-02-14,11,FCPS
2020-02-15,8,FCPS
2020-02-16,20,FCPS
2020-02-17,15,FCPS
2020-02-18,24,FCPS
2020-02-19,32,FCPS
2020-02-20,26,FCPS
2020-02-21,29,FCPS
2020-02-22,30,FCPS
2020-02-23,27,FCPS
2020-02-24,27,FCPS
2020-02-25,19,FCPS
2020-02-26,23,FCPS
2020-02-27,20,FCPS
2020-02-28,13,FCPS
2020-02-29,2,FCPS
2020-03-01,16,FCPS
2020-03-02,7,FCPS
2020-03-03,13,FCPS
2020-03-04,18,FCPS
2020-03-05,10,FCPS
2020-03-06,16,FCPS
2020-03-07,15,FCPS
2020-03-08,14,FCPS
2020-03-09,15,FCPS
2020-03-10,13,FCPS
2020-03-11,7,FCPS
2020-03-12,16,FCPS
2020-03-13,19,FCPS
2020-03-14,15,FCPS
2020-03-15,27,FCPS
2020-03-16,24,FCPS
2020-03-17,27,FCPS
2020-03-18,10,FCPS
2020-03-19,21,FCPS
2020-03-20,30,FCPS
2020-03-21,28,FCPS
2020-03-22,26,FCPS
2020-03-23,24,FCPS
2020-03-24,8,FCPS
2020-03-25,28,FCPS
2020-03-26,23,FCPS
2020-03-27,20,FCPS
2020-03-28,22,FCPS
2020-03-29,30,FCPS
2020-03-30,28,FCPS
2020-03-31,22,FCPS
2020-04-01,20,FCPS
2020-04-02,11,FCPS
2020-04-03,22,FCPS
2020-04-04,15,FCPS
2020-04-05,21,FCPS
2020-04-06,21,FCPS
2020-04-07,24,FCPS
2020-04-08,24,FCPS
2020-04-09,23,FCPS
2020-04-10,9,FCPS
2020-04-11,7,FCPS
2020-04-12,11,FCPS
2020-04-13,11,FCPS
2020-04-14,10,FCPS
2020-04-15,22,FCPS
2020-04-16,9,FCPS
2020-04-17,27,FCPS
2020-04-18,7,FCPS
2020-04-19,10,FCPS
2020-04-20,6,FCPS
2020-04-21,9,FCPS
2020-04-22,28,FCPS
2020-04-23,17,FCPS
