date,count,package
2020-01-01,0,ForestDisc
2020-01-02,0,ForestDisc
2020-01-03,0,ForestDisc
2020-01-04,0,ForestDisc
2020-01-05,0,ForestDisc
2020-01-06,0,ForestDisc
2020-01-07,0,ForestDisc
2020-01-08,0,ForestDisc
2020-01-09,0,ForestDisc
2020-01-10,0,ForestDisc
2020-01-11,0,ForestDisc
2020-01-12,0,ForestDisc
2020-01-13,0,ForestDisc
2020-01-14,0,ForestDisc
2020-01-15,0,ForestDisc
2020-01-16,0,ForestDisc
2020-01-17,0,ForestDisc
2020-01-18,0,ForestDisc
2020-01-19,0,ForestDisc
2020-01-20,0,ForestDisc
2020-01-21,0,ForestDisc
2020-01-22,0,ForestDisc
2020-01-23,0,ForestDisc
2020-01-24,0,ForestDisc
2020-01-25,0,ForestDisc
2020-01-26,0,ForestDisc
2020-01-27,0,ForestDisc
2020-01-28,0,ForestDisc
2020-01-29,0,ForestDisc
2020-01-30,0,ForestDisc
2020-01-31,0,ForestDisc
2020-02-01,0,ForestDisc
2020-02-02,0,ForestDisc
2020-02-03,0,ForestDisc
2020-02-04,0,ForestDisc
2020-02-05,0,ForestDisc
2020-02-06,0,ForestDisc
2020-02-07,0,ForestDisc
2020-02-08,0,ForestDisc
2020-02-09,0,ForestDisc
2020-02-10,0,ForestDisc
2020-02-11,0,ForestDisc
2020-02-12,0,ForestDisc
2020-02-13,0,ForestDisc
2020-02-14,0,ForestDisc
2020-02-15,0,ForestDisc
2020-02-16,0,ForestDisc
2020-02-17,0,ForestDisc
2020-02-18,0,ForestDisc
2020-02-19,0,ForestDisc
2020-02-20,0,ForestDisc
2020-02-21,0,ForestDisc
2020-02-22,0,ForestDisc
2020-02-23,0,ForestDisc
2020-02-24,0,ForestDisc
2020-02-25,0,ForestDisc
2020-02-26,0,ForestDisc
2020-02-27,0,ForestDisc
2020-02-28,0,ForestDisc
2020-02-29,0,ForestDisc
2020-03-01,0,ForestDisc
2020-03-02,0,ForestDisc
2020-03-03,0,ForestDisc
2020-03-04,0,ForestDisc
2020-03-05,0,ForestDisc
2020-03-06,0,ForestDisc
2020-03-07,0,ForestDisc
2020-03-08,0,ForestDisc
2020-03-09,0,ForestDisc
2020-03-10,0,ForestDisc
2020-03-11,0,ForestDisc
2020-03-12,0,ForestDisc
2020-03-13,0,ForestDisc
2020-03-14,0,ForestDisc
2020-03-15,0,ForestDisc
2020-03-16,0,ForestDisc
2020-03-17,0,ForestDisc
2020-03-18,0,ForestDisc
2020-03-19,10,ForestDisc
2020-03-20,18,ForestDisc
2020-03-21,24,ForestDisc
2020-03-22,13,ForestDisc
2020-03-23,18,ForestDisc
2020-03-24,11,ForestDisc
2020-03-25,31,ForestDisc
2020-03-26,19,ForestDisc
2020-03-27,16,ForestDisc
2020-03-28,18,ForestDisc
2020-03-29,26,ForestDisc
2020-03-30,25,ForestDisc
2020-03-31,18,ForestDisc
2020-04-01,14,ForestDisc
2020-04-02,11,ForestDisc
2020-04-03,18,ForestDisc
2020-04-04,18,ForestDisc
2020-04-05,21,ForestDisc
2020-04-06,24,ForestDisc
2020-04-07,27,ForestDisc
2020-04-08,25,ForestDisc
2020-04-09,22,ForestDisc
2020-04-10,12,ForestDisc
2020-04-11,7,ForestDisc
2020-04-12,11,ForestDisc
2020-04-13,11,ForestDisc
2020-04-14,10,ForestDisc
2020-04-15,22,ForestDisc
2020-04-16,15,ForestDisc
2020-04-17,20,ForestDisc
2020-04-18,6,ForestDisc
2020-04-19,3,ForestDisc
2020-04-20,14,ForestDisc
2020-04-21,8,ForestDisc
2020-04-22,26,ForestDisc
2020-04-23,9,ForestDisc
2020-04-24,16,ForestDisc
2020-04-25,29,ForestDisc
2020-04-26,12,ForestDisc
2020-04-27,17,ForestDisc
2020-04-28,24,ForestDisc
2020-04-29,32,ForestDisc
2020-04-30,30,ForestDisc
2020-05-01,27,ForestDisc
2020-05-02,24,ForestDisc
2020-05-03,21,ForestDisc
2020-05-04,20,ForestDisc
2020-05-05,16,ForestDisc
2020-05-06,24,ForestDisc
2020-05-07,23,ForestDisc
2020-05-08,18,ForestDisc
2020-05-09,23,ForestDisc
2020-05-10,52,ForestDisc
2020-05-11,41,ForestDisc
2020-05-12,16,ForestDisc
2020-05-13,15,ForestDisc
2020-05-14,14,ForestDisc
2020-05-15,14,ForestDisc
2020-05-16,16,ForestDisc
2020-05-17,16,ForestDisc
2020-05-18,30,ForestDisc
2020-05-19,19,ForestDisc
2020-05-20,20,ForestDisc
2020-05-21,12,ForestDisc
2020-05-22,22,ForestDisc
2020-05-23,10,ForestDisc
2020-05-24,13,ForestDisc
2020-05-25,14,ForestDisc
2020-05-26,23,ForestDisc
2020-05-27,22,ForestDisc
2020-05-28,17,ForestDisc
2020-05-29,13,ForestDisc
2020-05-30,15,ForestDisc
2020-05-31,22,ForestDisc
2020-06-01,14,ForestDisc
2020-06-02,16,ForestDisc
2020-06-03,14,ForestDisc
2020-06-04,13,ForestDisc
2020-06-05,15,ForestDisc
2020-06-06,15,ForestDisc
2020-06-07,15,ForestDisc
2020-06-08,26,ForestDisc
2020-06-09,16,ForestDisc
2020-06-10,24,ForestDisc
2020-06-11,25,ForestDisc
2020-06-12,18,ForestDisc
2020-06-13,13,ForestDisc
2020-06-14,18,ForestDisc
2020-06-15,17,ForestDisc
2020-06-16,17,ForestDisc
2020-06-17,12,ForestDisc
2020-06-18,33,ForestDisc
2020-06-19,20,ForestDisc
2020-06-20,20,ForestDisc
2020-06-21,16,ForestDisc
2020-06-22,17,ForestDisc
2020-06-23,21,ForestDisc
2020-06-24,15,ForestDisc
2020-06-25,15,ForestDisc
2020-06-26,16,ForestDisc
2020-06-27,12,ForestDisc
2020-06-28,17,ForestDisc
2020-06-29,14,ForestDisc
2020-06-30,11,ForestDisc
2020-07-01,19,ForestDisc
2020-07-02,15,ForestDisc
2020-07-03,17,ForestDisc
2020-07-04,13,ForestDisc
2020-07-05,10,ForestDisc
2020-07-06,14,ForestDisc
2020-07-07,29,ForestDisc
2020-07-08,12,ForestDisc
2020-07-09,15,ForestDisc
2020-07-10,10,ForestDisc
2020-07-11,11,ForestDisc
2020-07-12,15,ForestDisc
2020-07-13,18,ForestDisc
2020-07-14,16,ForestDisc
2020-07-15,22,ForestDisc
2020-07-16,16,ForestDisc
2020-07-17,13,ForestDisc
2020-07-18,18,ForestDisc
2020-07-19,14,ForestDisc
2020-07-20,13,ForestDisc
2020-07-21,21,ForestDisc
2020-07-22,17,ForestDisc
2020-07-23,12,ForestDisc
2020-07-24,16,ForestDisc
2020-07-25,16,ForestDisc
2020-07-26,26,ForestDisc
2020-07-27,12,ForestDisc
2020-07-28,14,ForestDisc
2020-07-29,10,ForestDisc
2020-07-30,9,ForestDisc
2020-07-31,4,ForestDisc
2020-08-01,1,ForestDisc
2020-08-02,6,ForestDisc
2020-08-03,17,ForestDisc
2020-08-04,16,ForestDisc
2020-08-05,19,ForestDisc
2020-08-06,19,ForestDisc
2020-08-07,23,ForestDisc
2020-08-08,19,ForestDisc
2020-08-09,18,ForestDisc
2020-08-10,26,ForestDisc
2020-08-11,14,ForestDisc
2020-08-12,13,ForestDisc
2020-08-13,19,ForestDisc
2020-08-14,22,ForestDisc
2020-08-15,12,ForestDisc
2020-08-16,13,ForestDisc
2020-08-17,13,ForestDisc
2020-08-18,18,ForestDisc
2020-08-19,14,ForestDisc
2020-08-20,16,ForestDisc
2020-08-21,21,ForestDisc
2020-08-22,9,ForestDisc
2020-08-23,10,ForestDisc
2020-08-24,16,ForestDisc
2020-08-25,13,ForestDisc
2020-08-26,16,ForestDisc
2020-08-27,14,ForestDisc
2020-08-28,11,ForestDisc
2020-08-29,14,ForestDisc
2020-08-30,13,ForestDisc
2020-08-31,18,ForestDisc
2020-09-01,24,ForestDisc
2020-09-02,17,ForestDisc
2020-09-03,19,ForestDisc
2020-09-04,12,ForestDisc
2020-09-05,19,ForestDisc
2020-09-06,18,ForestDisc
2020-09-07,25,ForestDisc
2020-09-08,22,ForestDisc
2020-09-09,22,ForestDisc
2020-09-10,12,ForestDisc
2020-09-11,24,ForestDisc
2020-09-12,23,ForestDisc
2020-09-13,25,ForestDisc
2020-09-14,29,ForestDisc
2020-09-15,25,ForestDisc
2020-09-16,13,ForestDisc
2020-09-17,32,ForestDisc
2020-09-18,25,ForestDisc
2020-09-19,15,ForestDisc
2020-09-20,18,ForestDisc
2020-09-21,29,ForestDisc
2020-09-22,26,ForestDisc
2020-09-23,19,ForestDisc
2020-09-24,11,ForestDisc
2020-09-25,11,ForestDisc
2020-09-26,17,ForestDisc
2020-09-27,13,ForestDisc
2020-09-28,20,ForestDisc
2020-09-29,21,ForestDisc
2020-09-30,19,ForestDisc
2020-10-01,17,ForestDisc
2020-10-02,19,ForestDisc
2020-10-03,17,ForestDisc
2020-10-04,17,ForestDisc
2020-10-05,13,ForestDisc
2020-10-06,15,ForestDisc
2020-10-07,12,ForestDisc
2020-10-08,16,ForestDisc
2020-10-09,20,ForestDisc
2020-10-10,15,ForestDisc
2020-10-11,12,ForestDisc
2020-10-12,12,ForestDisc
2020-10-13,15,ForestDisc
2020-10-14,15,ForestDisc
2020-10-15,12,ForestDisc
2020-10-16,14,ForestDisc
2020-10-17,1,ForestDisc
2020-10-18,13,ForestDisc
2020-10-19,18,ForestDisc
2020-10-20,18,ForestDisc
2020-10-21,16,ForestDisc
2020-10-22,15,ForestDisc
2020-10-23,15,ForestDisc
2020-10-24,18,ForestDisc
2020-10-25,10,ForestDisc
2020-10-26,14,ForestDisc
2020-10-27,17,ForestDisc
2020-10-28,16,ForestDisc
2020-10-29,30,ForestDisc
2020-10-30,8,ForestDisc
2020-10-31,14,ForestDisc
2020-11-01,10,ForestDisc
2020-11-02,9,ForestDisc
2020-11-03,16,ForestDisc
2020-11-04,7,ForestDisc
2020-11-05,24,ForestDisc
2020-11-06,16,ForestDisc
2020-11-07,21,ForestDisc
2020-11-08,16,ForestDisc
2020-11-09,19,ForestDisc
2020-11-10,16,ForestDisc
2020-11-11,22,ForestDisc
2020-11-12,17,ForestDisc
2020-11-13,16,ForestDisc
2020-11-14,13,ForestDisc
2020-11-15,13,ForestDisc
2020-11-16,15,ForestDisc
2020-11-17,18,ForestDisc
2020-11-18,15,ForestDisc
2020-11-19,14,ForestDisc
2020-11-20,13,ForestDisc
2020-11-21,12,ForestDisc
2020-11-22,12,ForestDisc
2020-11-23,12,ForestDisc
2020-11-24,18,ForestDisc
2020-11-25,16,ForestDisc
2020-11-26,7,ForestDisc
2020-11-27,13,ForestDisc
2020-11-28,14,ForestDisc
2020-11-29,14,ForestDisc
2020-11-30,13,ForestDisc
2020-12-01,17,ForestDisc
2020-12-02,20,ForestDisc
2020-12-03,17,ForestDisc
2020-12-04,15,ForestDisc
2020-12-05,15,ForestDisc
2020-12-06,12,ForestDisc
2020-12-07,14,ForestDisc
2020-12-08,3,ForestDisc
2020-12-09,17,ForestDisc
2020-12-10,16,ForestDisc
2020-12-11,15,ForestDisc
2020-12-12,13,ForestDisc
2020-12-13,13,ForestDisc
2020-12-14,15,ForestDisc
2020-12-15,14,ForestDisc
2020-12-16,39,ForestDisc
2020-12-17,14,ForestDisc
2020-12-18,18,ForestDisc
2020-12-19,13,ForestDisc
2020-12-20,13,ForestDisc
2020-12-21,18,ForestDisc
2020-12-22,14,ForestDisc
2020-12-23,13,ForestDisc
2020-12-24,14,ForestDisc
2020-12-25,12,ForestDisc
2020-12-26,10,ForestDisc
2020-12-27,13,ForestDisc
2020-12-28,18,ForestDisc
2020-12-29,15,ForestDisc
2020-12-30,16,ForestDisc
2020-12-31,13,ForestDisc
2021-01-01,9,ForestDisc
2021-01-02,12,ForestDisc
2021-01-03,13,ForestDisc
2021-01-04,11,ForestDisc
2021-01-05,12,ForestDisc
2021-01-06,17,ForestDisc
2021-01-07,14,ForestDisc
2021-01-08,15,ForestDisc
2021-01-09,11,ForestDisc
2021-01-10,15,ForestDisc
2021-01-11,16,ForestDisc
2021-01-12,15,ForestDisc
2021-01-13,15,ForestDisc
2021-01-14,18,ForestDisc
2021-01-15,11,ForestDisc
2021-01-16,13,ForestDisc
2021-01-17,10,ForestDisc
2021-01-18,12,ForestDisc
2021-01-19,13,ForestDisc
2021-01-20,15,ForestDisc
2021-01-21,10,ForestDisc
2021-01-22,4,ForestDisc
2021-01-23,13,ForestDisc
2021-01-24,6,ForestDisc
2021-01-25,17,ForestDisc
2021-01-26,8,ForestDisc
2021-01-27,19,ForestDisc
2021-01-28,2,ForestDisc
2021-01-29,17,ForestDisc
2021-01-30,15,ForestDisc
2021-01-31,13,ForestDisc
2021-02-01,14,ForestDisc
2021-02-02,14,ForestDisc
2021-02-03,17,ForestDisc
2021-02-04,15,ForestDisc
2021-02-05,4,ForestDisc
2021-02-06,17,ForestDisc
2021-02-07,20,ForestDisc
2021-02-08,11,ForestDisc
2021-02-09,18,ForestDisc
2021-02-10,14,ForestDisc
2021-02-11,20,ForestDisc
2021-02-12,16,ForestDisc
2021-02-13,20,ForestDisc
2021-02-14,5,ForestDisc
2021-02-15,16,ForestDisc
2021-02-16,12,ForestDisc
2021-02-17,16,ForestDisc
2021-02-18,20,ForestDisc
2021-02-19,18,ForestDisc
2021-02-20,19,ForestDisc
2021-02-21,17,ForestDisc
2021-02-22,29,ForestDisc
2021-02-23,7,ForestDisc
2021-02-24,25,ForestDisc
2021-02-25,18,ForestDisc
