date,count,package
2020-01-01,0,GridOnClusters
2020-01-02,0,GridOnClusters
2020-01-03,0,GridOnClusters
2020-01-04,0,GridOnClusters
2020-01-05,0,GridOnClusters
2020-01-06,0,GridOnClusters
2020-01-07,0,GridOnClusters
2020-01-08,0,GridOnClusters
2020-01-09,0,GridOnClusters
2020-01-10,0,GridOnClusters
2020-01-11,0,GridOnClusters
2020-01-12,0,GridOnClusters
2020-01-13,0,GridOnClusters
2020-01-14,0,GridOnClusters
2020-01-15,0,GridOnClusters
2020-01-16,0,GridOnClusters
2020-01-17,0,GridOnClusters
2020-01-18,0,GridOnClusters
2020-01-19,0,GridOnClusters
2020-01-20,0,GridOnClusters
2020-01-21,0,GridOnClusters
2020-01-22,0,GridOnClusters
2020-01-23,0,GridOnClusters
2020-01-24,0,GridOnClusters
2020-01-25,0,GridOnClusters
2020-01-26,0,GridOnClusters
2020-01-27,0,GridOnClusters
2020-01-28,0,GridOnClusters
2020-01-29,0,GridOnClusters
2020-01-30,0,GridOnClusters
2020-01-31,0,GridOnClusters
2020-02-01,0,GridOnClusters
2020-02-02,0,GridOnClusters
2020-02-03,0,GridOnClusters
2020-02-04,0,GridOnClusters
2020-02-05,0,GridOnClusters
2020-02-06,0,GridOnClusters
2020-02-07,0,GridOnClusters
2020-02-08,0,GridOnClusters
2020-02-09,0,GridOnClusters
2020-02-10,0,GridOnClusters
2020-02-11,0,GridOnClusters
2020-02-12,0,GridOnClusters
2020-02-13,0,GridOnClusters
2020-02-14,0,GridOnClusters
2020-02-15,0,GridOnClusters
2020-02-16,0,GridOnClusters
2020-02-17,0,GridOnClusters
2020-02-18,0,GridOnClusters
2020-02-19,0,GridOnClusters
2020-02-20,0,GridOnClusters
2020-02-21,0,GridOnClusters
2020-02-22,0,GridOnClusters
2020-02-23,0,GridOnClusters
2020-02-24,0,GridOnClusters
2020-02-25,0,GridOnClusters
2020-02-26,0,GridOnClusters
2020-02-27,0,GridOnClusters
2020-02-28,0,GridOnClusters
2020-02-29,0,GridOnClusters
2020-03-01,0,GridOnClusters
2020-03-02,0,GridOnClusters
2020-03-03,0,GridOnClusters
2020-03-04,0,GridOnClusters
2020-03-05,0,GridOnClusters
2020-03-06,0,GridOnClusters
2020-03-07,0,GridOnClusters
2020-03-08,0,GridOnClusters
2020-03-09,0,GridOnClusters
2020-03-10,0,GridOnClusters
2020-03-11,0,GridOnClusters
2020-03-12,0,GridOnClusters
2020-03-13,0,GridOnClusters
2020-03-14,0,GridOnClusters
2020-03-15,0,GridOnClusters
2020-03-16,0,GridOnClusters
2020-03-17,0,GridOnClusters
2020-03-18,0,GridOnClusters
2020-03-19,0,GridOnClusters
2020-03-20,3,GridOnClusters
2020-03-21,8,GridOnClusters
2020-03-22,11,GridOnClusters
2020-03-23,8,GridOnClusters
2020-03-24,14,GridOnClusters
2020-03-25,19,GridOnClusters
2020-03-26,12,GridOnClusters
2020-03-27,7,GridOnClusters
2020-03-28,21,GridOnClusters
2020-03-29,28,GridOnClusters
2020-03-30,25,GridOnClusters
2020-03-31,20,GridOnClusters
2020-04-01,21,GridOnClusters
2020-04-02,15,GridOnClusters
2020-04-03,24,GridOnClusters
2020-04-04,25,GridOnClusters
2020-04-05,28,GridOnClusters
2020-04-06,36,GridOnClusters
2020-04-07,39,GridOnClusters
2020-04-08,46,GridOnClusters
2020-04-09,35,GridOnClusters
2020-04-10,26,GridOnClusters
2020-04-11,10,GridOnClusters
2020-04-12,28,GridOnClusters
2020-04-13,23,GridOnClusters
2020-04-14,24,GridOnClusters
2020-04-15,37,GridOnClusters
2020-04-16,18,GridOnClusters
2020-04-17,40,GridOnClusters
2020-04-18,5,GridOnClusters
2020-04-19,3,GridOnClusters
2020-04-20,8,GridOnClusters
2020-04-21,7,GridOnClusters
2020-04-22,45,GridOnClusters
2020-04-23,7,GridOnClusters
2020-04-24,23,GridOnClusters
2020-04-25,31,GridOnClusters
2020-04-26,14,GridOnClusters
2020-04-27,19,GridOnClusters
2020-04-28,27,GridOnClusters
2020-04-29,40,GridOnClusters
2020-04-30,27,GridOnClusters
2020-05-01,21,GridOnClusters
2020-05-02,24,GridOnClusters
2020-05-03,21,GridOnClusters
2020-05-04,17,GridOnClusters
2020-05-05,15,GridOnClusters
2020-05-06,27,GridOnClusters
2020-05-07,22,GridOnClusters
2020-05-08,20,GridOnClusters
2020-05-09,21,GridOnClusters
2020-05-10,48,GridOnClusters
2020-05-11,40,GridOnClusters
2020-05-12,17,GridOnClusters
2020-05-13,25,GridOnClusters
2020-05-14,15,GridOnClusters
2020-05-15,11,GridOnClusters
2020-05-16,13,GridOnClusters
2020-05-17,12,GridOnClusters
2020-05-18,21,GridOnClusters
2020-05-19,19,GridOnClusters
2020-05-20,19,GridOnClusters
2020-05-21,9,GridOnClusters
2020-05-22,13,GridOnClusters
2020-05-23,8,GridOnClusters
2020-05-24,10,GridOnClusters
2020-05-25,15,GridOnClusters
2020-05-26,19,GridOnClusters
2020-05-27,23,GridOnClusters
2020-05-28,17,GridOnClusters
2020-05-29,10,GridOnClusters
2020-05-30,12,GridOnClusters
2020-05-31,15,GridOnClusters
2020-06-01,10,GridOnClusters
2020-06-02,14,GridOnClusters
2020-06-03,15,GridOnClusters
2020-06-04,10,GridOnClusters
2020-06-05,11,GridOnClusters
2020-06-06,15,GridOnClusters
2020-06-07,9,GridOnClusters
2020-06-08,21,GridOnClusters
2020-06-09,15,GridOnClusters
2020-06-10,35,GridOnClusters
2020-06-11,22,GridOnClusters
2020-06-12,13,GridOnClusters
2020-06-13,10,GridOnClusters
2020-06-14,17,GridOnClusters
2020-06-15,14,GridOnClusters
2020-06-16,15,GridOnClusters
2020-06-17,12,GridOnClusters
2020-06-18,25,GridOnClusters
