date,count,package
2020-01-01,0,IETD
2020-01-02,0,IETD
2020-01-03,0,IETD
2020-01-04,0,IETD
2020-01-05,0,IETD
2020-01-06,0,IETD
2020-01-07,0,IETD
2020-01-08,0,IETD
2020-01-09,0,IETD
2020-01-10,0,IETD
2020-01-11,0,IETD
2020-01-12,0,IETD
2020-01-13,0,IETD
2020-01-14,0,IETD
2020-01-15,0,IETD
2020-01-16,0,IETD
2020-01-17,0,IETD
2020-01-18,0,IETD
2020-01-19,0,IETD
2020-01-20,0,IETD
2020-01-21,0,IETD
2020-01-22,0,IETD
2020-01-23,0,IETD
2020-01-24,0,IETD
2020-01-25,0,IETD
2020-01-26,0,IETD
2020-01-27,0,IETD
2020-01-28,0,IETD
2020-01-29,0,IETD
2020-01-30,0,IETD
2020-01-31,0,IETD
2020-02-01,0,IETD
2020-02-02,0,IETD
2020-02-03,0,IETD
2020-02-04,0,IETD
2020-02-05,0,IETD
2020-02-06,0,IETD
2020-02-07,0,IETD
2020-02-08,0,IETD
2020-02-09,0,IETD
2020-02-10,0,IETD
2020-02-11,0,IETD
2020-02-12,0,IETD
2020-02-13,0,IETD
2020-02-14,0,IETD
2020-02-15,0,IETD
2020-02-16,0,IETD
2020-02-17,0,IETD
2020-02-18,0,IETD
2020-02-19,0,IETD
2020-02-20,0,IETD
2020-02-21,0,IETD
2020-02-22,0,IETD
2020-02-23,0,IETD
2020-02-24,0,IETD
2020-02-25,0,IETD
2020-02-26,0,IETD
2020-02-27,0,IETD
2020-02-28,0,IETD
2020-02-29,0,IETD
2020-03-01,0,IETD
2020-03-02,0,IETD
2020-03-03,0,IETD
2020-03-04,0,IETD
2020-03-05,0,IETD
2020-03-06,0,IETD
2020-03-07,0,IETD
2020-03-08,0,IETD
2020-03-09,0,IETD
2020-03-10,10,IETD
2020-03-11,8,IETD
2020-03-12,48,IETD
2020-03-13,32,IETD
2020-03-14,27,IETD
2020-03-15,21,IETD
2020-03-16,35,IETD
2020-03-17,24,IETD
2020-03-18,3,IETD
2020-03-19,18,IETD
2020-03-20,18,IETD
2020-03-21,16,IETD
2020-03-22,12,IETD
2020-03-23,12,IETD
2020-03-24,13,IETD
2020-03-25,14,IETD
2020-03-26,8,IETD
2020-03-27,7,IETD
2020-03-28,14,IETD
2020-03-29,21,IETD
2020-03-30,22,IETD
2020-03-31,16,IETD
2020-04-01,21,IETD
2020-04-02,12,IETD
2020-04-03,14,IETD
2020-04-04,8,IETD
2020-04-05,15,IETD
2020-04-06,17,IETD
2020-04-07,21,IETD
2020-04-08,18,IETD
2020-04-09,17,IETD
2020-04-10,10,IETD
2020-04-11,7,IETD
2020-04-12,11,IETD
2020-04-13,10,IETD
2020-04-14,11,IETD
2020-04-15,26,IETD
2020-04-16,12,IETD
2020-04-17,32,IETD
2020-04-18,6,IETD
2020-04-19,3,IETD
2020-04-20,8,IETD
2020-04-21,7,IETD
2020-04-22,25,IETD
2020-04-23,8,IETD
2020-04-24,16,IETD
2020-04-25,28,IETD
2020-04-26,12,IETD
2020-04-27,18,IETD
2020-04-28,22,IETD
2020-04-29,32,IETD
2020-04-30,23,IETD
2020-05-01,23,IETD
2020-05-02,24,IETD
2020-05-03,21,IETD
2020-05-04,20,IETD
2020-05-05,14,IETD
2020-05-06,29,IETD
2020-05-07,27,IETD
2020-05-08,17,IETD
2020-05-09,25,IETD
2020-05-10,53,IETD
2020-05-11,41,IETD
2020-05-12,17,IETD
2020-05-13,14,IETD
2020-05-14,16,IETD
2020-05-15,15,IETD
2020-05-16,17,IETD
2020-05-17,16,IETD
2020-05-18,26,IETD
2020-05-19,23,IETD
2020-05-20,18,IETD
2020-05-21,12,IETD
2020-05-22,15,IETD
2020-05-23,11,IETD
2020-05-24,13,IETD
2020-05-25,13,IETD
2020-05-26,17,IETD
2020-05-27,25,IETD
2020-05-28,20,IETD
2020-05-29,15,IETD
2020-05-30,15,IETD
2020-05-31,22,IETD
2020-06-01,14,IETD
2020-06-02,17,IETD
2020-06-03,14,IETD
2020-06-04,13,IETD
2020-06-05,15,IETD
2020-06-06,13,IETD
2020-06-07,16,IETD
2020-06-08,20,IETD
2020-06-09,29,IETD
2020-06-10,22,IETD
2020-06-11,18,IETD
2020-06-12,15,IETD
2020-06-13,13,IETD
2020-06-14,16,IETD
2020-06-15,13,IETD
2020-06-16,17,IETD
2020-06-17,12,IETD
2020-06-18,36,IETD
2020-06-19,18,IETD
2020-06-20,15,IETD
2020-06-21,16,IETD
2020-06-22,24,IETD
2020-06-23,21,IETD
2020-06-24,17,IETD
2020-06-25,16,IETD
2020-06-26,18,IETD
2020-06-27,13,IETD
2020-06-28,16,IETD
2020-06-29,15,IETD
2020-06-30,12,IETD
2020-07-01,14,IETD
2020-07-02,18,IETD
2020-07-03,17,IETD
2020-07-04,19,IETD
2020-07-05,10,IETD
2020-07-06,19,IETD
2020-07-07,26,IETD
2020-07-08,12,IETD
2020-07-09,13,IETD
2020-07-10,11,IETD
2020-07-11,12,IETD
2020-07-12,15,IETD
2020-07-13,15,IETD
2020-07-14,17,IETD
2020-07-15,18,IETD
2020-07-16,17,IETD
2020-07-17,20,IETD
2020-07-18,18,IETD
2020-07-19,15,IETD
2020-07-20,13,IETD
2020-07-21,20,IETD
2020-07-22,19,IETD
2020-07-23,17,IETD
2020-07-24,14,IETD
2020-07-25,16,IETD
2020-07-26,15,IETD
2020-07-27,12,IETD
2020-07-28,14,IETD
2020-07-29,10,IETD
2020-07-30,16,IETD
2020-07-31,3,IETD
2020-08-01,1,IETD
2020-08-02,4,IETD
2020-08-03,14,IETD
2020-08-04,16,IETD
2020-08-05,19,IETD
2020-08-06,20,IETD
2020-08-07,22,IETD
2020-08-08,14,IETD
2020-08-09,21,IETD
2020-08-10,28,IETD
2020-08-11,19,IETD
2020-08-12,14,IETD
2020-08-13,17,IETD
2020-08-14,15,IETD
2020-08-15,11,IETD
2020-08-16,10,IETD
2020-08-17,16,IETD
2020-08-18,18,IETD
2020-08-19,15,IETD
2020-08-20,13,IETD
2020-08-21,17,IETD
2020-08-22,12,IETD
2020-08-23,12,IETD
2020-08-24,15,IETD
2020-08-25,18,IETD
2020-08-26,14,IETD
2020-08-27,23,IETD
2020-08-28,12,IETD
2020-08-29,14,IETD
2020-08-30,12,IETD
2020-08-31,16,IETD
2020-09-01,18,IETD
2020-09-02,16,IETD
2020-09-03,16,IETD
2020-09-04,13,IETD
2020-09-05,21,IETD
2020-09-06,22,IETD
2020-09-07,24,IETD
2020-09-08,22,IETD
2020-09-09,23,IETD
2020-09-10,15,IETD
2020-09-11,23,IETD
2020-09-12,23,IETD
2020-09-13,26,IETD
2020-09-14,30,IETD
2020-09-15,19,IETD
2020-09-16,13,IETD
2020-09-17,34,IETD
2020-09-18,27,IETD
2020-09-19,17,IETD
2020-09-20,19,IETD
2020-09-21,19,IETD
2020-09-22,25,IETD
2020-09-23,19,IETD
2020-09-24,7,IETD
2020-09-25,10,IETD
2020-09-26,12,IETD
2020-09-27,13,IETD
2020-09-28,20,IETD
2020-09-29,22,IETD
2020-09-30,17,IETD
2020-10-01,28,IETD
2020-10-02,19,IETD
2020-10-03,15,IETD
2020-10-04,19,IETD
2020-10-05,13,IETD
2020-10-06,13,IETD
2020-10-07,13,IETD
2020-10-08,12,IETD
2020-10-09,15,IETD
2020-10-10,14,IETD
2020-10-11,12,IETD
2020-10-12,13,IETD
2020-10-13,19,IETD
2020-10-14,15,IETD
2020-10-15,11,IETD
2020-10-16,13,IETD
2020-10-17,1,IETD
2020-10-18,11,IETD
2020-10-19,17,IETD
2020-10-20,20,IETD
2020-10-21,14,IETD
2020-10-22,16,IETD
2020-10-23,18,IETD
2020-10-24,22,IETD
2020-10-25,13,IETD
2020-10-26,14,IETD
2020-10-27,13,IETD
2020-10-28,20,IETD
2020-10-29,25,IETD
2020-10-30,10,IETD
2020-10-31,12,IETD
2020-11-01,9,IETD
2020-11-02,9,IETD
2020-11-03,18,IETD
2020-11-04,7,IETD
2020-11-05,22,IETD
2020-11-06,16,IETD
2020-11-07,29,IETD
2020-11-08,13,IETD
2020-11-09,19,IETD
2020-11-10,17,IETD
2020-11-11,24,IETD
2020-11-12,17,IETD
2020-11-13,14,IETD
2020-11-14,10,IETD
2020-11-15,13,IETD
2020-11-16,13,IETD
2020-11-17,18,IETD
2020-11-18,19,IETD
2020-11-19,15,IETD
2020-11-20,14,IETD
2020-11-21,12,IETD
2020-11-22,12,IETD
2020-11-23,12,IETD
2020-11-24,17,IETD
2020-11-25,14,IETD
2020-11-26,9,IETD
2020-11-27,14,IETD
2020-11-28,18,IETD
2020-11-29,13,IETD
2020-11-30,12,IETD
2020-12-01,19,IETD
2020-12-02,18,IETD
2020-12-03,17,IETD
2020-12-04,15,IETD
2020-12-05,14,IETD
2020-12-06,12,IETD
2020-12-07,13,IETD
2020-12-08,4,IETD
2020-12-09,18,IETD
2020-12-10,17,IETD
2020-12-11,17,IETD
2020-12-12,17,IETD
2020-12-13,13,IETD
2020-12-14,21,IETD
2020-12-15,12,IETD
2020-12-16,38,IETD
2020-12-17,19,IETD
2020-12-18,15,IETD
2020-12-19,12,IETD
2020-12-20,13,IETD
2020-12-21,13,IETD
2020-12-22,17,IETD
2020-12-23,15,IETD
2020-12-24,12,IETD
2020-12-25,11,IETD
2020-12-26,10,IETD
2020-12-27,15,IETD
2020-12-28,17,IETD
2020-12-29,15,IETD
2020-12-30,13,IETD
2020-12-31,12,IETD
2021-01-01,13,IETD
2021-01-02,16,IETD
2021-01-03,11,IETD
2021-01-04,11,IETD
2021-01-05,14,IETD
2021-01-06,13,IETD
2021-01-07,12,IETD
2021-01-08,13,IETD
2021-01-09,13,IETD
2021-01-10,12,IETD
2021-01-11,14,IETD
2021-01-12,15,IETD
2021-01-13,13,IETD
2021-01-14,18,IETD
2021-01-15,12,IETD
2021-01-16,8,IETD
2021-01-17,10,IETD
2021-01-18,8,IETD
2021-01-19,14,IETD
2021-01-20,16,IETD
2021-01-21,12,IETD
2021-01-22,5,IETD
2021-01-23,12,IETD
2021-01-24,7,IETD
2021-01-25,18,IETD
2021-01-26,7,IETD
2021-01-27,18,IETD
2021-01-28,5,IETD
2021-01-29,14,IETD
2021-01-30,15,IETD
2021-01-31,14,IETD
2021-02-01,13,IETD
2021-02-02,14,IETD
2021-02-03,18,IETD
2021-02-04,16,IETD
2021-02-05,2,IETD
2021-02-06,19,IETD
2021-02-07,19,IETD
2021-02-08,16,IETD
2021-02-09,16,IETD
2021-02-10,13,IETD
