date,count,package
2020-01-01,0,ISRaD
2020-01-02,0,ISRaD
2020-01-03,0,ISRaD
2020-01-04,0,ISRaD
2020-01-05,0,ISRaD
2020-01-06,0,ISRaD
2020-01-07,0,ISRaD
2020-01-08,0,ISRaD
2020-01-09,0,ISRaD
2020-01-10,0,ISRaD
2020-01-11,0,ISRaD
2020-01-12,0,ISRaD
2020-01-13,0,ISRaD
2020-01-14,0,ISRaD
2020-01-15,0,ISRaD
2020-01-16,0,ISRaD
2020-01-17,0,ISRaD
2020-01-18,0,ISRaD
2020-01-19,0,ISRaD
2020-01-20,0,ISRaD
2020-01-21,0,ISRaD
2020-01-22,0,ISRaD
2020-01-23,0,ISRaD
2020-01-24,0,ISRaD
2020-01-25,0,ISRaD
2020-01-26,0,ISRaD
2020-01-27,0,ISRaD
2020-01-28,0,ISRaD
2020-01-29,0,ISRaD
2020-01-30,0,ISRaD
2020-01-31,0,ISRaD
2020-02-01,0,ISRaD
2020-02-02,0,ISRaD
2020-02-03,0,ISRaD
2020-02-04,0,ISRaD
2020-02-05,0,ISRaD
2020-02-06,0,ISRaD
2020-02-07,0,ISRaD
2020-02-08,0,ISRaD
2020-02-09,4,ISRaD
2020-02-10,9,ISRaD
2020-02-11,10,ISRaD
2020-02-12,7,ISRaD
2020-02-13,23,ISRaD
2020-02-14,18,ISRaD
2020-02-15,13,ISRaD
2020-02-16,21,ISRaD
2020-02-17,17,ISRaD
2020-02-18,20,ISRaD
2020-02-19,32,ISRaD
2020-02-20,26,ISRaD
2020-02-21,32,ISRaD
2020-02-22,27,ISRaD
2020-02-23,24,ISRaD
2020-02-24,22,ISRaD
2020-02-25,17,ISRaD
2020-02-26,23,ISRaD
2020-02-27,21,ISRaD
2020-02-28,15,ISRaD
2020-02-29,1,ISRaD
2020-03-01,18,ISRaD
2020-03-02,7,ISRaD
2020-03-03,12,ISRaD
2020-03-04,17,ISRaD
2020-03-05,10,ISRaD
2020-03-06,15,ISRaD
2020-03-07,12,ISRaD
2020-03-08,17,ISRaD
2020-03-09,13,ISRaD
2020-03-10,13,ISRaD
2020-03-11,4,ISRaD
2020-03-12,18,ISRaD
2020-03-13,10,ISRaD
2020-03-14,7,ISRaD
2020-03-15,8,ISRaD
2020-03-16,20,ISRaD
2020-03-17,12,ISRaD
2020-03-18,6,ISRaD
2020-03-19,11,ISRaD
2020-03-20,9,ISRaD
2020-03-21,14,ISRaD
2020-03-22,16,ISRaD
2020-03-23,11,ISRaD
2020-03-24,7,ISRaD
2020-03-25,13,ISRaD
2020-03-26,9,ISRaD
2020-03-27,8,ISRaD
2020-03-28,9,ISRaD
2020-03-29,17,ISRaD
2020-03-30,20,ISRaD
2020-03-31,17,ISRaD
2020-04-01,13,ISRaD
2020-04-02,11,ISRaD
2020-04-03,15,ISRaD
2020-04-04,9,ISRaD
2020-04-05,15,ISRaD
2020-04-06,17,ISRaD
2020-04-07,21,ISRaD
2020-04-08,19,ISRaD
2020-04-09,16,ISRaD
2020-04-10,9,ISRaD
2020-04-11,6,ISRaD
2020-04-12,11,ISRaD
2020-04-13,10,ISRaD
2020-04-14,14,ISRaD
2020-04-15,25,ISRaD
2020-04-16,19,ISRaD
2020-04-17,19,ISRaD
2020-04-18,6,ISRaD
2020-04-19,4,ISRaD
2020-04-20,8,ISRaD
2020-04-21,8,ISRaD
2020-04-22,27,ISRaD
2020-04-23,8,ISRaD
2020-04-24,17,ISRaD
2020-04-25,30,ISRaD
2020-04-26,12,ISRaD
2020-04-27,17,ISRaD
2020-04-28,24,ISRaD
2020-04-29,31,ISRaD
2020-04-30,19,ISRaD
2020-05-01,25,ISRaD
2020-05-02,24,ISRaD
2020-05-03,22,ISRaD
2020-05-04,23,ISRaD
2020-05-05,22,ISRaD
2020-05-06,29,ISRaD
2020-05-07,27,ISRaD
2020-05-08,18,ISRaD
2020-05-09,27,ISRaD
2020-05-10,55,ISRaD
2020-05-11,42,ISRaD
2020-05-12,22,ISRaD
2020-05-13,16,ISRaD
2020-05-14,17,ISRaD
2020-05-15,17,ISRaD
2020-05-16,16,ISRaD
2020-05-17,16,ISRaD
2020-05-18,25,ISRaD
2020-05-19,28,ISRaD
2020-05-20,22,ISRaD
2020-05-21,14,ISRaD
2020-05-22,20,ISRaD
2020-05-23,14,ISRaD
2020-05-24,14,ISRaD
2020-05-25,14,ISRaD
2020-05-26,17,ISRaD
2020-05-27,29,ISRaD
2020-05-28,18,ISRaD
2020-05-29,18,ISRaD
2020-05-30,18,ISRaD
2020-05-31,16,ISRaD
2020-06-01,14,ISRaD
2020-06-02,16,ISRaD
2020-06-03,14,ISRaD
2020-06-04,11,ISRaD
