date,count,package
2020-01-01,0,MKomics
2020-01-02,0,MKomics
2020-01-03,0,MKomics
2020-01-04,0,MKomics
2020-01-05,0,MKomics
2020-01-06,0,MKomics
2020-01-07,0,MKomics
2020-01-08,0,MKomics
2020-01-09,0,MKomics
2020-01-10,0,MKomics
2020-01-11,0,MKomics
2020-01-12,0,MKomics
2020-01-13,0,MKomics
2020-01-14,0,MKomics
2020-01-15,0,MKomics
2020-01-16,0,MKomics
2020-01-17,0,MKomics
2020-01-18,0,MKomics
2020-01-19,0,MKomics
2020-01-20,0,MKomics
2020-01-21,0,MKomics
2020-01-22,0,MKomics
2020-01-23,0,MKomics
2020-01-24,0,MKomics
2020-01-25,0,MKomics
2020-01-26,0,MKomics
2020-01-27,0,MKomics
2020-01-28,0,MKomics
2020-01-29,0,MKomics
2020-01-30,0,MKomics
2020-01-31,0,MKomics
2020-02-01,0,MKomics
2020-02-02,0,MKomics
2020-02-03,0,MKomics
2020-02-04,0,MKomics
2020-02-05,0,MKomics
2020-02-06,0,MKomics
2020-02-07,0,MKomics
2020-02-08,0,MKomics
2020-02-09,0,MKomics
2020-02-10,0,MKomics
2020-02-11,0,MKomics
2020-02-12,0,MKomics
2020-02-13,0,MKomics
2020-02-14,0,MKomics
2020-02-15,0,MKomics
2020-02-16,0,MKomics
2020-02-17,0,MKomics
2020-02-18,0,MKomics
2020-02-19,2,MKomics
2020-02-20,10,MKomics
2020-02-21,34,MKomics
2020-02-22,34,MKomics
2020-02-23,26,MKomics
2020-02-24,25,MKomics
2020-02-25,20,MKomics
2020-02-26,27,MKomics
2020-02-27,30,MKomics
2020-02-28,21,MKomics
2020-02-29,8,MKomics
2020-03-01,27,MKomics
2020-03-02,16,MKomics
2020-03-03,20,MKomics
2020-03-04,25,MKomics
2020-03-05,14,MKomics
2020-03-06,22,MKomics
2020-03-07,18,MKomics
2020-03-08,20,MKomics
2020-03-09,19,MKomics
2020-03-10,18,MKomics
2020-03-11,4,MKomics
2020-03-12,23,MKomics
2020-03-13,16,MKomics
2020-03-14,15,MKomics
2020-03-15,11,MKomics
2020-03-16,23,MKomics
2020-03-17,14,MKomics
2020-03-18,6,MKomics
2020-03-19,13,MKomics
2020-03-20,13,MKomics
2020-03-21,16,MKomics
2020-03-22,8,MKomics
2020-03-23,11,MKomics
2020-03-24,10,MKomics
2020-03-25,17,MKomics
2020-03-26,8,MKomics
2020-03-27,6,MKomics
2020-03-28,8,MKomics
2020-03-29,17,MKomics
2020-03-30,18,MKomics
2020-03-31,16,MKomics
2020-04-01,10,MKomics
2020-04-02,10,MKomics
2020-04-03,16,MKomics
2020-04-04,8,MKomics
2020-04-05,14,MKomics
2020-04-06,18,MKomics
2020-04-07,21,MKomics
2020-04-08,18,MKomics
2020-04-09,16,MKomics
2020-04-10,9,MKomics
2020-04-11,6,MKomics
2020-04-12,11,MKomics
2020-04-13,10,MKomics
2020-04-14,11,MKomics
2020-04-15,25,MKomics
2020-04-16,21,MKomics
2020-04-17,21,MKomics
2020-04-18,6,MKomics
2020-04-19,3,MKomics
2020-04-20,7,MKomics
2020-04-21,9,MKomics
2020-04-22,24,MKomics
2020-04-23,10,MKomics
2020-04-24,14,MKomics
2020-04-25,24,MKomics
2020-04-26,19,MKomics
2020-04-27,17,MKomics
2020-04-28,19,MKomics
2020-04-29,30,MKomics
2020-04-30,18,MKomics
2020-05-01,19,MKomics
2020-05-02,23,MKomics
2020-05-03,19,MKomics
2020-05-04,21,MKomics
2020-05-05,17,MKomics
2020-05-06,23,MKomics
2020-05-07,23,MKomics
2020-05-08,18,MKomics
2020-05-09,26,MKomics
2020-05-10,52,MKomics
2020-05-11,36,MKomics
2020-05-12,20,MKomics
2020-05-13,14,MKomics
2020-05-14,11,MKomics
2020-05-15,11,MKomics
2020-05-16,14,MKomics
2020-05-17,15,MKomics
2020-05-18,22,MKomics
2020-05-19,16,MKomics
2020-05-20,21,MKomics
2020-05-21,9,MKomics
2020-05-22,11,MKomics
2020-05-23,8,MKomics
2020-05-24,10,MKomics
2020-05-25,10,MKomics
2020-05-26,19,MKomics
2020-05-27,13,MKomics
2020-05-28,18,MKomics
2020-05-29,10,MKomics
2020-05-30,12,MKomics
2020-05-31,19,MKomics
2020-06-01,10,MKomics
2020-06-02,12,MKomics
2020-06-03,10,MKomics
2020-06-04,19,MKomics
2020-06-05,10,MKomics
2020-06-06,14,MKomics
2020-06-07,13,MKomics
2020-06-08,18,MKomics
2020-06-09,32,MKomics
2020-06-10,19,MKomics
2020-06-11,22,MKomics
2020-06-12,10,MKomics
2020-06-13,10,MKomics
2020-06-14,13,MKomics
2020-06-15,10,MKomics
2020-06-16,13,MKomics
2020-06-17,12,MKomics
2020-06-18,24,MKomics
2020-06-19,25,MKomics
2020-06-20,10,MKomics
2020-06-21,13,MKomics
2020-06-22,14,MKomics
2020-06-23,26,MKomics
2020-06-24,14,MKomics
2020-06-25,12,MKomics
2020-06-26,15,MKomics
2020-06-27,11,MKomics
2020-06-28,11,MKomics
2020-06-29,19,MKomics
2020-06-30,11,MKomics
2020-07-01,11,MKomics
2020-07-02,12,MKomics
2020-07-03,15,MKomics
2020-07-04,10,MKomics
2020-07-05,11,MKomics
2020-07-06,20,MKomics
2020-07-07,26,MKomics
2020-07-08,18,MKomics
2020-07-09,13,MKomics
2020-07-10,17,MKomics
2020-07-11,17,MKomics
2020-07-12,12,MKomics
2020-07-13,16,MKomics
2020-07-14,18,MKomics
2020-07-15,16,MKomics
2020-07-16,24,MKomics
2020-07-17,11,MKomics
2020-07-18,15,MKomics
2020-07-19,17,MKomics
2020-07-20,9,MKomics
2020-07-21,18,MKomics
2020-07-22,13,MKomics
2020-07-23,9,MKomics
2020-07-24,10,MKomics
2020-07-25,13,MKomics
2020-07-26,11,MKomics
2020-07-27,13,MKomics
2020-07-28,6,MKomics
2020-07-29,9,MKomics
2020-07-30,7,MKomics
2020-07-31,3,MKomics
2020-08-01,5,MKomics
2020-08-02,20,MKomics
2020-08-03,16,MKomics
2020-08-04,16,MKomics
2020-08-05,25,MKomics
2020-08-06,24,MKomics
2020-08-07,24,MKomics
2020-08-08,12,MKomics
2020-08-09,19,MKomics
2020-08-10,20,MKomics
2020-08-11,9,MKomics
2020-08-12,10,MKomics
2020-08-13,14,MKomics
2020-08-14,12,MKomics
2020-08-15,14,MKomics
2020-08-16,13,MKomics
2020-08-17,12,MKomics
2020-08-18,16,MKomics
2020-08-19,12,MKomics
2020-08-20,9,MKomics
2020-08-21,13,MKomics
2020-08-22,9,MKomics
2020-08-23,7,MKomics
2020-08-24,11,MKomics
2020-08-25,10,MKomics
2020-08-26,11,MKomics
2020-08-27,9,MKomics
2020-08-28,8,MKomics
2020-08-29,11,MKomics
2020-08-30,9,MKomics
2020-08-31,12,MKomics
2020-09-01,20,MKomics
2020-09-02,12,MKomics
2020-09-03,18,MKomics
2020-09-04,10,MKomics
2020-09-05,14,MKomics
2020-09-06,13,MKomics
2020-09-07,18,MKomics
2020-09-08,23,MKomics
2020-09-09,21,MKomics
2020-09-10,12,MKomics
2020-09-11,19,MKomics
2020-09-12,20,MKomics
2020-09-13,16,MKomics
2020-09-14,44,MKomics
2020-09-15,16,MKomics
2020-09-16,11,MKomics
2020-09-17,25,MKomics
2020-09-18,17,MKomics
2020-09-19,10,MKomics
2020-09-20,16,MKomics
2020-09-21,17,MKomics
2020-09-22,25,MKomics
2020-09-23,15,MKomics
2020-09-24,7,MKomics
2020-09-25,8,MKomics
2020-09-26,9,MKomics
2020-09-27,15,MKomics
2020-09-28,17,MKomics
2020-09-29,17,MKomics
2020-09-30,13,MKomics
2020-10-01,16,MKomics
2020-10-02,15,MKomics
2020-10-03,12,MKomics
2020-10-04,14,MKomics
2020-10-05,9,MKomics
2020-10-06,11,MKomics
2020-10-07,11,MKomics
2020-10-08,10,MKomics
2020-10-09,9,MKomics
2020-10-10,20,MKomics
2020-10-11,19,MKomics
2020-10-12,23,MKomics
2020-10-13,23,MKomics
2020-10-14,13,MKomics
2020-10-15,8,MKomics
2020-10-16,9,MKomics
2020-10-17,1,MKomics
2020-10-18,7,MKomics
2020-10-19,18,MKomics
2020-10-20,14,MKomics
2020-10-21,13,MKomics
2020-10-22,14,MKomics
2020-10-23,15,MKomics
2020-10-24,12,MKomics
2020-10-25,12,MKomics
2020-10-26,12,MKomics
2020-10-27,11,MKomics
2020-10-28,12,MKomics
2020-10-29,24,MKomics
2020-10-30,12,MKomics
2020-10-31,12,MKomics
2020-11-01,8,MKomics
2020-11-02,8,MKomics
2020-11-03,16,MKomics
2020-11-04,8,MKomics
2020-11-05,20,MKomics
2020-11-06,14,MKomics
2020-11-07,16,MKomics
2020-11-08,10,MKomics
2020-11-09,20,MKomics
2020-11-10,14,MKomics
2020-11-11,19,MKomics
2020-11-12,14,MKomics
2020-11-13,10,MKomics
2020-11-14,7,MKomics
2020-11-15,10,MKomics
2020-11-16,10,MKomics
2020-11-17,16,MKomics
2020-11-18,16,MKomics
2020-11-19,14,MKomics
2020-11-20,9,MKomics
2020-11-21,9,MKomics
2020-11-22,9,MKomics
2020-11-23,9,MKomics
2020-11-24,12,MKomics
