date,count,package
2020-01-01,0,PHInfiniteEstimates
2020-01-02,0,PHInfiniteEstimates
2020-01-03,0,PHInfiniteEstimates
2020-01-04,0,PHInfiniteEstimates
2020-01-05,0,PHInfiniteEstimates
2020-01-06,0,PHInfiniteEstimates
2020-01-07,0,PHInfiniteEstimates
2020-01-08,0,PHInfiniteEstimates
2020-01-09,0,PHInfiniteEstimates
2020-01-10,0,PHInfiniteEstimates
2020-01-11,0,PHInfiniteEstimates
2020-01-12,0,PHInfiniteEstimates
2020-01-13,0,PHInfiniteEstimates
2020-01-14,0,PHInfiniteEstimates
2020-01-15,0,PHInfiniteEstimates
2020-01-16,0,PHInfiniteEstimates
2020-01-17,0,PHInfiniteEstimates
2020-01-18,0,PHInfiniteEstimates
2020-01-19,0,PHInfiniteEstimates
2020-01-20,0,PHInfiniteEstimates
2020-01-21,0,PHInfiniteEstimates
2020-01-22,0,PHInfiniteEstimates
2020-01-23,0,PHInfiniteEstimates
2020-01-24,0,PHInfiniteEstimates
2020-01-25,0,PHInfiniteEstimates
2020-01-26,0,PHInfiniteEstimates
2020-01-27,0,PHInfiniteEstimates
2020-01-28,0,PHInfiniteEstimates
2020-01-29,0,PHInfiniteEstimates
2020-01-30,0,PHInfiniteEstimates
2020-01-31,0,PHInfiniteEstimates
2020-02-01,0,PHInfiniteEstimates
2020-02-02,0,PHInfiniteEstimates
2020-02-03,0,PHInfiniteEstimates
2020-02-04,0,PHInfiniteEstimates
2020-02-05,0,PHInfiniteEstimates
2020-02-06,0,PHInfiniteEstimates
2020-02-07,0,PHInfiniteEstimates
2020-02-08,0,PHInfiniteEstimates
2020-02-09,0,PHInfiniteEstimates
2020-02-10,0,PHInfiniteEstimates
2020-02-11,0,PHInfiniteEstimates
2020-02-12,0,PHInfiniteEstimates
2020-02-13,0,PHInfiniteEstimates
2020-02-14,0,PHInfiniteEstimates
2020-02-15,0,PHInfiniteEstimates
2020-02-16,0,PHInfiniteEstimates
2020-02-17,2,PHInfiniteEstimates
2020-02-18,9,PHInfiniteEstimates
2020-02-19,21,PHInfiniteEstimates
2020-02-20,7,PHInfiniteEstimates
2020-02-21,24,PHInfiniteEstimates
2020-02-22,27,PHInfiniteEstimates
2020-02-23,29,PHInfiniteEstimates
2020-02-24,22,PHInfiniteEstimates
2020-02-25,22,PHInfiniteEstimates
2020-02-26,22,PHInfiniteEstimates
2020-02-27,26,PHInfiniteEstimates
2020-02-28,19,PHInfiniteEstimates
2020-02-29,8,PHInfiniteEstimates
2020-03-01,22,PHInfiniteEstimates
2020-03-02,18,PHInfiniteEstimates
2020-03-03,23,PHInfiniteEstimates
2020-03-04,26,PHInfiniteEstimates
2020-03-05,16,PHInfiniteEstimates
2020-03-06,23,PHInfiniteEstimates
2020-03-07,15,PHInfiniteEstimates
2020-03-08,22,PHInfiniteEstimates
2020-03-09,24,PHInfiniteEstimates
2020-03-10,35,PHInfiniteEstimates
2020-03-11,16,PHInfiniteEstimates
2020-03-12,41,PHInfiniteEstimates
2020-03-13,29,PHInfiniteEstimates
2020-03-14,25,PHInfiniteEstimates
2020-03-15,19,PHInfiniteEstimates
2020-03-16,32,PHInfiniteEstimates
2020-03-17,24,PHInfiniteEstimates
2020-03-18,5,PHInfiniteEstimates
2020-03-19,19,PHInfiniteEstimates
2020-03-20,17,PHInfiniteEstimates
2020-03-21,13,PHInfiniteEstimates
2020-03-22,11,PHInfiniteEstimates
2020-03-23,10,PHInfiniteEstimates
2020-03-24,10,PHInfiniteEstimates
2020-03-25,33,PHInfiniteEstimates
2020-03-26,15,PHInfiniteEstimates
2020-03-27,6,PHInfiniteEstimates
2020-03-28,18,PHInfiniteEstimates
2020-03-29,20,PHInfiniteEstimates
2020-03-30,28,PHInfiniteEstimates
2020-03-31,30,PHInfiniteEstimates
2020-04-01,28,PHInfiniteEstimates
2020-04-02,10,PHInfiniteEstimates
2020-04-03,29,PHInfiniteEstimates
2020-04-04,28,PHInfiniteEstimates
2020-04-05,29,PHInfiniteEstimates
2020-04-06,30,PHInfiniteEstimates
2020-04-07,33,PHInfiniteEstimates
2020-04-08,35,PHInfiniteEstimates
2020-04-09,29,PHInfiniteEstimates
2020-04-10,15,PHInfiniteEstimates
2020-04-11,7,PHInfiniteEstimates
2020-04-12,15,PHInfiniteEstimates
2020-04-13,14,PHInfiniteEstimates
2020-04-14,14,PHInfiniteEstimates
2020-04-15,34,PHInfiniteEstimates
2020-04-16,17,PHInfiniteEstimates
2020-04-17,25,PHInfiniteEstimates
2020-04-18,6,PHInfiniteEstimates
2020-04-19,1,PHInfiniteEstimates
2020-04-20,18,PHInfiniteEstimates
2020-04-21,10,PHInfiniteEstimates
2020-04-22,33,PHInfiniteEstimates
2020-04-23,10,PHInfiniteEstimates
2020-04-24,13,PHInfiniteEstimates
2020-04-25,22,PHInfiniteEstimates
2020-04-26,11,PHInfiniteEstimates
2020-04-27,14,PHInfiniteEstimates
2020-04-28,18,PHInfiniteEstimates
2020-04-29,36,PHInfiniteEstimates
2020-04-30,21,PHInfiniteEstimates
2020-05-01,16,PHInfiniteEstimates
2020-05-02,25,PHInfiniteEstimates
2020-05-03,17,PHInfiniteEstimates
2020-05-04,18,PHInfiniteEstimates
2020-05-05,12,PHInfiniteEstimates
2020-05-06,27,PHInfiniteEstimates
2020-05-07,18,PHInfiniteEstimates
2020-05-08,13,PHInfiniteEstimates
2020-05-09,20,PHInfiniteEstimates
2020-05-10,45,PHInfiniteEstimates
2020-05-11,37,PHInfiniteEstimates
2020-05-12,15,PHInfiniteEstimates
2020-05-13,22,PHInfiniteEstimates
2020-05-14,14,PHInfiniteEstimates
2020-05-15,12,PHInfiniteEstimates
2020-05-16,18,PHInfiniteEstimates
2020-05-17,14,PHInfiniteEstimates
2020-05-18,21,PHInfiniteEstimates
2020-05-19,16,PHInfiniteEstimates
2020-05-20,21,PHInfiniteEstimates
2020-05-21,8,PHInfiniteEstimates
2020-05-22,11,PHInfiniteEstimates
2020-05-23,7,PHInfiniteEstimates
2020-05-24,8,PHInfiniteEstimates
2020-05-25,16,PHInfiniteEstimates
2020-05-26,14,PHInfiniteEstimates
2020-05-27,24,PHInfiniteEstimates
2020-05-28,12,PHInfiniteEstimates
2020-05-29,10,PHInfiniteEstimates
2020-05-30,17,PHInfiniteEstimates
2020-05-31,13,PHInfiniteEstimates
2020-06-01,13,PHInfiniteEstimates
2020-06-02,12,PHInfiniteEstimates
2020-06-03,16,PHInfiniteEstimates
2020-06-04,11,PHInfiniteEstimates
2020-06-05,10,PHInfiniteEstimates
2020-06-06,9,PHInfiniteEstimates
2020-06-07,17,PHInfiniteEstimates
2020-06-08,15,PHInfiniteEstimates
2020-06-09,18,PHInfiniteEstimates
2020-06-10,24,PHInfiniteEstimates
2020-06-11,15,PHInfiniteEstimates
2020-06-12,12,PHInfiniteEstimates
2020-06-13,13,PHInfiniteEstimates
2020-06-14,13,PHInfiniteEstimates
2020-06-15,11,PHInfiniteEstimates
2020-06-16,13,PHInfiniteEstimates
2020-06-17,23,PHInfiniteEstimates
2020-06-18,23,PHInfiniteEstimates
2020-06-19,22,PHInfiniteEstimates
2020-06-20,11,PHInfiniteEstimates
2020-06-21,13,PHInfiniteEstimates
2020-06-22,14,PHInfiniteEstimates
2020-06-23,17,PHInfiniteEstimates
2020-06-24,17,PHInfiniteEstimates
2020-06-25,10,PHInfiniteEstimates
2020-06-26,15,PHInfiniteEstimates
2020-06-27,10,PHInfiniteEstimates
2020-06-28,11,PHInfiniteEstimates
2020-06-29,12,PHInfiniteEstimates
2020-06-30,14,PHInfiniteEstimates
2020-07-01,13,PHInfiniteEstimates
2020-07-02,10,PHInfiniteEstimates
2020-07-03,14,PHInfiniteEstimates
2020-07-04,8,PHInfiniteEstimates
2020-07-05,13,PHInfiniteEstimates
2020-07-06,10,PHInfiniteEstimates
2020-07-07,16,PHInfiniteEstimates
2020-07-08,18,PHInfiniteEstimates
2020-07-09,8,PHInfiniteEstimates
2020-07-10,9,PHInfiniteEstimates
2020-07-11,7,PHInfiniteEstimates
2020-07-12,17,PHInfiniteEstimates
2020-07-13,13,PHInfiniteEstimates
2020-07-14,12,PHInfiniteEstimates
2020-07-15,18,PHInfiniteEstimates
2020-07-16,12,PHInfiniteEstimates
2020-07-17,9,PHInfiniteEstimates
2020-07-18,14,PHInfiniteEstimates
2020-07-19,11,PHInfiniteEstimates
2020-07-20,11,PHInfiniteEstimates
2020-07-21,16,PHInfiniteEstimates
2020-07-22,19,PHInfiniteEstimates
2020-07-23,15,PHInfiniteEstimates
2020-07-24,17,PHInfiniteEstimates
2020-07-25,8,PHInfiniteEstimates
2020-07-26,11,PHInfiniteEstimates
2020-07-27,7,PHInfiniteEstimates
2020-07-28,8,PHInfiniteEstimates
2020-07-29,14,PHInfiniteEstimates
2020-07-30,13,PHInfiniteEstimates
2020-07-31,4,PHInfiniteEstimates
2020-08-01,0,PHInfiniteEstimates
2020-08-02,13,PHInfiniteEstimates
2020-08-03,14,PHInfiniteEstimates
2020-08-04,14,PHInfiniteEstimates
2020-08-05,26,PHInfiniteEstimates
2020-08-06,14,PHInfiniteEstimates
2020-08-07,17,PHInfiniteEstimates
2020-08-08,12,PHInfiniteEstimates
2020-08-09,13,PHInfiniteEstimates
2020-08-10,23,PHInfiniteEstimates
2020-08-11,12,PHInfiniteEstimates
2020-08-12,16,PHInfiniteEstimates
2020-08-13,15,PHInfiniteEstimates
2020-08-14,18,PHInfiniteEstimates
2020-08-15,8,PHInfiniteEstimates
2020-08-16,7,PHInfiniteEstimates
2020-08-17,18,PHInfiniteEstimates
2020-08-18,15,PHInfiniteEstimates
2020-08-19,19,PHInfiniteEstimates
2020-08-20,9,PHInfiniteEstimates
2020-08-21,13,PHInfiniteEstimates
2020-08-22,9,PHInfiniteEstimates
2020-08-23,7,PHInfiniteEstimates
2020-08-24,10,PHInfiniteEstimates
2020-08-25,10,PHInfiniteEstimates
2020-08-26,17,PHInfiniteEstimates
2020-08-27,15,PHInfiniteEstimates
2020-08-28,13,PHInfiniteEstimates
2020-08-29,11,PHInfiniteEstimates
2020-08-30,9,PHInfiniteEstimates
2020-08-31,11,PHInfiniteEstimates
2020-09-01,14,PHInfiniteEstimates
2020-09-02,17,PHInfiniteEstimates
2020-09-03,13,PHInfiniteEstimates
2020-09-04,9,PHInfiniteEstimates
2020-09-05,14,PHInfiniteEstimates
2020-09-06,12,PHInfiniteEstimates
2020-09-07,21,PHInfiniteEstimates
2020-09-08,21,PHInfiniteEstimates
2020-09-09,29,PHInfiniteEstimates
2020-09-10,14,PHInfiniteEstimates
2020-09-11,18,PHInfiniteEstimates
2020-09-12,21,PHInfiniteEstimates
2020-09-13,15,PHInfiniteEstimates
2020-09-14,35,PHInfiniteEstimates
2020-09-15,15,PHInfiniteEstimates
2020-09-16,14,PHInfiniteEstimates
2020-09-17,27,PHInfiniteEstimates
2020-09-18,19,PHInfiniteEstimates
2020-09-19,10,PHInfiniteEstimates
2020-09-20,15,PHInfiniteEstimates
2020-09-21,24,PHInfiniteEstimates
2020-09-22,16,PHInfiniteEstimates
2020-09-23,22,PHInfiniteEstimates
2020-09-24,21,PHInfiniteEstimates
2020-09-25,15,PHInfiniteEstimates
2020-09-26,26,PHInfiniteEstimates
2020-09-27,23,PHInfiniteEstimates
2020-09-28,32,PHInfiniteEstimates
2020-09-29,33,PHInfiniteEstimates
2020-09-30,49,PHInfiniteEstimates
2020-10-01,28,PHInfiniteEstimates
2020-10-02,31,PHInfiniteEstimates
2020-10-03,23,PHInfiniteEstimates
2020-10-04,33,PHInfiniteEstimates
2020-10-05,21,PHInfiniteEstimates
2020-10-06,23,PHInfiniteEstimates
2020-10-07,24,PHInfiniteEstimates
2020-10-08,21,PHInfiniteEstimates
2020-10-09,22,PHInfiniteEstimates
2020-10-10,17,PHInfiniteEstimates
2020-10-11,17,PHInfiniteEstimates
2020-10-12,16,PHInfiniteEstimates
2020-10-13,18,PHInfiniteEstimates
2020-10-14,31,PHInfiniteEstimates
2020-10-15,13,PHInfiniteEstimates
2020-10-16,23,PHInfiniteEstimates
2020-10-17,2,PHInfiniteEstimates
2020-10-18,10,PHInfiniteEstimates
2020-10-19,22,PHInfiniteEstimates
2020-10-20,13,PHInfiniteEstimates
2020-10-21,23,PHInfiniteEstimates
2020-10-22,18,PHInfiniteEstimates
2020-10-23,16,PHInfiniteEstimates
2020-10-24,15,PHInfiniteEstimates
2020-10-25,12,PHInfiniteEstimates
2020-10-26,18,PHInfiniteEstimates
2020-10-27,13,PHInfiniteEstimates
2020-10-28,19,PHInfiniteEstimates
2020-10-29,25,PHInfiniteEstimates
2020-10-30,11,PHInfiniteEstimates
2020-10-31,13,PHInfiniteEstimates
2020-11-01,12,PHInfiniteEstimates
2020-11-02,10,PHInfiniteEstimates
2020-11-03,26,PHInfiniteEstimates
2020-11-04,14,PHInfiniteEstimates
2020-11-05,21,PHInfiniteEstimates
2020-11-06,24,PHInfiniteEstimates
2020-11-07,17,PHInfiniteEstimates
2020-11-08,14,PHInfiniteEstimates
2020-11-09,19,PHInfiniteEstimates
2020-11-10,15,PHInfiniteEstimates
2020-11-11,29,PHInfiniteEstimates
2020-11-12,17,PHInfiniteEstimates
2020-11-13,13,PHInfiniteEstimates
2020-11-14,9,PHInfiniteEstimates
2020-11-15,13,PHInfiniteEstimates
2020-11-16,13,PHInfiniteEstimates
2020-11-17,16,PHInfiniteEstimates
2020-11-18,32,PHInfiniteEstimates
2020-11-19,14,PHInfiniteEstimates
2020-11-20,12,PHInfiniteEstimates
2020-11-21,11,PHInfiniteEstimates
2020-11-22,12,PHInfiniteEstimates
2020-11-23,11,PHInfiniteEstimates
2020-11-24,18,PHInfiniteEstimates
2020-11-25,20,PHInfiniteEstimates
2020-11-26,10,PHInfiniteEstimates
2020-11-27,16,PHInfiniteEstimates
2020-11-28,14,PHInfiniteEstimates
2020-11-29,11,PHInfiniteEstimates
2020-11-30,19,PHInfiniteEstimates
2020-12-01,15,PHInfiniteEstimates
2020-12-02,24,PHInfiniteEstimates
2020-12-03,14,PHInfiniteEstimates
2020-12-04,23,PHInfiniteEstimates
2020-12-05,28,PHInfiniteEstimates
2020-12-06,23,PHInfiniteEstimates
2020-12-07,27,PHInfiniteEstimates
2020-12-08,7,PHInfiniteEstimates
2020-12-09,43,PHInfiniteEstimates
2020-12-10,24,PHInfiniteEstimates
2020-12-11,30,PHInfiniteEstimates
2020-12-12,26,PHInfiniteEstimates
2020-12-13,23,PHInfiniteEstimates
2020-12-14,19,PHInfiniteEstimates
2020-12-15,18,PHInfiniteEstimates
2020-12-16,22,PHInfiniteEstimates
2020-12-17,20,PHInfiniteEstimates
2020-12-18,18,PHInfiniteEstimates
2020-12-19,13,PHInfiniteEstimates
2020-12-20,12,PHInfiniteEstimates
2020-12-21,15,PHInfiniteEstimates
2020-12-22,14,PHInfiniteEstimates
2020-12-23,24,PHInfiniteEstimates
2020-12-24,11,PHInfiniteEstimates
2020-12-25,11,PHInfiniteEstimates
2020-12-26,12,PHInfiniteEstimates
2020-12-27,10,PHInfiniteEstimates
2020-12-28,17,PHInfiniteEstimates
2020-12-29,12,PHInfiniteEstimates
2020-12-30,27,PHInfiniteEstimates
2020-12-31,14,PHInfiniteEstimates
2021-01-01,12,PHInfiniteEstimates
2021-01-02,12,PHInfiniteEstimates
2021-01-03,12,PHInfiniteEstimates
2021-01-04,13,PHInfiniteEstimates
2021-01-05,11,PHInfiniteEstimates
2021-01-06,26,PHInfiniteEstimates
2021-01-07,15,PHInfiniteEstimates
2021-01-08,12,PHInfiniteEstimates
2021-01-09,20,PHInfiniteEstimates
2021-01-10,12,PHInfiniteEstimates
2021-01-11,17,PHInfiniteEstimates
2021-01-12,15,PHInfiniteEstimates
2021-01-13,23,PHInfiniteEstimates
2021-01-14,19,PHInfiniteEstimates
2021-01-15,12,PHInfiniteEstimates
2021-01-16,9,PHInfiniteEstimates
2021-01-17,13,PHInfiniteEstimates
2021-01-18,12,PHInfiniteEstimates
2021-01-19,8,PHInfiniteEstimates
2021-01-20,18,PHInfiniteEstimates
2021-01-21,10,PHInfiniteEstimates
2021-01-22,9,PHInfiniteEstimates
2021-01-23,12,PHInfiniteEstimates
2021-01-24,8,PHInfiniteEstimates
2021-01-25,16,PHInfiniteEstimates
2021-01-26,7,PHInfiniteEstimates
2021-01-27,25,PHInfiniteEstimates
2021-01-28,5,PHInfiniteEstimates
2021-01-29,13,PHInfiniteEstimates
2021-01-30,13,PHInfiniteEstimates
2021-01-31,14,PHInfiniteEstimates
2021-02-01,17,PHInfiniteEstimates
2021-02-02,15,PHInfiniteEstimates
2021-02-03,16,PHInfiniteEstimates
2021-02-04,14,PHInfiniteEstimates
2021-02-05,9,PHInfiniteEstimates
2021-02-06,16,PHInfiniteEstimates
2021-02-07,16,PHInfiniteEstimates
2021-02-08,13,PHInfiniteEstimates
2021-02-09,14,PHInfiniteEstimates
2021-02-10,25,PHInfiniteEstimates
2021-02-11,28,PHInfiniteEstimates
2021-02-12,26,PHInfiniteEstimates
2021-02-13,19,PHInfiniteEstimates
2021-02-14,6,PHInfiniteEstimates
2021-02-15,18,PHInfiniteEstimates
2021-02-16,8,PHInfiniteEstimates
2021-02-17,35,PHInfiniteEstimates
2021-02-18,44,PHInfiniteEstimates
2021-02-19,30,PHInfiniteEstimates
2021-02-20,29,PHInfiniteEstimates
2021-02-21,26,PHInfiniteEstimates
2021-02-22,34,PHInfiniteEstimates
2021-02-23,11,PHInfiniteEstimates
2021-02-24,41,PHInfiniteEstimates
2021-02-25,28,PHInfiniteEstimates
2021-02-26,36,PHInfiniteEstimates
2021-02-27,26,PHInfiniteEstimates
2021-02-28,23,PHInfiniteEstimates
2021-03-01,27,PHInfiniteEstimates
2021-03-02,25,PHInfiniteEstimates
2021-03-03,48,PHInfiniteEstimates
2021-03-04,22,PHInfiniteEstimates
2021-03-05,22,PHInfiniteEstimates
2021-03-06,18,PHInfiniteEstimates
2021-03-07,18,PHInfiniteEstimates
2021-03-08,23,PHInfiniteEstimates
2021-03-09,15,PHInfiniteEstimates
2021-03-10,39,PHInfiniteEstimates
2021-03-11,19,PHInfiniteEstimates
2021-03-12,15,PHInfiniteEstimates
2021-03-13,20,PHInfiniteEstimates
2021-03-14,15,PHInfiniteEstimates
2021-03-15,16,PHInfiniteEstimates
2021-03-16,18,PHInfiniteEstimates
2021-03-17,29,PHInfiniteEstimates
2021-03-18,17,PHInfiniteEstimates
2021-03-19,7,PHInfiniteEstimates
2021-03-20,14,PHInfiniteEstimates
2021-03-21,3,PHInfiniteEstimates
2021-03-22,16,PHInfiniteEstimates
2021-03-23,13,PHInfiniteEstimates
2021-03-24,46,PHInfiniteEstimates
2021-03-25,8,PHInfiniteEstimates
2021-03-26,36,PHInfiniteEstimates
2021-03-27,2,PHInfiniteEstimates
2021-03-28,35,PHInfiniteEstimates
2021-03-29,8,PHInfiniteEstimates
2021-03-30,38,PHInfiniteEstimates
2021-03-31,21,PHInfiniteEstimates
2021-04-01,30,PHInfiniteEstimates
2021-04-02,7,PHInfiniteEstimates
2021-04-03,24,PHInfiniteEstimates
2021-04-04,9,PHInfiniteEstimates
2021-04-05,19,PHInfiniteEstimates
2021-04-06,4,PHInfiniteEstimates
2021-04-07,35,PHInfiniteEstimates
2021-04-08,22,PHInfiniteEstimates
2021-04-09,14,PHInfiniteEstimates
2021-04-10,15,PHInfiniteEstimates
2021-04-11,9,PHInfiniteEstimates
2021-04-12,28,PHInfiniteEstimates
2021-04-13,9,PHInfiniteEstimates
2021-04-14,26,PHInfiniteEstimates
2021-04-15,8,PHInfiniteEstimates
2021-04-16,16,PHInfiniteEstimates
2021-04-17,5,PHInfiniteEstimates
2021-04-18,19,PHInfiniteEstimates
2021-04-19,12,PHInfiniteEstimates
2021-04-20,20,PHInfiniteEstimates
2021-04-21,25,PHInfiniteEstimates
2021-04-22,29,PHInfiniteEstimates
2021-04-23,18,PHInfiniteEstimates
2021-04-24,19,PHInfiniteEstimates
2021-04-25,6,PHInfiniteEstimates
2021-04-26,18,PHInfiniteEstimates
2021-04-27,16,PHInfiniteEstimates
2021-04-28,25,PHInfiniteEstimates
2021-04-29,9,PHInfiniteEstimates
2021-04-30,7,PHInfiniteEstimates
2021-05-01,15,PHInfiniteEstimates
2021-05-02,12,PHInfiniteEstimates
2021-05-03,14,PHInfiniteEstimates
2021-05-04,21,PHInfiniteEstimates
2021-05-05,14,PHInfiniteEstimates
2021-05-06,19,PHInfiniteEstimates
2021-05-07,8,PHInfiniteEstimates
2021-05-08,15,PHInfiniteEstimates
2021-05-09,2,PHInfiniteEstimates
2021-05-10,16,PHInfiniteEstimates
2021-05-11,12,PHInfiniteEstimates
2021-05-12,37,PHInfiniteEstimates
2021-05-13,14,PHInfiniteEstimates
2021-05-14,16,PHInfiniteEstimates
