date,count,package
2020-01-01,0,PROJ
2020-01-02,0,PROJ
2020-01-03,0,PROJ
2020-01-04,0,PROJ
2020-01-05,0,PROJ
2020-01-06,0,PROJ
2020-01-07,5,PROJ
2020-01-08,16,PROJ
2020-01-09,24,PROJ
2020-01-10,26,PROJ
2020-01-11,32,PROJ
2020-01-12,22,PROJ
2020-01-13,28,PROJ
2020-01-14,38,PROJ
2020-01-15,36,PROJ
2020-01-16,34,PROJ
2020-01-17,27,PROJ
2020-01-18,18,PROJ
2020-01-19,17,PROJ
2020-01-20,13,PROJ
2020-01-21,23,PROJ
2020-01-22,15,PROJ
2020-01-23,12,PROJ
2020-01-24,14,PROJ
2020-01-25,13,PROJ
2020-01-26,10,PROJ
2020-01-27,14,PROJ
2020-01-28,19,PROJ
2020-01-29,25,PROJ
2020-01-30,12,PROJ
2020-01-31,21,PROJ
2020-02-01,11,PROJ
2020-02-02,13,PROJ
2020-02-03,8,PROJ
2020-02-04,16,PROJ
2020-02-05,15,PROJ
2020-02-06,19,PROJ
2020-02-07,18,PROJ
2020-02-08,22,PROJ
2020-02-09,9,PROJ
2020-02-10,15,PROJ
2020-02-11,14,PROJ
2020-02-12,9,PROJ
2020-02-13,16,PROJ
2020-02-14,13,PROJ
2020-02-15,14,PROJ
2020-02-16,12,PROJ
2020-02-17,7,PROJ
2020-02-18,18,PROJ
2020-02-19,13,PROJ
2020-02-20,12,PROJ
2020-02-21,14,PROJ
2020-02-22,12,PROJ
2020-02-23,20,PROJ
2020-02-24,11,PROJ
2020-02-25,18,PROJ
2020-02-26,20,PROJ
2020-02-27,17,PROJ
2020-02-28,20,PROJ
2020-02-29,5,PROJ
2020-03-01,14,PROJ
2020-03-02,11,PROJ
2020-03-03,16,PROJ
2020-03-04,26,PROJ
2020-03-05,11,PROJ
2020-03-06,19,PROJ
2020-03-07,13,PROJ
2020-03-08,15,PROJ
2020-03-09,16,PROJ
2020-03-10,17,PROJ
2020-03-11,10,PROJ
2020-03-12,18,PROJ
2020-03-13,13,PROJ
2020-03-14,12,PROJ
2020-03-15,11,PROJ
2020-03-16,19,PROJ
2020-03-17,13,PROJ
2020-03-18,9,PROJ
2020-03-19,12,PROJ
2020-03-20,15,PROJ
2020-03-21,12,PROJ
2020-03-22,11,PROJ
2020-03-23,14,PROJ
2020-03-24,15,PROJ
2020-03-25,20,PROJ
2020-03-26,13,PROJ
2020-03-27,18,PROJ
2020-03-28,26,PROJ
2020-03-29,38,PROJ
2020-03-30,57,PROJ
2020-03-31,46,PROJ
2020-04-01,36,PROJ
2020-04-02,21,PROJ
2020-04-03,30,PROJ
2020-04-04,35,PROJ
2020-04-05,32,PROJ
2020-04-06,40,PROJ
2020-04-07,39,PROJ
2020-04-08,37,PROJ
2020-04-09,41,PROJ
2020-04-10,20,PROJ
2020-04-11,14,PROJ
2020-04-12,23,PROJ
2020-04-13,28,PROJ
2020-04-14,24,PROJ
2020-04-15,150,PROJ
2020-04-16,160,PROJ
2020-04-17,96,PROJ
2020-04-18,75,PROJ
2020-04-19,33,PROJ
2020-04-20,51,PROJ
2020-04-21,39,PROJ
2020-04-22,97,PROJ
2020-04-23,37,PROJ
2020-04-24,73,PROJ
2020-04-25,56,PROJ
2020-04-26,47,PROJ
2020-04-27,64,PROJ
2020-04-28,62,PROJ
2020-04-29,98,PROJ
2020-04-30,67,PROJ
2020-05-01,57,PROJ
2020-05-02,46,PROJ
2020-05-03,67,PROJ
2020-05-04,75,PROJ
2020-05-05,58,PROJ
2020-05-06,81,PROJ
2020-05-07,49,PROJ
2020-05-08,37,PROJ
2020-05-09,41,PROJ
2020-05-10,70,PROJ
2020-05-11,68,PROJ
2020-05-12,56,PROJ
2020-05-13,74,PROJ
2020-05-14,60,PROJ
2020-05-15,57,PROJ
2020-05-16,25,PROJ
2020-05-17,33,PROJ
2020-05-18,51,PROJ
2020-05-19,49,PROJ
2020-05-20,60,PROJ
2020-05-21,46,PROJ
2020-05-22,41,PROJ
2020-05-23,31,PROJ
2020-05-24,29,PROJ
2020-05-25,86,PROJ
2020-05-26,61,PROJ
2020-05-27,50,PROJ
2020-05-28,57,PROJ
2020-05-29,33,PROJ
2020-05-30,31,PROJ
2020-05-31,32,PROJ
2020-06-01,34,PROJ
2020-06-02,40,PROJ
2020-06-03,51,PROJ
2020-06-04,65,PROJ
2020-06-05,38,PROJ
2020-06-06,36,PROJ
2020-06-07,31,PROJ
2020-06-08,66,PROJ
2020-06-09,108,PROJ
2020-06-10,81,PROJ
2020-06-11,70,PROJ
2020-06-12,46,PROJ
2020-06-13,35,PROJ
2020-06-14,36,PROJ
2020-06-15,115,PROJ
2020-06-16,118,PROJ
2020-06-17,110,PROJ
2020-06-18,96,PROJ
2020-06-19,72,PROJ
2020-06-20,46,PROJ
2020-06-21,40,PROJ
2020-06-22,65,PROJ
2020-06-23,63,PROJ
2020-06-24,77,PROJ
2020-06-25,63,PROJ
2020-06-26,47,PROJ
2020-06-27,28,PROJ
2020-06-28,31,PROJ
2020-06-29,88,PROJ
2020-06-30,40,PROJ
2020-07-01,44,PROJ
2020-07-02,50,PROJ
2020-07-03,43,PROJ
2020-07-04,24,PROJ
2020-07-05,38,PROJ
2020-07-06,49,PROJ
2020-07-07,58,PROJ
2020-07-08,78,PROJ
2020-07-09,57,PROJ
2020-07-10,60,PROJ
2020-07-11,22,PROJ
2020-07-12,35,PROJ
2020-07-13,63,PROJ
2020-07-14,46,PROJ
2020-07-15,85,PROJ
2020-07-16,88,PROJ
2020-07-17,68,PROJ
2020-07-18,43,PROJ
2020-07-19,25,PROJ
2020-07-20,79,PROJ
2020-07-21,74,PROJ
2020-07-22,76,PROJ
2020-07-23,56,PROJ
2020-07-24,52,PROJ
2020-07-25,37,PROJ
2020-07-26,31,PROJ
2020-07-27,79,PROJ
2020-07-28,79,PROJ
2020-07-29,95,PROJ
2020-07-30,77,PROJ
2020-07-31,48,PROJ
2020-08-01,13,PROJ
2020-08-02,20,PROJ
2020-08-03,54,PROJ
2020-08-04,101,PROJ
2020-08-05,57,PROJ
2020-08-06,67,PROJ
2020-08-07,58,PROJ
2020-08-08,30,PROJ
2020-08-09,36,PROJ
2020-08-10,54,PROJ
2020-08-11,42,PROJ
2020-08-12,46,PROJ
2020-08-13,58,PROJ
2020-08-14,42,PROJ
2020-08-15,30,PROJ
2020-08-16,14,PROJ
2020-08-17,46,PROJ
2020-08-18,45,PROJ
2020-08-19,58,PROJ
2020-08-20,29,PROJ
2020-08-21,34,PROJ
2020-08-22,24,PROJ
2020-08-23,37,PROJ
2020-08-24,45,PROJ
2020-08-25,44,PROJ
2020-08-26,62,PROJ
2020-08-27,49,PROJ
2020-08-28,42,PROJ
2020-08-29,30,PROJ
2020-08-30,23,PROJ
2020-08-31,68,PROJ
2020-09-01,128,PROJ
2020-09-02,103,PROJ
2020-09-03,80,PROJ
2020-09-04,90,PROJ
2020-09-05,64,PROJ
2020-09-06,57,PROJ
2020-09-07,119,PROJ
2020-09-08,85,PROJ
2020-09-09,81,PROJ
2020-09-10,84,PROJ
2020-09-11,91,PROJ
2020-09-12,89,PROJ
2020-09-13,38,PROJ
2020-09-14,72,PROJ
2020-09-15,75,PROJ
2020-09-16,58,PROJ
2020-09-17,76,PROJ
2020-09-18,71,PROJ
2020-09-19,43,PROJ
2020-09-20,28,PROJ
2020-09-21,73,PROJ
2020-09-22,71,PROJ
2020-09-23,79,PROJ
2020-09-24,64,PROJ
2020-09-25,61,PROJ
2020-09-26,37,PROJ
2020-09-27,30,PROJ
2020-09-28,51,PROJ
2020-09-29,82,PROJ
2020-09-30,72,PROJ
2020-10-01,82,PROJ
2020-10-02,72,PROJ
2020-10-03,30,PROJ
2020-10-04,38,PROJ
2020-10-05,58,PROJ
2020-10-06,73,PROJ
2020-10-07,74,PROJ
2020-10-08,84,PROJ
2020-10-09,53,PROJ
2020-10-10,67,PROJ
2020-10-11,37,PROJ
2020-10-12,52,PROJ
2020-10-13,76,PROJ
2020-10-14,73,PROJ
2020-10-15,61,PROJ
2020-10-16,57,PROJ
2020-10-17,17,PROJ
2020-10-18,35,PROJ
2020-10-19,80,PROJ
2020-10-20,152,PROJ
2020-10-21,129,PROJ
2020-10-22,105,PROJ
2020-10-23,93,PROJ
2020-10-24,60,PROJ
2020-10-25,63,PROJ
2020-10-26,104,PROJ
2020-10-27,64,PROJ
2020-10-28,74,PROJ
2020-10-29,94,PROJ
2020-10-30,118,PROJ
2020-10-31,42,PROJ
2020-11-01,75,PROJ
2020-11-02,54,PROJ
2020-11-03,97,PROJ
2020-11-04,68,PROJ
2020-11-05,91,PROJ
2020-11-06,60,PROJ
2020-11-07,49,PROJ
2020-11-08,47,PROJ
2020-11-09,160,PROJ
2020-11-10,53,PROJ
2020-11-11,90,PROJ
2020-11-12,70,PROJ
2020-11-13,62,PROJ
2020-11-14,35,PROJ
2020-11-15,44,PROJ
2020-11-16,61,PROJ
2020-11-17,76,PROJ
2020-11-18,88,PROJ
2020-11-19,56,PROJ
2020-11-20,45,PROJ
2020-11-21,47,PROJ
2020-11-22,37,PROJ
2020-11-23,52,PROJ
2020-11-24,55,PROJ
2020-11-25,63,PROJ
2020-11-26,56,PROJ
2020-11-27,46,PROJ
2020-11-28,35,PROJ
2020-11-29,28,PROJ
2020-11-30,53,PROJ
2020-12-01,45,PROJ
2020-12-02,68,PROJ
2020-12-03,60,PROJ
2020-12-04,54,PROJ
2020-12-05,38,PROJ
2020-12-06,23,PROJ
2020-12-07,52,PROJ
2020-12-08,35,PROJ
2020-12-09,64,PROJ
2020-12-10,57,PROJ
2020-12-11,42,PROJ
2020-12-12,27,PROJ
2020-12-13,45,PROJ
2020-12-14,53,PROJ
2020-12-15,50,PROJ
2020-12-16,48,PROJ
2020-12-17,60,PROJ
2020-12-18,40,PROJ
2020-12-19,29,PROJ
2020-12-20,29,PROJ
2020-12-21,41,PROJ
2020-12-22,52,PROJ
2020-12-23,56,PROJ
2020-12-24,22,PROJ
2020-12-25,21,PROJ
2020-12-26,20,PROJ
2020-12-27,23,PROJ
2020-12-28,31,PROJ
2020-12-29,44,PROJ
2020-12-30,50,PROJ
2020-12-31,44,PROJ
2021-01-01,27,PROJ
2021-01-02,34,PROJ
2021-01-03,24,PROJ
2021-01-04,47,PROJ
2021-01-05,52,PROJ
2021-01-06,57,PROJ
2021-01-07,36,PROJ
2021-01-08,36,PROJ
2021-01-09,32,PROJ
2021-01-10,21,PROJ
2021-01-11,76,PROJ
2021-01-12,37,PROJ
2021-01-13,95,PROJ
2021-01-14,48,PROJ
2021-01-15,41,PROJ
2021-01-16,25,PROJ
2021-01-17,22,PROJ
2021-01-18,38,PROJ
2021-01-19,31,PROJ
2021-01-20,56,PROJ
2021-01-21,55,PROJ
2021-01-22,41,PROJ
2021-01-23,23,PROJ
2021-01-24,18,PROJ
2021-01-25,62,PROJ
2021-01-26,66,PROJ
2021-01-27,61,PROJ
2021-01-28,47,PROJ
2021-01-29,52,PROJ
2021-01-30,33,PROJ
2021-01-31,46,PROJ
2021-02-01,72,PROJ
2021-02-02,80,PROJ
2021-02-03,113,PROJ
2021-02-04,46,PROJ
2021-02-05,50,PROJ
2021-02-06,44,PROJ
2021-02-07,28,PROJ
2021-02-08,53,PROJ
2021-02-09,63,PROJ
2021-02-10,60,PROJ
2021-02-11,66,PROJ
2021-02-12,47,PROJ
2021-02-13,37,PROJ
2021-02-14,17,PROJ
2021-02-15,53,PROJ
2021-02-16,47,PROJ
2021-02-17,64,PROJ
2021-02-18,69,PROJ
2021-02-19,68,PROJ
2021-02-20,31,PROJ
2021-02-21,37,PROJ
2021-02-22,65,PROJ
2021-02-23,42,PROJ
2021-02-24,96,PROJ
2021-02-25,54,PROJ
2021-02-26,56,PROJ
2021-02-27,33,PROJ
2021-02-28,27,PROJ
2021-03-01,40,PROJ
2021-03-02,55,PROJ
2021-03-03,74,PROJ
2021-03-04,59,PROJ
2021-03-05,53,PROJ
2021-03-06,34,PROJ
2021-03-07,37,PROJ
2021-03-08,52,PROJ
2021-03-09,50,PROJ
2021-03-10,63,PROJ
2021-03-11,47,PROJ
2021-03-12,48,PROJ
2021-03-13,43,PROJ
2021-03-14,34,PROJ
2021-03-15,61,PROJ
2021-03-16,55,PROJ
2021-03-17,64,PROJ
2021-03-18,54,PROJ
2021-03-19,35,PROJ
2021-03-20,27,PROJ
2021-03-21,17,PROJ
2021-03-22,51,PROJ
2021-03-23,31,PROJ
2021-03-24,55,PROJ
2021-03-25,28,PROJ
2021-03-26,70,PROJ
2021-03-27,24,PROJ
2021-03-28,39,PROJ
2021-03-29,57,PROJ
2021-03-30,71,PROJ
2021-03-31,50,PROJ
2021-04-01,47,PROJ
2021-04-02,28,PROJ
2021-04-03,44,PROJ
2021-04-04,24,PROJ
2021-04-05,53,PROJ
2021-04-06,32,PROJ
