date,count,package
2020-01-01,0,RCT
2020-01-02,0,RCT
2020-01-03,0,RCT
2020-01-04,0,RCT
2020-01-05,0,RCT
2020-01-06,0,RCT
2020-01-07,0,RCT
2020-01-08,0,RCT
2020-01-09,0,RCT
2020-01-10,0,RCT
2020-01-11,0,RCT
2020-01-12,0,RCT
2020-01-13,0,RCT
2020-01-14,0,RCT
2020-01-15,0,RCT
2020-01-16,0,RCT
2020-01-17,0,RCT
2020-01-18,0,RCT
2020-01-19,0,RCT
2020-01-20,0,RCT
2020-01-21,0,RCT
2020-01-22,0,RCT
2020-01-23,0,RCT
2020-01-24,0,RCT
2020-01-25,0,RCT
2020-01-26,0,RCT
2020-01-27,0,RCT
2020-01-28,0,RCT
2020-01-29,0,RCT
2020-01-30,0,RCT
2020-01-31,0,RCT
2020-02-01,0,RCT
2020-02-02,0,RCT
2020-02-03,0,RCT
2020-02-04,0,RCT
2020-02-05,0,RCT
2020-02-06,0,RCT
2020-02-07,0,RCT
2020-02-08,0,RCT
2020-02-09,0,RCT
2020-02-10,0,RCT
2020-02-11,0,RCT
2020-02-12,0,RCT
2020-02-13,0,RCT
2020-02-14,0,RCT
2020-02-15,0,RCT
2020-02-16,0,RCT
2020-02-17,0,RCT
2020-02-18,0,RCT
2020-02-19,0,RCT
2020-02-20,0,RCT
2020-02-21,0,RCT
2020-02-22,0,RCT
2020-02-23,0,RCT
2020-02-24,0,RCT
2020-02-25,0,RCT
2020-02-26,0,RCT
2020-02-27,0,RCT
2020-02-28,0,RCT
2020-02-29,0,RCT
2020-03-01,0,RCT
2020-03-02,0,RCT
2020-03-03,0,RCT
2020-03-04,0,RCT
2020-03-05,0,RCT
2020-03-06,0,RCT
2020-03-07,0,RCT
2020-03-08,0,RCT
2020-03-09,0,RCT
2020-03-10,0,RCT
2020-03-11,0,RCT
2020-03-12,0,RCT
2020-03-13,0,RCT
2020-03-14,0,RCT
2020-03-15,0,RCT
2020-03-16,0,RCT
2020-03-17,0,RCT
2020-03-18,0,RCT
2020-03-19,0,RCT
2020-03-20,0,RCT
2020-03-21,0,RCT
2020-03-22,0,RCT
2020-03-23,0,RCT
2020-03-24,0,RCT
2020-03-25,0,RCT
2020-03-26,0,RCT
2020-03-27,0,RCT
2020-03-28,0,RCT
2020-03-29,0,RCT
2020-03-30,0,RCT
2020-03-31,0,RCT
2020-04-01,0,RCT
2020-04-02,0,RCT
2020-04-03,5,RCT
2020-04-04,13,RCT
2020-04-05,10,RCT
2020-04-06,22,RCT
2020-04-07,22,RCT
2020-04-08,27,RCT
2020-04-09,18,RCT
2020-04-10,30,RCT
2020-04-11,8,RCT
2020-04-12,25,RCT
2020-04-13,20,RCT
2020-04-14,20,RCT
2020-04-15,40,RCT
2020-04-16,12,RCT
2020-04-17,39,RCT
2020-04-18,6,RCT
2020-04-19,2,RCT
2020-04-20,9,RCT
2020-04-21,11,RCT
2020-04-22,35,RCT
2020-04-23,12,RCT
2020-04-24,24,RCT
2020-04-25,20,RCT
2020-04-26,10,RCT
2020-04-27,15,RCT
2020-04-28,14,RCT
2020-04-29,31,RCT
2020-04-30,12,RCT
2020-05-01,14,RCT
2020-05-02,23,RCT
2020-05-03,15,RCT
2020-05-04,14,RCT
2020-05-05,16,RCT
2020-05-06,23,RCT
2020-05-07,22,RCT
2020-05-08,10,RCT
2020-05-09,20,RCT
2020-05-10,52,RCT
2020-05-11,34,RCT
2020-05-12,11,RCT
2020-05-13,41,RCT
2020-05-14,20,RCT
2020-05-15,26,RCT
2020-05-16,18,RCT
2020-05-17,32,RCT
2020-05-18,40,RCT
2020-05-19,42,RCT
2020-05-20,31,RCT
2020-05-21,19,RCT
2020-05-22,17,RCT
2020-05-23,15,RCT
2020-05-24,16,RCT
2020-05-25,16,RCT
2020-05-26,16,RCT
2020-05-27,20,RCT
2020-05-28,20,RCT
2020-05-29,26,RCT
2020-05-30,16,RCT
2020-05-31,16,RCT
2020-06-01,13,RCT
2020-06-02,12,RCT
2020-06-03,15,RCT
2020-06-04,13,RCT
2020-06-05,11,RCT
2020-06-06,9,RCT
2020-06-07,12,RCT
2020-06-08,15,RCT
2020-06-09,15,RCT
2020-06-10,23,RCT
2020-06-11,22,RCT
2020-06-12,10,RCT
2020-06-13,10,RCT
2020-06-14,14,RCT
2020-06-15,11,RCT
2020-06-16,11,RCT
2020-06-17,16,RCT
2020-06-18,30,RCT
2020-06-19,16,RCT
2020-06-20,7,RCT
2020-06-21,11,RCT
2020-06-22,14,RCT
2020-06-23,21,RCT
2020-06-24,24,RCT
2020-06-25,16,RCT
2020-06-26,17,RCT
2020-06-27,14,RCT
2020-06-28,15,RCT
2020-06-29,12,RCT
2020-06-30,7,RCT
2020-07-01,13,RCT
2020-07-02,13,RCT
2020-07-03,15,RCT
2020-07-04,9,RCT
2020-07-05,8,RCT
2020-07-06,11,RCT
2020-07-07,24,RCT
2020-07-08,21,RCT
2020-07-09,14,RCT
2020-07-10,9,RCT
2020-07-11,9,RCT
2020-07-12,15,RCT
2020-07-13,32,RCT
2020-07-14,17,RCT
2020-07-15,28,RCT
2020-07-16,12,RCT
2020-07-17,30,RCT
2020-07-18,25,RCT
2020-07-19,20,RCT
2020-07-20,33,RCT
2020-07-21,30,RCT
2020-07-22,31,RCT
2020-07-23,24,RCT
2020-07-24,25,RCT
2020-07-25,20,RCT
