date,count,package
2020-01-01,0,RTL
2020-01-02,0,RTL
2020-01-03,0,RTL
2020-01-04,0,RTL
2020-01-05,0,RTL
2020-01-06,0,RTL
2020-01-07,0,RTL
2020-01-08,0,RTL
2020-01-09,0,RTL
2020-01-10,0,RTL
2020-01-11,0,RTL
2020-01-12,0,RTL
2020-01-13,0,RTL
2020-01-14,0,RTL
2020-01-15,0,RTL
2020-01-16,0,RTL
2020-01-17,0,RTL
2020-01-18,0,RTL
2020-01-19,0,RTL
2020-01-20,0,RTL
2020-01-21,0,RTL
2020-01-22,0,RTL
2020-01-23,0,RTL
2020-01-24,0,RTL
2020-01-25,0,RTL
2020-01-26,0,RTL
2020-01-27,0,RTL
2020-01-28,0,RTL
2020-01-29,0,RTL
2020-01-30,0,RTL
2020-01-31,0,RTL
2020-02-01,0,RTL
2020-02-02,0,RTL
2020-02-03,0,RTL
2020-02-04,0,RTL
2020-02-05,0,RTL
2020-02-06,0,RTL
2020-02-07,0,RTL
2020-02-08,0,RTL
2020-02-09,0,RTL
2020-02-10,0,RTL
2020-02-11,0,RTL
2020-02-12,0,RTL
2020-02-13,0,RTL
2020-02-14,0,RTL
2020-02-15,0,RTL
2020-02-16,0,RTL
2020-02-17,0,RTL
2020-02-18,0,RTL
2020-02-19,0,RTL
2020-02-20,0,RTL
2020-02-21,0,RTL
2020-02-22,0,RTL
2020-02-23,1,RTL
2020-02-24,16,RTL
2020-02-25,13,RTL
2020-02-26,15,RTL
2020-02-27,36,RTL
2020-02-28,20,RTL
2020-02-29,4,RTL
2020-03-01,25,RTL
2020-03-02,14,RTL
2020-03-03,22,RTL
2020-03-04,26,RTL
2020-03-05,22,RTL
2020-03-06,26,RTL
2020-03-07,21,RTL
2020-03-08,15,RTL
2020-03-09,15,RTL
2020-03-10,16,RTL
2020-03-11,4,RTL
2020-03-12,22,RTL
2020-03-13,15,RTL
2020-03-14,12,RTL
2020-03-15,9,RTL
2020-03-16,18,RTL
2020-03-17,12,RTL
2020-03-18,4,RTL
2020-03-19,17,RTL
2020-03-20,19,RTL
2020-03-21,9,RTL
2020-03-22,6,RTL
2020-03-23,11,RTL
2020-03-24,6,RTL
2020-03-25,7,RTL
2020-03-26,7,RTL
2020-03-27,4,RTL
2020-03-28,6,RTL
2020-03-29,19,RTL
2020-03-30,18,RTL
2020-03-31,17,RTL
2020-04-01,9,RTL
2020-04-02,9,RTL
2020-04-03,13,RTL
2020-04-04,14,RTL
2020-04-05,12,RTL
2020-04-06,16,RTL
2020-04-07,15,RTL
2020-04-08,15,RTL
2020-04-09,15,RTL
2020-04-10,8,RTL
2020-04-11,6,RTL
2020-04-12,8,RTL
2020-04-13,5,RTL
2020-04-14,7,RTL
2020-04-15,16,RTL
2020-04-16,12,RTL
2020-04-17,24,RTL
2020-04-18,6,RTL
2020-04-19,2,RTL
2020-04-20,5,RTL
2020-04-21,8,RTL
2020-04-22,19,RTL
2020-04-23,6,RTL
2020-04-24,12,RTL
2020-04-25,25,RTL
2020-04-26,10,RTL
2020-04-27,18,RTL
2020-04-28,18,RTL
2020-04-29,28,RTL
2020-04-30,11,RTL
2020-05-01,15,RTL
2020-05-02,22,RTL
2020-05-03,14,RTL
2020-05-04,15,RTL
2020-05-05,18,RTL
2020-05-06,25,RTL
2020-05-07,23,RTL
2020-05-08,12,RTL
2020-05-09,21,RTL
2020-05-10,52,RTL
2020-05-11,36,RTL
2020-05-12,19,RTL
2020-05-13,15,RTL
2020-05-14,10,RTL
2020-05-15,14,RTL
2020-05-16,13,RTL
2020-05-17,13,RTL
2020-05-18,21,RTL
2020-05-19,18,RTL
2020-05-20,19,RTL
2020-05-21,9,RTL
2020-05-22,17,RTL
2020-05-23,14,RTL
2020-05-24,9,RTL
2020-05-25,9,RTL
2020-05-26,15,RTL
2020-05-27,13,RTL
2020-05-28,14,RTL
2020-05-29,22,RTL
2020-05-30,15,RTL
2020-05-31,14,RTL
2020-06-01,11,RTL
2020-06-02,13,RTL
2020-06-03,10,RTL
2020-06-04,10,RTL
2020-06-05,10,RTL
2020-06-06,9,RTL
2020-06-07,12,RTL
2020-06-08,30,RTL
2020-06-09,20,RTL
2020-06-10,31,RTL
2020-06-11,25,RTL
2020-06-12,20,RTL
2020-06-13,20,RTL
2020-06-14,13,RTL
2020-06-15,11,RTL
2020-06-16,10,RTL
2020-06-17,14,RTL
2020-06-18,18,RTL
2020-06-19,21,RTL
2020-06-20,7,RTL
2020-06-21,10,RTL
2020-06-22,17,RTL
2020-06-23,17,RTL
2020-06-24,17,RTL
2020-06-25,10,RTL
2020-06-26,14,RTL
2020-06-27,17,RTL
2020-06-28,14,RTL
2020-06-29,11,RTL
2020-06-30,9,RTL
2020-07-01,13,RTL
2020-07-02,12,RTL
2020-07-03,10,RTL
2020-07-04,9,RTL
2020-07-05,10,RTL
2020-07-06,10,RTL
2020-07-07,16,RTL
2020-07-08,18,RTL
2020-07-09,15,RTL
2020-07-10,10,RTL
2020-07-11,12,RTL
2020-07-12,19,RTL
2020-07-13,13,RTL
2020-07-14,12,RTL
2020-07-15,8,RTL
2020-07-16,8,RTL
2020-07-17,7,RTL
2020-07-18,11,RTL
2020-07-19,8,RTL
2020-07-20,9,RTL
2020-07-21,13,RTL
2020-07-22,12,RTL
2020-07-23,11,RTL
2020-07-24,11,RTL
2020-07-25,9,RTL
2020-07-26,10,RTL
2020-07-27,4,RTL
2020-07-28,4,RTL
2020-07-29,17,RTL
2020-07-30,6,RTL
2020-07-31,6,RTL
2020-08-01,1,RTL
2020-08-02,7,RTL
2020-08-03,12,RTL
2020-08-04,10,RTL
2020-08-05,13,RTL
2020-08-06,10,RTL
2020-08-07,22,RTL
2020-08-08,13,RTL
2020-08-09,12,RTL
2020-08-10,18,RTL
