date,count,package
2020-01-01,0,SSLR
2020-01-02,0,SSLR
2020-01-03,0,SSLR
2020-01-04,0,SSLR
2020-01-05,0,SSLR
2020-01-06,0,SSLR
2020-01-07,0,SSLR
2020-01-08,0,SSLR
2020-01-09,0,SSLR
2020-01-10,0,SSLR
2020-01-11,0,SSLR
2020-01-12,0,SSLR
2020-01-13,0,SSLR
2020-01-14,0,SSLR
2020-01-15,0,SSLR
2020-01-16,0,SSLR
2020-01-17,0,SSLR
2020-01-18,0,SSLR
2020-01-19,0,SSLR
2020-01-20,0,SSLR
2020-01-21,0,SSLR
2020-01-22,0,SSLR
2020-01-23,0,SSLR
2020-01-24,0,SSLR
2020-01-25,0,SSLR
2020-01-26,0,SSLR
2020-01-27,0,SSLR
2020-01-28,0,SSLR
2020-01-29,0,SSLR
2020-01-30,0,SSLR
2020-01-31,0,SSLR
2020-02-01,0,SSLR
2020-02-02,0,SSLR
2020-02-03,0,SSLR
2020-02-04,0,SSLR
2020-02-05,0,SSLR
2020-02-06,0,SSLR
2020-02-07,0,SSLR
2020-02-08,0,SSLR
2020-02-09,0,SSLR
2020-02-10,0,SSLR
2020-02-11,0,SSLR
2020-02-12,0,SSLR
2020-02-13,0,SSLR
2020-02-14,0,SSLR
2020-02-15,0,SSLR
2020-02-16,0,SSLR
2020-02-17,0,SSLR
2020-02-18,0,SSLR
2020-02-19,0,SSLR
2020-02-20,0,SSLR
2020-02-21,0,SSLR
2020-02-22,0,SSLR
2020-02-23,0,SSLR
2020-02-24,0,SSLR
2020-02-25,0,SSLR
2020-02-26,0,SSLR
2020-02-27,0,SSLR
2020-02-28,0,SSLR
2020-02-29,0,SSLR
2020-03-01,0,SSLR
2020-03-02,0,SSLR
2020-03-03,0,SSLR
2020-03-04,0,SSLR
2020-03-05,0,SSLR
2020-03-06,0,SSLR
2020-03-07,0,SSLR
2020-03-08,0,SSLR
2020-03-09,0,SSLR
2020-03-10,0,SSLR
2020-03-11,0,SSLR
2020-03-12,0,SSLR
2020-03-13,0,SSLR
2020-03-14,0,SSLR
2020-03-15,0,SSLR
2020-03-16,0,SSLR
2020-03-17,0,SSLR
2020-03-18,0,SSLR
2020-03-19,0,SSLR
2020-03-20,2,SSLR
2020-03-21,5,SSLR
2020-03-22,20,SSLR
2020-03-23,9,SSLR
2020-03-24,17,SSLR
2020-03-25,18,SSLR
2020-03-26,13,SSLR
2020-03-27,7,SSLR
2020-03-28,17,SSLR
2020-03-29,20,SSLR
2020-03-30,21,SSLR
2020-03-31,18,SSLR
2020-04-01,16,SSLR
2020-04-02,8,SSLR
2020-04-03,13,SSLR
2020-04-04,18,SSLR
2020-04-05,19,SSLR
2020-04-06,27,SSLR
2020-04-07,25,SSLR
2020-04-08,25,SSLR
2020-04-09,21,SSLR
2020-04-10,12,SSLR
2020-04-11,6,SSLR
2020-04-12,13,SSLR
2020-04-13,14,SSLR
2020-04-14,19,SSLR
2020-04-15,41,SSLR
2020-04-16,17,SSLR
2020-04-17,35,SSLR
2020-04-18,6,SSLR
2020-04-19,7,SSLR
2020-04-20,8,SSLR
2020-04-21,7,SSLR
2020-04-22,40,SSLR
2020-04-23,6,SSLR
2020-04-24,25,SSLR
2020-04-25,33,SSLR
2020-04-26,13,SSLR
2020-04-27,26,SSLR
2020-04-28,32,SSLR
2020-04-29,47,SSLR
2020-04-30,25,SSLR
2020-05-01,19,SSLR
2020-05-02,31,SSLR
2020-05-03,27,SSLR
2020-05-04,20,SSLR
2020-05-05,13,SSLR
2020-05-06,28,SSLR
2020-05-07,20,SSLR
2020-05-08,16,SSLR
2020-05-09,22,SSLR
2020-05-10,50,SSLR
2020-05-11,38,SSLR
2020-05-12,15,SSLR
2020-05-13,16,SSLR
2020-05-14,11,SSLR
2020-05-15,13,SSLR
2020-05-16,13,SSLR
2020-05-17,15,SSLR
2020-05-18,19,SSLR
2020-05-19,21,SSLR
2020-05-20,18,SSLR
2020-05-21,8,SSLR
2020-05-22,11,SSLR
2020-05-23,14,SSLR
2020-05-24,4,SSLR
2020-05-25,10,SSLR
2020-05-26,14,SSLR
2020-05-27,21,SSLR
2020-05-28,12,SSLR
2020-05-29,14,SSLR
