date,count,package
2020-01-01,0,agroclim
2020-01-02,0,agroclim
2020-01-03,0,agroclim
2020-01-04,0,agroclim
2020-01-05,0,agroclim
2020-01-06,0,agroclim
2020-01-07,0,agroclim
2020-01-08,0,agroclim
2020-01-09,0,agroclim
2020-01-10,0,agroclim
2020-01-11,0,agroclim
2020-01-12,0,agroclim
2020-01-13,0,agroclim
2020-01-14,0,agroclim
2020-01-15,0,agroclim
2020-01-16,0,agroclim
2020-01-17,0,agroclim
2020-01-18,0,agroclim
2020-01-19,0,agroclim
2020-01-20,0,agroclim
2020-01-21,0,agroclim
2020-01-22,0,agroclim
2020-01-23,0,agroclim
2020-01-24,0,agroclim
2020-01-25,0,agroclim
2020-01-26,0,agroclim
2020-01-27,0,agroclim
2020-01-28,0,agroclim
2020-01-29,0,agroclim
2020-01-30,0,agroclim
2020-01-31,0,agroclim
2020-02-01,0,agroclim
2020-02-02,0,agroclim
2020-02-03,0,agroclim
2020-02-04,0,agroclim
2020-02-05,0,agroclim
2020-02-06,0,agroclim
2020-02-07,0,agroclim
2020-02-08,0,agroclim
2020-02-09,0,agroclim
2020-02-10,0,agroclim
2020-02-11,0,agroclim
2020-02-12,0,agroclim
2020-02-13,0,agroclim
2020-02-14,0,agroclim
2020-02-15,0,agroclim
2020-02-16,0,agroclim
2020-02-17,0,agroclim
2020-02-18,0,agroclim
2020-02-19,0,agroclim
2020-02-20,0,agroclim
2020-02-21,0,agroclim
2020-02-22,0,agroclim
2020-02-23,0,agroclim
2020-02-24,0,agroclim
2020-02-25,0,agroclim
2020-02-26,0,agroclim
2020-02-27,0,agroclim
2020-02-28,0,agroclim
2020-02-29,0,agroclim
2020-03-01,0,agroclim
2020-03-02,0,agroclim
2020-03-03,0,agroclim
2020-03-04,0,agroclim
2020-03-05,0,agroclim
2020-03-06,0,agroclim
2020-03-07,0,agroclim
2020-03-08,0,agroclim
2020-03-09,0,agroclim
2020-03-10,0,agroclim
2020-03-11,0,agroclim
2020-03-12,0,agroclim
2020-03-13,0,agroclim
2020-03-14,0,agroclim
2020-03-15,0,agroclim
2020-03-16,0,agroclim
2020-03-17,0,agroclim
2020-03-18,0,agroclim
2020-03-19,0,agroclim
2020-03-20,7,agroclim
2020-03-21,15,agroclim
2020-03-22,18,agroclim
2020-03-23,13,agroclim
2020-03-24,18,agroclim
2020-03-25,31,agroclim
2020-03-26,21,agroclim
2020-03-27,25,agroclim
2020-03-28,21,agroclim
2020-03-29,29,agroclim
2020-03-30,35,agroclim
2020-03-31,33,agroclim
2020-04-01,25,agroclim
2020-04-02,18,agroclim
2020-04-03,27,agroclim
2020-04-04,29,agroclim
2020-04-05,27,agroclim
2020-04-06,35,agroclim
2020-04-07,44,agroclim
2020-04-08,42,agroclim
2020-04-09,29,agroclim
2020-04-10,17,agroclim
2020-04-11,14,agroclim
2020-04-12,16,agroclim
2020-04-13,15,agroclim
2020-04-14,17,agroclim
2020-04-15,24,agroclim
2020-04-16,18,agroclim
2020-04-17,24,agroclim
2020-04-18,9,agroclim
2020-04-19,8,agroclim
2020-04-20,10,agroclim
2020-04-21,13,agroclim
2020-04-22,30,agroclim
2020-04-23,9,agroclim
2020-04-24,20,agroclim
2020-04-25,38,agroclim
2020-04-26,13,agroclim
2020-04-27,21,agroclim
2020-04-28,30,agroclim
2020-04-29,37,agroclim
2020-04-30,25,agroclim
2020-05-01,27,agroclim
2020-05-02,23,agroclim
