date,count,package
2020-01-01,0,allestimates
2020-01-02,0,allestimates
2020-01-03,0,allestimates
2020-01-04,0,allestimates
2020-01-05,0,allestimates
2020-01-06,0,allestimates
2020-01-07,0,allestimates
2020-01-08,0,allestimates
2020-01-09,0,allestimates
2020-01-10,0,allestimates
2020-01-11,0,allestimates
2020-01-12,0,allestimates
2020-01-13,0,allestimates
2020-01-14,0,allestimates
2020-01-15,0,allestimates
2020-01-16,0,allestimates
2020-01-17,0,allestimates
2020-01-18,0,allestimates
2020-01-19,0,allestimates
2020-01-20,0,allestimates
2020-01-21,0,allestimates
2020-01-22,0,allestimates
2020-01-23,0,allestimates
2020-01-24,0,allestimates
2020-01-25,0,allestimates
2020-01-26,0,allestimates
2020-01-27,0,allestimates
2020-01-28,0,allestimates
2020-01-29,0,allestimates
2020-01-30,0,allestimates
2020-01-31,0,allestimates
2020-02-01,0,allestimates
2020-02-02,0,allestimates
2020-02-03,0,allestimates
2020-02-04,0,allestimates
2020-02-05,11,allestimates
2020-02-06,13,allestimates
2020-02-07,20,allestimates
2020-02-08,11,allestimates
2020-02-09,20,allestimates
2020-02-10,17,allestimates
2020-02-11,39,allestimates
2020-02-12,31,allestimates
2020-02-13,30,allestimates
2020-02-14,30,allestimates
2020-02-15,28,allestimates
2020-02-16,25,allestimates
2020-02-17,27,allestimates
2020-02-18,26,allestimates
2020-02-19,33,allestimates
2020-02-20,23,allestimates
2020-02-21,26,allestimates
2020-02-22,17,allestimates
2020-02-23,19,allestimates
2020-02-24,19,allestimates
2020-02-25,15,allestimates
2020-02-26,19,allestimates
2020-02-27,18,allestimates
2020-02-28,11,allestimates
2020-02-29,4,allestimates
2020-03-01,15,allestimates
2020-03-02,14,allestimates
2020-03-03,12,allestimates
2020-03-04,21,allestimates
2020-03-05,12,allestimates
2020-03-06,21,allestimates
2020-03-07,17,allestimates
2020-03-08,18,allestimates
2020-03-09,17,allestimates
2020-03-10,16,allestimates
2020-03-11,11,allestimates
2020-03-12,18,allestimates
2020-03-13,13,allestimates
2020-03-14,15,allestimates
2020-03-15,17,allestimates
2020-03-16,21,allestimates
2020-03-17,9,allestimates
2020-03-18,7,allestimates
2020-03-19,11,allestimates
2020-03-20,17,allestimates
2020-03-21,17,allestimates
2020-03-22,10,allestimates
2020-03-23,21,allestimates
2020-03-24,12,allestimates
2020-03-25,16,allestimates
2020-03-26,10,allestimates
2020-03-27,9,allestimates
2020-03-28,14,allestimates
2020-03-29,21,allestimates
2020-03-30,20,allestimates
2020-03-31,24,allestimates
2020-04-01,17,allestimates
2020-04-02,16,allestimates
2020-04-03,18,allestimates
2020-04-04,12,allestimates
2020-04-05,19,allestimates
2020-04-06,21,allestimates
2020-04-07,27,allestimates
2020-04-08,27,allestimates
2020-04-09,21,allestimates
2020-04-10,9,allestimates
2020-04-11,8,allestimates
2020-04-12,12,allestimates
2020-04-13,11,allestimates
2020-04-14,11,allestimates
2020-04-15,30,allestimates
2020-04-16,19,allestimates
2020-04-17,24,allestimates
2020-04-18,8,allestimates
2020-04-19,7,allestimates
2020-04-20,10,allestimates
2020-04-21,12,allestimates
2020-04-22,27,allestimates
2020-04-23,11,allestimates
2020-04-24,18,allestimates
2020-04-25,38,allestimates
2020-04-26,13,allestimates
2020-04-27,21,allestimates
2020-04-28,27,allestimates
2020-04-29,36,allestimates
2020-04-30,33,allestimates
2020-05-01,29,allestimates
2020-05-02,23,allestimates
2020-05-03,22,allestimates
2020-05-04,25,allestimates
2020-05-05,29,allestimates
2020-05-06,29,allestimates
2020-05-07,30,allestimates
2020-05-08,17,allestimates
2020-05-09,29,allestimates
2020-05-10,58,allestimates
2020-05-11,49,allestimates
2020-05-12,24,allestimates
2020-05-13,20,allestimates
2020-05-14,16,allestimates
2020-05-15,20,allestimates
2020-05-16,17,allestimates
2020-05-17,22,allestimates
2020-05-18,30,allestimates
2020-05-19,25,allestimates
2020-05-20,25,allestimates
2020-05-21,13,allestimates
2020-05-22,21,allestimates
2020-05-23,11,allestimates
2020-05-24,16,allestimates
2020-05-25,16,allestimates
2020-05-26,20,allestimates
2020-05-27,25,allestimates
2020-05-28,30,allestimates
2020-05-29,17,allestimates
2020-05-30,20,allestimates
2020-05-31,16,allestimates
2020-06-01,19,allestimates
2020-06-02,84,allestimates
2020-06-03,16,allestimates
2020-06-04,16,allestimates
2020-06-05,19,allestimates
2020-06-06,14,allestimates
2020-06-07,22,allestimates
2020-06-08,27,allestimates
2020-06-09,24,allestimates
2020-06-10,34,allestimates
2020-06-11,29,allestimates
2020-06-12,16,allestimates
2020-06-13,17,allestimates
2020-06-14,16,allestimates
2020-06-15,21,allestimates
2020-06-16,26,allestimates
2020-06-17,20,allestimates
2020-06-18,31,allestimates
2020-06-19,23,allestimates
2020-06-20,13,allestimates
2020-06-21,20,allestimates
2020-06-22,20,allestimates
2020-06-23,32,allestimates
2020-06-24,21,allestimates
2020-06-25,16,allestimates
2020-06-26,18,allestimates
2020-06-27,16,allestimates
2020-06-28,16,allestimates
2020-06-29,21,allestimates
2020-06-30,12,allestimates
2020-07-01,16,allestimates
2020-07-02,18,allestimates
2020-07-03,18,allestimates
2020-07-04,16,allestimates
2020-07-05,15,allestimates
2020-07-06,20,allestimates
2020-07-07,31,allestimates
2020-07-08,15,allestimates
2020-07-09,30,allestimates
2020-07-10,25,allestimates
2020-07-11,25,allestimates
2020-07-12,37,allestimates
2020-07-13,27,allestimates
2020-07-14,32,allestimates
2020-07-15,30,allestimates
2020-07-16,18,allestimates
2020-07-17,37,allestimates
2020-07-18,36,allestimates
2020-07-19,33,allestimates
2020-07-20,38,allestimates
2020-07-21,40,allestimates
2020-07-22,43,allestimates
2020-07-23,36,allestimates
2020-07-24,36,allestimates
2020-07-25,37,allestimates
2020-07-26,37,allestimates
2020-07-27,30,allestimates
2020-07-28,22,allestimates
2020-07-29,17,allestimates
2020-07-30,19,allestimates
2020-07-31,12,allestimates
2020-08-01,10,allestimates
2020-08-02,14,allestimates
2020-08-03,25,allestimates
2020-08-04,26,allestimates
2020-08-05,28,allestimates
2020-08-06,28,allestimates
2020-08-07,28,allestimates
2020-08-08,26,allestimates
2020-08-09,22,allestimates
2020-08-10,30,allestimates
2020-08-11,19,allestimates
2020-08-12,34,allestimates
2020-08-13,29,allestimates
2020-08-14,28,allestimates
2020-08-15,15,allestimates
2020-08-16,16,allestimates
2020-08-17,17,allestimates
2020-08-18,27,allestimates
2020-08-19,25,allestimates
2020-08-20,19,allestimates
2020-08-21,22,allestimates
2020-08-22,16,allestimates
2020-08-23,13,allestimates
2020-08-24,24,allestimates
2020-08-25,21,allestimates
2020-08-26,28,allestimates
2020-08-27,23,allestimates
2020-08-28,17,allestimates
2020-08-29,22,allestimates
2020-08-30,21,allestimates
2020-08-31,27,allestimates
2020-09-01,22,allestimates
2020-09-02,27,allestimates
2020-09-03,18,allestimates
2020-09-04,16,allestimates
2020-09-05,24,allestimates
2020-09-06,26,allestimates
2020-09-07,41,allestimates
2020-09-08,34,allestimates
2020-09-09,36,allestimates
2020-09-10,22,allestimates
2020-09-11,32,allestimates
2020-09-12,32,allestimates
