date,count,package
2020-01-01,0,alookr
2020-01-02,0,alookr
2020-01-03,0,alookr
2020-01-04,0,alookr
2020-01-05,0,alookr
2020-01-06,0,alookr
2020-01-07,0,alookr
2020-01-08,0,alookr
2020-01-09,0,alookr
2020-01-10,0,alookr
2020-01-11,0,alookr
2020-01-12,0,alookr
2020-01-13,0,alookr
2020-01-14,0,alookr
2020-01-15,0,alookr
2020-01-16,0,alookr
2020-01-17,0,alookr
2020-01-18,0,alookr
2020-01-19,0,alookr
2020-01-20,0,alookr
2020-01-21,0,alookr
2020-01-22,0,alookr
2020-01-23,0,alookr
2020-01-24,0,alookr
2020-01-25,0,alookr
2020-01-26,0,alookr
2020-01-27,0,alookr
2020-01-28,0,alookr
2020-01-29,0,alookr
2020-01-30,0,alookr
2020-01-31,0,alookr
2020-02-01,0,alookr
2020-02-02,0,alookr
2020-02-03,0,alookr
2020-02-04,0,alookr
2020-02-05,0,alookr
2020-02-06,0,alookr
2020-02-07,0,alookr
2020-02-08,0,alookr
2020-02-09,0,alookr
2020-02-10,0,alookr
2020-02-11,0,alookr
2020-02-12,0,alookr
2020-02-13,0,alookr
2020-02-14,0,alookr
2020-02-15,0,alookr
2020-02-16,0,alookr
2020-02-17,0,alookr
2020-02-18,0,alookr
2020-02-19,0,alookr
2020-02-20,0,alookr
2020-02-21,0,alookr
2020-02-22,0,alookr
2020-02-23,0,alookr
2020-02-24,0,alookr
2020-02-25,0,alookr
2020-02-26,0,alookr
2020-02-27,0,alookr
2020-02-28,0,alookr
2020-02-29,0,alookr
2020-03-01,0,alookr
2020-03-02,0,alookr
2020-03-03,0,alookr
2020-03-04,0,alookr
2020-03-05,0,alookr
2020-03-06,0,alookr
2020-03-07,0,alookr
2020-03-08,0,alookr
2020-03-09,0,alookr
2020-03-10,0,alookr
2020-03-11,0,alookr
2020-03-12,0,alookr
2020-03-13,0,alookr
2020-03-14,0,alookr
2020-03-15,0,alookr
2020-03-16,0,alookr
2020-03-17,0,alookr
2020-03-18,0,alookr
2020-03-19,0,alookr
2020-03-20,13,alookr
2020-03-21,13,alookr
2020-03-22,18,alookr
2020-03-23,16,alookr
2020-03-24,19,alookr
2020-03-25,33,alookr
2020-03-26,21,alookr
2020-03-27,18,alookr
2020-03-28,26,alookr
2020-03-29,31,alookr
2020-03-30,29,alookr
2020-03-31,29,alookr
2020-04-01,24,alookr
2020-04-02,16,alookr
2020-04-03,25,alookr
2020-04-04,17,alookr
2020-04-05,29,alookr
2020-04-06,31,alookr
2020-04-07,39,alookr
2020-04-08,36,alookr
2020-04-09,26,alookr
2020-04-10,13,alookr
2020-04-11,9,alookr
2020-04-12,11,alookr
2020-04-13,12,alookr
2020-04-14,11,alookr
2020-04-15,23,alookr
2020-04-16,21,alookr
2020-04-17,31,alookr
2020-04-18,9,alookr
2020-04-19,7,alookr
2020-04-20,10,alookr
2020-04-21,12,alookr
2020-04-22,27,alookr
2020-04-23,11,alookr
2020-04-24,18,alookr
2020-04-25,39,alookr
2020-04-26,14,alookr
2020-04-27,21,alookr
2020-04-28,26,alookr
2020-04-29,37,alookr
2020-04-30,28,alookr
2020-05-01,30,alookr
2020-05-02,26,alookr
2020-05-03,22,alookr
2020-05-04,24,alookr
2020-05-05,29,alookr
2020-05-06,34,alookr
2020-05-07,36,alookr
2020-05-08,20,alookr
2020-05-09,30,alookr
2020-05-10,62,alookr
2020-05-11,53,alookr
2020-05-12,28,alookr
2020-05-13,22,alookr
2020-05-14,23,alookr
2020-05-15,24,alookr
2020-05-16,22,alookr
2020-05-17,25,alookr
2020-05-18,29,alookr
2020-05-19,28,alookr
2020-05-20,27,alookr
2020-05-21,15,alookr
2020-05-22,25,alookr
2020-05-23,13,alookr
2020-05-24,19,alookr
2020-05-25,20,alookr
2020-05-26,23,alookr
2020-05-27,21,alookr
2020-05-28,31,alookr
2020-05-29,24,alookr
2020-05-30,29,alookr
2020-05-31,19,alookr
2020-06-01,22,alookr
2020-06-02,82,alookr
2020-06-03,18,alookr
2020-06-04,20,alookr
2020-06-05,23,alookr
2020-06-06,19,alookr
2020-06-07,39,alookr
2020-06-08,50,alookr
2020-06-09,45,alookr
2020-06-10,54,alookr
2020-06-11,49,alookr
2020-06-12,36,alookr
2020-06-13,42,alookr
2020-06-14,30,alookr
2020-06-15,30,alookr
2020-06-16,23,alookr
2020-06-17,28,alookr
2020-06-18,42,alookr
2020-06-19,27,alookr
2020-06-20,29,alookr
2020-06-21,24,alookr
2020-06-22,29,alookr
2020-06-23,31,alookr
2020-06-24,27,alookr
2020-06-25,22,alookr
2020-06-26,24,alookr
2020-06-27,30,alookr
2020-06-28,26,alookr
2020-06-29,24,alookr
2020-06-30,25,alookr
2020-07-01,31,alookr
2020-07-02,24,alookr
2020-07-03,24,alookr
2020-07-04,20,alookr
2020-07-05,16,alookr
2020-07-06,22,alookr
2020-07-07,32,alookr
2020-07-08,25,alookr
2020-07-09,27,alookr
2020-07-10,29,alookr
2020-07-11,19,alookr
2020-07-12,30,alookr
2020-07-13,29,alookr
2020-07-14,30,alookr
2020-07-15,23,alookr
2020-07-16,18,alookr
2020-07-17,20,alookr
2020-07-18,18,alookr
2020-07-19,22,alookr
2020-07-20,19,alookr
2020-07-21,25,alookr
2020-07-22,30,alookr
2020-07-23,26,alookr
2020-07-24,29,alookr
2020-07-25,18,alookr
2020-07-26,23,alookr
2020-07-27,24,alookr
2020-07-28,21,alookr
2020-07-29,21,alookr
2020-07-30,16,alookr
2020-07-31,12,alookr
2020-08-01,5,alookr
2020-08-02,8,alookr
2020-08-03,18,alookr
2020-08-04,24,alookr
2020-08-05,24,alookr
2020-08-06,29,alookr
2020-08-07,25,alookr
2020-08-08,18,alookr
2020-08-09,22,alookr
2020-08-10,25,alookr
2020-08-11,19,alookr
2020-08-12,24,alookr
2020-08-13,24,alookr
2020-08-14,28,alookr
2020-08-15,12,alookr
2020-08-16,14,alookr
2020-08-17,21,alookr
2020-08-18,24,alookr
2020-08-19,21,alookr
2020-08-20,21,alookr
2020-08-21,17,alookr
2020-08-22,13,alookr
2020-08-23,13,alookr
2020-08-24,19,alookr
2020-08-25,19,alookr
2020-08-26,20,alookr
2020-08-27,18,alookr
2020-08-28,16,alookr
2020-08-29,19,alookr
2020-08-30,13,alookr
2020-08-31,19,alookr
2020-09-01,19,alookr
2020-09-02,28,alookr
2020-09-03,13,alookr
2020-09-04,17,alookr
2020-09-05,26,alookr
2020-09-06,24,alookr
2020-09-07,36,alookr
2020-09-08,32,alookr
2020-09-09,31,alookr
