date,count,package
2020-01-01,0,bahc
2020-01-02,0,bahc
2020-01-03,0,bahc
2020-01-04,0,bahc
2020-01-05,0,bahc
2020-01-06,0,bahc
2020-01-07,0,bahc
2020-01-08,0,bahc
2020-01-09,0,bahc
2020-01-10,0,bahc
2020-01-11,0,bahc
2020-01-12,0,bahc
2020-01-13,0,bahc
2020-01-14,0,bahc
2020-01-15,0,bahc
2020-01-16,0,bahc
2020-01-17,0,bahc
2020-01-18,0,bahc
2020-01-19,0,bahc
2020-01-20,0,bahc
2020-01-21,0,bahc
2020-01-22,0,bahc
2020-01-23,0,bahc
2020-01-24,0,bahc
2020-01-25,0,bahc
2020-01-26,0,bahc
2020-01-27,0,bahc
2020-01-28,0,bahc
2020-01-29,0,bahc
2020-01-30,0,bahc
2020-01-31,0,bahc
2020-02-01,0,bahc
2020-02-02,0,bahc
2020-02-03,0,bahc
2020-02-04,0,bahc
2020-02-05,0,bahc
2020-02-06,0,bahc
2020-02-07,0,bahc
2020-02-08,0,bahc
2020-02-09,0,bahc
2020-02-10,0,bahc
2020-02-11,0,bahc
2020-02-12,0,bahc
2020-02-13,0,bahc
2020-02-14,0,bahc
2020-02-15,0,bahc
2020-02-16,0,bahc
2020-02-17,0,bahc
2020-02-18,0,bahc
2020-02-19,0,bahc
2020-02-20,0,bahc
2020-02-21,0,bahc
2020-02-22,0,bahc
2020-02-23,0,bahc
2020-02-24,0,bahc
2020-02-25,0,bahc
2020-02-26,0,bahc
2020-02-27,0,bahc
2020-02-28,0,bahc
2020-02-29,0,bahc
2020-03-01,0,bahc
2020-03-02,0,bahc
2020-03-03,0,bahc
2020-03-04,0,bahc
2020-03-05,0,bahc
2020-03-06,0,bahc
2020-03-07,0,bahc
2020-03-08,0,bahc
2020-03-09,0,bahc
2020-03-10,0,bahc
2020-03-11,0,bahc
2020-03-12,0,bahc
2020-03-13,0,bahc
2020-03-14,0,bahc
2020-03-15,0,bahc
2020-03-16,0,bahc
2020-03-17,0,bahc
2020-03-18,0,bahc
2020-03-19,7,bahc
2020-03-20,16,bahc
2020-03-21,28,bahc
2020-03-22,17,bahc
2020-03-23,19,bahc
2020-03-24,16,bahc
2020-03-25,27,bahc
2020-03-26,20,bahc
2020-03-27,15,bahc
2020-03-28,22,bahc
2020-03-29,26,bahc
2020-03-30,27,bahc
2020-03-31,22,bahc
2020-04-01,19,bahc
2020-04-02,17,bahc
2020-04-03,19,bahc
2020-04-04,20,bahc
2020-04-05,21,bahc
2020-04-06,28,bahc
2020-04-07,31,bahc
2020-04-08,29,bahc
2020-04-09,22,bahc
2020-04-10,13,bahc
2020-04-11,7,bahc
2020-04-12,11,bahc
2020-04-13,12,bahc
2020-04-14,11,bahc
2020-04-15,22,bahc
2020-04-16,10,bahc
2020-04-17,24,bahc
2020-04-18,7,bahc
2020-04-19,6,bahc
2020-04-20,23,bahc
2020-04-21,8,bahc
2020-04-22,28,bahc
2020-04-23,9,bahc
2020-04-24,16,bahc
2020-04-25,35,bahc
2020-04-26,12,bahc
2020-04-27,19,bahc
2020-04-28,26,bahc
2020-04-29,35,bahc
2020-04-30,22,bahc
2020-05-01,26,bahc
2020-05-02,22,bahc
2020-05-03,22,bahc
2020-05-04,23,bahc
2020-05-05,17,bahc
2020-05-06,33,bahc
2020-05-07,27,bahc
2020-05-08,16,bahc
2020-05-09,26,bahc
2020-05-10,58,bahc
2020-05-11,48,bahc
2020-05-12,21,bahc
2020-05-13,17,bahc
2020-05-14,16,bahc
2020-05-15,29,bahc
2020-05-16,24,bahc
2020-05-17,46,bahc
2020-05-18,38,bahc
2020-05-19,38,bahc
2020-05-20,39,bahc
2020-05-21,26,bahc
2020-05-22,34,bahc
2020-05-23,24,bahc
2020-05-24,30,bahc
2020-05-25,31,bahc
2020-05-26,26,bahc
2020-05-27,30,bahc
2020-05-28,24,bahc
2020-05-29,25,bahc
2020-05-30,25,bahc
2020-05-31,30,bahc
2020-06-01,22,bahc
2020-06-02,26,bahc
2020-06-03,23,bahc
2020-06-04,16,bahc
