date,count,package
2020-01-01,0,bbreg
2020-01-02,0,bbreg
2020-01-03,0,bbreg
2020-01-04,0,bbreg
2020-01-05,0,bbreg
2020-01-06,0,bbreg
2020-01-07,0,bbreg
2020-01-08,0,bbreg
2020-01-09,0,bbreg
2020-01-10,0,bbreg
2020-01-11,0,bbreg
2020-01-12,0,bbreg
2020-01-13,0,bbreg
2020-01-14,0,bbreg
2020-01-15,0,bbreg
2020-01-16,0,bbreg
2020-01-17,0,bbreg
2020-01-18,0,bbreg
2020-01-19,0,bbreg
2020-01-20,0,bbreg
2020-01-21,0,bbreg
2020-01-22,0,bbreg
2020-01-23,0,bbreg
2020-01-24,0,bbreg
2020-01-25,0,bbreg
2020-01-26,0,bbreg
2020-01-27,0,bbreg
2020-01-28,0,bbreg
2020-01-29,0,bbreg
2020-01-30,0,bbreg
2020-01-31,0,bbreg
2020-02-01,0,bbreg
2020-02-02,0,bbreg
2020-02-03,0,bbreg
2020-02-04,0,bbreg
2020-02-05,0,bbreg
2020-02-06,0,bbreg
2020-02-07,0,bbreg
2020-02-08,0,bbreg
2020-02-09,0,bbreg
2020-02-10,0,bbreg
2020-02-11,0,bbreg
2020-02-12,0,bbreg
2020-02-13,0,bbreg
2020-02-14,0,bbreg
2020-02-15,0,bbreg
2020-02-16,0,bbreg
2020-02-17,0,bbreg
2020-02-18,0,bbreg
2020-02-19,0,bbreg
2020-02-20,0,bbreg
2020-02-21,0,bbreg
2020-02-22,0,bbreg
2020-02-23,0,bbreg
2020-02-24,0,bbreg
2020-02-25,0,bbreg
2020-02-26,0,bbreg
2020-02-27,0,bbreg
2020-02-28,0,bbreg
2020-02-29,0,bbreg
2020-03-01,0,bbreg
2020-03-02,0,bbreg
2020-03-03,0,bbreg
2020-03-04,0,bbreg
2020-03-05,0,bbreg
2020-03-06,0,bbreg
2020-03-07,0,bbreg
2020-03-08,0,bbreg
2020-03-09,0,bbreg
2020-03-10,0,bbreg
2020-03-11,0,bbreg
2020-03-12,0,bbreg
2020-03-13,0,bbreg
2020-03-14,0,bbreg
2020-03-15,0,bbreg
2020-03-16,0,bbreg
2020-03-17,0,bbreg
2020-03-18,0,bbreg
2020-03-19,0,bbreg
2020-03-20,5,bbreg
2020-03-21,9,bbreg
2020-03-22,18,bbreg
2020-03-23,11,bbreg
2020-03-24,19,bbreg
2020-03-25,31,bbreg
2020-03-26,20,bbreg
2020-03-27,17,bbreg
2020-03-28,24,bbreg
2020-03-29,35,bbreg
2020-03-30,29,bbreg
2020-03-31,24,bbreg
2020-04-01,16,bbreg
2020-04-02,18,bbreg
2020-04-03,23,bbreg
2020-04-04,23,bbreg
2020-04-05,26,bbreg
2020-04-06,30,bbreg
2020-04-07,35,bbreg
2020-04-08,30,bbreg
2020-04-09,27,bbreg
2020-04-10,12,bbreg
2020-04-11,8,bbreg
2020-04-12,13,bbreg
2020-04-13,12,bbreg
2020-04-14,12,bbreg
2020-04-15,21,bbreg
2020-04-16,20,bbreg
2020-04-17,23,bbreg
2020-04-18,7,bbreg
2020-04-19,14,bbreg
2020-04-20,7,bbreg
2020-04-21,8,bbreg
2020-04-22,30,bbreg
2020-04-23,8,bbreg
2020-04-24,17,bbreg
2020-04-25,34,bbreg
2020-04-26,15,bbreg
2020-04-27,19,bbreg
2020-04-28,26,bbreg
2020-04-29,35,bbreg
2020-04-30,29,bbreg
2020-05-01,28,bbreg
2020-05-02,23,bbreg
2020-05-03,21,bbreg
2020-05-04,22,bbreg
2020-05-05,22,bbreg
2020-05-06,29,bbreg
2020-05-07,29,bbreg
2020-05-08,17,bbreg
2020-05-09,26,bbreg
2020-05-10,56,bbreg
2020-05-11,48,bbreg
2020-05-12,18,bbreg
2020-05-13,20,bbreg
2020-05-14,17,bbreg
2020-05-15,17,bbreg
2020-05-16,18,bbreg
2020-05-17,19,bbreg
2020-05-18,29,bbreg
2020-05-19,19,bbreg
2020-05-20,21,bbreg
2020-05-21,14,bbreg
2020-05-22,20,bbreg
2020-05-23,10,bbreg
2020-05-24,15,bbreg
2020-05-25,15,bbreg
2020-05-26,30,bbreg
2020-05-27,19,bbreg
2020-05-28,18,bbreg
2020-05-29,12,bbreg
2020-05-30,17,bbreg
2020-05-31,23,bbreg
2020-06-01,20,bbreg
2020-06-02,22,bbreg
2020-06-03,19,bbreg
2020-06-04,14,bbreg
2020-06-05,16,bbreg
2020-06-06,14,bbreg
2020-06-07,27,bbreg
2020-06-08,21,bbreg
2020-06-09,19,bbreg
2020-06-10,27,bbreg
2020-06-11,21,bbreg
2020-06-12,17,bbreg
2020-06-13,23,bbreg
2020-06-14,17,bbreg
2020-06-15,16,bbreg
2020-06-16,22,bbreg
2020-06-17,18,bbreg
2020-06-18,31,bbreg
2020-06-19,27,bbreg
2020-06-20,16,bbreg
2020-06-21,18,bbreg
2020-06-22,19,bbreg
2020-06-23,21,bbreg
2020-06-24,16,bbreg
2020-06-25,19,bbreg
2020-06-26,16,bbreg
2020-06-27,16,bbreg
2020-06-28,14,bbreg
2020-06-29,20,bbreg
2020-06-30,10,bbreg
2020-07-01,26,bbreg
2020-07-02,17,bbreg
2020-07-03,18,bbreg
2020-07-04,15,bbreg
2020-07-05,11,bbreg
2020-07-06,17,bbreg
2020-07-07,24,bbreg
2020-07-08,12,bbreg
2020-07-09,17,bbreg
2020-07-10,18,bbreg
2020-07-11,12,bbreg
2020-07-12,21,bbreg
2020-07-13,22,bbreg
2020-07-14,22,bbreg
2020-07-15,18,bbreg
2020-07-16,16,bbreg
2020-07-17,22,bbreg
2020-07-18,21,bbreg
2020-07-19,19,bbreg
2020-07-20,18,bbreg
2020-07-21,24,bbreg
2020-07-22,19,bbreg
2020-07-23,18,bbreg
2020-07-24,21,bbreg
2020-07-25,18,bbreg
2020-07-26,16,bbreg
2020-07-27,15,bbreg
2020-07-28,15,bbreg
2020-07-29,13,bbreg
2020-07-30,15,bbreg
2020-07-31,8,bbreg
2020-08-01,3,bbreg
2020-08-02,4,bbreg
2020-08-03,16,bbreg
2020-08-04,19,bbreg
2020-08-05,26,bbreg
2020-08-06,26,bbreg
2020-08-07,23,bbreg
2020-08-08,17,bbreg
2020-08-09,17,bbreg
2020-08-10,25,bbreg
2020-08-11,15,bbreg
2020-08-12,18,bbreg
2020-08-13,24,bbreg
2020-08-14,19,bbreg
2020-08-15,12,bbreg
2020-08-16,24,bbreg
2020-08-17,15,bbreg
2020-08-18,20,bbreg
2020-08-19,16,bbreg
2020-08-20,13,bbreg
2020-08-21,15,bbreg
2020-08-22,13,bbreg
2020-08-23,12,bbreg
2020-08-24,17,bbreg
2020-08-25,22,bbreg
2020-08-26,15,bbreg
2020-08-27,15,bbreg
2020-08-28,21,bbreg
2020-08-29,16,bbreg
2020-08-30,12,bbreg
2020-08-31,16,bbreg
2020-09-01,19,bbreg
2020-09-02,20,bbreg
2020-09-03,15,bbreg
2020-09-04,13,bbreg
2020-09-05,17,bbreg
2020-09-06,18,bbreg
2020-09-07,26,bbreg
2020-09-08,31,bbreg
2020-09-09,34,bbreg
2020-09-10,17,bbreg
2020-09-11,29,bbreg
2020-09-12,31,bbreg
2020-09-13,23,bbreg
2020-09-14,34,bbreg
2020-09-15,22,bbreg
2020-09-16,15,bbreg
2020-09-17,34,bbreg
2020-09-18,25,bbreg
2020-09-19,15,bbreg
2020-09-20,17,bbreg
2020-09-21,29,bbreg
2020-09-22,30,bbreg
2020-09-23,18,bbreg
2020-09-24,12,bbreg
2020-09-25,12,bbreg
2020-09-26,13,bbreg
2020-09-27,15,bbreg
2020-09-28,22,bbreg
2020-09-29,22,bbreg
2020-09-30,28,bbreg
2020-10-01,21,bbreg
2020-10-02,23,bbreg
2020-10-03,22,bbreg
2020-10-04,18,bbreg
2020-10-05,16,bbreg
2020-10-06,13,bbreg
2020-10-07,14,bbreg
2020-10-08,12,bbreg
2020-10-09,14,bbreg
2020-10-10,17,bbreg
2020-10-11,13,bbreg
2020-10-12,14,bbreg
2020-10-13,16,bbreg
2020-10-14,16,bbreg
2020-10-15,16,bbreg
2020-10-16,16,bbreg
2020-10-17,2,bbreg
2020-10-18,15,bbreg
2020-10-19,20,bbreg
2020-10-20,21,bbreg
2020-10-21,17,bbreg
2020-10-22,21,bbreg
2020-10-23,14,bbreg
2020-10-24,16,bbreg
2020-10-25,11,bbreg
2020-10-26,19,bbreg
2020-10-27,21,bbreg
2020-10-28,18,bbreg
2020-10-29,31,bbreg
2020-10-30,11,bbreg
2020-10-31,12,bbreg
2020-11-01,12,bbreg
2020-11-02,13,bbreg
2020-11-03,24,bbreg
2020-11-04,7,bbreg
2020-11-05,30,bbreg
2020-11-06,17,bbreg
2020-11-07,21,bbreg
2020-11-08,21,bbreg
2020-11-09,19,bbreg
2020-11-10,17,bbreg
2020-11-11,23,bbreg
2020-11-12,17,bbreg
2020-11-13,15,bbreg
2020-11-14,11,bbreg
2020-11-15,16,bbreg
2020-11-16,16,bbreg
2020-11-17,17,bbreg
2020-11-18,18,bbreg
2020-11-19,14,bbreg
2020-11-20,17,bbreg
2020-11-21,13,bbreg
2020-11-22,12,bbreg
2020-11-23,16,bbreg
2020-11-24,20,bbreg
2020-11-25,23,bbreg
2020-11-26,8,bbreg
2020-11-27,17,bbreg
2020-11-28,13,bbreg
2020-11-29,17,bbreg
2020-11-30,28,bbreg
2020-12-01,31,bbreg
2020-12-02,61,bbreg
2020-12-03,56,bbreg
2020-12-04,33,bbreg
2020-12-05,38,bbreg
2020-12-06,30,bbreg
2020-12-07,27,bbreg
2020-12-08,13,bbreg
2020-12-09,39,bbreg
2020-12-10,19,bbreg
2020-12-11,28,bbreg
2020-12-12,25,bbreg
2020-12-13,21,bbreg
2020-12-14,18,bbreg
2020-12-15,18,bbreg
2020-12-16,19,bbreg
2020-12-17,21,bbreg
2020-12-18,22,bbreg
2020-12-19,20,bbreg
2020-12-20,16,bbreg
2020-12-21,22,bbreg
2020-12-22,42,bbreg
2020-12-23,39,bbreg
2020-12-24,16,bbreg
2020-12-25,15,bbreg
2020-12-26,15,bbreg
2020-12-27,14,bbreg
2020-12-28,24,bbreg
2020-12-29,19,bbreg
2020-12-30,22,bbreg
2020-12-31,16,bbreg
2021-01-01,23,bbreg
2021-01-02,14,bbreg
2021-01-03,18,bbreg
2021-01-04,16,bbreg
2021-01-05,19,bbreg
2021-01-06,31,bbreg
2021-01-07,20,bbreg
2021-01-08,17,bbreg
2021-01-09,15,bbreg
2021-01-10,17,bbreg
2021-01-11,24,bbreg
2021-01-12,19,bbreg
2021-01-13,20,bbreg
2021-01-14,27,bbreg
2021-01-15,18,bbreg
2021-01-16,13,bbreg
2021-01-17,13,bbreg
2021-01-18,17,bbreg
2021-01-19,22,bbreg
2021-01-20,20,bbreg
2021-01-21,15,bbreg
2021-01-22,7,bbreg
2021-01-23,17,bbreg
2021-01-24,5,bbreg
2021-01-25,22,bbreg
2021-01-26,11,bbreg
2021-01-27,29,bbreg
2021-01-28,9,bbreg
2021-01-29,20,bbreg
2021-01-30,20,bbreg
2021-01-31,15,bbreg
