date,count,package
2020-01-01,0,binomialRF
2020-01-02,0,binomialRF
2020-01-03,0,binomialRF
2020-01-04,0,binomialRF
2020-01-05,0,binomialRF
2020-01-06,0,binomialRF
2020-01-07,0,binomialRF
2020-01-08,0,binomialRF
2020-01-09,0,binomialRF
2020-01-10,0,binomialRF
2020-01-11,0,binomialRF
2020-01-12,0,binomialRF
2020-01-13,0,binomialRF
2020-01-14,0,binomialRF
2020-01-15,0,binomialRF
2020-01-16,0,binomialRF
2020-01-17,0,binomialRF
2020-01-18,0,binomialRF
2020-01-19,0,binomialRF
2020-01-20,0,binomialRF
2020-01-21,0,binomialRF
2020-01-22,0,binomialRF
2020-01-23,0,binomialRF
2020-01-24,0,binomialRF
2020-01-25,0,binomialRF
2020-01-26,0,binomialRF
2020-01-27,0,binomialRF
2020-01-28,0,binomialRF
2020-01-29,0,binomialRF
2020-01-30,0,binomialRF
2020-01-31,10,binomialRF
2020-02-01,20,binomialRF
2020-02-02,27,binomialRF
2020-02-03,20,binomialRF
2020-02-04,32,binomialRF
2020-02-05,35,binomialRF
2020-02-06,35,binomialRF
2020-02-07,31,binomialRF
2020-02-08,33,binomialRF
2020-02-09,17,binomialRF
2020-02-10,27,binomialRF
2020-02-11,25,binomialRF
2020-02-12,18,binomialRF
2020-02-13,19,binomialRF
2020-02-14,14,binomialRF
2020-02-15,16,binomialRF
2020-02-16,15,binomialRF
2020-02-17,14,binomialRF
2020-02-18,18,binomialRF
2020-02-19,25,binomialRF
2020-02-20,16,binomialRF
2020-02-21,38,binomialRF
2020-02-22,28,binomialRF
2020-02-23,27,binomialRF
2020-02-24,29,binomialRF
2020-02-25,23,binomialRF
2020-02-26,31,binomialRF
2020-02-27,35,binomialRF
2020-02-28,24,binomialRF
2020-02-29,5,binomialRF
2020-03-01,24,binomialRF
2020-03-02,21,binomialRF
2020-03-03,21,binomialRF
2020-03-04,28,binomialRF
2020-03-05,17,binomialRF
2020-03-06,25,binomialRF
2020-03-07,23,binomialRF
2020-03-08,21,binomialRF
2020-03-09,27,binomialRF
2020-03-10,22,binomialRF
2020-03-11,10,binomialRF
2020-03-12,24,binomialRF
2020-03-13,19,binomialRF
2020-03-14,19,binomialRF
2020-03-15,15,binomialRF
2020-03-16,28,binomialRF
2020-03-17,17,binomialRF
2020-03-18,6,binomialRF
2020-03-19,16,binomialRF
2020-03-20,21,binomialRF
2020-03-21,20,binomialRF
2020-03-22,17,binomialRF
2020-03-23,19,binomialRF
2020-03-24,18,binomialRF
2020-03-25,22,binomialRF
2020-03-26,19,binomialRF
2020-03-27,23,binomialRF
2020-03-28,26,binomialRF
2020-03-29,27,binomialRF
2020-03-30,29,binomialRF
2020-03-31,34,binomialRF
2020-04-01,24,binomialRF
2020-04-02,17,binomialRF
2020-04-03,36,binomialRF
2020-04-04,30,binomialRF
2020-04-05,32,binomialRF
2020-04-06,32,binomialRF
2020-04-07,37,binomialRF
2020-04-08,36,binomialRF
2020-04-09,31,binomialRF
2020-04-10,19,binomialRF
2020-04-11,6,binomialRF
2020-04-12,15,binomialRF
2020-04-13,14,binomialRF
2020-04-14,15,binomialRF
2020-04-15,37,binomialRF
2020-04-16,23,binomialRF
2020-04-17,28,binomialRF
2020-04-18,7,binomialRF
2020-04-19,6,binomialRF
2020-04-20,9,binomialRF
2020-04-21,8,binomialRF
2020-04-22,38,binomialRF
2020-04-23,16,binomialRF
2020-04-24,29,binomialRF
2020-04-25,33,binomialRF
2020-04-26,13,binomialRF
2020-04-27,46,binomialRF
2020-04-28,54,binomialRF
2020-04-29,50,binomialRF
2020-04-30,35,binomialRF
2020-05-01,30,binomialRF
2020-05-02,24,binomialRF
2020-05-03,24,binomialRF
2020-05-04,28,binomialRF
2020-05-05,18,binomialRF
2020-05-06,36,binomialRF
2020-05-07,28,binomialRF
2020-05-08,21,binomialRF
2020-05-09,27,binomialRF
2020-05-10,60,binomialRF
2020-05-11,46,binomialRF
2020-05-12,22,binomialRF
2020-05-13,28,binomialRF
2020-05-14,16,binomialRF
2020-05-15,18,binomialRF
2020-05-16,19,binomialRF
2020-05-17,18,binomialRF
2020-05-18,24,binomialRF
2020-05-19,19,binomialRF
2020-05-20,27,binomialRF
2020-05-21,13,binomialRF
2020-05-22,18,binomialRF
2020-05-23,10,binomialRF
2020-05-24,15,binomialRF
2020-05-25,15,binomialRF
2020-05-26,19,binomialRF
2020-05-27,28,binomialRF
2020-05-28,22,binomialRF
2020-05-29,14,binomialRF
2020-05-30,22,binomialRF
2020-05-31,20,binomialRF
2020-06-01,17,binomialRF
2020-06-02,19,binomialRF
2020-06-03,24,binomialRF
2020-06-04,19,binomialRF
2020-06-05,16,binomialRF
2020-06-06,15,binomialRF
2020-06-07,18,binomialRF
2020-06-08,19,binomialRF
2020-06-09,24,binomialRF
2020-06-10,38,binomialRF
2020-06-11,23,binomialRF
2020-06-12,18,binomialRF
2020-06-13,15,binomialRF
2020-06-14,17,binomialRF
2020-06-15,18,binomialRF
2020-06-16,20,binomialRF
2020-06-17,20,binomialRF
2020-06-18,31,binomialRF
2020-06-19,31,binomialRF
2020-06-20,15,binomialRF
2020-06-21,20,binomialRF
2020-06-22,24,binomialRF
2020-06-23,22,binomialRF
2020-06-24,28,binomialRF
2020-06-25,20,binomialRF
2020-06-26,18,binomialRF
2020-06-27,19,binomialRF
2020-06-28,15,binomialRF
2020-06-29,21,binomialRF
2020-06-30,10,binomialRF
2020-07-01,18,binomialRF
2020-07-02,23,binomialRF
2020-07-03,20,binomialRF
2020-07-04,14,binomialRF
2020-07-05,11,binomialRF
2020-07-06,17,binomialRF
2020-07-07,30,binomialRF
2020-07-08,25,binomialRF
2020-07-09,14,binomialRF
2020-07-10,16,binomialRF
2020-07-11,15,binomialRF
2020-07-12,16,binomialRF
2020-07-13,22,binomialRF
2020-07-14,21,binomialRF
2020-07-15,26,binomialRF
2020-07-16,16,binomialRF
2020-07-17,14,binomialRF
2020-07-18,21,binomialRF
2020-07-19,21,binomialRF
2020-07-20,16,binomialRF
2020-07-21,24,binomialRF
