date,count,package
2020-01-01,0,categoryEncodings
2020-01-02,0,categoryEncodings
2020-01-03,0,categoryEncodings
2020-01-04,0,categoryEncodings
2020-01-05,0,categoryEncodings
2020-01-06,0,categoryEncodings
2020-01-07,0,categoryEncodings
2020-01-08,0,categoryEncodings
2020-01-09,0,categoryEncodings
2020-01-10,0,categoryEncodings
2020-01-11,0,categoryEncodings
2020-01-12,0,categoryEncodings
2020-01-13,0,categoryEncodings
2020-01-14,0,categoryEncodings
2020-01-15,0,categoryEncodings
2020-01-16,0,categoryEncodings
2020-01-17,0,categoryEncodings
2020-01-18,0,categoryEncodings
2020-01-19,0,categoryEncodings
2020-01-20,0,categoryEncodings
2020-01-21,0,categoryEncodings
2020-01-22,0,categoryEncodings
2020-01-23,0,categoryEncodings
2020-01-24,0,categoryEncodings
2020-01-25,0,categoryEncodings
2020-01-26,0,categoryEncodings
2020-01-27,0,categoryEncodings
2020-01-28,0,categoryEncodings
2020-01-29,0,categoryEncodings
2020-01-30,0,categoryEncodings
2020-01-31,0,categoryEncodings
2020-02-01,0,categoryEncodings
2020-02-02,0,categoryEncodings
2020-02-03,0,categoryEncodings
2020-02-04,0,categoryEncodings
2020-02-05,0,categoryEncodings
2020-02-06,0,categoryEncodings
2020-02-07,0,categoryEncodings
2020-02-08,0,categoryEncodings
2020-02-09,0,categoryEncodings
2020-02-10,0,categoryEncodings
2020-02-11,0,categoryEncodings
2020-02-12,0,categoryEncodings
2020-02-13,0,categoryEncodings
2020-02-14,0,categoryEncodings
2020-02-15,0,categoryEncodings
2020-02-16,0,categoryEncodings
2020-02-17,0,categoryEncodings
2020-02-18,0,categoryEncodings
2020-02-19,0,categoryEncodings
2020-02-20,0,categoryEncodings
2020-02-21,0,categoryEncodings
2020-02-22,0,categoryEncodings
2020-02-23,0,categoryEncodings
2020-02-24,0,categoryEncodings
2020-02-25,0,categoryEncodings
2020-02-26,0,categoryEncodings
2020-02-27,0,categoryEncodings
2020-02-28,0,categoryEncodings
2020-02-29,0,categoryEncodings
2020-03-01,0,categoryEncodings
2020-03-02,13,categoryEncodings
2020-03-03,19,categoryEncodings
2020-03-04,29,categoryEncodings
2020-03-05,16,categoryEncodings
2020-03-06,32,categoryEncodings
2020-03-07,19,categoryEncodings
2020-03-08,16,categoryEncodings
2020-03-09,19,categoryEncodings
2020-03-10,13,categoryEncodings
2020-03-11,11,categoryEncodings
2020-03-12,51,categoryEncodings
2020-03-13,27,categoryEncodings
2020-03-14,24,categoryEncodings
2020-03-15,20,categoryEncodings
2020-03-16,25,categoryEncodings
2020-03-17,25,categoryEncodings
2020-03-18,5,categoryEncodings
2020-03-19,16,categoryEncodings
2020-03-20,21,categoryEncodings
2020-03-21,17,categoryEncodings
2020-03-22,14,categoryEncodings
2020-03-23,13,categoryEncodings
2020-03-24,16,categoryEncodings
2020-03-25,16,categoryEncodings
2020-03-26,10,categoryEncodings
2020-03-27,10,categoryEncodings
2020-03-28,12,categoryEncodings
2020-03-29,21,categoryEncodings
2020-03-30,17,categoryEncodings
2020-03-31,16,categoryEncodings
2020-04-01,17,categoryEncodings
2020-04-02,15,categoryEncodings
2020-04-03,15,categoryEncodings
2020-04-04,14,categoryEncodings
2020-04-05,13,categoryEncodings
2020-04-06,21,categoryEncodings
2020-04-07,23,categoryEncodings
2020-04-08,23,categoryEncodings
2020-04-09,21,categoryEncodings
2020-04-10,9,categoryEncodings
2020-04-11,7,categoryEncodings
2020-04-12,12,categoryEncodings
2020-04-13,11,categoryEncodings
2020-04-14,13,categoryEncodings
2020-04-15,30,categoryEncodings
2020-04-16,10,categoryEncodings
2020-04-17,24,categoryEncodings
2020-04-18,12,categoryEncodings
2020-04-19,6,categoryEncodings
2020-04-20,8,categoryEncodings
2020-04-21,7,categoryEncodings
2020-04-22,26,categoryEncodings
2020-04-23,11,categoryEncodings
2020-04-24,20,categoryEncodings
2020-04-25,33,categoryEncodings
2020-04-26,13,categoryEncodings
2020-04-27,18,categoryEncodings
2020-04-28,24,categoryEncodings
2020-04-29,39,categoryEncodings
2020-04-30,24,categoryEncodings
2020-05-01,26,categoryEncodings
2020-05-02,23,categoryEncodings
2020-05-03,22,categoryEncodings
2020-05-04,23,categoryEncodings
2020-05-05,18,categoryEncodings
2020-05-06,30,categoryEncodings
2020-05-07,28,categoryEncodings
2020-05-08,17,categoryEncodings
2020-05-09,26,categoryEncodings
2020-05-10,55,categoryEncodings
2020-05-11,45,categoryEncodings
2020-05-12,20,categoryEncodings
2020-05-13,16,categoryEncodings
2020-05-14,15,categoryEncodings
2020-05-15,18,categoryEncodings
2020-05-16,17,categoryEncodings
2020-05-17,17,categoryEncodings
2020-05-18,24,categoryEncodings
2020-05-19,21,categoryEncodings
2020-05-20,24,categoryEncodings
2020-05-21,12,categoryEncodings
2020-05-22,18,categoryEncodings
2020-05-23,14,categoryEncodings
2020-05-24,15,categoryEncodings
2020-05-25,16,categoryEncodings
2020-05-26,17,categoryEncodings
2020-05-27,20,categoryEncodings
