date,count,package
2020-01-01,0,cdlei
2020-01-02,0,cdlei
2020-01-03,0,cdlei
2020-01-04,0,cdlei
2020-01-05,0,cdlei
2020-01-06,0,cdlei
2020-01-07,0,cdlei
2020-01-08,0,cdlei
2020-01-09,0,cdlei
2020-01-10,0,cdlei
2020-01-11,0,cdlei
2020-01-12,0,cdlei
2020-01-13,0,cdlei
2020-01-14,0,cdlei
2020-01-15,0,cdlei
2020-01-16,0,cdlei
2020-01-17,0,cdlei
2020-01-18,0,cdlei
2020-01-19,0,cdlei
2020-01-20,0,cdlei
2020-01-21,0,cdlei
2020-01-22,0,cdlei
2020-01-23,0,cdlei
2020-01-24,0,cdlei
2020-01-25,0,cdlei
2020-01-26,0,cdlei
2020-01-27,0,cdlei
2020-01-28,0,cdlei
2020-01-29,0,cdlei
2020-01-30,0,cdlei
2020-01-31,0,cdlei
2020-02-01,0,cdlei
2020-02-02,0,cdlei
2020-02-03,0,cdlei
2020-02-04,0,cdlei
2020-02-05,0,cdlei
2020-02-06,0,cdlei
2020-02-07,0,cdlei
2020-02-08,0,cdlei
2020-02-09,4,cdlei
2020-02-10,10,cdlei
2020-02-11,24,cdlei
2020-02-12,15,cdlei
2020-02-13,31,cdlei
2020-02-14,20,cdlei
2020-02-15,20,cdlei
2020-02-16,30,cdlei
2020-02-17,25,cdlei
2020-02-18,28,cdlei
2020-02-19,27,cdlei
2020-02-20,25,cdlei
2020-02-21,30,cdlei
2020-02-22,29,cdlei
2020-02-23,27,cdlei
2020-02-24,29,cdlei
2020-02-25,26,cdlei
2020-02-26,31,cdlei
2020-02-27,28,cdlei
2020-02-28,21,cdlei
2020-02-29,10,cdlei
2020-03-01,27,cdlei
2020-03-02,30,cdlei
2020-03-03,24,cdlei
2020-03-04,27,cdlei
2020-03-05,20,cdlei
2020-03-06,27,cdlei
2020-03-07,23,cdlei
2020-03-08,29,cdlei
2020-03-09,29,cdlei
2020-03-10,25,cdlei
2020-03-11,9,cdlei
2020-03-12,29,cdlei
2020-03-13,24,cdlei
2020-03-14,23,cdlei
2020-03-15,19,cdlei
2020-03-16,23,cdlei
2020-03-17,18,cdlei
2020-03-18,4,cdlei
2020-03-19,18,cdlei
2020-03-20,22,cdlei
2020-03-21,23,cdlei
2020-03-22,20,cdlei
2020-03-23,21,cdlei
2020-03-24,10,cdlei
2020-03-25,23,cdlei
2020-03-26,18,cdlei
2020-03-27,17,cdlei
2020-03-28,20,cdlei
2020-03-29,29,cdlei
2020-03-30,27,cdlei
2020-03-31,25,cdlei
2020-04-01,16,cdlei
2020-04-02,15,cdlei
2020-04-03,25,cdlei
2020-04-04,19,cdlei
2020-04-05,26,cdlei
2020-04-06,28,cdlei
2020-04-07,32,cdlei
2020-04-08,29,cdlei
2020-04-09,29,cdlei
2020-04-10,20,cdlei
2020-04-11,6,cdlei
2020-04-12,20,cdlei
2020-04-13,20,cdlei
2020-04-14,21,cdlei
2020-04-15,29,cdlei
2020-04-16,10,cdlei
2020-04-17,35,cdlei
2020-04-18,5,cdlei
2020-04-19,6,cdlei
2020-04-20,6,cdlei
2020-04-21,9,cdlei
2020-04-22,38,cdlei
2020-04-23,10,cdlei
2020-04-24,25,cdlei
2020-04-25,43,cdlei
2020-04-26,13,cdlei
2020-04-27,25,cdlei
2020-04-28,35,cdlei
2020-04-29,46,cdlei
2020-04-30,29,cdlei
2020-05-01,31,cdlei
2020-05-02,29,cdlei
2020-05-03,27,cdlei
2020-05-04,27,cdlei
2020-05-05,22,cdlei
2020-05-06,34,cdlei
2020-05-07,32,cdlei
2020-05-08,25,cdlei
2020-05-09,33,cdlei
2020-05-10,60,cdlei
2020-05-11,50,cdlei
2020-05-12,25,cdlei
2020-05-13,22,cdlei
2020-05-14,20,cdlei
2020-05-15,22,cdlei
2020-05-16,22,cdlei
2020-05-17,23,cdlei
2020-05-18,31,cdlei
2020-05-19,24,cdlei
2020-05-20,26,cdlei
