date,count,package
2020-01-01,0,colorist
2020-01-02,0,colorist
2020-01-03,0,colorist
2020-01-04,0,colorist
2020-01-05,0,colorist
2020-01-06,0,colorist
2020-01-07,0,colorist
2020-01-08,0,colorist
2020-01-09,0,colorist
2020-01-10,0,colorist
2020-01-11,0,colorist
2020-01-12,0,colorist
2020-01-13,0,colorist
2020-01-14,0,colorist
2020-01-15,0,colorist
2020-01-16,0,colorist
2020-01-17,0,colorist
2020-01-18,0,colorist
2020-01-19,0,colorist
2020-01-20,0,colorist
2020-01-21,0,colorist
2020-01-22,0,colorist
2020-01-23,0,colorist
2020-01-24,0,colorist
2020-01-25,0,colorist
2020-01-26,0,colorist
2020-01-27,0,colorist
2020-01-28,0,colorist
2020-01-29,0,colorist
2020-01-30,0,colorist
2020-01-31,0,colorist
2020-02-01,0,colorist
2020-02-02,0,colorist
2020-02-03,0,colorist
2020-02-04,0,colorist
2020-02-05,0,colorist
2020-02-06,0,colorist
2020-02-07,0,colorist
2020-02-08,0,colorist
2020-02-09,0,colorist
2020-02-10,0,colorist
2020-02-11,0,colorist
2020-02-12,0,colorist
2020-02-13,0,colorist
2020-02-14,0,colorist
2020-02-15,0,colorist
2020-02-16,0,colorist
2020-02-17,0,colorist
2020-02-18,0,colorist
2020-02-19,0,colorist
2020-02-20,0,colorist
2020-02-21,0,colorist
2020-02-22,0,colorist
2020-02-23,0,colorist
2020-02-24,0,colorist
2020-02-25,0,colorist
2020-02-26,0,colorist
2020-02-27,0,colorist
2020-02-28,0,colorist
2020-02-29,0,colorist
2020-03-01,0,colorist
2020-03-02,0,colorist
2020-03-03,0,colorist
2020-03-04,0,colorist
2020-03-05,0,colorist
2020-03-06,0,colorist
2020-03-07,0,colorist
2020-03-08,0,colorist
2020-03-09,0,colorist
2020-03-10,0,colorist
2020-03-11,0,colorist
2020-03-12,0,colorist
2020-03-13,0,colorist
2020-03-14,0,colorist
2020-03-15,0,colorist
2020-03-16,0,colorist
2020-03-17,0,colorist
2020-03-18,0,colorist
2020-03-19,0,colorist
2020-03-20,0,colorist
2020-03-21,0,colorist
2020-03-22,0,colorist
2020-03-23,0,colorist
2020-03-24,0,colorist
2020-03-25,0,colorist
2020-03-26,6,colorist
2020-03-27,13,colorist
2020-03-28,14,colorist
2020-03-29,15,colorist
2020-03-30,21,colorist
2020-03-31,23,colorist
2020-04-01,21,colorist
2020-04-02,15,colorist
2020-04-03,23,colorist
2020-04-04,25,colorist
2020-04-05,26,colorist
2020-04-06,27,colorist
2020-04-07,33,colorist
2020-04-08,30,colorist
2020-04-09,27,colorist
2020-04-10,12,colorist
2020-04-11,7,colorist
2020-04-12,13,colorist
2020-04-13,11,colorist
2020-04-14,14,colorist
2020-04-15,28,colorist
2020-04-16,12,colorist
2020-04-17,20,colorist
2020-04-18,5,colorist
2020-04-19,5,colorist
2020-04-20,12,colorist
2020-04-21,7,colorist
2020-04-22,28,colorist
2020-04-23,10,colorist
2020-04-24,17,colorist
2020-04-25,31,colorist
2020-04-26,12,colorist
2020-04-27,15,colorist
2020-04-28,23,colorist
2020-04-29,35,colorist
2020-04-30,20,colorist
2020-05-01,23,colorist
2020-05-02,19,colorist
2020-05-03,17,colorist
2020-05-04,17,colorist
2020-05-05,19,colorist
2020-05-06,26,colorist
2020-05-07,26,colorist
2020-05-08,14,colorist
2020-05-09,24,colorist
2020-05-10,53,colorist
2020-05-11,41,colorist
2020-05-12,13,colorist
2020-05-13,13,colorist
2020-05-14,11,colorist
2020-05-15,13,colorist
2020-05-16,13,colorist
2020-05-17,13,colorist
2020-05-18,22,colorist
2020-05-19,22,colorist
2020-05-20,19,colorist
2020-05-21,10,colorist
2020-05-22,16,colorist
2020-05-23,7,colorist
2020-05-24,12,colorist
2020-05-25,12,colorist
2020-05-26,20,colorist
2020-05-27,14,colorist
2020-05-28,16,colorist
2020-05-29,11,colorist
2020-05-30,13,colorist
2020-05-31,21,colorist
2020-06-01,12,colorist
2020-06-02,13,colorist
2020-06-03,12,colorist
2020-06-04,15,colorist
2020-06-05,14,colorist
2020-06-06,14,colorist
2020-06-07,13,colorist
2020-06-08,17,colorist
2020-06-09,23,colorist
2020-06-10,19,colorist
2020-06-11,17,colorist
2020-06-12,12,colorist
2020-06-13,11,colorist
2020-06-14,13,colorist
2020-06-15,12,colorist
2020-06-16,13,colorist
2020-06-17,12,colorist
2020-06-18,31,colorist
2020-06-19,17,colorist
2020-06-20,14,colorist
2020-06-21,13,colorist
2020-06-22,20,colorist
2020-06-23,20,colorist
2020-06-24,15,colorist
2020-06-25,14,colorist
2020-06-26,13,colorist
2020-06-27,11,colorist
2020-06-28,12,colorist
2020-06-29,12,colorist
2020-06-30,7,colorist
2020-07-01,10,colorist
2020-07-02,14,colorist
2020-07-03,14,colorist
2020-07-04,16,colorist
2020-07-05,6,colorist
2020-07-06,12,colorist
2020-07-07,25,colorist
2020-07-08,9,colorist
2020-07-09,11,colorist
2020-07-10,10,colorist
2020-07-11,9,colorist
2020-07-12,12,colorist
2020-07-13,16,colorist
2020-07-14,14,colorist
2020-07-15,15,colorist
2020-07-16,20,colorist
2020-07-17,12,colorist
2020-07-18,17,colorist
2020-07-19,12,colorist
2020-07-20,11,colorist
2020-07-21,18,colorist
2020-07-22,15,colorist
2020-07-23,14,colorist
2020-07-24,12,colorist
2020-07-25,14,colorist
2020-07-26,19,colorist
2020-07-27,12,colorist
2020-07-28,13,colorist
2020-07-29,18,colorist
2020-07-30,13,colorist
2020-07-31,8,colorist
2020-08-01,1,colorist
2020-08-02,5,colorist
2020-08-03,14,colorist
2020-08-04,18,colorist
2020-08-05,16,colorist
2020-08-06,17,colorist
2020-08-07,20,colorist
2020-08-08,14,colorist
2020-08-09,21,colorist
2020-08-10,20,colorist
2020-08-11,17,colorist
2020-08-12,14,colorist
2020-08-13,21,colorist
2020-08-14,29,colorist
2020-08-15,12,colorist
2020-08-16,20,colorist
2020-08-17,23,colorist
2020-08-18,35,colorist
2020-08-19,34,colorist
2020-08-20,32,colorist
2020-08-21,29,colorist
2020-08-22,23,colorist
2020-08-23,20,colorist
2020-08-24,25,colorist
2020-08-25,23,colorist
2020-08-26,30,colorist
2020-08-27,22,colorist
2020-08-28,17,colorist
2020-08-29,17,colorist
2020-08-30,13,colorist
2020-08-31,19,colorist
2020-09-01,20,colorist
2020-09-02,22,colorist
2020-09-03,22,colorist
2020-09-04,16,colorist
2020-09-05,20,colorist
2020-09-06,20,colorist
2020-09-07,24,colorist
2020-09-08,27,colorist
2020-09-09,36,colorist
2020-09-10,18,colorist
2020-09-11,27,colorist
2020-09-12,28,colorist
2020-09-13,24,colorist
2020-09-14,34,colorist
2020-09-15,29,colorist
2020-09-16,17,colorist
2020-09-17,33,colorist
2020-09-18,26,colorist
2020-09-19,18,colorist
2020-09-20,15,colorist
2020-09-21,23,colorist
2020-09-22,26,colorist
2020-09-23,22,colorist
2020-09-24,13,colorist
2020-09-25,10,colorist
2020-09-26,18,colorist
2020-09-27,14,colorist
2020-09-28,20,colorist
2020-09-29,23,colorist
2020-09-30,21,colorist
2020-10-01,22,colorist
2020-10-02,24,colorist
2020-10-03,21,colorist
2020-10-04,18,colorist
2020-10-05,12,colorist
2020-10-06,16,colorist
2020-10-07,15,colorist
2020-10-08,14,colorist
2020-10-09,17,colorist
2020-10-10,18,colorist
2020-10-11,15,colorist
2020-10-12,17,colorist
2020-10-13,17,colorist
2020-10-14,19,colorist
2020-10-15,13,colorist
2020-10-16,14,colorist
2020-10-17,2,colorist
2020-10-18,10,colorist
2020-10-19,19,colorist
2020-10-20,18,colorist
2020-10-21,18,colorist
2020-10-22,24,colorist
2020-10-23,16,colorist
2020-10-24,18,colorist
2020-10-25,10,colorist
2020-10-26,16,colorist
2020-10-27,15,colorist
2020-10-28,26,colorist
2020-10-29,32,colorist
2020-10-30,11,colorist
2020-10-31,14,colorist
2020-11-01,12,colorist
2020-11-02,10,colorist
2020-11-03,21,colorist
2020-11-04,9,colorist
2020-11-05,29,colorist
2020-11-06,18,colorist
2020-11-07,22,colorist
2020-11-08,15,colorist
2020-11-09,22,colorist
2020-11-10,16,colorist
2020-11-11,28,colorist
2020-11-12,20,colorist
2020-11-13,15,colorist
2020-11-14,12,colorist
2020-11-15,13,colorist
2020-11-16,18,colorist
2020-11-17,19,colorist
2020-11-18,19,colorist
2020-11-19,15,colorist
2020-11-20,15,colorist
2020-11-21,11,colorist
2020-11-22,12,colorist
2020-11-23,16,colorist
2020-11-24,30,colorist
2020-11-25,49,colorist
2020-11-26,9,colorist
2020-11-27,36,colorist
2020-11-28,31,colorist
2020-11-29,24,colorist
2020-11-30,30,colorist
2020-12-01,30,colorist
2020-12-02,32,colorist
2020-12-03,28,colorist
2020-12-04,19,colorist
2020-12-05,23,colorist
2020-12-06,13,colorist
2020-12-07,14,colorist
2020-12-08,9,colorist
2020-12-09,29,colorist
2020-12-10,17,colorist
2020-12-11,20,colorist
2020-12-12,15,colorist
2020-12-13,15,colorist
2020-12-14,18,colorist
2020-12-15,14,colorist
2020-12-16,12,colorist
2020-12-17,23,colorist
2020-12-18,17,colorist
2020-12-19,12,colorist
2020-12-20,13,colorist
2020-12-21,14,colorist
2020-12-22,13,colorist
2020-12-23,21,colorist
2020-12-24,15,colorist
2020-12-25,11,colorist
2020-12-26,11,colorist
2020-12-27,11,colorist
2020-12-28,25,colorist
2020-12-29,16,colorist
2020-12-30,20,colorist
2020-12-31,13,colorist
2021-01-01,15,colorist
2021-01-02,11,colorist
2021-01-03,16,colorist
2021-01-04,12,colorist
2021-01-05,16,colorist
2021-01-06,25,colorist
2021-01-07,18,colorist
2021-01-08,12,colorist
2021-01-09,11,colorist
2021-01-10,18,colorist
2021-01-11,17,colorist
2021-01-12,18,colorist
2021-01-13,21,colorist
2021-01-14,20,colorist
2021-01-15,15,colorist
2021-01-16,9,colorist
2021-01-17,10,colorist
2021-01-18,11,colorist
2021-01-19,14,colorist
2021-01-20,18,colorist
2021-01-21,12,colorist
2021-01-22,8,colorist
2021-01-23,13,colorist
2021-01-24,10,colorist
2021-01-25,19,colorist
2021-01-26,7,colorist
2021-01-27,24,colorist
2021-01-28,6,colorist
2021-01-29,14,colorist
2021-01-30,15,colorist
2021-01-31,16,colorist
2021-02-01,15,colorist
2021-02-02,16,colorist
2021-02-03,18,colorist
2021-02-04,15,colorist
2021-02-05,7,colorist
2021-02-06,22,colorist
2021-02-07,17,colorist
2021-02-08,12,colorist
2021-02-09,19,colorist
2021-02-10,17,colorist
2021-02-11,23,colorist
2021-02-12,19,colorist
2021-02-13,20,colorist
2021-02-14,7,colorist
2021-02-15,17,colorist
2021-02-16,12,colorist
2021-02-17,20,colorist
2021-02-18,22,colorist
2021-02-19,18,colorist
2021-02-20,13,colorist
2021-02-21,18,colorist
2021-02-22,24,colorist
2021-02-23,13,colorist
2021-02-24,32,colorist
2021-02-25,20,colorist
2021-02-26,27,colorist
2021-02-27,11,colorist
2021-02-28,10,colorist
2021-03-01,18,colorist
2021-03-02,19,colorist
2021-03-03,21,colorist
2021-03-04,15,colorist
2021-03-05,26,colorist
2021-03-06,12,colorist
2021-03-07,10,colorist
2021-03-08,23,colorist
2021-03-09,13,colorist
2021-03-10,26,colorist
2021-03-11,20,colorist
2021-03-12,16,colorist
2021-03-13,15,colorist
2021-03-14,15,colorist
2021-03-15,18,colorist
2021-03-16,17,colorist
2021-03-17,25,colorist
2021-03-18,17,colorist
2021-03-19,6,colorist
2021-03-20,10,colorist
2021-03-21,4,colorist
2021-03-22,13,colorist
2021-03-23,6,colorist
2021-03-24,21,colorist
2021-03-25,12,colorist
2021-03-26,16,colorist
2021-03-27,4,colorist
2021-03-28,16,colorist
2021-03-29,8,colorist
2021-03-30,17,colorist
2021-03-31,10,colorist
2021-04-01,13,colorist
2021-04-02,6,colorist
2021-04-03,15,colorist
2021-04-04,7,colorist
2021-04-05,13,colorist
2021-04-06,4,colorist
2021-04-07,24,colorist
2021-04-08,22,colorist
2021-04-09,11,colorist
2021-04-10,17,colorist
2021-04-11,9,colorist
2021-04-12,16,colorist
2021-04-13,12,colorist
2021-04-14,21,colorist
2021-04-15,6,colorist
2021-04-16,16,colorist
2021-04-17,8,colorist
2021-04-18,15,colorist
2021-04-19,11,colorist
2021-04-20,20,colorist
2021-04-21,18,colorist
2021-04-22,20,colorist
2021-04-23,12,colorist
2021-04-24,20,colorist
2021-04-25,4,colorist
2021-04-26,14,colorist
2021-04-27,23,colorist
2021-04-28,16,colorist
2021-04-29,10,colorist
2021-04-30,8,colorist
2021-05-01,13,colorist
2021-05-02,9,colorist
2021-05-03,16,colorist
2021-05-04,21,colorist
2021-05-05,11,colorist
2021-05-06,20,colorist
2021-05-07,6,colorist
2021-05-08,16,colorist
2021-05-09,3,colorist
2021-05-10,14,colorist
2021-05-11,14,colorist
2021-05-12,27,colorist
2021-05-13,13,colorist
2021-05-14,15,colorist
2021-05-15,7,colorist
2021-05-16,14,colorist
2021-05-17,8,colorist
2021-05-18,28,colorist
2021-05-19,16,colorist
2021-05-20,27,colorist
2021-05-21,13,colorist
2021-05-22,16,colorist
2021-05-23,9,colorist
2021-05-24,10,colorist
2021-05-25,19,colorist
2021-05-26,11,colorist
2021-05-27,6,colorist
2021-05-28,11,colorist
2021-05-29,2,colorist
2021-05-30,13,colorist
2021-05-31,10,colorist
2021-06-01,14,colorist
2021-06-02,14,colorist
2021-06-03,12,colorist
2021-06-04,6,colorist
2021-06-05,1,colorist
2021-06-06,11,colorist
2021-06-07,5,colorist
2021-06-08,11,colorist
2021-06-09,10,colorist
