date,count,package
2020-01-01,0,convergEU
2020-01-02,0,convergEU
2020-01-03,0,convergEU
2020-01-04,0,convergEU
2020-01-05,0,convergEU
2020-01-06,0,convergEU
2020-01-07,0,convergEU
2020-01-08,0,convergEU
2020-01-09,0,convergEU
2020-01-10,0,convergEU
2020-01-11,0,convergEU
2020-01-12,0,convergEU
2020-01-13,0,convergEU
2020-01-14,0,convergEU
2020-01-15,0,convergEU
2020-01-16,0,convergEU
2020-01-17,0,convergEU
2020-01-18,0,convergEU
2020-01-19,0,convergEU
2020-01-20,0,convergEU
2020-01-21,0,convergEU
2020-01-22,0,convergEU
2020-01-23,0,convergEU
2020-01-24,0,convergEU
2020-01-25,0,convergEU
2020-01-26,0,convergEU
2020-01-27,0,convergEU
2020-01-28,0,convergEU
2020-01-29,0,convergEU
2020-01-30,0,convergEU
2020-01-31,0,convergEU
2020-02-01,0,convergEU
2020-02-02,0,convergEU
2020-02-03,0,convergEU
2020-02-04,0,convergEU
2020-02-05,0,convergEU
2020-02-06,0,convergEU
2020-02-07,0,convergEU
2020-02-08,0,convergEU
2020-02-09,0,convergEU
2020-02-10,0,convergEU
2020-02-11,0,convergEU
2020-02-12,0,convergEU
2020-02-13,0,convergEU
2020-02-14,0,convergEU
2020-02-15,0,convergEU
2020-02-16,0,convergEU
2020-02-17,0,convergEU
2020-02-18,0,convergEU
2020-02-19,0,convergEU
2020-02-20,0,convergEU
2020-02-21,0,convergEU
2020-02-22,0,convergEU
2020-02-23,0,convergEU
2020-02-24,0,convergEU
2020-02-25,0,convergEU
2020-02-26,0,convergEU
2020-02-27,0,convergEU
2020-02-28,0,convergEU
2020-02-29,0,convergEU
2020-03-01,0,convergEU
2020-03-02,0,convergEU
2020-03-03,0,convergEU
2020-03-04,0,convergEU
2020-03-05,0,convergEU
2020-03-06,0,convergEU
2020-03-07,0,convergEU
2020-03-08,0,convergEU
2020-03-09,0,convergEU
2020-03-10,0,convergEU
2020-03-11,0,convergEU
2020-03-12,0,convergEU
2020-03-13,12,convergEU
2020-03-14,6,convergEU
2020-03-15,13,convergEU
2020-03-16,12,convergEU
2020-03-17,13,convergEU
2020-03-18,7,convergEU
2020-03-19,17,convergEU
2020-03-20,17,convergEU
2020-03-21,20,convergEU
2020-03-22,20,convergEU
2020-03-23,16,convergEU
2020-03-24,11,convergEU
2020-03-25,19,convergEU
2020-03-26,17,convergEU
2020-03-27,17,convergEU
2020-03-28,21,convergEU
2020-03-29,28,convergEU
2020-03-30,22,convergEU
2020-03-31,16,convergEU
2020-04-01,21,convergEU
2020-04-02,12,convergEU
2020-04-03,16,convergEU
2020-04-04,12,convergEU
2020-04-05,18,convergEU
2020-04-06,19,convergEU
2020-04-07,25,convergEU
2020-04-08,22,convergEU
2020-04-09,22,convergEU
2020-04-10,13,convergEU
2020-04-11,7,convergEU
2020-04-12,13,convergEU
2020-04-13,14,convergEU
2020-04-14,17,convergEU
2020-04-15,30,convergEU
2020-04-16,13,convergEU
2020-04-17,36,convergEU
2020-04-18,6,convergEU
2020-04-19,3,convergEU
2020-04-20,7,convergEU
2020-04-21,7,convergEU
2020-04-22,42,convergEU
2020-04-23,6,convergEU
2020-04-24,23,convergEU
2020-04-25,42,convergEU
2020-04-26,12,convergEU
2020-04-27,23,convergEU
2020-04-28,33,convergEU
2020-04-29,41,convergEU
2020-04-30,25,convergEU
2020-05-01,22,convergEU
2020-05-02,23,convergEU
2020-05-03,18,convergEU
2020-05-04,16,convergEU
2020-05-05,19,convergEU
2020-05-06,32,convergEU
2020-05-07,30,convergEU
2020-05-08,17,convergEU
2020-05-09,23,convergEU
2020-05-10,52,convergEU
2020-05-11,40,convergEU
2020-05-12,15,convergEU
2020-05-13,15,convergEU
2020-05-14,13,convergEU
2020-05-15,18,convergEU
2020-05-16,13,convergEU
2020-05-17,12,convergEU
2020-05-18,26,convergEU
2020-05-19,21,convergEU
2020-05-20,22,convergEU
2020-05-21,11,convergEU
2020-05-22,16,convergEU
2020-05-23,9,convergEU
2020-05-24,11,convergEU
2020-05-25,13,convergEU
2020-05-26,14,convergEU
2020-05-27,16,convergEU
2020-05-28,21,convergEU
2020-05-29,17,convergEU
2020-05-30,21,convergEU
2020-05-31,17,convergEU
2020-06-01,11,convergEU
2020-06-02,12,convergEU
2020-06-03,20,convergEU
2020-06-04,11,convergEU
2020-06-05,15,convergEU
2020-06-06,10,convergEU
2020-06-07,11,convergEU
2020-06-08,14,convergEU
2020-06-09,14,convergEU
2020-06-10,47,convergEU
2020-06-11,32,convergEU
2020-06-12,29,convergEU
2020-06-13,36,convergEU
2020-06-14,27,convergEU
2020-06-15,27,convergEU
2020-06-16,29,convergEU
2020-06-17,35,convergEU
2020-06-18,39,convergEU
2020-06-19,25,convergEU
2020-06-20,32,convergEU
2020-06-21,24,convergEU
2020-06-22,24,convergEU
2020-06-23,28,convergEU
2020-06-24,34,convergEU
2020-06-25,17,convergEU
2020-06-26,19,convergEU
2020-06-27,19,convergEU
2020-06-28,20,convergEU
2020-06-29,17,convergEU
2020-06-30,15,convergEU
2020-07-01,22,convergEU
2020-07-02,23,convergEU
2020-07-03,19,convergEU
2020-07-04,20,convergEU
2020-07-05,10,convergEU
2020-07-06,22,convergEU
2020-07-07,25,convergEU
2020-07-08,20,convergEU
2020-07-09,16,convergEU
2020-07-10,12,convergEU
2020-07-11,14,convergEU
2020-07-12,25,convergEU
2020-07-13,19,convergEU
2020-07-14,19,convergEU
2020-07-15,20,convergEU
2020-07-16,17,convergEU
2020-07-17,19,convergEU
2020-07-18,15,convergEU
2020-07-19,17,convergEU
2020-07-20,15,convergEU
2020-07-21,22,convergEU
2020-07-22,23,convergEU
2020-07-23,15,convergEU
2020-07-24,14,convergEU
2020-07-25,20,convergEU
2020-07-26,15,convergEU
2020-07-27,14,convergEU
2020-07-28,18,convergEU
2020-07-29,17,convergEU
2020-07-30,18,convergEU
2020-07-31,17,convergEU
2020-08-01,4,convergEU
2020-08-02,4,convergEU
2020-08-03,15,convergEU
2020-08-04,15,convergEU
2020-08-05,22,convergEU
2020-08-06,16,convergEU
2020-08-07,25,convergEU
2020-08-08,12,convergEU
2020-08-09,15,convergEU
2020-08-10,19,convergEU
2020-08-11,9,convergEU
2020-08-12,24,convergEU
2020-08-13,21,convergEU
2020-08-14,16,convergEU
2020-08-15,9,convergEU
2020-08-16,8,convergEU
2020-08-17,11,convergEU
2020-08-18,16,convergEU
2020-08-19,19,convergEU
2020-08-20,9,convergEU
2020-08-21,14,convergEU
2020-08-22,12,convergEU
2020-08-23,7,convergEU
2020-08-24,14,convergEU
2020-08-25,15,convergEU
2020-08-26,24,convergEU
2020-08-27,14,convergEU
2020-08-28,8,convergEU
2020-08-29,12,convergEU
2020-08-30,9,convergEU
2020-08-31,20,convergEU
2020-09-01,50,convergEU
2020-09-02,52,convergEU
2020-09-03,34,convergEU
2020-09-04,33,convergEU
2020-09-05,31,convergEU
2020-09-06,29,convergEU
2020-09-07,38,convergEU
2020-09-08,41,convergEU
2020-09-09,51,convergEU
2020-09-10,20,convergEU
2020-09-11,31,convergEU
2020-09-12,28,convergEU
2020-09-13,22,convergEU
2020-09-14,35,convergEU
2020-09-15,24,convergEU
2020-09-16,19,convergEU
2020-09-17,42,convergEU
2020-09-18,23,convergEU
2020-09-19,18,convergEU
2020-09-20,16,convergEU
2020-09-21,18,convergEU
2020-09-22,25,convergEU
2020-09-23,32,convergEU
2020-09-24,14,convergEU
2020-09-25,13,convergEU
2020-09-26,14,convergEU
2020-09-27,15,convergEU
2020-09-28,23,convergEU
2020-09-29,25,convergEU
2020-09-30,28,convergEU
2020-10-01,25,convergEU
2020-10-02,28,convergEU
2020-10-03,16,convergEU
2020-10-04,16,convergEU
2020-10-05,14,convergEU
2020-10-06,16,convergEU
2020-10-07,20,convergEU
2020-10-08,13,convergEU
2020-10-09,14,convergEU
2020-10-10,15,convergEU
2020-10-11,17,convergEU
2020-10-12,23,convergEU
2020-10-13,18,convergEU
2020-10-14,22,convergEU
2020-10-15,14,convergEU
2020-10-16,14,convergEU
2020-10-17,3,convergEU
2020-10-18,10,convergEU
2020-10-19,19,convergEU
2020-10-20,21,convergEU
2020-10-21,24,convergEU
2020-10-22,21,convergEU
2020-10-23,13,convergEU
2020-10-24,18,convergEU
2020-10-25,12,convergEU
2020-10-26,16,convergEU
2020-10-27,13,convergEU
2020-10-28,16,convergEU
2020-10-29,6,convergEU
2020-10-30,1,convergEU
2020-10-31,7,convergEU
2020-11-01,4,convergEU
2020-11-02,2,convergEU
2020-11-03,6,convergEU
2020-11-04,8,convergEU
2020-11-05,10,convergEU
2020-11-06,6,convergEU
2020-11-07,11,convergEU
