date,count,package
2020-01-01,0,cubelyr
2020-01-02,0,cubelyr
2020-01-03,0,cubelyr
2020-01-04,0,cubelyr
2020-01-05,0,cubelyr
2020-01-06,0,cubelyr
2020-01-07,0,cubelyr
2020-01-08,0,cubelyr
2020-01-09,0,cubelyr
2020-01-10,0,cubelyr
2020-01-11,0,cubelyr
2020-01-12,0,cubelyr
2020-01-13,0,cubelyr
2020-01-14,0,cubelyr
2020-01-15,0,cubelyr
2020-01-16,0,cubelyr
2020-01-17,0,cubelyr
2020-01-18,0,cubelyr
2020-01-19,0,cubelyr
2020-01-20,0,cubelyr
2020-01-21,0,cubelyr
2020-01-22,0,cubelyr
2020-01-23,0,cubelyr
2020-01-24,0,cubelyr
2020-01-25,0,cubelyr
2020-01-26,0,cubelyr
2020-01-27,0,cubelyr
2020-01-28,0,cubelyr
2020-01-29,0,cubelyr
2020-01-30,0,cubelyr
2020-01-31,0,cubelyr
2020-02-01,0,cubelyr
2020-02-02,0,cubelyr
2020-02-03,0,cubelyr
2020-02-04,0,cubelyr
2020-02-05,0,cubelyr
2020-02-06,0,cubelyr
2020-02-07,0,cubelyr
2020-02-08,0,cubelyr
2020-02-09,0,cubelyr
2020-02-10,0,cubelyr
2020-02-11,0,cubelyr
2020-02-12,0,cubelyr
2020-02-13,0,cubelyr
2020-02-14,0,cubelyr
2020-02-15,0,cubelyr
2020-02-16,0,cubelyr
2020-02-17,0,cubelyr
2020-02-18,0,cubelyr
2020-02-19,0,cubelyr
2020-02-20,0,cubelyr
2020-02-21,0,cubelyr
2020-02-22,0,cubelyr
2020-02-23,0,cubelyr
2020-02-24,0,cubelyr
2020-02-25,0,cubelyr
2020-02-26,0,cubelyr
2020-02-27,0,cubelyr
2020-02-28,0,cubelyr
2020-02-29,0,cubelyr
2020-03-01,10,cubelyr
2020-03-02,28,cubelyr
2020-03-03,35,cubelyr
2020-03-04,29,cubelyr
2020-03-05,30,cubelyr
2020-03-06,38,cubelyr
2020-03-07,25,cubelyr
2020-03-08,24,cubelyr
2020-03-09,21,cubelyr
2020-03-10,21,cubelyr
2020-03-11,9,cubelyr
2020-03-12,33,cubelyr
2020-03-13,20,cubelyr
2020-03-14,22,cubelyr
2020-03-15,17,cubelyr
2020-03-16,29,cubelyr
2020-03-17,16,cubelyr
2020-03-18,5,cubelyr
2020-03-19,17,cubelyr
2020-03-20,20,cubelyr
2020-03-21,16,cubelyr
2020-03-22,11,cubelyr
2020-03-23,14,cubelyr
2020-03-24,17,cubelyr
2020-03-25,16,cubelyr
2020-03-26,17,cubelyr
2020-03-27,17,cubelyr
2020-03-28,14,cubelyr
2020-03-29,21,cubelyr
2020-03-30,17,cubelyr
2020-03-31,20,cubelyr
2020-04-01,18,cubelyr
2020-04-02,16,cubelyr
2020-04-03,17,cubelyr
2020-04-04,10,cubelyr
2020-04-05,18,cubelyr
2020-04-06,19,cubelyr
2020-04-07,108,cubelyr
2020-04-08,93,cubelyr
2020-04-09,112,cubelyr
2020-04-10,59,cubelyr
2020-04-11,36,cubelyr
2020-04-12,88,cubelyr
