date,count,package
2020-01-01,0,dataframeexplorer
2020-01-02,0,dataframeexplorer
2020-01-03,0,dataframeexplorer
2020-01-04,0,dataframeexplorer
2020-01-05,0,dataframeexplorer
2020-01-06,0,dataframeexplorer
2020-01-07,0,dataframeexplorer
2020-01-08,0,dataframeexplorer
2020-01-09,0,dataframeexplorer
2020-01-10,0,dataframeexplorer
2020-01-11,0,dataframeexplorer
2020-01-12,0,dataframeexplorer
2020-01-13,0,dataframeexplorer
2020-01-14,0,dataframeexplorer
2020-01-15,0,dataframeexplorer
2020-01-16,0,dataframeexplorer
2020-01-17,0,dataframeexplorer
2020-01-18,0,dataframeexplorer
2020-01-19,0,dataframeexplorer
2020-01-20,0,dataframeexplorer
2020-01-21,0,dataframeexplorer
2020-01-22,0,dataframeexplorer
2020-01-23,0,dataframeexplorer
2020-01-24,0,dataframeexplorer
2020-01-25,0,dataframeexplorer
2020-01-26,0,dataframeexplorer
2020-01-27,0,dataframeexplorer
2020-01-28,0,dataframeexplorer
2020-01-29,0,dataframeexplorer
2020-01-30,0,dataframeexplorer
2020-01-31,0,dataframeexplorer
2020-02-01,0,dataframeexplorer
2020-02-02,0,dataframeexplorer
2020-02-03,0,dataframeexplorer
2020-02-04,0,dataframeexplorer
2020-02-05,0,dataframeexplorer
2020-02-06,0,dataframeexplorer
2020-02-07,0,dataframeexplorer
2020-02-08,0,dataframeexplorer
2020-02-09,0,dataframeexplorer
2020-02-10,0,dataframeexplorer
2020-02-11,0,dataframeexplorer
2020-02-12,0,dataframeexplorer
2020-02-13,0,dataframeexplorer
2020-02-14,0,dataframeexplorer
2020-02-15,0,dataframeexplorer
2020-02-16,0,dataframeexplorer
2020-02-17,0,dataframeexplorer
2020-02-18,0,dataframeexplorer
2020-02-19,0,dataframeexplorer
2020-02-20,0,dataframeexplorer
2020-02-21,0,dataframeexplorer
2020-02-22,0,dataframeexplorer
2020-02-23,0,dataframeexplorer
2020-02-24,0,dataframeexplorer
2020-02-25,0,dataframeexplorer
2020-02-26,0,dataframeexplorer
2020-02-27,0,dataframeexplorer
2020-02-28,0,dataframeexplorer
2020-02-29,0,dataframeexplorer
2020-03-01,0,dataframeexplorer
2020-03-02,0,dataframeexplorer
2020-03-03,0,dataframeexplorer
2020-03-04,0,dataframeexplorer
2020-03-05,0,dataframeexplorer
2020-03-06,0,dataframeexplorer
2020-03-07,0,dataframeexplorer
2020-03-08,0,dataframeexplorer
2020-03-09,0,dataframeexplorer
2020-03-10,0,dataframeexplorer
2020-03-11,0,dataframeexplorer
2020-03-12,0,dataframeexplorer
2020-03-13,0,dataframeexplorer
2020-03-14,0,dataframeexplorer
2020-03-15,0,dataframeexplorer
2020-03-16,0,dataframeexplorer
2020-03-17,0,dataframeexplorer
2020-03-18,0,dataframeexplorer
2020-03-19,0,dataframeexplorer
2020-03-20,0,dataframeexplorer
2020-03-21,0,dataframeexplorer
2020-03-22,0,dataframeexplorer
2020-03-23,0,dataframeexplorer
2020-03-24,0,dataframeexplorer
2020-03-25,0,dataframeexplorer
2020-03-26,0,dataframeexplorer
2020-03-27,0,dataframeexplorer
2020-03-28,0,dataframeexplorer
2020-03-29,0,dataframeexplorer
2020-03-30,0,dataframeexplorer
2020-03-31,0,dataframeexplorer
2020-04-01,0,dataframeexplorer
2020-04-02,0,dataframeexplorer
2020-04-03,0,dataframeexplorer
2020-04-04,0,dataframeexplorer
2020-04-05,0,dataframeexplorer
2020-04-06,0,dataframeexplorer
2020-04-07,0,dataframeexplorer
2020-04-08,14,dataframeexplorer
2020-04-09,20,dataframeexplorer
2020-04-10,11,dataframeexplorer
2020-04-11,11,dataframeexplorer
2020-04-12,15,dataframeexplorer
2020-04-13,17,dataframeexplorer
2020-04-14,14,dataframeexplorer
2020-04-15,38,dataframeexplorer
2020-04-16,21,dataframeexplorer
2020-04-17,36,dataframeexplorer
2020-04-18,10,dataframeexplorer
2020-04-19,10,dataframeexplorer
2020-04-20,24,dataframeexplorer
2020-04-21,8,dataframeexplorer
2020-04-22,72,dataframeexplorer
2020-04-23,13,dataframeexplorer
2020-04-24,38,dataframeexplorer
2020-04-25,45,dataframeexplorer
2020-04-26,13,dataframeexplorer
2020-04-27,31,dataframeexplorer
2020-04-28,37,dataframeexplorer
2020-04-29,47,dataframeexplorer
2020-04-30,36,dataframeexplorer
2020-05-01,36,dataframeexplorer
2020-05-02,30,dataframeexplorer
2020-05-03,23,dataframeexplorer
2020-05-04,24,dataframeexplorer
2020-05-05,26,dataframeexplorer
2020-05-06,33,dataframeexplorer
2020-05-07,33,dataframeexplorer
2020-05-08,14,dataframeexplorer
2020-05-09,27,dataframeexplorer
2020-05-10,61,dataframeexplorer
2020-05-11,46,dataframeexplorer
2020-05-12,21,dataframeexplorer
2020-05-13,21,dataframeexplorer
2020-05-14,17,dataframeexplorer
2020-05-15,19,dataframeexplorer
2020-05-16,21,dataframeexplorer
2020-05-17,17,dataframeexplorer
2020-05-18,32,dataframeexplorer
2020-05-19,21,dataframeexplorer
2020-05-20,24,dataframeexplorer
2020-05-21,18,dataframeexplorer
2020-05-22,21,dataframeexplorer
2020-05-23,16,dataframeexplorer
2020-05-24,14,dataframeexplorer
2020-05-25,19,dataframeexplorer
2020-05-26,24,dataframeexplorer
2020-05-27,19,dataframeexplorer
2020-05-28,21,dataframeexplorer
2020-05-29,21,dataframeexplorer
2020-05-30,18,dataframeexplorer
2020-05-31,29,dataframeexplorer
2020-06-01,16,dataframeexplorer
2020-06-02,19,dataframeexplorer
2020-06-03,20,dataframeexplorer
2020-06-04,16,dataframeexplorer
2020-06-05,19,dataframeexplorer
2020-06-06,16,dataframeexplorer
2020-06-07,17,dataframeexplorer
2020-06-08,33,dataframeexplorer
2020-06-09,18,dataframeexplorer
2020-06-10,26,dataframeexplorer
2020-06-11,25,dataframeexplorer
2020-06-12,15,dataframeexplorer
2020-06-13,16,dataframeexplorer
2020-06-14,23,dataframeexplorer
2020-06-15,17,dataframeexplorer
2020-06-16,17,dataframeexplorer
2020-06-17,21,dataframeexplorer
2020-06-18,26,dataframeexplorer
2020-06-19,29,dataframeexplorer
2020-06-20,13,dataframeexplorer
2020-06-21,22,dataframeexplorer
2020-06-22,17,dataframeexplorer
2020-06-23,21,dataframeexplorer
2020-06-24,20,dataframeexplorer
2020-06-25,17,dataframeexplorer
2020-06-26,43,dataframeexplorer
2020-06-27,26,dataframeexplorer
2020-06-28,39,dataframeexplorer
2020-06-29,31,dataframeexplorer
2020-06-30,41,dataframeexplorer
2020-07-01,36,dataframeexplorer
2020-07-02,35,dataframeexplorer
2020-07-03,37,dataframeexplorer
2020-07-04,25,dataframeexplorer
2020-07-05,22,dataframeexplorer
2020-07-06,29,dataframeexplorer
2020-07-07,35,dataframeexplorer
2020-07-08,29,dataframeexplorer
2020-07-09,36,dataframeexplorer
2020-07-10,27,dataframeexplorer
2020-07-11,24,dataframeexplorer
2020-07-12,30,dataframeexplorer
2020-07-13,27,dataframeexplorer
2020-07-14,26,dataframeexplorer
2020-07-15,35,dataframeexplorer
2020-07-16,22,dataframeexplorer
2020-07-17,20,dataframeexplorer
2020-07-18,18,dataframeexplorer
2020-07-19,22,dataframeexplorer
2020-07-20,16,dataframeexplorer
2020-07-21,28,dataframeexplorer
2020-07-22,27,dataframeexplorer
2020-07-23,21,dataframeexplorer
2020-07-24,20,dataframeexplorer
2020-07-25,20,dataframeexplorer
2020-07-26,20,dataframeexplorer
2020-07-27,19,dataframeexplorer
2020-07-28,17,dataframeexplorer
2020-07-29,14,dataframeexplorer
2020-07-30,16,dataframeexplorer
2020-07-31,9,dataframeexplorer
2020-08-01,2,dataframeexplorer
2020-08-02,7,dataframeexplorer
2020-08-03,19,dataframeexplorer
2020-08-04,23,dataframeexplorer
2020-08-05,24,dataframeexplorer
2020-08-06,21,dataframeexplorer
2020-08-07,27,dataframeexplorer
2020-08-08,24,dataframeexplorer
2020-08-09,29,dataframeexplorer
2020-08-10,28,dataframeexplorer
2020-08-11,19,dataframeexplorer
2020-08-12,22,dataframeexplorer
2020-08-13,25,dataframeexplorer
2020-08-14,20,dataframeexplorer
2020-08-15,13,dataframeexplorer
2020-08-16,14,dataframeexplorer
2020-08-17,16,dataframeexplorer
2020-08-18,19,dataframeexplorer
2020-08-19,22,dataframeexplorer
2020-08-20,15,dataframeexplorer
2020-08-21,23,dataframeexplorer
2020-08-22,13,dataframeexplorer
2020-08-23,12,dataframeexplorer
2020-08-24,16,dataframeexplorer
2020-08-25,16,dataframeexplorer
2020-08-26,22,dataframeexplorer
2020-08-27,22,dataframeexplorer
2020-08-28,13,dataframeexplorer
2020-08-29,14,dataframeexplorer
2020-08-30,13,dataframeexplorer
2020-08-31,18,dataframeexplorer
2020-09-01,19,dataframeexplorer
2020-09-02,25,dataframeexplorer
2020-09-03,28,dataframeexplorer
2020-09-04,12,dataframeexplorer
2020-09-05,23,dataframeexplorer
2020-09-06,20,dataframeexplorer
2020-09-07,29,dataframeexplorer
2020-09-08,29,dataframeexplorer
2020-09-09,38,dataframeexplorer
