date,count,package
2020-01-01,0,dataresqc
2020-01-02,0,dataresqc
2020-01-03,0,dataresqc
2020-01-04,0,dataresqc
2020-01-05,0,dataresqc
2020-01-06,0,dataresqc
2020-01-07,0,dataresqc
2020-01-08,0,dataresqc
2020-01-09,0,dataresqc
2020-01-10,0,dataresqc
2020-01-11,0,dataresqc
2020-01-12,0,dataresqc
2020-01-13,0,dataresqc
2020-01-14,0,dataresqc
2020-01-15,0,dataresqc
2020-01-16,0,dataresqc
2020-01-17,0,dataresqc
2020-01-18,0,dataresqc
2020-01-19,0,dataresqc
2020-01-20,0,dataresqc
2020-01-21,0,dataresqc
2020-01-22,0,dataresqc
2020-01-23,0,dataresqc
2020-01-24,0,dataresqc
2020-01-25,0,dataresqc
2020-01-26,0,dataresqc
2020-01-27,0,dataresqc
2020-01-28,0,dataresqc
2020-01-29,0,dataresqc
2020-01-30,0,dataresqc
2020-01-31,0,dataresqc
2020-02-01,0,dataresqc
2020-02-02,0,dataresqc
2020-02-03,0,dataresqc
2020-02-04,0,dataresqc
2020-02-05,0,dataresqc
2020-02-06,0,dataresqc
2020-02-07,0,dataresqc
2020-02-08,0,dataresqc
2020-02-09,0,dataresqc
2020-02-10,0,dataresqc
2020-02-11,0,dataresqc
2020-02-12,0,dataresqc
2020-02-13,0,dataresqc
2020-02-14,0,dataresqc
2020-02-15,0,dataresqc
2020-02-16,0,dataresqc
2020-02-17,0,dataresqc
2020-02-18,0,dataresqc
2020-02-19,0,dataresqc
2020-02-20,0,dataresqc
2020-02-21,0,dataresqc
2020-02-22,0,dataresqc
2020-02-23,0,dataresqc
2020-02-24,0,dataresqc
2020-02-25,0,dataresqc
2020-02-26,0,dataresqc
2020-02-27,0,dataresqc
2020-02-28,0,dataresqc
2020-02-29,0,dataresqc
2020-03-01,0,dataresqc
2020-03-02,0,dataresqc
2020-03-03,0,dataresqc
2020-03-04,0,dataresqc
2020-03-05,0,dataresqc
2020-03-06,5,dataresqc
2020-03-07,7,dataresqc
2020-03-08,23,dataresqc
2020-03-09,18,dataresqc
2020-03-10,15,dataresqc
2020-03-11,7,dataresqc
2020-03-12,33,dataresqc
2020-03-13,30,dataresqc
2020-03-14,25,dataresqc
2020-03-15,23,dataresqc
2020-03-16,30,dataresqc
2020-03-17,22,dataresqc
2020-03-18,5,dataresqc
2020-03-19,21,dataresqc
2020-03-20,27,dataresqc
2020-03-21,19,dataresqc
2020-03-22,12,dataresqc
2020-03-23,12,dataresqc
2020-03-24,11,dataresqc
2020-03-25,14,dataresqc
2020-03-26,9,dataresqc
2020-03-27,9,dataresqc
2020-03-28,14,dataresqc
2020-03-29,23,dataresqc
2020-03-30,21,dataresqc
2020-03-31,15,dataresqc
2020-04-01,26,dataresqc
2020-04-02,13,dataresqc
2020-04-03,15,dataresqc
2020-04-04,10,dataresqc
2020-04-05,14,dataresqc
2020-04-06,18,dataresqc
2020-04-07,21,dataresqc
2020-04-08,19,dataresqc
2020-04-09,22,dataresqc
2020-04-10,9,dataresqc
2020-04-11,7,dataresqc
2020-04-12,11,dataresqc
2020-04-13,11,dataresqc
2020-04-14,11,dataresqc
2020-04-15,22,dataresqc
2020-04-16,10,dataresqc
2020-04-17,21,dataresqc
2020-04-18,5,dataresqc
2020-04-19,5,dataresqc
2020-04-20,21,dataresqc
2020-04-21,6,dataresqc
2020-04-22,30,dataresqc
2020-04-23,11,dataresqc
2020-04-24,15,dataresqc
2020-04-25,33,dataresqc
2020-04-26,11,dataresqc
2020-04-27,17,dataresqc
2020-04-28,23,dataresqc
2020-04-29,35,dataresqc
2020-04-30,24,dataresqc
2020-05-01,23,dataresqc
2020-05-02,24,dataresqc
2020-05-03,22,dataresqc
2020-05-04,19,dataresqc
2020-05-05,16,dataresqc
2020-05-06,32,dataresqc
2020-05-07,26,dataresqc
2020-05-08,14,dataresqc
2020-05-09,24,dataresqc
2020-05-10,55,dataresqc
2020-05-11,43,dataresqc
2020-05-12,15,dataresqc
2020-05-13,16,dataresqc
2020-05-14,16,dataresqc
2020-05-15,17,dataresqc
2020-05-16,17,dataresqc
2020-05-17,16,dataresqc
2020-05-18,26,dataresqc
2020-05-19,24,dataresqc
2020-05-20,23,dataresqc
2020-05-21,13,dataresqc
2020-05-22,18,dataresqc
2020-05-23,10,dataresqc
2020-05-24,13,dataresqc
2020-05-25,17,dataresqc
2020-05-26,16,dataresqc
2020-05-27,17,dataresqc
2020-05-28,17,dataresqc
2020-05-29,18,dataresqc
2020-05-30,15,dataresqc
2020-05-31,23,dataresqc
2020-06-01,15,dataresqc
2020-06-02,17,dataresqc
2020-06-03,15,dataresqc
2020-06-04,15,dataresqc
2020-06-05,20,dataresqc
2020-06-06,14,dataresqc
2020-06-07,16,dataresqc
2020-06-08,20,dataresqc
2020-06-09,17,dataresqc
2020-06-10,24,dataresqc
2020-06-11,27,dataresqc
2020-06-12,15,dataresqc
2020-06-13,14,dataresqc
2020-06-14,17,dataresqc
2020-06-15,15,dataresqc
2020-06-16,16,dataresqc
2020-06-17,17,dataresqc
2020-06-18,33,dataresqc
2020-06-19,23,dataresqc
2020-06-20,15,dataresqc
2020-06-21,16,dataresqc
2020-06-22,17,dataresqc
2020-06-23,25,dataresqc
2020-06-24,19,dataresqc
2020-06-25,16,dataresqc
2020-06-26,16,dataresqc
2020-06-27,14,dataresqc
2020-06-28,16,dataresqc
2020-06-29,16,dataresqc
2020-06-30,12,dataresqc
2020-07-01,13,dataresqc
2020-07-02,15,dataresqc
2020-07-03,19,dataresqc
2020-07-04,14,dataresqc
2020-07-05,15,dataresqc
2020-07-06,21,dataresqc
2020-07-07,22,dataresqc
2020-07-08,12,dataresqc
2020-07-09,18,dataresqc
2020-07-10,14,dataresqc
2020-07-11,13,dataresqc
2020-07-12,17,dataresqc
2020-07-13,18,dataresqc
2020-07-14,16,dataresqc
2020-07-15,17,dataresqc
2020-07-16,17,dataresqc
2020-07-17,13,dataresqc
2020-07-18,26,dataresqc
2020-07-19,15,dataresqc
2020-07-20,13,dataresqc
2020-07-21,21,dataresqc
2020-07-22,17,dataresqc
2020-07-23,21,dataresqc
2020-07-24,16,dataresqc
2020-07-25,16,dataresqc
2020-07-26,16,dataresqc
2020-07-27,11,dataresqc
2020-07-28,14,dataresqc
2020-07-29,10,dataresqc
2020-07-30,19,dataresqc
2020-07-31,7,dataresqc
2020-08-01,1,dataresqc
2020-08-02,5,dataresqc
2020-08-03,16,dataresqc
2020-08-04,20,dataresqc
2020-08-05,20,dataresqc
2020-08-06,18,dataresqc
2020-08-07,23,dataresqc
2020-08-08,15,dataresqc
2020-08-09,23,dataresqc
2020-08-10,22,dataresqc
2020-08-11,20,dataresqc
2020-08-12,15,dataresqc
2020-08-13,21,dataresqc
2020-08-14,18,dataresqc
2020-08-15,11,dataresqc
2020-08-16,11,dataresqc
2020-08-17,14,dataresqc
2020-08-18,18,dataresqc
2020-08-19,15,dataresqc
2020-08-20,11,dataresqc
2020-08-21,16,dataresqc
2020-08-22,10,dataresqc
2020-08-23,24,dataresqc
2020-08-24,16,dataresqc
2020-08-25,20,dataresqc
2020-08-26,16,dataresqc
2020-08-27,14,dataresqc
2020-08-28,11,dataresqc
