date,count,package
2020-01-01,0,dmdScheme
2020-01-02,0,dmdScheme
2020-01-03,0,dmdScheme
2020-01-04,0,dmdScheme
2020-01-05,0,dmdScheme
2020-01-06,0,dmdScheme
2020-01-07,0,dmdScheme
2020-01-08,0,dmdScheme
2020-01-09,0,dmdScheme
2020-01-10,3,dmdScheme
2020-01-11,11,dmdScheme
2020-01-12,5,dmdScheme
2020-01-13,13,dmdScheme
2020-01-14,15,dmdScheme
2020-01-15,30,dmdScheme
2020-01-16,28,dmdScheme
2020-01-17,25,dmdScheme
2020-01-18,12,dmdScheme
2020-01-19,16,dmdScheme
2020-01-20,10,dmdScheme
2020-01-21,13,dmdScheme
2020-01-22,13,dmdScheme
2020-01-23,7,dmdScheme
2020-01-24,8,dmdScheme
2020-01-25,9,dmdScheme
2020-01-26,6,dmdScheme
2020-01-27,9,dmdScheme
2020-01-28,18,dmdScheme
2020-01-29,12,dmdScheme
2020-01-30,5,dmdScheme
2020-01-31,6,dmdScheme
2020-02-01,8,dmdScheme
2020-02-02,5,dmdScheme
2020-02-03,0,dmdScheme
2020-02-04,8,dmdScheme
2020-02-05,10,dmdScheme
2020-02-06,16,dmdScheme
2020-02-07,7,dmdScheme
2020-02-08,14,dmdScheme
2020-02-09,2,dmdScheme
2020-02-10,5,dmdScheme
2020-02-11,7,dmdScheme
2020-02-12,5,dmdScheme
2020-02-13,7,dmdScheme
2020-02-14,5,dmdScheme
2020-02-15,8,dmdScheme
2020-02-16,6,dmdScheme
2020-02-17,3,dmdScheme
2020-02-18,4,dmdScheme
2020-02-19,9,dmdScheme
2020-02-20,4,dmdScheme
2020-02-21,5,dmdScheme
2020-02-22,3,dmdScheme
2020-02-23,7,dmdScheme
2020-02-24,9,dmdScheme
2020-02-25,3,dmdScheme
2020-02-26,7,dmdScheme
2020-02-27,8,dmdScheme
2020-02-28,3,dmdScheme
2020-02-29,1,dmdScheme
2020-03-01,9,dmdScheme
2020-03-02,5,dmdScheme
2020-03-03,9,dmdScheme
2020-03-04,11,dmdScheme
2020-03-05,3,dmdScheme
2020-03-06,4,dmdScheme
2020-03-07,5,dmdScheme
2020-03-08,6,dmdScheme
2020-03-09,8,dmdScheme
2020-03-10,7,dmdScheme
2020-03-11,6,dmdScheme
2020-03-12,9,dmdScheme
2020-03-13,5,dmdScheme
2020-03-14,2,dmdScheme
2020-03-15,3,dmdScheme
2020-03-16,13,dmdScheme
2020-03-17,6,dmdScheme
2020-03-18,19,dmdScheme
2020-03-19,15,dmdScheme
2020-03-20,7,dmdScheme
2020-03-21,6,dmdScheme
2020-03-22,15,dmdScheme
2020-03-23,13,dmdScheme
2020-03-24,9,dmdScheme
2020-03-25,23,dmdScheme
2020-03-26,20,dmdScheme
2020-03-27,11,dmdScheme
2020-03-28,14,dmdScheme
2020-03-29,16,dmdScheme
2020-03-30,17,dmdScheme
2020-03-31,20,dmdScheme
2020-04-01,22,dmdScheme
2020-04-02,12,dmdScheme
2020-04-03,11,dmdScheme
2020-04-04,12,dmdScheme
2020-04-05,13,dmdScheme
