date,count,package
2020-01-01,0,entcn
2020-01-02,0,entcn
2020-01-03,0,entcn
2020-01-04,0,entcn
2020-01-05,0,entcn
2020-01-06,0,entcn
2020-01-07,0,entcn
2020-01-08,0,entcn
2020-01-09,0,entcn
2020-01-10,0,entcn
2020-01-11,0,entcn
2020-01-12,0,entcn
2020-01-13,0,entcn
2020-01-14,0,entcn
2020-01-15,0,entcn
2020-01-16,0,entcn
2020-01-17,0,entcn
2020-01-18,0,entcn
2020-01-19,0,entcn
2020-01-20,0,entcn
2020-01-21,0,entcn
2020-01-22,0,entcn
2020-01-23,0,entcn
2020-01-24,0,entcn
2020-01-25,0,entcn
2020-01-26,0,entcn
2020-01-27,0,entcn
2020-01-28,0,entcn
2020-01-29,0,entcn
2020-01-30,0,entcn
2020-01-31,0,entcn
2020-02-01,0,entcn
2020-02-02,0,entcn
2020-02-03,0,entcn
2020-02-04,0,entcn
2020-02-05,0,entcn
2020-02-06,0,entcn
2020-02-07,0,entcn
2020-02-08,0,entcn
2020-02-09,0,entcn
2020-02-10,0,entcn
2020-02-11,0,entcn
2020-02-12,0,entcn
2020-02-13,0,entcn
2020-02-14,0,entcn
2020-02-15,0,entcn
2020-02-16,0,entcn
2020-02-17,0,entcn
2020-02-18,0,entcn
2020-02-19,0,entcn
2020-02-20,0,entcn
2020-02-21,5,entcn
2020-02-22,17,entcn
2020-02-23,25,entcn
2020-02-24,22,entcn
2020-02-25,18,entcn
2020-02-26,32,entcn
2020-02-27,30,entcn
2020-02-28,25,entcn
2020-02-29,12,entcn
2020-03-01,38,entcn
2020-03-02,20,entcn
2020-03-03,27,entcn
2020-03-04,31,entcn
2020-03-05,23,entcn
2020-03-06,25,entcn
2020-03-07,23,entcn
2020-03-08,23,entcn
2020-03-09,24,entcn
2020-03-10,23,entcn
2020-03-11,6,entcn
2020-03-12,25,entcn
2020-03-13,17,entcn
2020-03-14,17,entcn
2020-03-15,13,entcn
2020-03-16,16,entcn
2020-03-17,19,entcn
2020-03-18,6,entcn
2020-03-19,13,entcn
2020-03-20,17,entcn
2020-03-21,14,entcn
2020-03-22,8,entcn
2020-03-23,12,entcn
2020-03-24,14,entcn
2020-03-25,13,entcn
2020-03-26,8,entcn
2020-03-27,9,entcn
2020-03-28,9,entcn
2020-03-29,20,entcn
2020-03-30,19,entcn
2020-03-31,15,entcn
2020-04-01,18,entcn
2020-04-02,11,entcn
2020-04-03,16,entcn
2020-04-04,9,entcn
2020-04-05,15,entcn
2020-04-06,18,entcn
2020-04-07,21,entcn
2020-04-08,19,entcn
2020-04-09,19,entcn
2020-04-10,8,entcn
2020-04-11,7,entcn
2020-04-12,11,entcn
2020-04-13,11,entcn
2020-04-14,9,entcn
2020-04-15,29,entcn
2020-04-16,10,entcn
2020-04-17,20,entcn
2020-04-18,13,entcn
2020-04-19,4,entcn
2020-04-20,8,entcn
2020-04-21,8,entcn
2020-04-22,28,entcn
2020-04-23,10,entcn
2020-04-24,16,entcn
2020-04-25,33,entcn
2020-04-26,11,entcn
2020-04-27,16,entcn
2020-04-28,23,entcn
2020-04-29,33,entcn
2020-04-30,22,entcn
2020-05-01,24,entcn
2020-05-02,23,entcn
2020-05-03,21,entcn
2020-05-04,19,entcn
2020-05-05,15,entcn
2020-05-06,30,entcn
2020-05-07,25,entcn
2020-05-08,17,entcn
2020-05-09,27,entcn
2020-05-10,52,entcn
2020-05-11,42,entcn
2020-05-12,16,entcn
2020-05-13,17,entcn
2020-05-14,15,entcn
2020-05-15,15,entcn
2020-05-16,17,entcn
2020-05-17,16,entcn
2020-05-18,24,entcn
2020-05-19,19,entcn
2020-05-20,19,entcn
2020-05-21,13,entcn
2020-05-22,16,entcn
2020-05-23,14,entcn
2020-05-24,14,entcn
2020-05-25,13,entcn
2020-05-26,18,entcn
2020-05-27,23,entcn
2020-05-28,17,entcn
2020-05-29,14,entcn
2020-05-30,21,entcn
2020-05-31,15,entcn
2020-06-01,16,entcn
2020-06-02,16,entcn
2020-06-03,15,entcn
2020-06-04,15,entcn
2020-06-05,15,entcn
2020-06-06,14,entcn
2020-06-07,15,entcn
2020-06-08,20,entcn
2020-06-09,21,entcn
2020-06-10,21,entcn
2020-06-11,20,entcn
2020-06-12,15,entcn
2020-06-13,13,entcn
2020-06-14,16,entcn
2020-06-15,12,entcn
2020-06-16,17,entcn
2020-06-17,13,entcn
2020-06-18,33,entcn
2020-06-19,21,entcn
2020-06-20,15,entcn
2020-06-21,22,entcn
2020-06-22,18,entcn
2020-06-23,20,entcn
2020-06-24,15,entcn
2020-06-25,15,entcn
2020-06-26,21,entcn
2020-06-27,14,entcn
2020-06-28,15,entcn
2020-06-29,14,entcn
2020-06-30,13,entcn
2020-07-01,13,entcn
2020-07-02,15,entcn
2020-07-03,23,entcn
2020-07-04,13,entcn
2020-07-05,10,entcn
2020-07-06,14,entcn
2020-07-07,28,entcn
2020-07-08,13,entcn
2020-07-09,14,entcn
2020-07-10,12,entcn
2020-07-11,10,entcn
2020-07-12,15,entcn
2020-07-13,16,entcn
2020-07-14,16,entcn
2020-07-15,16,entcn
2020-07-16,22,entcn
2020-07-17,13,entcn
2020-07-18,18,entcn
2020-07-19,14,entcn
2020-07-20,11,entcn
2020-07-21,21,entcn
2020-07-22,20,entcn
2020-07-23,19,entcn
2020-07-24,14,entcn
2020-07-25,19,entcn
2020-07-26,15,entcn
2020-07-27,11,entcn
2020-07-28,20,entcn
2020-07-29,10,entcn
2020-07-30,11,entcn
2020-07-31,8,entcn
2020-08-01,2,entcn
2020-08-02,6,entcn
2020-08-03,18,entcn
2020-08-04,16,entcn
2020-08-05,19,entcn
2020-08-06,19,entcn
2020-08-07,23,entcn
2020-08-08,15,entcn
2020-08-09,22,entcn
2020-08-10,20,entcn
2020-08-11,20,entcn
2020-08-12,13,entcn
2020-08-13,19,entcn
2020-08-14,18,entcn
2020-08-15,11,entcn
2020-08-16,12,entcn
2020-08-17,13,entcn
2020-08-18,18,entcn
2020-08-19,15,entcn
2020-08-20,11,entcn
2020-08-21,16,entcn
2020-08-22,19,entcn
2020-08-23,10,entcn
2020-08-24,16,entcn
2020-08-25,14,entcn
2020-08-26,16,entcn
2020-08-27,15,entcn
2020-08-28,20,entcn
2020-08-29,14,entcn
2020-08-30,12,entcn
2020-08-31,15,entcn
2020-09-01,18,entcn
2020-09-02,17,entcn
2020-09-03,23,entcn
2020-09-04,12,entcn
2020-09-05,20,entcn
2020-09-06,18,entcn
2020-09-07,22,entcn
2020-09-08,25,entcn
2020-09-09,25,entcn
2020-09-10,16,entcn
2020-09-11,26,entcn
2020-09-12,22,entcn
2020-09-13,20,entcn
2020-09-14,34,entcn
2020-09-15,26,entcn
2020-09-16,19,entcn
2020-09-17,32,entcn
2020-09-18,24,entcn
2020-09-19,15,entcn
2020-09-20,18,entcn
2020-09-21,22,entcn
2020-09-22,27,entcn
2020-09-23,18,entcn
2020-09-24,11,entcn
2020-09-25,10,entcn
2020-09-26,13,entcn
2020-09-27,18,entcn
2020-09-28,20,entcn
2020-09-29,21,entcn
2020-09-30,18,entcn
2020-10-01,18,entcn
2020-10-02,22,entcn
2020-10-03,17,entcn
2020-10-04,21,entcn
2020-10-05,15,entcn
2020-10-06,13,entcn
2020-10-07,14,entcn
2020-10-08,12,entcn
2020-10-09,23,entcn
2020-10-10,15,entcn
2020-10-11,12,entcn
2020-10-12,12,entcn
2020-10-13,16,entcn
2020-10-14,15,entcn
2020-10-15,11,entcn
2020-10-16,15,entcn
2020-10-17,1,entcn
2020-10-18,11,entcn
2020-10-19,17,entcn
2020-10-20,19,entcn
2020-10-21,17,entcn
2020-10-22,19,entcn
2020-10-23,16,entcn
2020-10-24,22,entcn
2020-10-25,9,entcn
2020-10-26,14,entcn
2020-10-27,15,entcn
2020-10-28,17,entcn
2020-10-29,29,entcn
2020-10-30,12,entcn
2020-10-31,12,entcn
2020-11-01,10,entcn
2020-11-02,10,entcn
2020-11-03,24,entcn
2020-11-04,8,entcn
2020-11-05,23,entcn
2020-11-06,19,entcn
2020-11-07,21,entcn
2020-11-08,15,entcn
2020-11-09,19,entcn
2020-11-10,16,entcn
2020-11-11,25,entcn
2020-11-12,17,entcn
2020-11-13,16,entcn
2020-11-14,11,entcn
2020-11-15,13,entcn
2020-11-16,17,entcn
2020-11-17,20,entcn
2020-11-18,16,entcn
2020-11-19,15,entcn
2020-11-20,14,entcn
2020-11-21,10,entcn
2020-11-22,12,entcn
2020-11-23,11,entcn
2020-11-24,18,entcn
2020-11-25,18,entcn
2020-11-26,8,entcn
2020-11-27,14,entcn
2020-11-28,16,entcn
2020-11-29,14,entcn
2020-11-30,16,entcn
2020-12-01,19,entcn
2020-12-02,17,entcn
2020-12-03,17,entcn
2020-12-04,14,entcn
2020-12-05,14,entcn
2020-12-06,11,entcn
2020-12-07,13,entcn
2020-12-08,5,entcn
2020-12-09,16,entcn
2020-12-10,16,entcn
2020-12-11,20,entcn
2020-12-12,13,entcn
2020-12-13,14,entcn
2020-12-14,16,entcn
2020-12-15,12,entcn
2020-12-16,40,entcn
2020-12-17,15,entcn
2020-12-18,19,entcn
2020-12-19,12,entcn
2020-12-20,15,entcn
2020-12-21,15,entcn
2020-12-22,14,entcn
2020-12-23,16,entcn
2020-12-24,12,entcn
2020-12-25,13,entcn
2020-12-26,11,entcn
2020-12-27,10,entcn
2020-12-28,18,entcn
2020-12-29,15,entcn
2020-12-30,13,entcn
2020-12-31,11,entcn
2021-01-01,12,entcn
2021-01-02,13,entcn
2021-01-03,12,entcn
2021-01-04,14,entcn
2021-01-05,13,entcn
2021-01-06,16,entcn
2021-01-07,15,entcn
2021-01-08,11,entcn
2021-01-09,10,entcn
2021-01-10,12,entcn
2021-01-11,16,entcn
2021-01-12,14,entcn
2021-01-13,14,entcn
2021-01-14,18,entcn
2021-01-15,12,entcn
2021-01-16,7,entcn
2021-01-17,13,entcn
2021-01-18,12,entcn
2021-01-19,15,entcn
2021-01-20,14,entcn
2021-01-21,10,entcn
2021-01-22,4,entcn
2021-01-23,14,entcn
2021-01-24,6,entcn
2021-01-25,19,entcn
2021-01-26,7,entcn
2021-01-27,20,entcn
2021-01-28,2,entcn
2021-01-29,17,entcn
2021-01-30,15,entcn
2021-01-31,13,entcn
2021-02-01,13,entcn
2021-02-02,14,entcn
2021-02-03,15,entcn
2021-02-04,15,entcn
2021-02-05,4,entcn
2021-02-06,20,entcn
2021-02-07,18,entcn
2021-02-08,11,entcn
2021-02-09,17,entcn
2021-02-10,15,entcn
2021-02-11,21,entcn
2021-02-12,20,entcn
2021-02-13,20,entcn
2021-02-14,5,entcn
2021-02-15,16,entcn
2021-02-16,11,entcn
2021-02-17,13,entcn
2021-02-18,19,entcn
2021-02-19,17,entcn
2021-02-20,17,entcn
2021-02-21,17,entcn
2021-02-22,28,entcn
2021-02-23,7,entcn
2021-02-24,24,entcn
2021-02-25,23,entcn
2021-02-26,22,entcn
2021-02-27,11,entcn
2021-02-28,9,entcn
2021-03-01,15,entcn
2021-03-02,19,entcn
2021-03-03,14,entcn
2021-03-04,16,entcn
2021-03-05,16,entcn
2021-03-06,11,entcn
2021-03-07,10,entcn
2021-03-08,20,entcn
2021-03-09,12,entcn
2021-03-10,20,entcn
2021-03-11,14,entcn
2021-03-12,11,entcn
2021-03-13,16,entcn
2021-03-14,12,entcn
2021-03-15,12,entcn
2021-03-16,16,entcn
2021-03-17,18,entcn
2021-03-18,16,entcn
2021-03-19,6,entcn
2021-03-20,11,entcn
2021-03-21,6,entcn
2021-03-22,14,entcn
2021-03-23,6,entcn
2021-03-24,19,entcn
2021-03-25,9,entcn
2021-03-26,14,entcn
2021-03-27,2,entcn
2021-03-28,12,entcn
2021-03-29,10,entcn
2021-03-30,16,entcn
2021-03-31,7,entcn
2021-04-01,11,entcn
2021-04-02,3,entcn
2021-04-03,11,entcn
2021-04-04,6,entcn
2021-04-05,13,entcn
2021-04-06,6,entcn
2021-04-07,19,entcn
2021-04-08,19,entcn
2021-04-09,9,entcn
2021-04-10,13,entcn
2021-04-11,9,entcn
2021-04-12,14,entcn
2021-04-13,9,entcn
2021-04-14,16,entcn
2021-04-15,5,entcn
2021-04-16,12,entcn
2021-04-17,7,entcn
2021-04-18,17,entcn
2021-04-19,13,entcn
2021-04-20,17,entcn
2021-04-21,11,entcn
2021-04-22,22,entcn
2021-04-23,9,entcn
2021-04-24,19,entcn
2021-04-25,7,entcn
2021-04-26,16,entcn
2021-04-27,16,entcn
2021-04-28,16,entcn
2021-04-29,8,entcn
2021-04-30,6,entcn
2021-05-01,14,entcn
2021-05-02,11,entcn
2021-05-03,16,entcn
2021-05-04,21,entcn
2021-05-05,7,entcn
2021-05-06,28,entcn
2021-05-07,6,entcn
2021-05-08,11,entcn
2021-05-09,2,entcn
2021-05-10,13,entcn
2021-05-11,13,entcn
2021-05-12,20,entcn
2021-05-13,11,entcn
2021-05-14,18,entcn
2021-05-15,6,entcn
2021-05-16,15,entcn
2021-05-17,8,entcn
2021-05-18,22,entcn
2021-05-19,20,entcn
2021-05-20,25,entcn
2021-05-21,11,entcn
2021-05-22,13,entcn
2021-05-23,8,entcn
2021-05-24,8,entcn
2021-05-25,22,entcn
2021-05-26,7,entcn
2021-05-27,6,entcn
2021-05-28,13,entcn
2021-05-29,1,entcn
2021-05-30,11,entcn
2021-05-31,9,entcn
2021-06-01,12,entcn
2021-06-02,8,entcn
2021-06-03,9,entcn
2021-06-04,5,entcn
2021-06-05,2,entcn
2021-06-06,13,entcn
2021-06-07,6,entcn
2021-06-08,12,entcn
2021-06-09,8,entcn
