date,count,package
2020-01-01,0,fad
2020-01-02,0,fad
2020-01-03,0,fad
2020-01-04,0,fad
2020-01-05,0,fad
2020-01-06,0,fad
2020-01-07,0,fad
2020-01-08,0,fad
2020-01-09,0,fad
2020-01-10,0,fad
2020-01-11,0,fad
2020-01-12,0,fad
2020-01-13,0,fad
2020-01-14,0,fad
2020-01-15,0,fad
2020-01-16,0,fad
2020-01-17,0,fad
2020-01-18,0,fad
2020-01-19,0,fad
2020-01-20,0,fad
2020-01-21,0,fad
2020-01-22,0,fad
2020-01-23,0,fad
2020-01-24,5,fad
2020-01-25,15,fad
2020-01-26,15,fad
2020-01-27,15,fad
2020-01-28,34,fad
2020-01-29,38,fad
2020-01-30,33,fad
2020-01-31,30,fad
2020-02-01,28,fad
2020-02-02,23,fad
2020-02-03,16,fad
2020-02-04,19,fad
2020-02-05,22,fad
2020-02-06,24,fad
2020-02-07,16,fad
2020-02-08,21,fad
2020-02-09,15,fad
2020-02-10,16,fad
2020-02-11,11,fad
2020-02-12,14,fad
2020-02-13,16,fad
2020-02-14,11,fad
2020-02-15,18,fad
2020-02-16,13,fad
2020-02-17,7,fad
2020-02-18,11,fad
2020-02-19,15,fad
2020-02-20,11,fad
2020-02-21,11,fad
2020-02-22,10,fad
2020-02-23,23,fad
2020-02-24,13,fad
2020-02-25,9,fad
2020-02-26,13,fad
2020-02-27,13,fad
2020-02-28,10,fad
2020-02-29,5,fad
2020-03-01,16,fad
2020-03-02,7,fad
2020-03-03,15,fad
2020-03-04,17,fad
2020-03-05,10,fad
2020-03-06,13,fad
2020-03-07,13,fad
2020-03-08,14,fad
2020-03-09,15,fad
2020-03-10,14,fad
2020-03-11,7,fad
2020-03-12,15,fad
2020-03-13,10,fad
2020-03-14,9,fad
2020-03-15,18,fad
2020-03-16,13,fad
2020-03-17,11,fad
2020-03-18,7,fad
2020-03-19,10,fad
2020-03-20,13,fad
2020-03-21,14,fad
2020-03-22,8,fad
2020-03-23,12,fad
2020-03-24,7,fad
2020-03-25,19,fad
2020-03-26,7,fad
2020-03-27,8,fad
2020-03-28,8,fad
2020-03-29,20,fad
2020-03-30,18,fad
2020-03-31,15,fad
2020-04-01,15,fad
2020-04-02,10,fad
2020-04-03,17,fad
2020-04-04,8,fad
2020-04-05,15,fad
2020-04-06,18,fad
2020-04-07,20,fad
2020-04-08,19,fad
2020-04-09,19,fad
2020-04-10,8,fad
2020-04-11,9,fad
2020-04-12,11,fad
2020-04-13,12,fad
2020-04-14,9,fad
2020-04-15,29,fad
2020-04-16,18,fad
2020-04-17,22,fad
2020-04-18,6,fad
2020-04-19,3,fad
2020-04-20,7,fad
2020-04-21,7,fad
2020-04-22,27,fad
2020-04-23,9,fad
2020-04-24,16,fad
2020-04-25,31,fad
2020-04-26,12,fad
2020-04-27,45,fad
2020-04-28,57,fad
2020-04-29,48,fad
2020-04-30,26,fad
2020-05-01,26,fad
2020-05-02,25,fad
2020-05-03,24,fad
2020-05-04,22,fad
2020-05-05,21,fad
2020-05-06,26,fad
2020-05-07,26,fad
2020-05-08,21,fad
2020-05-09,24,fad
2020-05-10,59,fad
2020-05-11,43,fad
2020-05-12,17,fad
2020-05-13,19,fad
2020-05-14,14,fad
2020-05-15,15,fad
2020-05-16,17,fad
2020-05-17,16,fad
2020-05-18,25,fad
2020-05-19,19,fad
2020-05-20,19,fad
2020-05-21,17,fad
2020-05-22,18,fad
2020-05-23,12,fad
2020-05-24,15,fad
2020-05-25,15,fad
2020-05-26,18,fad
2020-05-27,17,fad
2020-05-28,19,fad
2020-05-29,22,fad
2020-05-30,15,fad
2020-05-31,20,fad
2020-06-01,15,fad
2020-06-02,18,fad
2020-06-03,15,fad
2020-06-04,16,fad
2020-06-05,14,fad
2020-06-06,14,fad
2020-06-07,15,fad
2020-06-08,20,fad
2020-06-09,16,fad
2020-06-10,21,fad
2020-06-11,24,fad
2020-06-12,27,fad
2020-06-13,13,fad
2020-06-14,12,fad
2020-06-15,17,fad
2020-06-16,18,fad
2020-06-17,14,fad
2020-06-18,36,fad
2020-06-19,24,fad
2020-06-20,17,fad
2020-06-21,19,fad
2020-06-22,20,fad
2020-06-23,22,fad
2020-06-24,23,fad
2020-06-25,18,fad
2020-06-26,19,fad
2020-06-27,14,fad
2020-06-28,16,fad
2020-06-29,16,fad
2020-06-30,11,fad
2020-07-01,14,fad
2020-07-02,16,fad
2020-07-03,20,fad
2020-07-04,14,fad
2020-07-05,10,fad
2020-07-06,26,fad
2020-07-07,22,fad
2020-07-08,13,fad
2020-07-09,16,fad
2020-07-10,10,fad
2020-07-11,10,fad
2020-07-12,16,fad
2020-07-13,16,fad
2020-07-14,17,fad
2020-07-15,14,fad
2020-07-16,16,fad
2020-07-17,17,fad
2020-07-18,18,fad
2020-07-19,20,fad
2020-07-20,12,fad
2020-07-21,20,fad
2020-07-22,19,fad
2020-07-23,20,fad
2020-07-24,19,fad
2020-07-25,17,fad
2020-07-26,17,fad
2020-07-27,16,fad
2020-07-28,16,fad
2020-07-29,12,fad
2020-07-30,19,fad
2020-07-31,6,fad
2020-08-01,3,fad
2020-08-02,5,fad
2020-08-03,17,fad
2020-08-04,17,fad
2020-08-05,18,fad
2020-08-06,19,fad
2020-08-07,25,fad
2020-08-08,15,fad
2020-08-09,22,fad
2020-08-10,23,fad
2020-08-11,20,fad
2020-08-12,13,fad
2020-08-13,19,fad
2020-08-14,17,fad
2020-08-15,11,fad
2020-08-16,12,fad
2020-08-17,14,fad
2020-08-18,21,fad
2020-08-19,15,fad
2020-08-20,12,fad
2020-08-21,16,fad
2020-08-22,9,fad
2020-08-23,10,fad
2020-08-24,42,fad
2020-08-25,20,fad
2020-08-26,24,fad
2020-08-27,14,fad
