date,count,package
2020-01-01,0,fcaR
2020-01-02,0,fcaR
2020-01-03,0,fcaR
2020-01-04,0,fcaR
2020-01-05,0,fcaR
2020-01-06,0,fcaR
2020-01-07,0,fcaR
2020-01-08,0,fcaR
2020-01-09,0,fcaR
2020-01-10,0,fcaR
2020-01-11,0,fcaR
2020-01-12,5,fcaR
2020-01-13,9,fcaR
2020-01-14,27,fcaR
2020-01-15,29,fcaR
2020-01-16,41,fcaR
2020-01-17,29,fcaR
2020-01-18,21,fcaR
2020-01-19,26,fcaR
2020-01-20,24,fcaR
2020-01-21,45,fcaR
2020-01-22,46,fcaR
2020-01-23,30,fcaR
2020-01-24,34,fcaR
2020-01-25,26,fcaR
2020-01-26,27,fcaR
2020-01-27,36,fcaR
2020-01-28,39,fcaR
2020-01-29,35,fcaR
2020-01-30,26,fcaR
2020-01-31,23,fcaR
2020-02-01,21,fcaR
2020-02-02,15,fcaR
2020-02-03,11,fcaR
2020-02-04,15,fcaR
2020-02-05,20,fcaR
2020-02-06,22,fcaR
2020-02-07,16,fcaR
2020-02-08,23,fcaR
2020-02-09,11,fcaR
2020-02-10,16,fcaR
2020-02-11,16,fcaR
2020-02-12,18,fcaR
2020-02-13,16,fcaR
2020-02-14,18,fcaR
2020-02-15,12,fcaR
2020-02-16,12,fcaR
2020-02-17,7,fcaR
2020-02-18,10,fcaR
2020-02-19,20,fcaR
2020-02-20,13,fcaR
2020-02-21,20,fcaR
2020-02-22,15,fcaR
2020-02-23,26,fcaR
2020-02-24,13,fcaR
2020-02-25,9,fcaR
2020-02-26,16,fcaR
2020-02-27,13,fcaR
2020-02-28,11,fcaR
2020-02-29,5,fcaR
2020-03-01,16,fcaR
2020-03-02,8,fcaR
2020-03-03,15,fcaR
2020-03-04,19,fcaR
2020-03-05,10,fcaR
2020-03-06,11,fcaR
2020-03-07,15,fcaR
2020-03-08,15,fcaR
2020-03-09,20,fcaR
2020-03-10,20,fcaR
2020-03-11,13,fcaR
2020-03-12,15,fcaR
2020-03-13,10,fcaR
2020-03-14,10,fcaR
2020-03-15,12,fcaR
2020-03-16,21,fcaR
2020-03-17,10,fcaR
2020-03-18,6,fcaR
2020-03-19,10,fcaR
2020-03-20,13,fcaR
2020-03-21,14,fcaR
2020-03-22,8,fcaR
2020-03-23,21,fcaR
2020-03-24,6,fcaR
2020-03-25,15,fcaR
2020-03-26,9,fcaR
2020-03-27,13,fcaR
2020-03-28,8,fcaR
2020-03-29,22,fcaR
2020-03-30,21,fcaR
2020-03-31,19,fcaR
2020-04-01,16,fcaR
2020-04-02,10,fcaR
2020-04-03,19,fcaR
2020-04-04,8,fcaR
2020-04-05,16,fcaR
2020-04-06,18,fcaR
2020-04-07,20,fcaR
2020-04-08,21,fcaR
2020-04-09,23,fcaR
2020-04-10,10,fcaR
2020-04-11,9,fcaR
2020-04-12,12,fcaR
2020-04-13,12,fcaR
2020-04-14,10,fcaR
2020-04-15,26,fcaR
2020-04-16,19,fcaR
2020-04-17,27,fcaR
2020-04-18,6,fcaR
2020-04-19,3,fcaR
2020-04-20,7,fcaR
2020-04-21,7,fcaR
2020-04-22,44,fcaR
2020-04-23,19,fcaR
2020-04-24,38,fcaR
2020-04-25,33,fcaR
2020-04-26,12,fcaR
2020-04-27,15,fcaR
2020-04-28,24,fcaR
2020-04-29,34,fcaR
2020-04-30,22,fcaR
2020-05-01,24,fcaR
2020-05-02,23,fcaR
2020-05-03,22,fcaR
2020-05-04,20,fcaR
2020-05-05,18,fcaR
2020-05-06,26,fcaR
2020-05-07,30,fcaR
2020-05-08,22,fcaR
2020-05-09,28,fcaR
2020-05-10,56,fcaR
2020-05-11,42,fcaR
2020-05-12,19,fcaR
2020-05-13,22,fcaR
2020-05-14,16,fcaR
2020-05-15,15,fcaR
2020-05-16,17,fcaR
2020-05-17,17,fcaR
2020-05-18,25,fcaR
2020-05-19,20,fcaR
2020-05-20,21,fcaR
2020-05-21,13,fcaR
2020-05-22,16,fcaR
2020-05-23,12,fcaR
2020-05-24,14,fcaR
2020-05-25,14,fcaR
2020-05-26,20,fcaR
2020-05-27,18,fcaR
2020-05-28,25,fcaR
2020-05-29,13,fcaR
2020-05-30,21,fcaR
2020-05-31,17,fcaR
2020-06-01,14,fcaR
2020-06-02,16,fcaR
2020-06-03,17,fcaR
2020-06-04,14,fcaR
2020-06-05,18,fcaR
2020-06-06,14,fcaR
2020-06-07,16,fcaR
2020-06-08,21,fcaR
2020-06-09,18,fcaR
2020-06-10,29,fcaR
2020-06-11,19,fcaR
2020-06-12,21,fcaR
2020-06-13,17,fcaR
2020-06-14,12,fcaR
2020-06-15,16,fcaR
2020-06-16,17,fcaR
2020-06-17,14,fcaR
2020-06-18,31,fcaR
2020-06-19,27,fcaR
2020-06-20,16,fcaR
2020-06-21,16,fcaR
2020-06-22,19,fcaR
2020-06-23,22,fcaR
2020-06-24,20,fcaR
2020-06-25,18,fcaR
2020-06-26,25,fcaR
2020-06-27,14,fcaR
