date,count,package
2020-01-01,0,genero
2020-01-02,0,genero
2020-01-03,0,genero
2020-01-04,0,genero
2020-01-05,0,genero
2020-01-06,0,genero
2020-01-07,0,genero
2020-01-08,0,genero
2020-01-09,0,genero
2020-01-10,0,genero
2020-01-11,0,genero
2020-01-12,0,genero
2020-01-13,0,genero
2020-01-14,0,genero
2020-01-15,0,genero
2020-01-16,0,genero
2020-01-17,0,genero
2020-01-18,0,genero
2020-01-19,0,genero
2020-01-20,0,genero
2020-01-21,0,genero
2020-01-22,0,genero
2020-01-23,0,genero
2020-01-24,0,genero
2020-01-25,0,genero
2020-01-26,0,genero
2020-01-27,0,genero
2020-01-28,0,genero
2020-01-29,0,genero
2020-01-30,0,genero
2020-01-31,0,genero
2020-02-01,0,genero
2020-02-02,0,genero
2020-02-03,0,genero
2020-02-04,0,genero
2020-02-05,0,genero
2020-02-06,0,genero
2020-02-07,0,genero
2020-02-08,0,genero
2020-02-09,0,genero
2020-02-10,0,genero
2020-02-11,0,genero
2020-02-12,0,genero
2020-02-13,0,genero
2020-02-14,0,genero
2020-02-15,0,genero
2020-02-16,0,genero
2020-02-17,0,genero
2020-02-18,0,genero
2020-02-19,0,genero
2020-02-20,0,genero
2020-02-21,0,genero
2020-02-22,0,genero
2020-02-23,0,genero
2020-02-24,0,genero
2020-02-25,0,genero
2020-02-26,0,genero
2020-02-27,0,genero
2020-02-28,0,genero
2020-02-29,0,genero
2020-03-01,0,genero
2020-03-02,0,genero
2020-03-03,0,genero
2020-03-04,0,genero
2020-03-05,0,genero
2020-03-06,0,genero
2020-03-07,0,genero
2020-03-08,0,genero
2020-03-09,12,genero
2020-03-10,15,genero
2020-03-11,7,genero
2020-03-12,44,genero
2020-03-13,30,genero
2020-03-14,26,genero
2020-03-15,21,genero
2020-03-16,28,genero
2020-03-17,25,genero
2020-03-18,3,genero
2020-03-19,22,genero
2020-03-20,22,genero
2020-03-21,16,genero
2020-03-22,11,genero
2020-03-23,12,genero
2020-03-24,8,genero
2020-03-25,14,genero
2020-03-26,11,genero
2020-03-27,10,genero
2020-03-28,14,genero
2020-03-29,23,genero
2020-03-30,22,genero
2020-03-31,15,genero
2020-04-01,13,genero
2020-04-02,11,genero
2020-04-03,15,genero
2020-04-04,9,genero
2020-04-05,15,genero
2020-04-06,18,genero
2020-04-07,20,genero
2020-04-08,19,genero
2020-04-09,17,genero
2020-04-10,9,genero
2020-04-11,6,genero
2020-04-12,11,genero
2020-04-13,10,genero
2020-04-14,11,genero
2020-04-15,29,genero
2020-04-16,9,genero
2020-04-17,21,genero
2020-04-18,13,genero
2020-04-19,3,genero
2020-04-20,7,genero
2020-04-21,7,genero
2020-04-22,27,genero
2020-04-23,8,genero
2020-04-24,15,genero
2020-04-25,29,genero
2020-04-26,12,genero
2020-04-27,16,genero
2020-04-28,23,genero
2020-04-29,32,genero
2020-04-30,21,genero
2020-05-01,24,genero
2020-05-02,24,genero
2020-05-03,23,genero
2020-05-04,20,genero
2020-05-05,17,genero
2020-05-06,25,genero
2020-05-07,23,genero
2020-05-08,17,genero
2020-05-09,23,genero
2020-05-10,52,genero
2020-05-11,43,genero
2020-05-12,16,genero
2020-05-13,21,genero
2020-05-14,14,genero
2020-05-15,15,genero
2020-05-16,16,genero
2020-05-17,16,genero
2020-05-18,25,genero
2020-05-19,28,genero
2020-05-20,17,genero
2020-05-21,12,genero
2020-05-22,16,genero
2020-05-23,10,genero
2020-05-24,13,genero
2020-05-25,14,genero
2020-05-26,17,genero
2020-05-27,18,genero
2020-05-28,18,genero
2020-05-29,21,genero
2020-05-30,15,genero
2020-05-31,25,genero
2020-06-01,14,genero
2020-06-02,15,genero
2020-06-03,14,genero
2020-06-04,13,genero
2020-06-05,15,genero
2020-06-06,14,genero
2020-06-07,14,genero
2020-06-08,20,genero
2020-06-09,15,genero
2020-06-10,23,genero
2020-06-11,25,genero
2020-06-12,16,genero
2020-06-13,12,genero
2020-06-14,16,genero
2020-06-15,12,genero
2020-06-16,16,genero
2020-06-17,12,genero
2020-06-18,29,genero
2020-06-19,26,genero
2020-06-20,12,genero
2020-06-21,18,genero
2020-06-22,17,genero
2020-06-23,21,genero
2020-06-24,21,genero
2020-06-25,29,genero
2020-06-26,17,genero
2020-06-27,12,genero
2020-06-28,16,genero
2020-06-29,15,genero
2020-06-30,10,genero
2020-07-01,14,genero
2020-07-02,16,genero
2020-07-03,17,genero
2020-07-04,13,genero
2020-07-05,10,genero
2020-07-06,16,genero
2020-07-07,35,genero
2020-07-08,13,genero
2020-07-09,15,genero
2020-07-10,11,genero
2020-07-11,10,genero
2020-07-12,15,genero
2020-07-13,15,genero
2020-07-14,16,genero
2020-07-15,18,genero
2020-07-16,16,genero
2020-07-17,14,genero
2020-07-18,17,genero
2020-07-19,21,genero
2020-07-20,14,genero
2020-07-21,20,genero
2020-07-22,17,genero
2020-07-23,14,genero
2020-07-24,15,genero
2020-07-25,22,genero
2020-07-26,15,genero
2020-07-27,11,genero
2020-07-28,9,genero
2020-07-29,11,genero
2020-07-30,7,genero
2020-07-31,4,genero
2020-08-01,7,genero
2020-08-02,8,genero
2020-08-03,17,genero
2020-08-04,17,genero
2020-08-05,20,genero
2020-08-06,18,genero
2020-08-07,24,genero
2020-08-08,15,genero
2020-08-09,16,genero
2020-08-10,20,genero
2020-08-11,17,genero
2020-08-12,25,genero
2020-08-13,18,genero
2020-08-14,15,genero
2020-08-15,11,genero
2020-08-16,11,genero
2020-08-17,13,genero
2020-08-18,18,genero
2020-08-19,15,genero
2020-08-20,13,genero
2020-08-21,16,genero
2020-08-22,12,genero
2020-08-23,10,genero
2020-08-24,15,genero
2020-08-25,22,genero
2020-08-26,16,genero
2020-08-27,14,genero
2020-08-28,14,genero
2020-08-29,14,genero
2020-08-30,18,genero
2020-08-31,15,genero
2020-09-01,17,genero
2020-09-02,16,genero
2020-09-03,15,genero
2020-09-04,13,genero
2020-09-05,25,genero
2020-09-06,19,genero
2020-09-07,24,genero
2020-09-08,22,genero
2020-09-09,22,genero
2020-09-10,14,genero
2020-09-11,25,genero
2020-09-12,24,genero
2020-09-13,20,genero
2020-09-14,29,genero
2020-09-15,20,genero
2020-09-16,14,genero
2020-09-17,44,genero
2020-09-18,23,genero
2020-09-19,15,genero
2020-09-20,18,genero
2020-09-21,22,genero
2020-09-22,26,genero
2020-09-23,18,genero
2020-09-24,10,genero
2020-09-25,11,genero
2020-09-26,12,genero
2020-09-27,10,genero
2020-09-28,20,genero
2020-09-29,26,genero
2020-09-30,19,genero
2020-10-01,17,genero
2020-10-02,19,genero
2020-10-03,17,genero
2020-10-04,17,genero
2020-10-05,19,genero
2020-10-06,13,genero
2020-10-07,14,genero
2020-10-08,12,genero
2020-10-09,17,genero
2020-10-10,15,genero
2020-10-11,17,genero
2020-10-12,13,genero
2020-10-13,14,genero
2020-10-14,15,genero
2020-10-15,11,genero
2020-10-16,13,genero
2020-10-17,1,genero
2020-10-18,12,genero
2020-10-19,17,genero
2020-10-20,18,genero
2020-10-21,18,genero
2020-10-22,17,genero
2020-10-23,20,genero
2020-10-24,19,genero
2020-10-25,12,genero
2020-10-26,15,genero
2020-10-27,14,genero
2020-10-28,16,genero
2020-10-29,28,genero
2020-10-30,8,genero
2020-10-31,13,genero
2020-11-01,11,genero
2020-11-02,10,genero
2020-11-03,16,genero
2020-11-04,10,genero
2020-11-05,24,genero
2020-11-06,15,genero
2020-11-07,20,genero
2020-11-08,13,genero
2020-11-09,20,genero
2020-11-10,18,genero
2020-11-11,22,genero
2020-11-12,17,genero
2020-11-13,14,genero
2020-11-14,10,genero
2020-11-15,12,genero
2020-11-16,13,genero
2020-11-17,21,genero
2020-11-18,16,genero
2020-11-19,14,genero
2020-11-20,13,genero
2020-11-21,11,genero
2020-11-22,12,genero
2020-11-23,12,genero
2020-11-24,16,genero
2020-11-25,16,genero
2020-11-26,8,genero
2020-11-27,13,genero
2020-11-28,17,genero
2020-11-29,14,genero
2020-11-30,16,genero
2020-12-01,17,genero
2020-12-02,18,genero
2020-12-03,16,genero
2020-12-04,16,genero
2020-12-05,13,genero
2020-12-06,11,genero
2020-12-07,13,genero
2020-12-08,3,genero
2020-12-09,16,genero
2020-12-10,17,genero
2020-12-11,15,genero
2020-12-12,17,genero
2020-12-13,13,genero
2020-12-14,15,genero
2020-12-15,13,genero
2020-12-16,41,genero
2020-12-17,17,genero
2020-12-18,15,genero
2020-12-19,12,genero
2020-12-20,13,genero
2020-12-21,15,genero
2020-12-22,15,genero
2020-12-23,13,genero
2020-12-24,12,genero
2020-12-25,16,genero
2020-12-26,10,genero
2020-12-27,11,genero
2020-12-28,18,genero
2020-12-29,14,genero
2020-12-30,13,genero
2020-12-31,11,genero
2021-01-01,12,genero
2021-01-02,12,genero
2021-01-03,13,genero
2021-01-04,12,genero
2021-01-05,11,genero
2021-01-06,14,genero
2021-01-07,21,genero
2021-01-08,11,genero
2021-01-09,10,genero
2021-01-10,12,genero
2021-01-11,14,genero
2021-01-12,15,genero
2021-01-13,12,genero
2021-01-14,19,genero
2021-01-15,12,genero
2021-01-16,8,genero
2021-01-17,10,genero
2021-01-18,10,genero
2021-01-19,17,genero
2021-01-20,13,genero
2021-01-21,12,genero
2021-01-22,5,genero
2021-01-23,13,genero
