date,count,package
2020-01-01,0,ggeasy
2020-01-02,0,ggeasy
2020-01-03,0,ggeasy
2020-01-04,0,ggeasy
2020-01-05,0,ggeasy
2020-01-06,0,ggeasy
2020-01-07,0,ggeasy
2020-01-08,0,ggeasy
2020-01-09,0,ggeasy
2020-01-10,0,ggeasy
2020-01-11,0,ggeasy
2020-01-12,0,ggeasy
2020-01-13,0,ggeasy
2020-01-14,0,ggeasy
2020-01-15,0,ggeasy
2020-01-16,0,ggeasy
2020-01-17,0,ggeasy
2020-01-18,0,ggeasy
2020-01-19,0,ggeasy
2020-01-20,0,ggeasy
2020-01-21,0,ggeasy
2020-01-22,0,ggeasy
2020-01-23,0,ggeasy
2020-01-24,0,ggeasy
2020-01-25,0,ggeasy
2020-01-26,0,ggeasy
2020-01-27,0,ggeasy
2020-01-28,0,ggeasy
2020-01-29,0,ggeasy
2020-01-30,0,ggeasy
2020-01-31,21,ggeasy
2020-02-01,64,ggeasy
2020-02-02,40,ggeasy
2020-02-03,38,ggeasy
2020-02-04,38,ggeasy
2020-02-05,47,ggeasy
2020-02-06,42,ggeasy
2020-02-07,31,ggeasy
2020-02-08,34,ggeasy
2020-02-09,23,ggeasy
2020-02-10,21,ggeasy
2020-02-11,24,ggeasy
2020-02-12,23,ggeasy
2020-02-13,19,ggeasy
2020-02-14,20,ggeasy
2020-02-15,18,ggeasy
2020-02-16,15,ggeasy
2020-02-17,12,ggeasy
2020-02-18,16,ggeasy
2020-02-19,22,ggeasy
2020-02-20,19,ggeasy
2020-02-21,25,ggeasy
2020-02-22,13,ggeasy
2020-02-23,26,ggeasy
2020-02-24,25,ggeasy
2020-02-25,20,ggeasy
2020-02-26,24,ggeasy
2020-02-27,19,ggeasy
2020-02-28,12,ggeasy
2020-02-29,1,ggeasy
2020-03-01,19,ggeasy
2020-03-02,8,ggeasy
2020-03-03,20,ggeasy
2020-03-04,26,ggeasy
2020-03-05,16,ggeasy
2020-03-06,24,ggeasy
2020-03-07,22,ggeasy
2020-03-08,17,ggeasy
2020-03-09,16,ggeasy
2020-03-10,30,ggeasy
2020-03-11,7,ggeasy
2020-03-12,19,ggeasy
2020-03-13,12,ggeasy
2020-03-14,11,ggeasy
2020-03-15,11,ggeasy
2020-03-16,21,ggeasy
2020-03-17,13,ggeasy
2020-03-18,5,ggeasy
2020-03-19,27,ggeasy
2020-03-20,36,ggeasy
2020-03-21,26,ggeasy
