date,count,package
2020-01-01,0,glmglrt
2020-01-02,0,glmglrt
2020-01-03,0,glmglrt
2020-01-04,0,glmglrt
2020-01-05,0,glmglrt
2020-01-06,0,glmglrt
2020-01-07,0,glmglrt
2020-01-08,0,glmglrt
2020-01-09,0,glmglrt
2020-01-10,0,glmglrt
2020-01-11,0,glmglrt
2020-01-12,0,glmglrt
2020-01-13,0,glmglrt
2020-01-14,0,glmglrt
2020-01-15,0,glmglrt
2020-01-16,0,glmglrt
2020-01-17,0,glmglrt
2020-01-18,0,glmglrt
2020-01-19,0,glmglrt
2020-01-20,0,glmglrt
2020-01-21,0,glmglrt
2020-01-22,0,glmglrt
2020-01-23,0,glmglrt
2020-01-24,0,glmglrt
2020-01-25,0,glmglrt
2020-01-26,0,glmglrt
2020-01-27,0,glmglrt
2020-01-28,0,glmglrt
2020-01-29,0,glmglrt
2020-01-30,0,glmglrt
2020-01-31,0,glmglrt
2020-02-01,0,glmglrt
2020-02-02,0,glmglrt
2020-02-03,0,glmglrt
2020-02-04,0,glmglrt
2020-02-05,0,glmglrt
2020-02-06,0,glmglrt
2020-02-07,0,glmglrt
2020-02-08,0,glmglrt
2020-02-09,0,glmglrt
2020-02-10,0,glmglrt
2020-02-11,0,glmglrt
2020-02-12,0,glmglrt
2020-02-13,0,glmglrt
2020-02-14,0,glmglrt
2020-02-15,0,glmglrt
2020-02-16,0,glmglrt
2020-02-17,0,glmglrt
2020-02-18,0,glmglrt
2020-02-19,0,glmglrt
2020-02-20,0,glmglrt
2020-02-21,0,glmglrt
2020-02-22,0,glmglrt
2020-02-23,0,glmglrt
2020-02-24,0,glmglrt
2020-02-25,0,glmglrt
2020-02-26,0,glmglrt
2020-02-27,0,glmglrt
2020-02-28,0,glmglrt
2020-02-29,0,glmglrt
2020-03-01,0,glmglrt
2020-03-02,0,glmglrt
2020-03-03,0,glmglrt
2020-03-04,0,glmglrt
2020-03-05,0,glmglrt
2020-03-06,0,glmglrt
2020-03-07,0,glmglrt
2020-03-08,0,glmglrt
2020-03-09,0,glmglrt
2020-03-10,0,glmglrt
2020-03-11,0,glmglrt
2020-03-12,0,glmglrt
2020-03-13,0,glmglrt
2020-03-14,0,glmglrt
2020-03-15,0,glmglrt
2020-03-16,0,glmglrt
2020-03-17,0,glmglrt
2020-03-18,0,glmglrt
2020-03-19,5,glmglrt
2020-03-20,10,glmglrt
2020-03-21,17,glmglrt
2020-03-22,9,glmglrt
2020-03-23,11,glmglrt
2020-03-24,13,glmglrt
2020-03-25,32,glmglrt
2020-03-26,19,glmglrt
2020-03-27,17,glmglrt
2020-03-28,22,glmglrt
2020-03-29,27,glmglrt
2020-03-30,28,glmglrt
2020-03-31,21,glmglrt
2020-04-01,14,glmglrt
2020-04-02,12,glmglrt
2020-04-03,20,glmglrt
2020-04-04,21,glmglrt
2020-04-05,24,glmglrt
2020-04-06,27,glmglrt
2020-04-07,30,glmglrt
2020-04-08,27,glmglrt
2020-04-09,23,glmglrt
2020-04-10,12,glmglrt
2020-04-11,6,glmglrt
2020-04-12,11,glmglrt
2020-04-13,10,glmglrt
2020-04-14,11,glmglrt
2020-04-15,29,glmglrt
2020-04-16,16,glmglrt
2020-04-17,20,glmglrt
2020-04-18,6,glmglrt
2020-04-19,4,glmglrt
2020-04-20,7,glmglrt
2020-04-21,8,glmglrt
2020-04-22,26,glmglrt
2020-04-23,9,glmglrt
2020-04-24,16,glmglrt
2020-04-25,28,glmglrt
2020-04-26,13,glmglrt
2020-04-27,16,glmglrt
2020-04-28,23,glmglrt
2020-04-29,32,glmglrt
2020-04-30,28,glmglrt
2020-05-01,24,glmglrt
2020-05-02,24,glmglrt
2020-05-03,21,glmglrt
2020-05-04,22,glmglrt
2020-05-05,16,glmglrt
2020-05-06,25,glmglrt
2020-05-07,25,glmglrt
2020-05-08,19,glmglrt
2020-05-09,25,glmglrt
2020-05-10,52,glmglrt
2020-05-11,41,glmglrt
2020-05-12,18,glmglrt
2020-05-13,14,glmglrt
2020-05-14,17,glmglrt
2020-05-15,14,glmglrt
2020-05-16,16,glmglrt
2020-05-17,15,glmglrt
2020-05-18,25,glmglrt
2020-05-19,20,glmglrt
2020-05-20,18,glmglrt
2020-05-21,12,glmglrt
2020-05-22,15,glmglrt
2020-05-23,16,glmglrt
2020-05-24,14,glmglrt
2020-05-25,13,glmglrt
2020-05-26,17,glmglrt
2020-05-27,22,glmglrt
2020-05-28,23,glmglrt
2020-05-29,13,glmglrt
2020-05-30,15,glmglrt
2020-05-31,15,glmglrt
2020-06-01,14,glmglrt
2020-06-02,15,glmglrt
2020-06-03,14,glmglrt
2020-06-04,13,glmglrt
2020-06-05,14,glmglrt
2020-06-06,14,glmglrt
2020-06-07,14,glmglrt
2020-06-08,20,glmglrt
2020-06-09,36,glmglrt
2020-06-10,23,glmglrt
2020-06-11,19,glmglrt
2020-06-12,14,glmglrt
2020-06-13,12,glmglrt
2020-06-14,16,glmglrt
