date,count,package
2020-01-01,0,intmed
2020-01-02,0,intmed
2020-01-03,0,intmed
2020-01-04,0,intmed
2020-01-05,0,intmed
2020-01-06,0,intmed
2020-01-07,0,intmed
2020-01-08,0,intmed
2020-01-09,0,intmed
2020-01-10,0,intmed
2020-01-11,0,intmed
2020-01-12,0,intmed
2020-01-13,0,intmed
2020-01-14,0,intmed
2020-01-15,0,intmed
2020-01-16,0,intmed
2020-01-17,0,intmed
2020-01-18,0,intmed
2020-01-19,0,intmed
2020-01-20,0,intmed
2020-01-21,0,intmed
2020-01-22,0,intmed
2020-01-23,0,intmed
2020-01-24,0,intmed
2020-01-25,0,intmed
2020-01-26,0,intmed
2020-01-27,0,intmed
2020-01-28,0,intmed
2020-01-29,0,intmed
2020-01-30,0,intmed
2020-01-31,0,intmed
2020-02-01,0,intmed
2020-02-02,0,intmed
2020-02-03,0,intmed
2020-02-04,0,intmed
2020-02-05,0,intmed
2020-02-06,0,intmed
2020-02-07,0,intmed
2020-02-08,0,intmed
2020-02-09,0,intmed
2020-02-10,0,intmed
2020-02-11,0,intmed
2020-02-12,0,intmed
2020-02-13,0,intmed
2020-02-14,0,intmed
2020-02-15,0,intmed
2020-02-16,0,intmed
2020-02-17,0,intmed
2020-02-18,0,intmed
2020-02-19,0,intmed
2020-02-20,0,intmed
2020-02-21,0,intmed
2020-02-22,0,intmed
2020-02-23,0,intmed
2020-02-24,0,intmed
2020-02-25,0,intmed
2020-02-26,0,intmed
2020-02-27,0,intmed
2020-02-28,0,intmed
2020-02-29,0,intmed
2020-03-01,7,intmed
2020-03-02,19,intmed
2020-03-03,34,intmed
2020-03-04,28,intmed
2020-03-05,22,intmed
2020-03-06,28,intmed
2020-03-07,21,intmed
2020-03-08,22,intmed
2020-03-09,20,intmed
2020-03-10,20,intmed
2020-03-11,4,intmed
2020-03-12,35,intmed
2020-03-13,19,intmed
2020-03-14,18,intmed
2020-03-15,21,intmed
2020-03-16,27,intmed
2020-03-17,15,intmed
2020-03-18,4,intmed
2020-03-19,12,intmed
2020-03-20,12,intmed
2020-03-21,14,intmed
2020-03-22,9,intmed
2020-03-23,19,intmed
2020-03-24,6,intmed
2020-03-25,13,intmed
2020-03-26,8,intmed
2020-03-27,8,intmed
2020-03-28,11,intmed
2020-03-29,17,intmed
2020-03-30,20,intmed
2020-03-31,16,intmed
2020-04-01,13,intmed
2020-04-02,11,intmed
2020-04-03,14,intmed
2020-04-04,8,intmed
2020-04-05,16,intmed
2020-04-06,17,intmed
2020-04-07,21,intmed
2020-04-08,19,intmed
2020-04-09,17,intmed
2020-04-10,9,intmed
2020-04-11,6,intmed
2020-04-12,11,intmed
2020-04-13,10,intmed
2020-04-14,11,intmed
2020-04-15,25,intmed
2020-04-16,16,intmed
2020-04-17,23,intmed
2020-04-18,6,intmed
2020-04-19,3,intmed
2020-04-20,7,intmed
2020-04-21,8,intmed
2020-04-22,25,intmed
2020-04-23,7,intmed
2020-04-24,15,intmed
2020-04-25,28,intmed
2020-04-26,13,intmed
2020-04-27,17,intmed
2020-04-28,22,intmed
2020-04-29,31,intmed
2020-04-30,19,intmed
2020-05-01,24,intmed
2020-05-02,25,intmed
2020-05-03,22,intmed
2020-05-04,20,intmed
2020-05-05,14,intmed
2020-05-06,29,intmed
2020-05-07,25,intmed
2020-05-08,18,intmed
2020-05-09,26,intmed
2020-05-10,51,intmed
2020-05-11,41,intmed
2020-05-12,17,intmed
2020-05-13,15,intmed
2020-05-14,18,intmed
2020-05-15,15,intmed
2020-05-16,19,intmed
2020-05-17,15,intmed
2020-05-18,24,intmed
2020-05-19,21,intmed
2020-05-20,16,intmed
2020-05-21,12,intmed
2020-05-22,15,intmed
2020-05-23,15,intmed
2020-05-24,13,intmed
