date,count,package
2020-01-01,0,ipaddress
2020-01-02,0,ipaddress
2020-01-03,0,ipaddress
2020-01-04,0,ipaddress
2020-01-05,0,ipaddress
2020-01-06,0,ipaddress
2020-01-07,0,ipaddress
2020-01-08,0,ipaddress
2020-01-09,0,ipaddress
2020-01-10,0,ipaddress
2020-01-11,0,ipaddress
2020-01-12,0,ipaddress
2020-01-13,0,ipaddress
2020-01-14,0,ipaddress
2020-01-15,0,ipaddress
2020-01-16,0,ipaddress
2020-01-17,0,ipaddress
2020-01-18,0,ipaddress
2020-01-19,0,ipaddress
2020-01-20,0,ipaddress
2020-01-21,0,ipaddress
2020-01-22,0,ipaddress
2020-01-23,0,ipaddress
2020-01-24,0,ipaddress
2020-01-25,0,ipaddress
2020-01-26,0,ipaddress
2020-01-27,0,ipaddress
2020-01-28,0,ipaddress
2020-01-29,0,ipaddress
2020-01-30,0,ipaddress
2020-01-31,0,ipaddress
2020-02-01,0,ipaddress
2020-02-02,0,ipaddress
2020-02-03,0,ipaddress
2020-02-04,0,ipaddress
2020-02-05,0,ipaddress
2020-02-06,0,ipaddress
2020-02-07,0,ipaddress
2020-02-08,0,ipaddress
2020-02-09,0,ipaddress
2020-02-10,0,ipaddress
2020-02-11,0,ipaddress
2020-02-12,0,ipaddress
2020-02-13,0,ipaddress
2020-02-14,0,ipaddress
2020-02-15,0,ipaddress
2020-02-16,0,ipaddress
2020-02-17,0,ipaddress
2020-02-18,0,ipaddress
2020-02-19,0,ipaddress
2020-02-20,0,ipaddress
2020-02-21,0,ipaddress
2020-02-22,0,ipaddress
2020-02-23,0,ipaddress
2020-02-24,0,ipaddress
2020-02-25,0,ipaddress
2020-02-26,0,ipaddress
2020-02-27,0,ipaddress
2020-02-28,0,ipaddress
2020-02-29,0,ipaddress
2020-03-01,0,ipaddress
2020-03-02,0,ipaddress
2020-03-03,0,ipaddress
2020-03-04,0,ipaddress
2020-03-05,9,ipaddress
2020-03-06,17,ipaddress
2020-03-07,5,ipaddress
2020-03-08,4,ipaddress
2020-03-09,4,ipaddress
2020-03-10,11,ipaddress
2020-03-11,20,ipaddress
2020-03-12,43,ipaddress
2020-03-13,32,ipaddress
2020-03-14,27,ipaddress
2020-03-15,24,ipaddress
2020-03-16,27,ipaddress
2020-03-17,27,ipaddress
2020-03-18,8,ipaddress
2020-03-19,22,ipaddress
2020-03-20,22,ipaddress
2020-03-21,21,ipaddress
2020-03-22,15,ipaddress
2020-03-23,15,ipaddress
2020-03-24,8,ipaddress
2020-03-25,28,ipaddress
2020-03-26,27,ipaddress
2020-03-27,7,ipaddress
2020-03-28,22,ipaddress
2020-03-29,32,ipaddress
2020-03-30,29,ipaddress
2020-03-31,24,ipaddress
2020-04-01,26,ipaddress
2020-04-02,13,ipaddress
2020-04-03,28,ipaddress
2020-04-04,27,ipaddress
2020-04-05,31,ipaddress
2020-04-06,30,ipaddress
2020-04-07,37,ipaddress
2020-04-08,36,ipaddress
2020-04-09,27,ipaddress
2020-04-10,15,ipaddress
2020-04-11,8,ipaddress
2020-04-12,15,ipaddress
2020-04-13,13,ipaddress
2020-04-14,15,ipaddress
2020-04-15,35,ipaddress
2020-04-16,15,ipaddress
2020-04-17,30,ipaddress
2020-04-18,11,ipaddress
2020-04-19,3,ipaddress
2020-04-20,9,ipaddress
2020-04-21,9,ipaddress
2020-04-22,34,ipaddress
2020-04-23,9,ipaddress
2020-04-24,20,ipaddress
2020-04-25,29,ipaddress
2020-04-26,12,ipaddress
2020-04-27,16,ipaddress
2020-04-28,31,ipaddress
2020-04-29,41,ipaddress
2020-04-30,24,ipaddress
2020-05-01,24,ipaddress
2020-05-02,26,ipaddress
2020-05-03,23,ipaddress
2020-05-04,21,ipaddress
2020-05-05,17,ipaddress
2020-05-06,36,ipaddress
2020-05-07,26,ipaddress
2020-05-08,18,ipaddress
2020-05-09,28,ipaddress
2020-05-10,53,ipaddress
2020-05-11,42,ipaddress
2020-05-12,23,ipaddress
2020-05-13,57,ipaddress
2020-05-14,41,ipaddress
2020-05-15,45,ipaddress
2020-05-16,35,ipaddress
2020-05-17,42,ipaddress
2020-05-18,50,ipaddress
2020-05-19,44,ipaddress
2020-05-20,49,ipaddress
2020-05-21,24,ipaddress
2020-05-22,27,ipaddress
2020-05-23,23,ipaddress
2020-05-24,25,ipaddress
2020-05-25,29,ipaddress
2020-05-26,21,ipaddress
2020-05-27,37,ipaddress
2020-05-28,35,ipaddress
2020-05-29,23,ipaddress
2020-05-30,20,ipaddress
2020-05-31,19,ipaddress
2020-06-01,18,ipaddress
2020-06-02,46,ipaddress
2020-06-03,24,ipaddress
2020-06-04,12,ipaddress
2020-06-05,14,ipaddress
2020-06-06,15,ipaddress
2020-06-07,18,ipaddress
2020-06-08,22,ipaddress
2020-06-09,27,ipaddress
2020-06-10,37,ipaddress
2020-06-11,18,ipaddress
2020-06-12,28,ipaddress
2020-06-13,18,ipaddress
2020-06-14,20,ipaddress
2020-06-15,18,ipaddress
2020-06-16,18,ipaddress
2020-06-17,19,ipaddress
2020-06-18,45,ipaddress
2020-06-19,27,ipaddress
2020-06-20,19,ipaddress
2020-06-21,16,ipaddress
2020-06-22,22,ipaddress
2020-06-23,24,ipaddress
2020-06-24,37,ipaddress
2020-06-25,17,ipaddress
2020-06-26,17,ipaddress
2020-06-27,16,ipaddress
2020-06-28,22,ipaddress
2020-06-29,18,ipaddress
2020-06-30,12,ipaddress
2020-07-01,17,ipaddress
2020-07-02,15,ipaddress
2020-07-03,19,ipaddress
2020-07-04,12,ipaddress
2020-07-05,12,ipaddress
2020-07-06,22,ipaddress
2020-07-07,33,ipaddress
2020-07-08,22,ipaddress
2020-07-09,14,ipaddress
2020-07-10,11,ipaddress
2020-07-11,12,ipaddress
2020-07-12,19,ipaddress
2020-07-13,20,ipaddress
2020-07-14,22,ipaddress
2020-07-15,23,ipaddress
2020-07-16,21,ipaddress
2020-07-17,27,ipaddress
2020-07-18,18,ipaddress
2020-07-19,22,ipaddress
2020-07-20,23,ipaddress
2020-07-21,19,ipaddress
2020-07-22,31,ipaddress
2020-07-23,15,ipaddress
2020-07-24,14,ipaddress
2020-07-25,25,ipaddress
2020-07-26,18,ipaddress
2020-07-27,12,ipaddress
2020-07-28,16,ipaddress
2020-07-29,16,ipaddress
2020-07-30,17,ipaddress
2020-07-31,3,ipaddress
2020-08-01,6,ipaddress
2020-08-02,13,ipaddress
2020-08-03,16,ipaddress
2020-08-04,18,ipaddress
2020-08-05,28,ipaddress
2020-08-06,47,ipaddress
2020-08-07,39,ipaddress
2020-08-08,20,ipaddress
2020-08-09,26,ipaddress
2020-08-10,38,ipaddress
2020-08-11,48,ipaddress
2020-08-12,61,ipaddress
2020-08-13,56,ipaddress
2020-08-14,43,ipaddress
2020-08-15,44,ipaddress
2020-08-16,30,ipaddress
2020-08-17,30,ipaddress
2020-08-18,37,ipaddress
2020-08-19,39,ipaddress
2020-08-20,28,ipaddress
2020-08-21,29,ipaddress
2020-08-22,24,ipaddress
2020-08-23,17,ipaddress
2020-08-24,21,ipaddress
2020-08-25,23,ipaddress
2020-08-26,49,ipaddress
2020-08-27,34,ipaddress
2020-08-28,31,ipaddress
2020-08-29,34,ipaddress
2020-08-30,33,ipaddress
2020-08-31,45,ipaddress
2020-09-01,47,ipaddress
2020-09-02,42,ipaddress
2020-09-03,54,ipaddress
2020-09-04,53,ipaddress
2020-09-05,28,ipaddress
2020-09-06,28,ipaddress
2020-09-07,33,ipaddress
2020-09-08,34,ipaddress
2020-09-09,44,ipaddress
2020-09-10,20,ipaddress
2020-09-11,34,ipaddress
2020-09-12,44,ipaddress
2020-09-13,36,ipaddress
2020-09-14,84,ipaddress
2020-09-15,55,ipaddress
2020-09-16,57,ipaddress
2020-09-17,79,ipaddress
2020-09-18,62,ipaddress
2020-09-19,43,ipaddress
2020-09-20,47,ipaddress
2020-09-21,39,ipaddress
2020-09-22,42,ipaddress
2020-09-23,47,ipaddress
2020-09-24,14,ipaddress
2020-09-25,32,ipaddress
2020-09-26,31,ipaddress
2020-09-27,21,ipaddress
2020-09-28,31,ipaddress
2020-09-29,26,ipaddress
2020-09-30,34,ipaddress
2020-10-01,31,ipaddress
2020-10-02,28,ipaddress
2020-10-03,23,ipaddress
2020-10-04,34,ipaddress
2020-10-05,18,ipaddress
2020-10-06,42,ipaddress
2020-10-07,26,ipaddress
2020-10-08,24,ipaddress
2020-10-09,25,ipaddress
2020-10-10,48,ipaddress
2020-10-11,30,ipaddress
2020-10-12,20,ipaddress
2020-10-13,20,ipaddress
2020-10-14,33,ipaddress
2020-10-15,15,ipaddress
2020-10-16,22,ipaddress
2020-10-17,4,ipaddress
2020-10-18,15,ipaddress
2020-10-19,24,ipaddress
2020-10-20,21,ipaddress
2020-10-21,34,ipaddress
2020-10-22,26,ipaddress
2020-10-23,21,ipaddress
2020-10-24,28,ipaddress
2020-10-25,16,ipaddress
2020-10-26,20,ipaddress
2020-10-27,20,ipaddress
2020-10-28,31,ipaddress
2020-10-29,37,ipaddress
2020-10-30,19,ipaddress
2020-10-31,17,ipaddress
2020-11-01,15,ipaddress
2020-11-02,24,ipaddress
2020-11-03,31,ipaddress
2020-11-04,19,ipaddress
2020-11-05,28,ipaddress
2020-11-06,24,ipaddress
2020-11-07,32,ipaddress
2020-11-08,18,ipaddress
2020-11-09,25,ipaddress
2020-11-10,21,ipaddress
2020-11-11,44,ipaddress
2020-11-12,28,ipaddress
2020-11-13,18,ipaddress
2020-11-14,15,ipaddress
2020-11-15,19,ipaddress
2020-11-16,23,ipaddress
2020-11-17,34,ipaddress
2020-11-18,37,ipaddress
2020-11-19,20,ipaddress
2020-11-20,19,ipaddress
2020-11-21,17,ipaddress
2020-11-22,22,ipaddress
2020-11-23,17,ipaddress
2020-11-24,29,ipaddress
2020-11-25,46,ipaddress
2020-11-26,12,ipaddress
2020-11-27,23,ipaddress
2020-11-28,18,ipaddress
2020-11-29,18,ipaddress
2020-11-30,26,ipaddress
2020-12-01,22,ipaddress
2020-12-02,36,ipaddress
2020-12-03,21,ipaddress
2020-12-04,32,ipaddress
2020-12-05,19,ipaddress
2020-12-06,21,ipaddress
2020-12-07,22,ipaddress
2020-12-08,10,ipaddress
2020-12-09,39,ipaddress
2020-12-10,25,ipaddress
2020-12-11,29,ipaddress
2020-12-12,22,ipaddress
2020-12-13,21,ipaddress
2020-12-14,21,ipaddress
2020-12-15,23,ipaddress
