date,count,package
2020-01-01,0,ipmisc
2020-01-02,0,ipmisc
2020-01-03,0,ipmisc
2020-01-04,0,ipmisc
2020-01-05,0,ipmisc
2020-01-06,0,ipmisc
2020-01-07,0,ipmisc
2020-01-08,0,ipmisc
2020-01-09,0,ipmisc
2020-01-10,0,ipmisc
2020-01-11,0,ipmisc
2020-01-12,0,ipmisc
2020-01-13,0,ipmisc
2020-01-14,0,ipmisc
2020-01-15,0,ipmisc
2020-01-16,0,ipmisc
2020-01-17,0,ipmisc
2020-01-18,0,ipmisc
2020-01-19,0,ipmisc
2020-01-20,0,ipmisc
2020-01-21,0,ipmisc
2020-01-22,0,ipmisc
2020-01-23,0,ipmisc
2020-01-24,0,ipmisc
2020-01-25,0,ipmisc
2020-01-26,0,ipmisc
2020-01-27,0,ipmisc
2020-01-28,0,ipmisc
2020-01-29,0,ipmisc
2020-01-30,0,ipmisc
2020-01-31,0,ipmisc
2020-02-01,0,ipmisc
2020-02-02,0,ipmisc
2020-02-03,0,ipmisc
2020-02-04,0,ipmisc
2020-02-05,0,ipmisc
2020-02-06,8,ipmisc
2020-02-07,14,ipmisc
2020-02-08,17,ipmisc
2020-02-09,28,ipmisc
2020-02-10,23,ipmisc
2020-02-11,220,ipmisc
2020-02-12,235,ipmisc
2020-02-13,179,ipmisc
2020-02-14,176,ipmisc
2020-02-15,149,ipmisc
2020-02-16,142,ipmisc
2020-02-17,173,ipmisc
2020-02-18,204,ipmisc
2020-02-19,165,ipmisc
2020-02-20,155,ipmisc
2020-02-21,134,ipmisc
2020-02-22,118,ipmisc
2020-02-23,98,ipmisc
2020-02-24,143,ipmisc
2020-02-25,113,ipmisc
2020-02-26,163,ipmisc
2020-02-27,129,ipmisc
2020-02-28,128,ipmisc
2020-02-29,26,ipmisc
2020-03-01,126,ipmisc
2020-03-02,130,ipmisc
2020-03-03,127,ipmisc
2020-03-04,114,ipmisc
2020-03-05,135,ipmisc
2020-03-06,305,ipmisc
2020-03-07,191,ipmisc
2020-03-08,145,ipmisc
2020-03-09,230,ipmisc
2020-03-10,234,ipmisc
2020-03-11,145,ipmisc
2020-03-12,203,ipmisc
2020-03-13,141,ipmisc
2020-03-14,137,ipmisc
2020-03-15,105,ipmisc
2020-03-16,133,ipmisc
2020-03-17,155,ipmisc
2020-03-18,146,ipmisc
2020-03-19,168,ipmisc
2020-03-20,136,ipmisc
2020-03-21,144,ipmisc
2020-03-22,125,ipmisc
2020-03-23,144,ipmisc
2020-03-24,149,ipmisc
2020-03-25,140,ipmisc
2020-03-26,141,ipmisc
2020-03-27,142,ipmisc
2020-03-28,82,ipmisc
2020-03-29,85,ipmisc
2020-03-30,154,ipmisc
2020-03-31,124,ipmisc
2020-04-01,141,ipmisc
2020-04-02,121,ipmisc
2020-04-03,125,ipmisc
2020-04-04,110,ipmisc
2020-04-05,104,ipmisc
2020-04-06,118,ipmisc
2020-04-07,160,ipmisc
2020-04-08,138,ipmisc
2020-04-09,128,ipmisc
2020-04-10,131,ipmisc
2020-04-11,172,ipmisc
2020-04-12,241,ipmisc
2020-04-13,250,ipmisc
2020-04-14,192,ipmisc
2020-04-15,231,ipmisc
2020-04-16,224,ipmisc
2020-04-17,177,ipmisc
2020-04-18,111,ipmisc
2020-04-19,102,ipmisc
2020-04-20,171,ipmisc
2020-04-21,200,ipmisc
2020-04-22,233,ipmisc
2020-04-23,173,ipmisc
2020-04-24,209,ipmisc
2020-04-25,206,ipmisc
2020-04-26,167,ipmisc
2020-04-27,267,ipmisc
2020-04-28,231,ipmisc
2020-04-29,208,ipmisc
2020-04-30,191,ipmisc
2020-05-01,170,ipmisc
2020-05-02,124,ipmisc
2020-05-03,122,ipmisc
2020-05-04,172,ipmisc
2020-05-05,205,ipmisc
2020-05-06,155,ipmisc
2020-05-07,174,ipmisc
2020-05-08,122,ipmisc
2020-05-09,121,ipmisc
2020-05-10,142,ipmisc
2020-05-11,156,ipmisc
2020-05-12,135,ipmisc
2020-05-13,158,ipmisc
2020-05-14,146,ipmisc
2020-05-15,117,ipmisc
2020-05-16,67,ipmisc
2020-05-17,86,ipmisc
2020-05-18,162,ipmisc
2020-05-19,138,ipmisc
2020-05-20,119,ipmisc
2020-05-21,127,ipmisc
2020-05-22,104,ipmisc
2020-05-23,93,ipmisc
2020-05-24,95,ipmisc
2020-05-25,166,ipmisc
2020-05-26,136,ipmisc
2020-05-27,264,ipmisc
2020-05-28,215,ipmisc
2020-05-29,162,ipmisc
2020-05-30,94,ipmisc
2020-05-31,267,ipmisc
2020-06-01,321,ipmisc
2020-06-02,286,ipmisc
2020-06-03,228,ipmisc
2020-06-04,227,ipmisc
2020-06-05,223,ipmisc
2020-06-06,129,ipmisc
2020-06-07,159,ipmisc
2020-06-08,214,ipmisc
2020-06-09,204,ipmisc
2020-06-10,237,ipmisc
2020-06-11,202,ipmisc
2020-06-12,140,ipmisc
2020-06-13,121,ipmisc
2020-06-14,93,ipmisc
2020-06-15,131,ipmisc
2020-06-16,185,ipmisc
2020-06-17,156,ipmisc
2020-06-18,174,ipmisc
2020-06-19,317,ipmisc
2020-06-20,208,ipmisc
2020-06-21,182,ipmisc
2020-06-22,303,ipmisc
2020-06-23,303,ipmisc
2020-06-24,248,ipmisc
2020-06-25,196,ipmisc
2020-06-26,191,ipmisc
2020-06-27,143,ipmisc
2020-06-28,148,ipmisc
2020-06-29,208,ipmisc
2020-06-30,177,ipmisc
2020-07-01,163,ipmisc
2020-07-02,172,ipmisc
2020-07-03,136,ipmisc
2020-07-04,80,ipmisc
2020-07-05,99,ipmisc
2020-07-06,179,ipmisc
2020-07-07,198,ipmisc
2020-07-08,191,ipmisc
2020-07-09,184,ipmisc
2020-07-10,148,ipmisc
2020-07-11,109,ipmisc
2020-07-12,132,ipmisc
2020-07-13,182,ipmisc
2020-07-14,175,ipmisc
2020-07-15,172,ipmisc
2020-07-16,147,ipmisc
2020-07-17,180,ipmisc
2020-07-18,69,ipmisc
2020-07-19,85,ipmisc
2020-07-20,156,ipmisc
2020-07-21,168,ipmisc
2020-07-22,168,ipmisc
2020-07-23,131,ipmisc
2020-07-24,134,ipmisc
2020-07-25,77,ipmisc
2020-07-26,87,ipmisc
2020-07-27,141,ipmisc
2020-07-28,150,ipmisc
2020-07-29,96,ipmisc
2020-07-30,133,ipmisc
2020-07-31,82,ipmisc
2020-08-01,51,ipmisc
2020-08-02,77,ipmisc
2020-08-03,150,ipmisc
2020-08-04,119,ipmisc
2020-08-05,141,ipmisc
2020-08-06,135,ipmisc
2020-08-07,131,ipmisc
2020-08-08,71,ipmisc
2020-08-09,102,ipmisc
2020-08-10,129,ipmisc
2020-08-11,118,ipmisc
2020-08-12,131,ipmisc
2020-08-13,118,ipmisc
2020-08-14,110,ipmisc
2020-08-15,66,ipmisc
2020-08-16,79,ipmisc
2020-08-17,165,ipmisc
2020-08-18,147,ipmisc
2020-08-19,126,ipmisc
2020-08-20,175,ipmisc
2020-08-21,90,ipmisc
2020-08-22,72,ipmisc
2020-08-23,51,ipmisc
2020-08-24,127,ipmisc
2020-08-25,129,ipmisc
2020-08-26,127,ipmisc
2020-08-27,130,ipmisc
2020-08-28,95,ipmisc
2020-08-29,72,ipmisc
2020-08-30,81,ipmisc
2020-08-31,128,ipmisc
2020-09-01,129,ipmisc
2020-09-02,132,ipmisc
2020-09-03,127,ipmisc
2020-09-04,179,ipmisc
2020-09-05,70,ipmisc
2020-09-06,99,ipmisc
2020-09-07,152,ipmisc
2020-09-08,136,ipmisc
2020-09-09,154,ipmisc
2020-09-10,157,ipmisc
2020-09-11,146,ipmisc
2020-09-12,112,ipmisc
2020-09-13,117,ipmisc
2020-09-14,374,ipmisc
2020-09-15,294,ipmisc
2020-09-16,272,ipmisc
2020-09-17,253,ipmisc
2020-09-18,208,ipmisc
2020-09-19,138,ipmisc
2020-09-20,126,ipmisc
2020-09-21,231,ipmisc
2020-09-22,228,ipmisc
2020-09-23,223,ipmisc
2020-09-24,191,ipmisc
2020-09-25,221,ipmisc
2020-09-26,106,ipmisc
2020-09-27,136,ipmisc
2020-09-28,228,ipmisc
2020-09-29,187,ipmisc
2020-09-30,196,ipmisc
2020-10-01,192,ipmisc
2020-10-02,161,ipmisc
2020-10-03,112,ipmisc
2020-10-04,130,ipmisc
2020-10-05,367,ipmisc
2020-10-06,416,ipmisc
2020-10-07,328,ipmisc
2020-10-08,286,ipmisc
2020-10-09,261,ipmisc
2020-10-10,184,ipmisc
2020-10-11,184,ipmisc
2020-10-12,272,ipmisc
2020-10-13,287,ipmisc
2020-10-14,292,ipmisc
2020-10-15,266,ipmisc
2020-10-16,364,ipmisc
2020-10-17,101,ipmisc
2020-10-18,171,ipmisc
