date,count,package
2020-01-01,0,isoboost
2020-01-02,0,isoboost
2020-01-03,0,isoboost
2020-01-04,0,isoboost
2020-01-05,0,isoboost
2020-01-06,0,isoboost
2020-01-07,0,isoboost
2020-01-08,0,isoboost
2020-01-09,0,isoboost
2020-01-10,0,isoboost
2020-01-11,0,isoboost
2020-01-12,0,isoboost
2020-01-13,0,isoboost
2020-01-14,0,isoboost
2020-01-15,0,isoboost
2020-01-16,0,isoboost
2020-01-17,0,isoboost
2020-01-18,0,isoboost
2020-01-19,6,isoboost
2020-01-20,5,isoboost
2020-01-21,32,isoboost
2020-01-22,27,isoboost
2020-01-23,23,isoboost
2020-01-24,28,isoboost
2020-01-25,27,isoboost
2020-01-26,26,isoboost
2020-01-27,26,isoboost
2020-01-28,36,isoboost
2020-01-29,28,isoboost
2020-01-30,27,isoboost
2020-01-31,23,isoboost
2020-02-01,22,isoboost
2020-02-02,15,isoboost
2020-02-03,9,isoboost
2020-02-04,14,isoboost
2020-02-05,17,isoboost
2020-02-06,20,isoboost
2020-02-07,12,isoboost
2020-02-08,20,isoboost
2020-02-09,9,isoboost
2020-02-10,13,isoboost
2020-02-11,11,isoboost
2020-02-12,11,isoboost
2020-02-13,18,isoboost
2020-02-14,16,isoboost
2020-02-15,10,isoboost
2020-02-16,9,isoboost
2020-02-17,14,isoboost
2020-02-18,13,isoboost
2020-02-19,13,isoboost
2020-02-20,13,isoboost
2020-02-21,12,isoboost
2020-02-22,9,isoboost
2020-02-23,12,isoboost
2020-02-24,12,isoboost
2020-02-25,14,isoboost
2020-02-26,13,isoboost
2020-02-27,13,isoboost
2020-02-28,11,isoboost
2020-02-29,2,isoboost
2020-03-01,16,isoboost
2020-03-02,7,isoboost
2020-03-03,13,isoboost
2020-03-04,18,isoboost
2020-03-05,10,isoboost
2020-03-06,16,isoboost
2020-03-07,11,isoboost
2020-03-08,17,isoboost
2020-03-09,14,isoboost
2020-03-10,14,isoboost
2020-03-11,4,isoboost
2020-03-12,18,isoboost
2020-03-13,10,isoboost
2020-03-14,8,isoboost
2020-03-15,8,isoboost
2020-03-16,13,isoboost
2020-03-17,18,isoboost
2020-03-18,6,isoboost
2020-03-19,10,isoboost
2020-03-20,12,isoboost
