date,count,package
2020-01-01,0,kerastuneR
2020-01-02,0,kerastuneR
2020-01-03,0,kerastuneR
2020-01-04,0,kerastuneR
2020-01-05,0,kerastuneR
2020-01-06,0,kerastuneR
2020-01-07,0,kerastuneR
2020-01-08,0,kerastuneR
2020-01-09,0,kerastuneR
2020-01-10,0,kerastuneR
2020-01-11,0,kerastuneR
2020-01-12,0,kerastuneR
2020-01-13,0,kerastuneR
2020-01-14,0,kerastuneR
2020-01-15,0,kerastuneR
2020-01-16,0,kerastuneR
2020-01-17,0,kerastuneR
2020-01-18,0,kerastuneR
2020-01-19,0,kerastuneR
2020-01-20,0,kerastuneR
2020-01-21,0,kerastuneR
2020-01-22,0,kerastuneR
2020-01-23,0,kerastuneR
2020-01-24,0,kerastuneR
2020-01-25,0,kerastuneR
2020-01-26,0,kerastuneR
2020-01-27,0,kerastuneR
2020-01-28,0,kerastuneR
2020-01-29,0,kerastuneR
2020-01-30,0,kerastuneR
2020-01-31,0,kerastuneR
2020-02-01,0,kerastuneR
2020-02-02,0,kerastuneR
2020-02-03,0,kerastuneR
2020-02-04,0,kerastuneR
2020-02-05,0,kerastuneR
2020-02-06,0,kerastuneR
2020-02-07,0,kerastuneR
2020-02-08,0,kerastuneR
2020-02-09,0,kerastuneR
2020-02-10,0,kerastuneR
2020-02-11,0,kerastuneR
2020-02-12,0,kerastuneR
2020-02-13,0,kerastuneR
2020-02-14,0,kerastuneR
2020-02-15,0,kerastuneR
2020-02-16,0,kerastuneR
2020-02-17,0,kerastuneR
2020-02-18,0,kerastuneR
2020-02-19,0,kerastuneR
2020-02-20,0,kerastuneR
2020-02-21,0,kerastuneR
2020-02-22,0,kerastuneR
2020-02-23,0,kerastuneR
2020-02-24,0,kerastuneR
2020-02-25,0,kerastuneR
2020-02-26,0,kerastuneR
2020-02-27,0,kerastuneR
2020-02-28,0,kerastuneR
2020-02-29,0,kerastuneR
2020-03-01,0,kerastuneR
2020-03-02,0,kerastuneR
2020-03-03,0,kerastuneR
2020-03-04,0,kerastuneR
2020-03-05,0,kerastuneR
2020-03-06,0,kerastuneR
2020-03-07,0,kerastuneR
2020-03-08,0,kerastuneR
2020-03-09,0,kerastuneR
2020-03-10,0,kerastuneR
2020-03-11,0,kerastuneR
2020-03-12,0,kerastuneR
2020-03-13,0,kerastuneR
2020-03-14,0,kerastuneR
2020-03-15,0,kerastuneR
2020-03-16,0,kerastuneR
2020-03-17,0,kerastuneR
2020-03-18,0,kerastuneR
2020-03-19,0,kerastuneR
2020-03-20,12,kerastuneR
2020-03-21,8,kerastuneR
2020-03-22,7,kerastuneR
2020-03-23,4,kerastuneR
2020-03-24,19,kerastuneR
2020-03-25,24,kerastuneR
2020-03-26,19,kerastuneR
2020-03-27,16,kerastuneR
2020-03-28,19,kerastuneR
2020-03-29,22,kerastuneR
2020-03-30,25,kerastuneR
2020-03-31,17,kerastuneR
2020-04-01,17,kerastuneR
2020-04-02,13,kerastuneR
2020-04-03,14,kerastuneR
2020-04-04,16,kerastuneR
2020-04-05,16,kerastuneR
2020-04-06,21,kerastuneR
2020-04-07,29,kerastuneR
2020-04-08,24,kerastuneR
2020-04-09,26,kerastuneR
2020-04-10,10,kerastuneR
2020-04-11,10,kerastuneR
2020-04-12,16,kerastuneR
2020-04-13,17,kerastuneR
2020-04-14,9,kerastuneR
2020-04-15,18,kerastuneR
2020-04-16,18,kerastuneR
2020-04-17,23,kerastuneR
2020-04-18,6,kerastuneR
2020-04-19,6,kerastuneR
2020-04-20,7,kerastuneR
2020-04-21,16,kerastuneR
2020-04-22,22,kerastuneR
2020-04-23,9,kerastuneR
2020-04-24,13,kerastuneR
2020-04-25,28,kerastuneR
2020-04-26,15,kerastuneR
2020-04-27,19,kerastuneR
2020-04-28,21,kerastuneR
2020-04-29,45,kerastuneR
2020-04-30,24,kerastuneR
2020-05-01,23,kerastuneR
2020-05-02,23,kerastuneR
2020-05-03,23,kerastuneR
2020-05-04,18,kerastuneR
2020-05-05,21,kerastuneR
2020-05-06,26,kerastuneR
2020-05-07,24,kerastuneR
