date,count,package
2020-01-01,0,mStats
2020-01-02,0,mStats
2020-01-03,0,mStats
2020-01-04,0,mStats
2020-01-05,0,mStats
2020-01-06,0,mStats
2020-01-07,0,mStats
2020-01-08,0,mStats
2020-01-09,0,mStats
2020-01-10,0,mStats
2020-01-11,0,mStats
2020-01-12,0,mStats
2020-01-13,0,mStats
2020-01-14,0,mStats
2020-01-15,0,mStats
2020-01-16,0,mStats
2020-01-17,0,mStats
2020-01-18,0,mStats
2020-01-19,0,mStats
2020-01-20,0,mStats
2020-01-21,0,mStats
2020-01-22,0,mStats
2020-01-23,0,mStats
2020-01-24,0,mStats
2020-01-25,0,mStats
2020-01-26,0,mStats
2020-01-27,0,mStats
2020-01-28,0,mStats
2020-01-29,0,mStats
2020-01-30,0,mStats
2020-01-31,0,mStats
2020-02-01,0,mStats
2020-02-02,0,mStats
2020-02-03,0,mStats
2020-02-04,0,mStats
2020-02-05,0,mStats
2020-02-06,0,mStats
2020-02-07,0,mStats
2020-02-08,0,mStats
2020-02-09,0,mStats
2020-02-10,0,mStats
2020-02-11,0,mStats
2020-02-12,0,mStats
2020-02-13,0,mStats
2020-02-14,0,mStats
2020-02-15,0,mStats
2020-02-16,0,mStats
2020-02-17,0,mStats
2020-02-18,0,mStats
2020-02-19,0,mStats
2020-02-20,0,mStats
2020-02-21,0,mStats
2020-02-22,0,mStats
2020-02-23,0,mStats
2020-02-24,0,mStats
2020-02-25,0,mStats
2020-02-26,0,mStats
2020-02-27,0,mStats
2020-02-28,0,mStats
2020-02-29,0,mStats
2020-03-01,0,mStats
2020-03-02,0,mStats
2020-03-03,0,mStats
2020-03-04,0,mStats
2020-03-05,0,mStats
2020-03-06,0,mStats
2020-03-07,0,mStats
2020-03-08,0,mStats
2020-03-09,0,mStats
2020-03-10,0,mStats
2020-03-11,0,mStats
2020-03-12,0,mStats
2020-03-13,0,mStats
2020-03-14,0,mStats
2020-03-15,0,mStats
2020-03-16,0,mStats
2020-03-17,0,mStats
2020-03-18,0,mStats
2020-03-19,0,mStats
2020-03-20,0,mStats
2020-03-21,0,mStats
2020-03-22,0,mStats
2020-03-23,0,mStats
2020-03-24,0,mStats
2020-03-25,0,mStats
2020-03-26,0,mStats
2020-03-27,0,mStats
2020-03-28,0,mStats
2020-03-29,0,mStats
2020-03-30,0,mStats
2020-03-31,18,mStats
2020-04-01,27,mStats
2020-04-02,44,mStats
2020-04-03,41,mStats
2020-04-04,28,mStats
2020-04-05,36,mStats
2020-04-06,35,mStats
2020-04-07,36,mStats
2020-04-08,31,mStats
2020-04-09,30,mStats
2020-04-10,23,mStats
2020-04-11,7,mStats
2020-04-12,25,mStats
2020-04-13,24,mStats
2020-04-14,25,mStats
2020-04-15,37,mStats
2020-04-16,16,mStats
2020-04-17,31,mStats
2020-04-18,6,mStats
2020-04-19,1,mStats
2020-04-20,11,mStats
2020-04-21,9,mStats
2020-04-22,39,mStats
2020-04-23,14,mStats
2020-04-24,28,mStats
2020-04-25,43,mStats
2020-04-26,11,mStats
2020-04-27,31,mStats
2020-04-28,37,mStats
2020-04-29,47,mStats
2020-04-30,31,mStats
2020-05-01,31,mStats
2020-05-02,36,mStats
2020-05-03,30,mStats
2020-05-04,30,mStats
2020-05-05,26,mStats
2020-05-06,32,mStats
2020-05-07,29,mStats
2020-05-08,23,mStats
2020-05-09,32,mStats
2020-05-10,58,mStats
2020-05-11,44,mStats
2020-05-12,25,mStats
2020-05-13,21,mStats
2020-05-14,21,mStats
2020-05-15,20,mStats
2020-05-16,22,mStats
2020-05-17,27,mStats
2020-05-18,28,mStats
2020-05-19,25,mStats
2020-05-20,26,mStats
2020-05-21,19,mStats
2020-05-22,20,mStats
2020-05-23,19,mStats
2020-05-24,18,mStats
2020-05-25,19,mStats
2020-05-26,23,mStats
2020-05-27,23,mStats
2020-05-28,20,mStats
2020-05-29,19,mStats
2020-05-30,20,mStats
2020-05-31,24,mStats
2020-06-01,20,mStats
2020-06-02,21,mStats
2020-06-03,26,mStats
2020-06-04,25,mStats
2020-06-05,19,mStats
2020-06-06,21,mStats
2020-06-07,20,mStats
2020-06-08,24,mStats
2020-06-09,21,mStats
2020-06-10,26,mStats
2020-06-11,25,mStats
2020-06-12,20,mStats
2020-06-13,19,mStats
2020-06-14,23,mStats
2020-06-15,20,mStats
2020-06-16,21,mStats
2020-06-17,25,mStats
2020-06-18,30,mStats
2020-06-19,25,mStats
2020-06-20,17,mStats
2020-06-21,24,mStats
2020-06-22,22,mStats
2020-06-23,27,mStats
2020-06-24,20,mStats
2020-06-25,20,mStats
2020-06-26,22,mStats
2020-06-27,19,mStats
2020-06-28,22,mStats
2020-06-29,26,mStats
2020-06-30,16,mStats
2020-07-01,20,mStats
2020-07-02,19,mStats
2020-07-03,26,mStats
2020-07-04,18,mStats
2020-07-05,16,mStats
2020-07-06,19,mStats
2020-07-07,30,mStats
2020-07-08,19,mStats
2020-07-09,19,mStats
2020-07-10,17,mStats
2020-07-11,23,mStats
2020-07-12,21,mStats
2020-07-13,23,mStats
2020-07-14,21,mStats
2020-07-15,23,mStats
2020-07-16,21,mStats
2020-07-17,18,mStats
2020-07-18,25,mStats
2020-07-19,21,mStats
2020-07-20,18,mStats
2020-07-21,25,mStats
2020-07-22,22,mStats
2020-07-23,26,mStats
2020-07-24,19,mStats
2020-07-25,18,mStats
2020-07-26,20,mStats
2020-07-27,16,mStats
2020-07-28,17,mStats
2020-07-29,8,mStats
2020-07-30,7,mStats
2020-07-31,3,mStats
2020-08-01,1,mStats
2020-08-02,4,mStats
2020-08-03,22,mStats
2020-08-04,29,mStats
2020-08-05,24,mStats
2020-08-06,24,mStats
2020-08-07,27,mStats
2020-08-08,20,mStats
2020-08-09,23,mStats
2020-08-10,26,mStats
2020-08-11,20,mStats
2020-08-12,19,mStats
2020-08-13,25,mStats
2020-08-14,21,mStats
2020-08-15,19,mStats
2020-08-16,22,mStats
2020-08-17,22,mStats
2020-08-18,24,mStats
2020-08-19,22,mStats
2020-08-20,18,mStats
2020-08-21,22,mStats
2020-08-22,18,mStats
2020-08-23,16,mStats
2020-08-24,19,mStats
2020-08-25,22,mStats
2020-08-26,23,mStats
2020-08-27,20,mStats
2020-08-28,27,mStats
2020-08-29,21,mStats
2020-08-30,19,mStats
2020-08-31,22,mStats
2020-09-01,23,mStats
2020-09-02,22,mStats
2020-09-03,27,mStats
2020-09-04,20,mStats
2020-09-05,24,mStats
2020-09-06,23,mStats
2020-09-07,30,mStats
2020-09-08,28,mStats
2020-09-09,39,mStats
2020-09-10,14,mStats
2020-09-11,29,mStats
2020-09-12,30,mStats
2020-09-13,25,mStats
2020-09-14,35,mStats
2020-09-15,27,mStats
2020-09-16,19,mStats
2020-09-17,35,mStats
2020-09-18,27,mStats
2020-09-19,19,mStats
2020-09-20,26,mStats
2020-09-21,33,mStats
2020-09-22,37,mStats
2020-09-23,24,mStats
2020-09-24,7,mStats
2020-09-25,18,mStats
2020-09-26,18,mStats
2020-09-27,19,mStats
2020-09-28,26,mStats
2020-09-29,28,mStats
2020-09-30,23,mStats
2020-10-01,24,mStats
2020-10-02,21,mStats
2020-10-03,19,mStats
2020-10-04,32,mStats
2020-10-05,20,mStats
2020-10-06,22,mStats
2020-10-07,19,mStats
2020-10-08,20,mStats
2020-10-09,22,mStats
2020-10-10,20,mStats
2020-10-11,18,mStats
2020-10-12,20,mStats
2020-10-13,44,mStats
2020-10-14,27,mStats
2020-10-15,21,mStats
2020-10-16,19,mStats
2020-10-17,4,mStats
2020-10-18,16,mStats
2020-10-19,25,mStats
2020-10-20,55,mStats
2020-10-21,23,mStats
2020-10-22,32,mStats
2020-10-23,21,mStats
2020-10-24,21,mStats
2020-10-25,17,mStats
2020-10-26,22,mStats
2020-10-27,21,mStats
2020-10-28,21,mStats
2020-10-29,31,mStats
2020-10-30,23,mStats
2020-10-31,10,mStats
2020-11-01,21,mStats
2020-11-02,8,mStats
2020-11-03,23,mStats
2020-11-04,6,mStats
2020-11-05,27,mStats
2020-11-06,23,mStats
2020-11-07,25,mStats
2020-11-08,19,mStats
2020-11-09,27,mStats
2020-11-10,23,mStats
2020-11-11,30,mStats
2020-11-12,25,mStats
2020-11-13,20,mStats
2020-11-14,18,mStats
2020-11-15,19,mStats
2020-11-16,21,mStats
2020-11-17,20,mStats
2020-11-18,22,mStats
2020-11-19,20,mStats
2020-11-20,20,mStats
2020-11-21,17,mStats
2020-11-22,18,mStats
2020-11-23,29,mStats
2020-11-24,39,mStats
2020-11-25,39,mStats
2020-11-26,7,mStats
2020-11-27,36,mStats
2020-11-28,30,mStats
2020-11-29,27,mStats
2020-11-30,30,mStats
2020-12-01,34,mStats
2020-12-02,37,mStats
2020-12-03,30,mStats
2020-12-04,28,mStats
2020-12-05,24,mStats
2020-12-06,21,mStats
2020-12-07,24,mStats
2020-12-08,7,mStats
2020-12-09,29,mStats
2020-12-10,22,mStats
2020-12-11,30,mStats
2020-12-12,27,mStats
2020-12-13,22,mStats
2020-12-14,22,mStats
2020-12-15,24,mStats
2020-12-16,15,mStats
2020-12-17,26,mStats
2020-12-18,23,mStats
2020-12-19,25,mStats
2020-12-20,21,mStats
2020-12-21,20,mStats
2020-12-22,27,mStats
2020-12-23,27,mStats
2020-12-24,19,mStats
2020-12-25,20,mStats
2020-12-26,20,mStats
2020-12-27,20,mStats
2020-12-28,24,mStats
2020-12-29,23,mStats
2020-12-30,28,mStats
2020-12-31,21,mStats
2021-01-01,22,mStats
2021-01-02,22,mStats
2021-01-03,20,mStats
2021-01-04,22,mStats
2021-01-05,20,mStats
2021-01-06,26,mStats
2021-01-07,22,mStats
2021-01-08,21,mStats
2021-01-09,20,mStats
2021-01-10,23,mStats
2021-01-11,27,mStats
2021-01-12,25,mStats
2021-01-13,24,mStats
2021-01-14,29,mStats
2021-01-15,22,mStats
2021-01-16,15,mStats
2021-01-17,25,mStats
2021-01-18,19,mStats
2021-01-19,21,mStats
2021-01-20,23,mStats
2021-01-21,20,mStats
2021-01-22,3,mStats
2021-01-23,23,mStats
2021-01-24,7,mStats
2021-01-25,26,mStats
2021-01-26,7,mStats
2021-01-27,32,mStats
2021-01-28,4,mStats
2021-01-29,23,mStats
2021-01-30,24,mStats
2021-01-31,21,mStats
2021-02-01,22,mStats
2021-02-02,23,mStats
2021-02-03,21,mStats
2021-02-04,25,mStats
2021-02-05,14,mStats
2021-02-06,28,mStats
2021-02-07,24,mStats
2021-02-08,22,mStats
2021-02-09,24,mStats
2021-02-10,25,mStats
2021-02-11,24,mStats
2021-02-12,28,mStats
2021-02-13,23,mStats
2021-02-14,5,mStats
2021-02-15,25,mStats
2021-02-16,13,mStats
2021-02-17,25,mStats
2021-02-18,30,mStats
2021-02-19,24,mStats
2021-02-20,22,mStats
2021-02-21,24,mStats
2021-02-22,33,mStats
2021-02-23,5,mStats
2021-02-24,35,mStats
2021-02-25,23,mStats
2021-02-26,31,mStats
2021-02-27,20,mStats
2021-02-28,18,mStats
2021-03-01,17,mStats
2021-03-02,21,mStats
2021-03-03,26,mStats
2021-03-04,26,mStats
2021-03-05,23,mStats
2021-03-06,25,mStats
2021-03-07,22,mStats
2021-03-08,31,mStats
2021-03-09,21,mStats
2021-03-10,26,mStats
2021-03-11,22,mStats
2021-03-12,22,mStats
2021-03-13,23,mStats
2021-03-14,20,mStats
2021-03-15,24,mStats
2021-03-16,26,mStats
2021-03-17,29,mStats
2021-03-18,25,mStats
2021-03-19,3,mStats
2021-03-20,21,mStats
2021-03-21,3,mStats
2021-03-22,21,mStats
2021-03-23,8,mStats
2021-03-24,28,mStats
2021-03-25,8,mStats
2021-03-26,27,mStats
2021-03-27,9,mStats
2021-03-28,19,mStats
2021-03-29,6,mStats
2021-03-30,26,mStats
2021-03-31,9,mStats
2021-04-01,21,mStats
2021-04-02,8,mStats
2021-04-03,21,mStats
2021-04-04,6,mStats
2021-04-05,21,mStats
2021-04-06,2,mStats
2021-04-07,26,mStats
2021-04-08,28,mStats
2021-04-09,12,mStats
2021-04-10,22,mStats
2021-04-11,12,mStats
2021-04-12,24,mStats
2021-04-13,8,mStats
2021-04-14,26,mStats
2021-04-15,6,mStats
2021-04-16,24,mStats
2021-04-17,6,mStats
2021-04-18,24,mStats
2021-04-19,16,mStats
2021-04-20,23,mStats
2021-04-21,13,mStats
2021-04-22,26,mStats
2021-04-23,11,mStats
2021-04-24,27,mStats
2021-04-25,6,mStats
2021-04-26,25,mStats
2021-04-27,14,mStats
2021-04-28,27,mStats
2021-04-29,4,mStats
2021-04-30,7,mStats
2021-05-01,20,mStats
2021-05-02,7,mStats
2021-05-03,22,mStats
2021-05-04,20,mStats
2021-05-05,8,mStats
2021-05-06,28,mStats
2021-05-07,10,mStats
2021-05-08,22,mStats
2021-05-09,3,mStats
2021-05-10,27,mStats
2021-05-11,19,mStats
2021-05-12,31,mStats
2021-05-13,11,mStats
2021-05-14,20,mStats
2021-05-15,5,mStats
2021-05-16,20,mStats
2021-05-17,6,mStats
2021-05-18,27,mStats
2021-05-19,14,mStats
2021-05-20,27,mStats
2021-05-21,12,mStats
2021-05-22,20,mStats
2021-05-23,13,mStats
2021-05-24,9,mStats
2021-05-25,21,mStats
2021-05-26,10,mStats
2021-05-27,8,mStats
2021-05-28,11,mStats
2021-05-29,3,mStats
2021-05-30,16,mStats
2021-05-31,6,mStats
2021-06-01,11,mStats
2021-06-02,9,mStats
2021-06-03,13,mStats
2021-06-04,2,mStats
2021-06-05,4,mStats
2021-06-06,13,mStats
2021-06-07,5,mStats
2021-06-08,23,mStats
2021-06-09,13,mStats
