date,count,package
2020-01-01,0,mand
2020-01-02,0,mand
2020-01-03,0,mand
2020-01-04,0,mand
2020-01-05,0,mand
2020-01-06,0,mand
2020-01-07,0,mand
2020-01-08,0,mand
2020-01-09,0,mand
2020-01-10,0,mand
2020-01-11,0,mand
2020-01-12,0,mand
2020-01-13,0,mand
2020-01-14,0,mand
2020-01-15,0,mand
2020-01-16,0,mand
2020-01-17,0,mand
2020-01-18,0,mand
2020-01-19,0,mand
2020-01-20,0,mand
2020-01-21,0,mand
2020-01-22,0,mand
2020-01-23,0,mand
2020-01-24,0,mand
2020-01-25,0,mand
2020-01-26,0,mand
2020-01-27,0,mand
2020-01-28,0,mand
2020-01-29,0,mand
2020-01-30,0,mand
2020-01-31,0,mand
2020-02-01,0,mand
2020-02-02,0,mand
2020-02-03,0,mand
2020-02-04,0,mand
2020-02-05,0,mand
2020-02-06,0,mand
2020-02-07,0,mand
2020-02-08,0,mand
2020-02-09,0,mand
2020-02-10,0,mand
2020-02-11,0,mand
2020-02-12,0,mand
2020-02-13,0,mand
2020-02-14,0,mand
2020-02-15,0,mand
2020-02-16,0,mand
2020-02-17,0,mand
2020-02-18,0,mand
2020-02-19,0,mand
2020-02-20,0,mand
2020-02-21,0,mand
2020-02-22,0,mand
2020-02-23,0,mand
2020-02-24,0,mand
2020-02-25,0,mand
2020-02-26,0,mand
2020-02-27,0,mand
2020-02-28,0,mand
2020-02-29,0,mand
2020-03-01,0,mand
2020-03-02,0,mand
2020-03-03,0,mand
2020-03-04,0,mand
2020-03-05,0,mand
2020-03-06,0,mand
2020-03-07,0,mand
2020-03-08,0,mand
2020-03-09,0,mand
2020-03-10,0,mand
2020-03-11,0,mand
2020-03-12,0,mand
2020-03-13,0,mand
2020-03-14,0,mand
2020-03-15,0,mand
2020-03-16,0,mand
2020-03-17,0,mand
2020-03-18,0,mand
2020-03-19,0,mand
2020-03-20,0,mand
2020-03-21,0,mand
2020-03-22,0,mand
2020-03-23,0,mand
2020-03-24,0,mand
2020-03-25,0,mand
2020-03-26,0,mand
2020-03-27,0,mand
2020-03-28,0,mand
2020-03-29,0,mand
2020-03-30,0,mand
2020-03-31,0,mand
2020-04-01,0,mand
2020-04-02,0,mand
2020-04-03,0,mand
2020-04-04,0,mand
2020-04-05,0,mand
2020-04-06,0,mand
2020-04-07,0,mand
2020-04-08,0,mand
2020-04-09,0,mand
2020-04-10,0,mand
2020-04-11,0,mand
2020-04-12,0,mand
2020-04-13,0,mand
2020-04-14,0,mand
2020-04-15,0,mand
2020-04-16,0,mand
2020-04-17,0,mand
2020-04-18,0,mand
2020-04-19,0,mand
2020-04-20,0,mand
2020-04-21,0,mand
2020-04-22,0,mand
2020-04-23,0,mand
2020-04-24,0,mand
2020-04-25,0,mand
2020-04-26,0,mand
2020-04-27,0,mand
2020-04-28,0,mand
2020-04-29,0,mand
2020-04-30,0,mand
2020-05-01,0,mand
2020-05-02,0,mand
2020-05-03,0,mand
2020-05-04,0,mand
2020-05-05,0,mand
2020-05-06,13,mand
2020-05-07,15,mand
2020-05-08,20,mand
2020-05-09,34,mand
2020-05-10,54,mand
2020-05-11,54,mand
2020-05-12,24,mand
2020-05-13,23,mand
2020-05-14,21,mand
2020-05-15,20,mand
2020-05-16,18,mand
2020-05-17,16,mand
2020-05-18,23,mand
2020-05-19,19,mand
2020-05-20,15,mand
2020-05-21,12,mand
2020-05-22,13,mand
2020-05-23,6,mand
2020-05-24,15,mand
2020-05-25,12,mand
2020-05-26,25,mand
2020-05-27,13,mand
2020-05-28,11,mand
2020-05-29,10,mand
2020-05-30,12,mand
2020-05-31,12,mand
2020-06-01,12,mand
2020-06-02,13,mand
2020-06-03,10,mand
2020-06-04,16,mand
2020-06-05,16,mand
2020-06-06,8,mand
2020-06-07,11,mand
2020-06-08,18,mand
2020-06-09,12,mand
2020-06-10,17,mand
2020-06-11,16,mand
2020-06-12,9,mand
2020-06-13,10,mand
2020-06-14,20,mand
2020-06-15,9,mand
2020-06-16,13,mand
2020-06-17,12,mand
2020-06-18,22,mand
2020-06-19,20,mand
2020-06-20,15,mand
2020-06-21,11,mand
2020-06-22,13,mand
2020-06-23,17,mand
2020-06-24,12,mand
2020-06-25,10,mand
2020-06-26,15,mand
2020-06-27,12,mand
2020-06-28,11,mand
2020-06-29,11,mand
2020-06-30,7,mand
2020-07-01,11,mand
2020-07-02,24,mand
2020-07-03,14,mand
2020-07-04,9,mand
2020-07-05,6,mand
2020-07-06,10,mand
2020-07-07,19,mand
2020-07-08,9,mand
2020-07-09,11,mand
2020-07-10,9,mand
2020-07-11,7,mand
2020-07-12,12,mand
2020-07-13,12,mand
2020-07-14,10,mand
2020-07-15,14,mand
2020-07-16,8,mand
2020-07-17,6,mand
2020-07-18,11,mand
2020-07-19,8,mand
2020-07-20,13,mand
2020-07-21,17,mand
2020-07-22,12,mand
2020-07-23,11,mand
2020-07-24,6,mand
2020-07-25,16,mand
2020-07-26,9,mand
2020-07-27,10,mand
2020-07-28,7,mand
2020-07-29,11,mand
2020-07-30,8,mand
2020-07-31,3,mand
2020-08-01,1,mand
2020-08-02,5,mand
2020-08-03,10,mand
2020-08-04,9,mand
2020-08-05,11,mand
2020-08-06,17,mand
2020-08-07,15,mand
2020-08-08,15,mand
2020-08-09,10,mand
2020-08-10,17,mand
2020-08-11,6,mand
2020-08-12,8,mand
2020-08-13,11,mand
2020-08-14,9,mand
2020-08-15,6,mand
2020-08-16,5,mand
2020-08-17,9,mand
2020-08-18,10,mand
2020-08-19,10,mand
2020-08-20,10,mand
2020-08-21,16,mand
2020-08-22,7,mand
2020-08-23,4,mand
2020-08-24,8,mand
2020-08-25,14,mand
2020-08-26,9,mand
2020-08-27,6,mand
2020-08-28,5,mand
2020-08-29,8,mand
2020-08-30,6,mand
2020-08-31,10,mand
2020-09-01,11,mand
2020-09-02,14,mand
2020-09-03,12,mand
2020-09-04,7,mand
2020-09-05,11,mand
2020-09-06,11,mand
2020-09-07,17,mand
2020-09-08,16,mand
2020-09-09,17,mand
2020-09-10,12,mand
2020-09-11,16,mand
2020-09-12,23,mand
2020-09-13,14,mand
2020-09-14,42,mand
2020-09-15,13,mand
2020-09-16,8,mand
2020-09-17,23,mand
2020-09-18,15,mand
2020-09-19,7,mand
2020-09-20,10,mand
2020-09-21,12,mand
2020-09-22,15,mand
2020-09-23,11,mand
2020-09-24,7,mand
2020-09-25,5,mand
2020-09-26,6,mand
2020-09-27,12,mand
2020-09-28,13,mand
2020-09-29,15,mand
2020-09-30,16,mand
2020-10-01,13,mand
2020-10-02,10,mand
2020-10-03,6,mand
2020-10-04,14,mand
2020-10-05,6,mand
2020-10-06,7,mand
2020-10-07,7,mand
2020-10-08,7,mand
2020-10-09,10,mand
2020-10-10,8,mand
2020-10-11,6,mand
2020-10-12,5,mand
2020-10-13,12,mand
2020-10-14,11,mand
2020-10-15,6,mand
2020-10-16,6,mand
2020-10-17,2,mand
2020-10-18,5,mand
2020-10-19,14,mand
2020-10-20,8,mand
2020-10-21,11,mand
2020-10-22,10,mand
2020-10-23,10,mand
2020-10-24,9,mand
2020-10-25,7,mand
2020-10-26,8,mand
2020-10-27,8,mand
2020-10-28,9,mand
2020-10-29,20,mand
2020-10-30,11,mand
2020-10-31,6,mand
2020-11-01,6,mand
2020-11-02,10,mand
2020-11-03,12,mand
2020-11-04,6,mand
2020-11-05,14,mand
2020-11-06,24,mand
2020-11-07,18,mand
2020-11-08,6,mand
2020-11-09,14,mand
2020-11-10,9,mand
2020-11-11,14,mand
2020-11-12,10,mand
2020-11-13,7,mand
2020-11-14,6,mand
2020-11-15,8,mand
2020-11-16,6,mand
2020-11-17,10,mand
2020-11-18,8,mand
2020-11-19,8,mand
2020-11-20,5,mand
2020-11-21,5,mand
2020-11-22,5,mand
2020-11-23,4,mand
2020-11-24,12,mand
2020-11-25,8,mand
2020-11-26,10,mand
2020-11-27,13,mand
2020-11-28,8,mand
2020-11-29,6,mand
2020-11-30,8,mand
2020-12-01,10,mand
2020-12-02,11,mand
2020-12-03,10,mand
2020-12-04,11,mand
2020-12-05,8,mand
2020-12-06,6,mand
2020-12-07,5,mand
2020-12-08,4,mand
2020-12-09,13,mand
2020-12-10,12,mand
2020-12-11,8,mand
2020-12-12,7,mand
2020-12-13,10,mand
2020-12-14,7,mand
2020-12-15,5,mand
2020-12-16,2,mand
2020-12-17,39,mand
2020-12-18,10,mand
2020-12-19,6,mand
2020-12-20,6,mand
2020-12-21,5,mand
2020-12-22,13,mand
2020-12-23,8,mand
2020-12-24,5,mand
2020-12-25,5,mand
2020-12-26,4,mand
2020-12-27,3,mand
2020-12-28,10,mand
2020-12-29,7,mand
2020-12-30,6,mand
2020-12-31,5,mand
2021-01-01,8,mand
2021-01-02,7,mand
2021-01-03,8,mand
2021-01-04,5,mand
2021-01-05,5,mand
2021-01-06,7,mand
2021-01-07,6,mand
2021-01-08,4,mand
2021-01-09,5,mand
2021-01-10,5,mand
2021-01-11,9,mand
2021-01-12,8,mand
2021-01-13,6,mand
2021-01-14,11,mand
2021-01-15,6,mand
2021-01-16,8,mand
2021-01-17,4,mand
2021-01-18,0,mand
2021-01-19,7,mand
2021-01-20,10,mand
2021-01-21,7,mand
2021-01-22,2,mand
2021-01-23,7,mand
2021-01-24,8,mand
2021-01-25,11,mand
2021-01-26,7,mand
2021-01-27,14,mand
2021-01-28,6,mand
2021-01-29,7,mand
2021-01-30,7,mand
2021-01-31,7,mand
2021-02-01,7,mand
2021-02-02,8,mand
2021-02-03,7,mand
2021-02-04,10,mand
2021-02-05,6,mand
2021-02-06,13,mand
2021-02-07,10,mand
2021-02-08,4,mand
2021-02-09,14,mand
2021-02-10,9,mand
2021-02-11,15,mand
2021-02-12,11,mand
2021-02-13,10,mand
2021-02-14,6,mand
2021-02-15,13,mand
2021-02-16,13,mand
2021-02-17,9,mand
2021-02-18,12,mand
2021-02-19,12,mand
2021-02-20,9,mand
2021-02-21,10,mand
2021-02-22,20,mand
2021-02-23,6,mand
2021-02-24,19,mand
2021-02-25,18,mand
2021-02-26,18,mand
2021-02-27,9,mand
2021-02-28,6,mand
2021-03-01,10,mand
2021-03-02,10,mand
2021-03-03,13,mand
2021-03-04,12,mand
2021-03-05,12,mand
2021-03-06,11,mand
2021-03-07,7,mand
2021-03-08,16,mand
2021-03-09,10,mand
2021-03-10,14,mand
2021-03-11,9,mand
2021-03-12,10,mand
2021-03-13,15,mand
2021-03-14,9,mand
2021-03-15,13,mand
2021-03-16,10,mand
2021-03-17,13,mand
2021-03-18,11,mand
2021-03-19,3,mand
2021-03-20,9,mand
2021-03-21,1,mand
2021-03-22,13,mand
2021-03-23,12,mand
2021-03-24,13,mand
2021-03-25,6,mand
2021-03-26,13,mand
2021-03-27,3,mand
2021-03-28,8,mand
2021-03-29,9,mand
2021-03-30,11,mand
2021-03-31,6,mand
2021-04-01,8,mand
2021-04-02,3,mand
2021-04-03,11,mand
2021-04-04,10,mand
2021-04-05,8,mand
2021-04-06,3,mand
2021-04-07,11,mand
2021-04-08,23,mand
2021-04-09,11,mand
2021-04-10,12,mand
2021-04-11,11,mand
2021-04-12,11,mand
2021-04-13,8,mand
2021-04-14,13,mand
2021-04-15,3,mand
2021-04-16,9,mand
2021-04-17,3,mand
2021-04-18,18,mand
2021-04-19,9,mand
2021-04-20,16,mand
2021-04-21,11,mand
2021-04-22,16,mand
2021-04-23,10,mand
2021-04-24,12,mand
2021-04-25,7,mand
2021-04-26,11,mand
2021-04-27,12,mand
2021-04-28,12,mand
2021-04-29,6,mand
2021-04-30,12,mand
2021-05-01,8,mand
2021-05-02,9,mand
2021-05-03,13,mand
2021-05-04,19,mand
2021-05-05,6,mand
2021-05-06,26,mand
2021-05-07,8,mand
2021-05-08,9,mand
2021-05-09,4,mand
2021-05-10,12,mand
2021-05-11,12,mand
2021-05-12,16,mand
2021-05-13,9,mand
2021-05-14,13,mand
2021-05-15,6,mand
2021-05-16,9,mand
2021-05-17,6,mand
2021-05-18,16,mand
2021-05-19,15,mand
2021-05-20,15,mand
2021-05-21,16,mand
2021-05-22,10,mand
2021-05-23,14,mand
2021-05-24,7,mand
2021-05-25,17,mand
2021-05-26,7,mand
2021-05-27,11,mand
2021-05-28,7,mand
2021-05-29,3,mand
2021-05-30,7,mand
2021-05-31,8,mand
2021-06-01,7,mand
2021-06-02,8,mand
2021-06-03,3,mand
2021-06-04,4,mand
2021-06-05,2,mand
2021-06-06,8,mand
2021-06-07,3,mand
2021-06-08,8,mand
2021-06-09,11,mand
