date,count,package
2020-01-01,0,mob
2020-01-02,0,mob
2020-01-03,0,mob
2020-01-04,0,mob
2020-01-05,0,mob
2020-01-06,0,mob
2020-01-07,0,mob
2020-01-08,0,mob
2020-01-09,0,mob
2020-01-10,0,mob
2020-01-11,0,mob
2020-01-12,0,mob
2020-01-13,0,mob
2020-01-14,0,mob
2020-01-15,0,mob
2020-01-16,0,mob
2020-01-17,0,mob
2020-01-18,0,mob
2020-01-19,0,mob
2020-01-20,0,mob
2020-01-21,0,mob
2020-01-22,0,mob
2020-01-23,0,mob
2020-01-24,0,mob
2020-01-25,0,mob
2020-01-26,0,mob
2020-01-27,0,mob
2020-01-28,0,mob
2020-01-29,0,mob
2020-01-30,0,mob
2020-01-31,0,mob
2020-02-01,0,mob
2020-02-02,0,mob
2020-02-03,0,mob
2020-02-04,0,mob
2020-02-05,0,mob
2020-02-06,0,mob
2020-02-07,0,mob
2020-02-08,0,mob
2020-02-09,0,mob
2020-02-10,0,mob
2020-02-11,0,mob
2020-02-12,0,mob
2020-02-13,0,mob
2020-02-14,0,mob
2020-02-15,0,mob
2020-02-16,0,mob
2020-02-17,0,mob
2020-02-18,0,mob
2020-02-19,0,mob
2020-02-20,0,mob
2020-02-21,0,mob
2020-02-22,0,mob
2020-02-23,0,mob
2020-02-24,0,mob
2020-02-25,0,mob
2020-02-26,0,mob
2020-02-27,0,mob
2020-02-28,0,mob
2020-02-29,1,mob
2020-03-01,11,mob
2020-03-02,11,mob
2020-03-03,14,mob
2020-03-04,21,mob
2020-03-05,9,mob
2020-03-06,18,mob
2020-03-07,11,mob
2020-03-08,10,mob
2020-03-09,9,mob
2020-03-10,9,mob
2020-03-11,4,mob
2020-03-12,14,mob
2020-03-13,14,mob
2020-03-14,14,mob
2020-03-15,12,mob
2020-03-16,15,mob
2020-03-17,14,mob
2020-03-18,5,mob
2020-03-19,13,mob
2020-03-20,10,mob
2020-03-21,16,mob
2020-03-22,8,mob
2020-03-23,9,mob
2020-03-24,6,mob
2020-03-25,10,mob
2020-03-26,17,mob
2020-03-27,10,mob
2020-03-28,10,mob
2020-03-29,15,mob
2020-03-30,20,mob
2020-03-31,14,mob
2020-04-01,8,mob
2020-04-02,11,mob
2020-04-03,15,mob
2020-04-04,8,mob
2020-04-05,14,mob
2020-04-06,15,mob
2020-04-07,17,mob
2020-04-08,14,mob
2020-04-09,14,mob
2020-04-10,7,mob
2020-04-11,6,mob
2020-04-12,7,mob
2020-04-13,6,mob
2020-04-14,8,mob
2020-04-15,18,mob
2020-04-16,14,mob
2020-04-17,20,mob
2020-04-18,7,mob
2020-04-19,9,mob
2020-04-20,8,mob
2020-04-21,10,mob
2020-04-22,20,mob
2020-04-23,6,mob
2020-04-24,10,mob
2020-04-25,29,mob
2020-04-26,10,mob
2020-04-27,16,mob
2020-04-28,18,mob
2020-04-29,28,mob
2020-04-30,11,mob
2020-05-01,17,mob
2020-05-02,20,mob
2020-05-03,14,mob
2020-05-04,15,mob
2020-05-05,15,mob
2020-05-06,18,mob
2020-05-07,19,mob
2020-05-08,11,mob
2020-05-09,18,mob
2020-05-10,47,mob
2020-05-11,32,mob
2020-05-12,13,mob
2020-05-13,12,mob
2020-05-14,10,mob
2020-05-15,10,mob
2020-05-16,10,mob
2020-05-17,10,mob
2020-05-18,23,mob
2020-05-19,12,mob
2020-05-20,11,mob
2020-05-21,5,mob
2020-05-22,9,mob
2020-05-23,8,mob
2020-05-24,6,mob
2020-05-25,6,mob
2020-05-26,10,mob
2020-05-27,16,mob
2020-05-28,9,mob
2020-05-29,13,mob
2020-05-30,8,mob
2020-05-31,10,mob
2020-06-01,8,mob
2020-06-02,9,mob
2020-06-03,7,mob
2020-06-04,7,mob
2020-06-05,13,mob
2020-06-06,6,mob
2020-06-07,6,mob
2020-06-08,12,mob
2020-06-09,10,mob
2020-06-10,19,mob
2020-06-11,12,mob
2020-06-12,6,mob
2020-06-13,7,mob
2020-06-14,10,mob
2020-06-15,6,mob
2020-06-16,14,mob
2020-06-17,10,mob
2020-06-18,24,mob
2020-06-19,12,mob
2020-06-20,5,mob
2020-06-21,8,mob
2020-06-22,16,mob
2020-06-23,13,mob
2020-06-24,8,mob
2020-06-25,7,mob
2020-06-26,10,mob
2020-06-27,7,mob
2020-06-28,8,mob
2020-06-29,9,mob
2020-06-30,4,mob
2020-07-01,8,mob
2020-07-02,9,mob
2020-07-03,12,mob
2020-07-04,12,mob
2020-07-05,9,mob
2020-07-06,15,mob
2020-07-07,36,mob
2020-07-08,46,mob
2020-07-09,31,mob
2020-07-10,23,mob
2020-07-11,30,mob
2020-07-12,33,mob
2020-07-13,25,mob
2020-07-14,23,mob
2020-07-15,24,mob
2020-07-16,16,mob
2020-07-17,12,mob
2020-07-18,14,mob
2020-07-19,16,mob
2020-07-20,17,mob
2020-07-21,20,mob
2020-07-22,21,mob
2020-07-23,13,mob
2020-07-24,9,mob
2020-07-25,5,mob
2020-07-26,16,mob
2020-07-27,7,mob
2020-07-28,11,mob
2020-07-29,13,mob
2020-07-30,15,mob
2020-07-31,6,mob
2020-08-01,1,mob
2020-08-02,9,mob
2020-08-03,13,mob
2020-08-04,10,mob
2020-08-05,15,mob
2020-08-06,13,mob
2020-08-07,20,mob
2020-08-08,11,mob
2020-08-09,14,mob
2020-08-10,19,mob
2020-08-11,13,mob
2020-08-12,16,mob
2020-08-13,16,mob
2020-08-14,14,mob
2020-08-15,6,mob
2020-08-16,6,mob
2020-08-17,12,mob
2020-08-18,12,mob
2020-08-19,14,mob
2020-08-20,9,mob
2020-08-21,16,mob
2020-08-22,6,mob
2020-08-23,4,mob
2020-08-24,8,mob
2020-08-25,8,mob
2020-08-26,19,mob
2020-08-27,8,mob
2020-08-28,5,mob
2020-08-29,8,mob
2020-08-30,10,mob
2020-08-31,11,mob
2020-09-01,12,mob
2020-09-02,19,mob
2020-09-03,15,mob
2020-09-04,7,mob
2020-09-05,12,mob
2020-09-06,13,mob
2020-09-07,18,mob
2020-09-08,16,mob
2020-09-09,26,mob
2020-09-10,16,mob
2020-09-11,17,mob
2020-09-12,17,mob
2020-09-13,18,mob
2020-09-14,26,mob
2020-09-15,14,mob
2020-09-16,11,mob
2020-09-17,27,mob
2020-09-18,17,mob
2020-09-19,9,mob
2020-09-20,11,mob
2020-09-21,14,mob
2020-09-22,17,mob
2020-09-23,15,mob
2020-09-24,7,mob
2020-09-25,11,mob
2020-09-26,6,mob
2020-09-27,7,mob
2020-09-28,13,mob
2020-09-29,15,mob
2020-09-30,16,mob
2020-10-01,17,mob
2020-10-02,11,mob
2020-10-03,6,mob
2020-10-04,17,mob
2020-10-05,6,mob
2020-10-06,13,mob
2020-10-07,10,mob
2020-10-08,11,mob
2020-10-09,9,mob
2020-10-10,8,mob
2020-10-11,7,mob
2020-10-12,8,mob
2020-10-13,12,mob
2020-10-14,14,mob
2020-10-15,6,mob
2020-10-16,13,mob
2020-10-17,3,mob
2020-10-18,4,mob
2020-10-19,15,mob
2020-10-20,7,mob
2020-10-21,14,mob
2020-10-22,13,mob
2020-10-23,13,mob
2020-10-24,9,mob
2020-10-25,7,mob
2020-10-26,9,mob
2020-10-27,8,mob
2020-10-28,11,mob
2020-10-29,20,mob
2020-10-30,12,mob
2020-10-31,7,mob
2020-11-01,6,mob
2020-11-02,21,mob
2020-11-03,22,mob
2020-11-04,11,mob
2020-11-05,32,mob
2020-11-06,18,mob
2020-11-07,23,mob
2020-11-08,15,mob
2020-11-09,31,mob
2020-11-10,33,mob
2020-11-11,42,mob
2020-11-12,33,mob
2020-11-13,28,mob
2020-11-14,16,mob
2020-11-15,16,mob
2020-11-16,17,mob
2020-11-17,20,mob
2020-11-18,26,mob
2020-11-19,24,mob
2020-11-20,8,mob
2020-11-21,9,mob
2020-11-22,10,mob
2020-11-23,7,mob
2020-11-24,15,mob
2020-11-25,20,mob
2020-11-26,11,mob
2020-11-27,15,mob
2020-11-28,12,mob
2020-11-29,10,mob
2020-11-30,15,mob
2020-12-01,17,mob
2020-12-02,20,mob
2020-12-03,17,mob
2020-12-04,15,mob
2020-12-05,12,mob
2020-12-06,10,mob
2020-12-07,10,mob
2020-12-08,8,mob
2020-12-09,25,mob
2020-12-10,13,mob
2020-12-11,12,mob
2020-12-12,12,mob
2020-12-13,14,mob
2020-12-14,11,mob
2020-12-15,11,mob
2020-12-16,15,mob
2020-12-17,24,mob
2020-12-18,10,mob
2020-12-19,11,mob
2020-12-20,12,mob
2020-12-21,18,mob
2020-12-22,15,mob
2020-12-23,23,mob
2020-12-24,9,mob
2020-12-25,8,mob
2020-12-26,8,mob
2020-12-27,7,mob
2020-12-28,16,mob
2020-12-29,15,mob
2020-12-30,20,mob
2020-12-31,11,mob
2021-01-01,11,mob
2021-01-02,10,mob
2021-01-03,12,mob
2021-01-04,11,mob
2021-01-05,13,mob
2021-01-06,18,mob
2021-01-07,11,mob
2021-01-08,18,mob
2021-01-09,11,mob
2021-01-10,10,mob
2021-01-11,15,mob
2021-01-12,15,mob
2021-01-13,17,mob
2021-01-14,20,mob
2021-01-15,22,mob
2021-01-16,7,mob
2021-01-17,14,mob
2021-01-18,8,mob
2021-01-19,19,mob
2021-01-20,41,mob
2021-01-21,20,mob
2021-01-22,12,mob
2021-01-23,10,mob
2021-01-24,7,mob
2021-01-25,16,mob
2021-01-26,41,mob
2021-01-27,22,mob
2021-01-28,18,mob
2021-01-29,32,mob
2021-01-30,50,mob
2021-01-31,11,mob
2021-02-01,48,mob
2021-02-02,63,mob
2021-02-03,56,mob
2021-02-04,121,mob
2021-02-05,119,mob
2021-02-06,110,mob
2021-02-07,108,mob
2021-02-08,124,mob
2021-02-09,119,mob
2021-02-10,133,mob
2021-02-11,126,mob
2021-02-12,118,mob
2021-02-13,130,mob
2021-02-14,103,mob
2021-02-15,116,mob
2021-02-16,136,mob
2021-02-17,51,mob
2021-02-18,107,mob
2021-02-19,62,mob
2021-02-20,35,mob
2021-02-21,15,mob
2021-02-22,24,mob
2021-02-23,45,mob
2021-02-24,88,mob
2021-02-25,56,mob
2021-02-26,78,mob
2021-02-27,39,mob
2021-02-28,13,mob
2021-03-01,11,mob
2021-03-02,69,mob
2021-03-03,87,mob
2021-03-04,82,mob
2021-03-05,57,mob
2021-03-06,24,mob
2021-03-07,14,mob
2021-03-08,40,mob
2021-03-09,42,mob
2021-03-10,41,mob
2021-03-11,25,mob
2021-03-12,36,mob
2021-03-13,18,mob
2021-03-14,15,mob
2021-03-15,24,mob
2021-03-16,61,mob
2021-03-17,36,mob
2021-03-18,81,mob
2021-03-19,40,mob
2021-03-20,15,mob
2021-03-21,2,mob
2021-03-22,61,mob
2021-03-23,31,mob
2021-03-24,78,mob
2021-03-25,16,mob
2021-03-26,18,mob
2021-03-27,2,mob
2021-03-28,12,mob
2021-03-29,39,mob
2021-03-30,35,mob
2021-03-31,58,mob
2021-04-01,17,mob
2021-04-02,7,mob
2021-04-03,14,mob
2021-04-04,6,mob
2021-04-05,34,mob
2021-04-06,71,mob
2021-04-07,78,mob
2021-04-08,45,mob
2021-04-09,50,mob
2021-04-10,29,mob
2021-04-11,13,mob
2021-04-12,50,mob
2021-04-13,43,mob
2021-04-14,50,mob
2021-04-15,40,mob
2021-04-16,87,mob
2021-04-17,9,mob
2021-04-18,19,mob
2021-04-19,73,mob
2021-04-20,51,mob
2021-04-21,66,mob
2021-04-22,106,mob
2021-04-23,26,mob
2021-04-24,16,mob
2021-04-25,8,mob
2021-04-26,73,mob
2021-04-27,37,mob
2021-04-28,47,mob
2021-04-29,23,mob
2021-04-30,25,mob
2021-05-01,15,mob
2021-05-02,9,mob
2021-05-03,34,mob
2021-05-04,77,mob
2021-05-05,23,mob
2021-05-06,23,mob
2021-05-07,17,mob
2021-05-08,10,mob
2021-05-09,3,mob
2021-05-10,23,mob
2021-05-11,22,mob
2021-05-12,38,mob
2021-05-13,46,mob
2021-05-14,33,mob
2021-05-15,8,mob
2021-05-16,13,mob
2021-05-17,32,mob
2021-05-18,58,mob
2021-05-19,70,mob
2021-05-20,44,mob
2021-05-21,53,mob
2021-05-22,13,mob
2021-05-23,13,mob
2021-05-24,13,mob
2021-05-25,46,mob
2021-05-26,67,mob
2021-05-27,7,mob
2021-05-28,9,mob
2021-05-29,8,mob
2021-05-30,11,mob
2021-05-31,9,mob
2021-06-01,7,mob
2021-06-02,21,mob
