date,count,package
2020-01-01,0,mosmafs
2020-01-02,0,mosmafs
2020-01-03,0,mosmafs
2020-01-04,0,mosmafs
2020-01-05,0,mosmafs
2020-01-06,0,mosmafs
2020-01-07,0,mosmafs
2020-01-08,0,mosmafs
2020-01-09,0,mosmafs
2020-01-10,0,mosmafs
2020-01-11,0,mosmafs
2020-01-12,0,mosmafs
2020-01-13,0,mosmafs
2020-01-14,0,mosmafs
2020-01-15,0,mosmafs
2020-01-16,0,mosmafs
2020-01-17,0,mosmafs
2020-01-18,0,mosmafs
2020-01-19,0,mosmafs
2020-01-20,0,mosmafs
2020-01-21,0,mosmafs
2020-01-22,12,mosmafs
2020-01-23,6,mosmafs
2020-01-24,22,mosmafs
2020-01-25,14,mosmafs
2020-01-26,14,mosmafs
2020-01-27,13,mosmafs
2020-01-28,43,mosmafs
2020-01-29,35,mosmafs
2020-01-30,31,mosmafs
2020-01-31,29,mosmafs
2020-02-01,33,mosmafs
2020-02-02,23,mosmafs
2020-02-03,15,mosmafs
2020-02-04,20,mosmafs
2020-02-05,21,mosmafs
2020-02-06,27,mosmafs
2020-02-07,17,mosmafs
2020-02-08,23,mosmafs
2020-02-09,12,mosmafs
2020-02-10,12,mosmafs
2020-02-11,14,mosmafs
2020-02-12,16,mosmafs
2020-02-13,14,mosmafs
2020-02-14,17,mosmafs
2020-02-15,20,mosmafs
2020-02-16,12,mosmafs
2020-02-17,10,mosmafs
2020-02-18,14,mosmafs
2020-02-19,30,mosmafs
2020-02-20,17,mosmafs
2020-02-21,29,mosmafs
2020-02-22,34,mosmafs
2020-02-23,27,mosmafs
2020-02-24,27,mosmafs
2020-02-25,35,mosmafs
2020-02-26,31,mosmafs
2020-02-27,31,mosmafs
2020-02-28,22,mosmafs
2020-02-29,7,mosmafs
2020-03-01,27,mosmafs
2020-03-02,16,mosmafs
2020-03-03,22,mosmafs
2020-03-04,27,mosmafs
2020-03-05,16,mosmafs
2020-03-06,24,mosmafs
2020-03-07,19,mosmafs
2020-03-08,20,mosmafs
2020-03-09,20,mosmafs
2020-03-10,19,mosmafs
2020-03-11,6,mosmafs
2020-03-12,25,mosmafs
2020-03-13,16,mosmafs
2020-03-14,16,mosmafs
2020-03-15,21,mosmafs
2020-03-16,19,mosmafs
2020-03-17,18,mosmafs
2020-03-18,8,mosmafs
2020-03-19,16,mosmafs
2020-03-20,20,mosmafs
2020-03-21,20,mosmafs
2020-03-22,14,mosmafs
2020-03-23,24,mosmafs
2020-03-24,7,mosmafs
