date,count,package
2020-01-01,0,natmanager
2020-01-02,0,natmanager
2020-01-03,0,natmanager
2020-01-04,0,natmanager
2020-01-05,0,natmanager
2020-01-06,0,natmanager
2020-01-07,0,natmanager
2020-01-08,0,natmanager
2020-01-09,0,natmanager
2020-01-10,0,natmanager
2020-01-11,0,natmanager
2020-01-12,0,natmanager
2020-01-13,0,natmanager
2020-01-14,0,natmanager
2020-01-15,0,natmanager
2020-01-16,0,natmanager
2020-01-17,0,natmanager
2020-01-18,0,natmanager
2020-01-19,0,natmanager
2020-01-20,0,natmanager
2020-01-21,0,natmanager
2020-01-22,0,natmanager
2020-01-23,0,natmanager
2020-01-24,0,natmanager
2020-01-25,0,natmanager
2020-01-26,0,natmanager
2020-01-27,0,natmanager
2020-01-28,0,natmanager
2020-01-29,0,natmanager
2020-01-30,0,natmanager
2020-01-31,0,natmanager
2020-02-01,0,natmanager
2020-02-02,0,natmanager
2020-02-03,0,natmanager
2020-02-04,0,natmanager
2020-02-05,0,natmanager
2020-02-06,0,natmanager
2020-02-07,0,natmanager
2020-02-08,0,natmanager
2020-02-09,0,natmanager
2020-02-10,0,natmanager
2020-02-11,10,natmanager
2020-02-12,10,natmanager
2020-02-13,16,natmanager
2020-02-14,15,natmanager
2020-02-15,11,natmanager
2020-02-16,18,natmanager
2020-02-17,32,natmanager
2020-02-18,25,natmanager
2020-02-19,31,natmanager
2020-02-20,33,natmanager
2020-02-21,36,natmanager
2020-02-22,26,natmanager
2020-02-23,24,natmanager
2020-02-24,23,natmanager
2020-02-25,19,natmanager
2020-02-26,23,natmanager
2020-02-27,18,natmanager
2020-02-28,20,natmanager
2020-02-29,1,natmanager
2020-03-01,14,natmanager
2020-03-02,31,natmanager
2020-03-03,16,natmanager
2020-03-04,23,natmanager
2020-03-05,12,natmanager
2020-03-06,21,natmanager
2020-03-07,22,natmanager
2020-03-08,22,natmanager
2020-03-09,18,natmanager
2020-03-10,22,natmanager
2020-03-11,18,natmanager
2020-03-12,34,natmanager
2020-03-13,32,natmanager
2020-03-14,18,natmanager
2020-03-15,26,natmanager
2020-03-16,38,natmanager
2020-03-17,25,natmanager
2020-03-18,7,natmanager
2020-03-19,24,natmanager
2020-03-20,20,natmanager
