date,count,package
2020-01-01,0,ollggamma
2020-01-02,0,ollggamma
2020-01-03,0,ollggamma
2020-01-04,0,ollggamma
2020-01-05,0,ollggamma
2020-01-06,0,ollggamma
2020-01-07,0,ollggamma
2020-01-08,0,ollggamma
2020-01-09,0,ollggamma
2020-01-10,0,ollggamma
2020-01-11,0,ollggamma
2020-01-12,0,ollggamma
2020-01-13,0,ollggamma
2020-01-14,0,ollggamma
2020-01-15,0,ollggamma
2020-01-16,0,ollggamma
2020-01-17,0,ollggamma
2020-01-18,0,ollggamma
2020-01-19,0,ollggamma
2020-01-20,0,ollggamma
2020-01-21,0,ollggamma
2020-01-22,0,ollggamma
2020-01-23,0,ollggamma
2020-01-24,0,ollggamma
2020-01-25,0,ollggamma
2020-01-26,0,ollggamma
2020-01-27,0,ollggamma
2020-01-28,0,ollggamma
2020-01-29,0,ollggamma
2020-01-30,0,ollggamma
2020-01-31,0,ollggamma
2020-02-01,0,ollggamma
2020-02-02,0,ollggamma
2020-02-03,0,ollggamma
2020-02-04,0,ollggamma
2020-02-05,0,ollggamma
2020-02-06,0,ollggamma
2020-02-07,0,ollggamma
2020-02-08,0,ollggamma
2020-02-09,0,ollggamma
2020-02-10,0,ollggamma
2020-02-11,0,ollggamma
2020-02-12,0,ollggamma
2020-02-13,0,ollggamma
2020-02-14,0,ollggamma
2020-02-15,0,ollggamma
2020-02-16,0,ollggamma
2020-02-17,0,ollggamma
2020-02-18,0,ollggamma
2020-02-19,0,ollggamma
2020-02-20,3,ollggamma
2020-02-21,22,ollggamma
2020-02-22,35,ollggamma
2020-02-23,24,ollggamma
2020-02-24,22,ollggamma
2020-02-25,21,ollggamma
2020-02-26,28,ollggamma
2020-02-27,29,ollggamma
2020-02-28,26,ollggamma
2020-02-29,9,ollggamma
2020-03-01,25,ollggamma
2020-03-02,17,ollggamma
2020-03-03,20,ollggamma
2020-03-04,30,ollggamma
2020-03-05,19,ollggamma
2020-03-06,26,ollggamma
2020-03-07,18,ollggamma
2020-03-08,20,ollggamma
2020-03-09,19,ollggamma
2020-03-10,19,ollggamma
2020-03-11,4,ollggamma
2020-03-12,23,ollggamma
2020-03-13,16,ollggamma
2020-03-14,17,ollggamma
2020-03-15,10,ollggamma
2020-03-16,15,ollggamma
2020-03-17,21,ollggamma
2020-03-18,5,ollggamma
2020-03-19,13,ollggamma
2020-03-20,17,ollggamma
2020-03-21,12,ollggamma
2020-03-22,9,ollggamma
2020-03-23,10,ollggamma
2020-03-24,8,ollggamma
2020-03-25,14,ollggamma
2020-03-26,8,ollggamma
2020-03-27,5,ollggamma
2020-03-28,10,ollggamma
2020-03-29,17,ollggamma
2020-03-30,18,ollggamma
2020-03-31,16,ollggamma
2020-04-01,11,ollggamma
2020-04-02,9,ollggamma
2020-04-03,16,ollggamma
2020-04-04,9,ollggamma
2020-04-05,14,ollggamma
2020-04-06,18,ollggamma
2020-04-07,20,ollggamma
2020-04-08,17,ollggamma
2020-04-09,17,ollggamma
2020-04-10,9,ollggamma
2020-04-11,6,ollggamma
2020-04-12,11,ollggamma
2020-04-13,10,ollggamma
2020-04-14,11,ollggamma
2020-04-15,19,ollggamma
2020-04-16,10,ollggamma
2020-04-17,31,ollggamma
2020-04-18,6,ollggamma
2020-04-19,1,ollggamma
2020-04-20,8,ollggamma
2020-04-21,9,ollggamma
2020-04-22,23,ollggamma
2020-04-23,13,ollggamma
