date,count,package
2020-01-01,0,optimalThreshold
2020-01-02,0,optimalThreshold
2020-01-03,0,optimalThreshold
2020-01-04,0,optimalThreshold
2020-01-05,0,optimalThreshold
2020-01-06,0,optimalThreshold
2020-01-07,0,optimalThreshold
2020-01-08,0,optimalThreshold
2020-01-09,0,optimalThreshold
2020-01-10,0,optimalThreshold
2020-01-11,0,optimalThreshold
2020-01-12,0,optimalThreshold
2020-01-13,5,optimalThreshold
2020-01-14,5,optimalThreshold
2020-01-15,34,optimalThreshold
2020-01-16,42,optimalThreshold
2020-01-17,32,optimalThreshold
2020-01-18,24,optimalThreshold
2020-01-19,26,optimalThreshold
2020-01-20,27,optimalThreshold
2020-01-21,29,optimalThreshold
2020-01-22,30,optimalThreshold
2020-01-23,22,optimalThreshold
2020-01-24,19,optimalThreshold
2020-01-25,20,optimalThreshold
2020-01-26,16,optimalThreshold
2020-01-27,17,optimalThreshold
2020-01-28,27,optimalThreshold
2020-01-29,22,optimalThreshold
2020-01-30,14,optimalThreshold
2020-01-31,18,optimalThreshold
2020-02-01,12,optimalThreshold
2020-02-02,13,optimalThreshold
2020-02-03,6,optimalThreshold
2020-02-04,14,optimalThreshold
2020-02-05,15,optimalThreshold
2020-02-06,19,optimalThreshold
2020-02-07,11,optimalThreshold
2020-02-08,20,optimalThreshold
2020-02-09,9,optimalThreshold
2020-02-10,13,optimalThreshold
2020-02-11,12,optimalThreshold
2020-02-12,10,optimalThreshold
2020-02-13,17,optimalThreshold
2020-02-14,15,optimalThreshold
2020-02-15,10,optimalThreshold
2020-02-16,11,optimalThreshold
2020-02-17,7,optimalThreshold
2020-02-18,12,optimalThreshold
2020-02-19,13,optimalThreshold
2020-02-20,8,optimalThreshold
2020-02-21,13,optimalThreshold
2020-02-22,9,optimalThreshold
2020-02-23,15,optimalThreshold
2020-02-24,10,optimalThreshold
2020-02-25,20,optimalThreshold
2020-02-26,12,optimalThreshold
2020-02-27,11,optimalThreshold
2020-02-28,11,optimalThreshold
2020-02-29,2,optimalThreshold
2020-03-01,14,optimalThreshold
2020-03-02,8,optimalThreshold
2020-03-03,11,optimalThreshold
2020-03-04,19,optimalThreshold
2020-03-05,10,optimalThreshold
2020-03-06,17,optimalThreshold
2020-03-07,9,optimalThreshold
2020-03-08,16,optimalThreshold
2020-03-09,14,optimalThreshold
2020-03-10,13,optimalThreshold
2020-03-11,4,optimalThreshold
2020-03-12,19,optimalThreshold
2020-03-13,12,optimalThreshold
2020-03-14,8,optimalThreshold
2020-03-15,7,optimalThreshold
2020-03-16,12,optimalThreshold
2020-03-17,12,optimalThreshold
2020-03-18,5,optimalThreshold
2020-03-19,10,optimalThreshold
2020-03-20,12,optimalThreshold
2020-03-21,12,optimalThreshold
2020-03-22,9,optimalThreshold
2020-03-23,10,optimalThreshold
2020-03-24,10,optimalThreshold
2020-03-25,19,optimalThreshold
2020-03-26,9,optimalThreshold
2020-03-27,6,optimalThreshold
2020-03-28,9,optimalThreshold
2020-03-29,18,optimalThreshold
2020-03-30,19,optimalThreshold
2020-03-31,17,optimalThreshold
2020-04-01,12,optimalThreshold
2020-04-02,10,optimalThreshold
2020-04-03,16,optimalThreshold
2020-04-04,10,optimalThreshold
2020-04-05,14,optimalThreshold
2020-04-06,18,optimalThreshold
2020-04-07,20,optimalThreshold
2020-04-08,17,optimalThreshold
2020-04-09,17,optimalThreshold
2020-04-10,9,optimalThreshold
2020-04-11,6,optimalThreshold
2020-04-12,12,optimalThreshold
2020-04-13,11,optimalThreshold
2020-04-14,11,optimalThreshold
2020-04-15,19,optimalThreshold
2020-04-16,18,optimalThreshold
2020-04-17,19,optimalThreshold
2020-04-18,6,optimalThreshold
2020-04-19,10,optimalThreshold
2020-04-20,9,optimalThreshold
2020-04-21,9,optimalThreshold
2020-04-22,24,optimalThreshold
2020-04-23,13,optimalThreshold
2020-04-24,13,optimalThreshold
2020-04-25,22,optimalThreshold
2020-04-26,11,optimalThreshold
2020-04-27,15,optimalThreshold
2020-04-28,20,optimalThreshold
2020-04-29,29,optimalThreshold
2020-04-30,15,optimalThreshold
2020-05-01,17,optimalThreshold
2020-05-02,24,optimalThreshold
2020-05-03,19,optimalThreshold
2020-05-04,18,optimalThreshold
2020-05-05,13,optimalThreshold
2020-05-06,23,optimalThreshold
2020-05-07,21,optimalThreshold
2020-05-08,15,optimalThreshold
2020-05-09,21,optimalThreshold
2020-05-10,50,optimalThreshold
2020-05-11,36,optimalThreshold
2020-05-12,17,optimalThreshold
2020-05-13,14,optimalThreshold
2020-05-14,11,optimalThreshold
2020-05-15,12,optimalThreshold
2020-05-16,12,optimalThreshold
2020-05-17,15,optimalThreshold
2020-05-18,29,optimalThreshold
2020-05-19,17,optimalThreshold
2020-05-20,17,optimalThreshold
2020-05-21,15,optimalThreshold
2020-05-22,13,optimalThreshold
2020-05-23,9,optimalThreshold
2020-05-24,9,optimalThreshold
2020-05-25,10,optimalThreshold
2020-05-26,26,optimalThreshold
2020-05-27,14,optimalThreshold
2020-05-28,13,optimalThreshold
2020-05-29,12,optimalThreshold
2020-05-30,14,optimalThreshold
2020-05-31,13,optimalThreshold
2020-06-01,12,optimalThreshold
2020-06-02,12,optimalThreshold
2020-06-03,12,optimalThreshold
2020-06-04,23,optimalThreshold
2020-06-05,11,optimalThreshold
2020-06-06,8,optimalThreshold
2020-06-07,12,optimalThreshold
2020-06-08,27,optimalThreshold
2020-06-09,12,optimalThreshold
2020-06-10,16,optimalThreshold
2020-06-11,14,optimalThreshold
2020-06-12,11,optimalThreshold
2020-06-13,10,optimalThreshold
2020-06-14,16,optimalThreshold
2020-06-15,15,optimalThreshold
2020-06-16,14,optimalThreshold
2020-06-17,12,optimalThreshold
2020-06-18,21,optimalThreshold
2020-06-19,16,optimalThreshold
2020-06-20,17,optimalThreshold
2020-06-21,13,optimalThreshold
2020-06-22,14,optimalThreshold
2020-06-23,17,optimalThreshold
2020-06-24,11,optimalThreshold
2020-06-25,10,optimalThreshold
2020-06-26,14,optimalThreshold
2020-06-27,11,optimalThreshold
2020-06-28,12,optimalThreshold
2020-06-29,11,optimalThreshold
2020-06-30,8,optimalThreshold
2020-07-01,12,optimalThreshold
2020-07-02,17,optimalThreshold
2020-07-03,20,optimalThreshold
2020-07-04,8,optimalThreshold
2020-07-05,8,optimalThreshold
2020-07-06,9,optimalThreshold
2020-07-07,18,optimalThreshold
2020-07-08,13,optimalThreshold
2020-07-09,10,optimalThreshold
2020-07-10,9,optimalThreshold
2020-07-11,7,optimalThreshold
2020-07-12,11,optimalThreshold
2020-07-13,13,optimalThreshold
2020-07-14,12,optimalThreshold
2020-07-15,14,optimalThreshold
2020-07-16,19,optimalThreshold
2020-07-17,9,optimalThreshold
2020-07-18,14,optimalThreshold
2020-07-19,11,optimalThreshold
2020-07-20,17,optimalThreshold
2020-07-21,17,optimalThreshold
2020-07-22,12,optimalThreshold
2020-07-23,10,optimalThreshold
2020-07-24,12,optimalThreshold
2020-07-25,14,optimalThreshold
2020-07-26,12,optimalThreshold
2020-07-27,7,optimalThreshold
2020-07-28,17,optimalThreshold
2020-07-29,12,optimalThreshold
2020-07-30,8,optimalThreshold
2020-07-31,3,optimalThreshold
