date,count,package
2020-01-01,0,pcts
2020-01-02,0,pcts
2020-01-03,0,pcts
2020-01-04,0,pcts
2020-01-05,0,pcts
2020-01-06,0,pcts
2020-01-07,0,pcts
2020-01-08,0,pcts
2020-01-09,5,pcts
2020-01-10,17,pcts
2020-01-11,25,pcts
2020-01-12,15,pcts
2020-01-13,26,pcts
2020-01-14,31,pcts
2020-01-15,37,pcts
2020-01-16,36,pcts
2020-01-17,27,pcts
2020-01-18,22,pcts
2020-01-19,22,pcts
2020-01-20,17,pcts
2020-01-21,25,pcts
2020-01-22,19,pcts
2020-01-23,9,pcts
2020-01-24,11,pcts
2020-01-25,14,pcts
2020-01-26,9,pcts
2020-01-27,9,pcts
2020-01-28,22,pcts
2020-01-29,23,pcts
2020-01-30,10,pcts
2020-01-31,17,pcts
2020-02-01,13,pcts
2020-02-02,10,pcts
2020-02-03,9,pcts
2020-02-04,17,pcts
2020-02-05,16,pcts
2020-02-06,23,pcts
2020-02-07,16,pcts
2020-02-08,27,pcts
2020-02-09,16,pcts
2020-02-10,11,pcts
2020-02-11,14,pcts
2020-02-12,10,pcts
2020-02-13,21,pcts
2020-02-14,19,pcts
2020-02-15,9,pcts
2020-02-16,24,pcts
2020-02-17,16,pcts
2020-02-18,33,pcts
2020-02-19,31,pcts
2020-02-20,17,pcts
2020-02-21,35,pcts
2020-02-22,24,pcts
2020-02-23,29,pcts
2020-02-24,24,pcts
2020-02-25,19,pcts
2020-02-26,25,pcts
2020-02-27,29,pcts
2020-02-28,20,pcts
2020-02-29,4,pcts
2020-03-01,21,pcts
2020-03-02,16,pcts
2020-03-03,19,pcts
2020-03-04,28,pcts
2020-03-05,19,pcts
2020-03-06,20,pcts
2020-03-07,17,pcts
2020-03-08,23,pcts
2020-03-09,20,pcts
2020-03-10,19,pcts
2020-03-11,10,pcts
2020-03-12,23,pcts
2020-03-13,19,pcts
2020-03-14,23,pcts
2020-03-15,11,pcts
2020-03-16,26,pcts
2020-03-17,14,pcts
2020-03-18,10,pcts
2020-03-19,16,pcts
2020-03-20,15,pcts
2020-03-21,12,pcts
2020-03-22,9,pcts
2020-03-23,21,pcts
2020-03-24,11,pcts
2020-03-25,15,pcts
2020-03-26,11,pcts
2020-03-27,7,pcts
2020-03-28,9,pcts
2020-03-29,21,pcts
2020-03-30,21,pcts
2020-03-31,24,pcts
2020-04-01,12,pcts
2020-04-02,11,pcts
2020-04-03,17,pcts
2020-04-04,11,pcts
2020-04-05,16,pcts
2020-04-06,20,pcts
