date,count,package
2020-01-01,0,poorman
2020-01-02,0,poorman
2020-01-03,0,poorman
2020-01-04,0,poorman
2020-01-05,0,poorman
2020-01-06,0,poorman
2020-01-07,0,poorman
2020-01-08,0,poorman
2020-01-09,0,poorman
2020-01-10,0,poorman
2020-01-11,0,poorman
2020-01-12,0,poorman
2020-01-13,0,poorman
2020-01-14,0,poorman
2020-01-15,0,poorman
2020-01-16,0,poorman
2020-01-17,0,poorman
2020-01-18,0,poorman
2020-01-19,0,poorman
2020-01-20,0,poorman
2020-01-21,0,poorman
2020-01-22,0,poorman
2020-01-23,0,poorman
2020-01-24,0,poorman
2020-01-25,0,poorman
2020-01-26,0,poorman
2020-01-27,0,poorman
2020-01-28,0,poorman
2020-01-29,0,poorman
2020-01-30,0,poorman
2020-01-31,0,poorman
2020-02-01,0,poorman
2020-02-02,0,poorman
2020-02-03,0,poorman
2020-02-04,0,poorman
2020-02-05,0,poorman
2020-02-06,0,poorman
2020-02-07,0,poorman
2020-02-08,0,poorman
2020-02-09,0,poorman
2020-02-10,0,poorman
2020-02-11,0,poorman
2020-02-12,0,poorman
2020-02-13,0,poorman
2020-02-14,0,poorman
2020-02-15,0,poorman
2020-02-16,0,poorman
2020-02-17,0,poorman
2020-02-18,0,poorman
2020-02-19,0,poorman
2020-02-20,0,poorman
2020-02-21,0,poorman
2020-02-22,0,poorman
2020-02-23,0,poorman
2020-02-24,0,poorman
2020-02-25,0,poorman
2020-02-26,0,poorman
2020-02-27,0,poorman
2020-02-28,0,poorman
2020-02-29,0,poorman
2020-03-01,0,poorman
2020-03-02,0,poorman
2020-03-03,0,poorman
2020-03-04,0,poorman
2020-03-05,0,poorman
2020-03-06,0,poorman
2020-03-07,0,poorman
2020-03-08,0,poorman
2020-03-09,0,poorman
2020-03-10,0,poorman
2020-03-11,0,poorman
2020-03-12,0,poorman
2020-03-13,0,poorman
2020-03-14,0,poorman
2020-03-15,0,poorman
2020-03-16,0,poorman
2020-03-17,0,poorman
2020-03-18,0,poorman
2020-03-19,0,poorman
2020-03-20,0,poorman
2020-03-21,0,poorman
2020-03-22,0,poorman
2020-03-23,0,poorman
2020-03-24,0,poorman
2020-03-25,0,poorman
2020-03-26,0,poorman
2020-03-27,0,poorman
2020-03-28,0,poorman
2020-03-29,0,poorman
2020-03-30,0,poorman
2020-03-31,0,poorman
2020-04-01,9,poorman
2020-04-02,46,poorman
2020-04-03,52,poorman
2020-04-04,24,poorman
2020-04-05,23,poorman
2020-04-06,32,poorman
2020-04-07,36,poorman
2020-04-08,45,poorman
2020-04-09,34,poorman
2020-04-10,20,poorman
2020-04-11,9,poorman
2020-04-12,19,poorman
2020-04-13,40,poorman
2020-04-14,38,poorman
2020-04-15,47,poorman
2020-04-16,22,poorman
2020-04-17,37,poorman
2020-04-18,6,poorman
2020-04-19,3,poorman
2020-04-20,11,poorman
2020-04-21,17,poorman
2020-04-22,50,poorman
2020-04-23,28,poorman
2020-04-24,46,poorman
2020-04-25,48,poorman
2020-04-26,18,poorman
2020-04-27,40,poorman
2020-04-28,26,poorman
2020-04-29,50,poorman
2020-04-30,43,poorman
2020-05-01,30,poorman
2020-05-02,39,poorman
2020-05-03,26,poorman
2020-05-04,31,poorman
2020-05-05,30,poorman
2020-05-06,37,poorman
2020-05-07,24,poorman
2020-05-08,20,poorman
2020-05-09,23,poorman
2020-05-10,57,poorman
2020-05-11,71,poorman
2020-05-12,48,poorman
2020-05-13,57,poorman
2020-05-14,35,poorman
2020-05-15,33,poorman
2020-05-16,34,poorman
2020-05-17,31,poorman
2020-05-18,48,poorman
2020-05-19,29,poorman
2020-05-20,34,poorman
2020-05-21,14,poorman
2020-05-22,17,poorman
2020-05-23,8,poorman
2020-05-24,8,poorman
2020-05-25,11,poorman
2020-05-26,26,poorman
2020-05-27,20,poorman
2020-05-28,14,poorman
2020-05-29,12,poorman
2020-05-30,13,poorman
2020-05-31,23,poorman
2020-06-01,15,poorman
2020-06-02,15,poorman
2020-06-03,16,poorman
2020-06-04,11,poorman
2020-06-05,15,poorman
2020-06-06,15,poorman
2020-06-07,12,poorman
2020-06-08,21,poorman
2020-06-09,15,poorman
2020-06-10,27,poorman
2020-06-11,16,poorman
2020-06-12,12,poorman
2020-06-13,11,poorman
2020-06-14,14,poorman
2020-06-15,11,poorman
2020-06-16,13,poorman
2020-06-17,17,poorman
2020-06-18,30,poorman
2020-06-19,16,poorman
2020-06-20,15,poorman
2020-06-21,12,poorman
2020-06-22,21,poorman
2020-06-23,19,poorman
2020-06-24,18,poorman
2020-06-25,10,poorman
2020-06-26,26,poorman
2020-06-27,12,poorman
2020-06-28,18,poorman
2020-06-29,15,poorman
2020-06-30,9,poorman
2020-07-01,22,poorman
2020-07-02,51,poorman
2020-07-03,38,poorman
2020-07-04,19,poorman
2020-07-05,17,poorman
2020-07-06,29,poorman
2020-07-07,40,poorman
2020-07-08,59,poorman
2020-07-09,31,poorman
2020-07-10,35,poorman
2020-07-11,25,poorman
2020-07-12,28,poorman
2020-07-13,38,poorman
2020-07-14,30,poorman
2020-07-15,31,poorman
2020-07-16,26,poorman
2020-07-17,16,poorman
2020-07-18,17,poorman
2020-07-19,19,poorman
2020-07-20,18,poorman
2020-07-21,25,poorman
2020-07-22,24,poorman
2020-07-23,16,poorman
2020-07-24,12,poorman
2020-07-25,14,poorman
2020-07-26,16,poorman
2020-07-27,9,poorman
2020-07-28,25,poorman
2020-07-29,21,poorman
2020-07-30,17,poorman
2020-07-31,8,poorman
2020-08-01,3,poorman
2020-08-02,12,poorman
2020-08-03,22,poorman
2020-08-04,16,poorman
2020-08-05,24,poorman
2020-08-06,16,poorman
2020-08-07,21,poorman
2020-08-08,11,poorman
2020-08-09,14,poorman
2020-08-10,19,poorman
2020-08-11,13,poorman
2020-08-12,24,poorman
2020-08-13,23,poorman
2020-08-14,23,poorman
2020-08-15,10,poorman
2020-08-16,10,poorman
2020-08-17,13,poorman
2020-08-18,18,poorman
2020-08-19,24,poorman
2020-08-20,11,poorman
2020-08-21,14,poorman
2020-08-22,10,poorman
2020-08-23,7,poorman
2020-08-24,12,poorman
2020-08-25,20,poorman
2020-08-26,26,poorman
2020-08-27,22,poorman
2020-08-28,13,poorman
2020-08-29,16,poorman
2020-08-30,11,poorman
2020-08-31,25,poorman
2020-09-01,20,poorman
2020-09-02,30,poorman
2020-09-03,21,poorman
2020-09-04,14,poorman
2020-09-05,18,poorman
2020-09-06,20,poorman
2020-09-07,27,poorman
2020-09-08,24,poorman
2020-09-09,35,poorman
2020-09-10,20,poorman
2020-09-11,19,poorman
2020-09-12,26,poorman
2020-09-13,19,poorman
2020-09-14,39,poorman
2020-09-15,19,poorman
2020-09-16,19,poorman
2020-09-17,32,poorman
2020-09-18,17,poorman
2020-09-19,19,poorman
2020-09-20,13,poorman
2020-09-21,32,poorman
2020-09-22,17,poorman
2020-09-23,34,poorman
2020-09-24,10,poorman
2020-09-25,9,poorman
2020-09-26,9,poorman
2020-09-27,12,poorman
2020-09-28,16,poorman
2020-09-29,16,poorman
2020-09-30,20,poorman
2020-10-01,31,poorman
2020-10-02,14,poorman
2020-10-03,15,poorman
2020-10-04,17,poorman
2020-10-05,9,poorman
2020-10-06,14,poorman
2020-10-07,20,poorman
2020-10-08,10,poorman
2020-10-09,9,poorman
2020-10-10,34,poorman
2020-10-11,31,poorman
2020-10-12,57,poorman
2020-10-13,46,poorman
2020-10-14,59,poorman
2020-10-15,32,poorman
2020-10-16,44,poorman
2020-10-17,11,poorman
2020-10-18,25,poorman
2020-10-19,32,poorman
2020-10-20,25,poorman
2020-10-21,38,poorman
2020-10-22,36,poorman
2020-10-23,26,poorman
2020-10-24,22,poorman
2020-10-25,15,poorman
2020-10-26,22,poorman
2020-10-27,25,poorman
2020-10-28,22,poorman
2020-10-29,31,poorman
2020-10-30,18,poorman
2020-10-31,17,poorman
2020-11-01,13,poorman
2020-11-02,17,poorman
2020-11-03,24,poorman
2020-11-04,13,poorman
2020-11-05,26,poorman
2020-11-06,23,poorman
2020-11-07,20,poorman
2020-11-08,19,poorman
2020-11-09,25,poorman
2020-11-10,22,poorman
2020-11-11,33,poorman
2020-11-12,67,poorman
2020-11-13,49,poorman
2020-11-14,34,poorman
2020-11-15,39,poorman
2020-11-16,53,poorman
2020-11-17,60,poorman
2020-11-18,76,poorman
2020-11-19,45,poorman
2020-11-20,40,poorman
2020-11-21,43,poorman
2020-11-22,26,poorman
2020-11-23,39,poorman
2020-11-24,38,poorman
2020-11-25,52,poorman
2020-11-26,31,poorman
2020-11-27,36,poorman
2020-11-28,61,poorman
2020-11-29,54,poorman
2020-11-30,67,poorman
2020-12-01,63,poorman
2020-12-02,73,poorman
2020-12-03,70,poorman
2020-12-04,50,poorman
2020-12-05,46,poorman
2020-12-06,26,poorman
2020-12-07,38,poorman
2020-12-08,29,poorman
2020-12-09,61,poorman
2020-12-10,36,poorman
2020-12-11,42,poorman
2020-12-12,36,poorman
2020-12-13,17,poorman
2020-12-14,33,poorman
2020-12-15,38,poorman
2020-12-16,44,poorman
2020-12-17,40,poorman
2020-12-18,33,poorman
2020-12-19,31,poorman
2020-12-20,14,poorman
2020-12-21,31,poorman
2020-12-22,33,poorman
2020-12-23,53,poorman
2020-12-24,27,poorman
2020-12-25,27,poorman
2020-12-26,27,poorman
2020-12-27,12,poorman
2020-12-28,37,poorman
2020-12-29,35,poorman
2020-12-30,47,poorman
2020-12-31,29,poorman
2021-01-01,29,poorman
2021-01-02,28,poorman
2021-01-03,12,poorman
2021-01-04,30,poorman
2021-01-05,29,poorman
2021-01-06,48,poorman
2021-01-07,29,poorman
2021-01-08,29,poorman
2021-01-09,30,poorman
2021-01-10,15,poorman
2021-01-11,38,poorman
2021-01-12,32,poorman
2021-01-13,44,poorman
2021-01-14,38,poorman
2021-01-15,31,poorman
2021-01-16,27,poorman
2021-01-17,13,poorman
2021-01-18,25,poorman
2021-01-19,26,poorman
2021-01-20,41,poorman
2021-01-21,28,poorman
2021-01-22,23,poorman
2021-01-23,28,poorman
2021-01-24,11,poorman
2021-01-25,38,poorman
2021-01-26,25,poorman
2021-01-27,48,poorman
2021-01-28,21,poorman
2021-01-29,30,poorman
2021-01-30,35,poorman
2021-01-31,11,poorman
2021-02-01,34,poorman
2021-02-02,33,poorman
2021-02-03,36,poorman
2021-02-04,34,poorman
2021-02-05,31,poorman
2021-02-06,37,poorman
2021-02-07,19,poorman
2021-02-08,28,poorman
2021-02-09,37,poorman
2021-02-10,49,poorman
2021-02-11,37,poorman
2021-02-12,33,poorman
2021-02-13,37,poorman
2021-02-14,11,poorman
2021-02-15,34,poorman
2021-02-16,28,poorman
2021-02-17,53,poorman
2021-02-18,39,poorman
2021-02-19,44,poorman
2021-02-20,32,poorman
2021-02-21,17,poorman
2021-02-22,47,poorman
2021-02-23,24,poorman
2021-02-24,55,poorman
2021-02-25,34,poorman
2021-02-26,45,poorman
2021-02-27,34,poorman
2021-02-28,15,poorman
2021-03-01,32,poorman
2021-03-02,36,poorman
2021-03-03,60,poorman
2021-03-04,43,poorman
2021-03-05,39,poorman
2021-03-06,36,poorman
2021-03-07,20,poorman
2021-03-08,40,poorman
2021-03-09,35,poorman
2021-03-10,59,poorman
2021-03-11,31,poorman
2021-03-12,36,poorman
2021-03-13,36,poorman
2021-03-14,21,poorman
2021-03-15,29,poorman
2021-03-16,34,poorman
2021-03-17,47,poorman
2021-03-18,39,poorman
2021-03-19,25,poorman
2021-03-20,38,poorman
2021-03-21,3,poorman
2021-03-22,37,poorman
2021-03-23,23,poorman
2021-03-24,49,poorman
2021-03-25,28,poorman
2021-03-26,45,poorman
2021-03-27,20,poorman
2021-03-28,32,poorman
2021-03-29,71,poorman
2021-03-30,73,poorman
2021-03-31,52,poorman
2021-04-01,66,poorman
2021-04-02,48,poorman
2021-04-03,51,poorman
2021-04-04,9,poorman
2021-04-05,46,poorman
2021-04-06,31,poorman
2021-04-07,63,poorman
2021-04-08,51,poorman
2021-04-09,41,poorman
2021-04-10,39,poorman
2021-04-11,12,poorman
2021-04-12,42,poorman
2021-04-13,31,poorman
2021-04-14,46,poorman
2021-04-15,31,poorman
2021-04-16,44,poorman
2021-04-17,24,poorman
2021-04-18,23,poorman
2021-04-19,31,poorman
2021-04-20,42,poorman
2021-04-21,39,poorman
2021-04-22,52,poorman
2021-04-23,33,poorman
2021-04-24,41,poorman
2021-04-25,7,poorman
2021-04-26,36,poorman
2021-04-27,35,poorman
2021-04-28,44,poorman
2021-04-29,32,poorman
2021-04-30,29,poorman
2021-05-01,34,poorman
2021-05-02,11,poorman
2021-05-03,37,poorman
2021-05-04,37,poorman
2021-05-05,33,poorman
2021-05-06,42,poorman
2021-05-07,29,poorman
2021-05-08,29,poorman
2021-05-09,9,poorman
2021-05-10,34,poorman
2021-05-11,29,poorman
2021-05-12,57,poorman
2021-05-13,30,poorman
2021-05-14,38,poorman
2021-05-15,28,poorman
2021-05-16,17,poorman
2021-05-17,26,poorman
2021-05-18,54,poorman
