date,count,package
2020-01-01,0,readtextgrid
2020-01-02,0,readtextgrid
2020-01-03,0,readtextgrid
2020-01-04,0,readtextgrid
2020-01-05,0,readtextgrid
2020-01-06,0,readtextgrid
2020-01-07,0,readtextgrid
2020-01-08,0,readtextgrid
2020-01-09,0,readtextgrid
2020-01-10,0,readtextgrid
2020-01-11,0,readtextgrid
2020-01-12,0,readtextgrid
2020-01-13,0,readtextgrid
2020-01-14,0,readtextgrid
2020-01-15,0,readtextgrid
2020-01-16,0,readtextgrid
2020-01-17,0,readtextgrid
2020-01-18,0,readtextgrid
2020-01-19,0,readtextgrid
2020-01-20,0,readtextgrid
2020-01-21,0,readtextgrid
2020-01-22,0,readtextgrid
2020-01-23,0,readtextgrid
2020-01-24,0,readtextgrid
2020-01-25,0,readtextgrid
2020-01-26,0,readtextgrid
2020-01-27,0,readtextgrid
2020-01-28,0,readtextgrid
2020-01-29,0,readtextgrid
2020-01-30,0,readtextgrid
2020-01-31,0,readtextgrid
2020-02-01,0,readtextgrid
2020-02-02,0,readtextgrid
2020-02-03,0,readtextgrid
2020-02-04,0,readtextgrid
2020-02-05,0,readtextgrid
2020-02-06,0,readtextgrid
2020-02-07,0,readtextgrid
2020-02-08,0,readtextgrid
2020-02-09,0,readtextgrid
2020-02-10,0,readtextgrid
2020-02-11,0,readtextgrid
2020-02-12,0,readtextgrid
2020-02-13,0,readtextgrid
2020-02-14,0,readtextgrid
2020-02-15,0,readtextgrid
2020-02-16,0,readtextgrid
2020-02-17,2,readtextgrid
2020-02-18,11,readtextgrid
2020-02-19,31,readtextgrid
2020-02-20,13,readtextgrid
2020-02-21,31,readtextgrid
2020-02-22,24,readtextgrid
2020-02-23,25,readtextgrid
2020-02-24,24,readtextgrid
2020-02-25,20,readtextgrid
2020-02-26,23,readtextgrid
2020-02-27,27,readtextgrid
2020-02-28,20,readtextgrid
2020-02-29,8,readtextgrid
2020-03-01,23,readtextgrid
2020-03-02,17,readtextgrid
2020-03-03,22,readtextgrid
2020-03-04,31,readtextgrid
2020-03-05,21,readtextgrid
2020-03-06,23,readtextgrid
2020-03-07,17,readtextgrid
2020-03-08,20,readtextgrid
2020-03-09,18,readtextgrid
2020-03-10,20,readtextgrid
2020-03-11,4,readtextgrid
2020-03-12,25,readtextgrid
2020-03-13,18,readtextgrid
2020-03-14,16,readtextgrid
2020-03-15,13,readtextgrid
2020-03-16,22,readtextgrid
2020-03-17,14,readtextgrid
2020-03-18,5,readtextgrid
2020-03-19,13,readtextgrid
2020-03-20,16,readtextgrid
2020-03-21,11,readtextgrid
2020-03-22,8,readtextgrid
2020-03-23,10,readtextgrid
2020-03-24,14,readtextgrid
2020-03-25,14,readtextgrid
2020-03-26,9,readtextgrid
2020-03-27,6,readtextgrid
2020-03-28,11,readtextgrid
2020-03-29,17,readtextgrid
2020-03-30,19,readtextgrid
2020-03-31,16,readtextgrid
2020-04-01,13,readtextgrid
2020-04-02,8,readtextgrid
2020-04-03,14,readtextgrid
2020-04-04,11,readtextgrid
2020-04-05,13,readtextgrid
2020-04-06,19,readtextgrid
2020-04-07,18,readtextgrid
2020-04-08,19,readtextgrid
2020-04-09,19,readtextgrid
2020-04-10,10,readtextgrid
2020-04-11,7,readtextgrid
2020-04-12,14,readtextgrid
2020-04-13,10,readtextgrid
2020-04-14,11,readtextgrid
2020-04-15,28,readtextgrid
2020-04-16,23,readtextgrid
2020-04-17,20,readtextgrid
2020-04-18,8,readtextgrid
2020-04-19,2,readtextgrid
2020-04-20,8,readtextgrid
2020-04-21,8,readtextgrid
2020-04-22,23,readtextgrid
2020-04-23,12,readtextgrid
2020-04-24,16,readtextgrid
2020-04-25,24,readtextgrid
2020-04-26,12,readtextgrid
2020-04-27,18,readtextgrid
2020-04-28,19,readtextgrid
2020-04-29,31,readtextgrid
2020-04-30,23,readtextgrid
2020-05-01,16,readtextgrid
2020-05-02,25,readtextgrid
2020-05-03,16,readtextgrid
2020-05-04,17,readtextgrid
2020-05-05,13,readtextgrid
2020-05-06,23,readtextgrid
2020-05-07,21,readtextgrid
2020-05-08,13,readtextgrid
2020-05-09,21,readtextgrid
2020-05-10,50,readtextgrid
2020-05-11,41,readtextgrid
2020-05-12,16,readtextgrid
2020-05-13,16,readtextgrid
2020-05-14,10,readtextgrid
2020-05-15,12,readtextgrid
2020-05-16,12,readtextgrid
2020-05-17,14,readtextgrid
2020-05-18,20,readtextgrid
2020-05-19,15,readtextgrid
2020-05-20,15,readtextgrid
2020-05-21,9,readtextgrid
2020-05-22,11,readtextgrid
2020-05-23,9,readtextgrid
2020-05-24,10,readtextgrid
2020-05-25,8,readtextgrid
2020-05-26,20,readtextgrid
2020-05-27,13,readtextgrid
2020-05-28,14,readtextgrid
2020-05-29,10,readtextgrid
2020-05-30,11,readtextgrid
2020-05-31,21,readtextgrid
2020-06-01,13,readtextgrid
2020-06-02,12,readtextgrid
2020-06-03,11,readtextgrid
2020-06-04,12,readtextgrid
2020-06-05,12,readtextgrid
2020-06-06,8,readtextgrid
2020-06-07,10,readtextgrid
2020-06-08,22,readtextgrid
2020-06-09,12,readtextgrid
2020-06-10,17,readtextgrid
2020-06-11,13,readtextgrid
2020-06-12,9,readtextgrid
2020-06-13,11,readtextgrid
2020-06-14,14,readtextgrid
2020-06-15,11,readtextgrid
2020-06-16,13,readtextgrid
2020-06-17,13,readtextgrid
2020-06-18,25,readtextgrid
2020-06-19,22,readtextgrid
2020-06-20,9,readtextgrid
2020-06-21,19,readtextgrid
2020-06-22,14,readtextgrid
2020-06-23,19,readtextgrid
2020-06-24,11,readtextgrid
2020-06-25,11,readtextgrid
2020-06-26,17,readtextgrid
2020-06-27,10,readtextgrid
2020-06-28,12,readtextgrid
2020-06-29,12,readtextgrid
2020-06-30,9,readtextgrid
2020-07-01,10,readtextgrid
2020-07-02,10,readtextgrid
2020-07-03,13,readtextgrid
2020-07-04,14,readtextgrid
2020-07-05,10,readtextgrid
2020-07-06,10,readtextgrid
2020-07-07,17,readtextgrid
2020-07-08,19,readtextgrid
2020-07-09,9,readtextgrid
2020-07-10,9,readtextgrid
2020-07-11,7,readtextgrid
2020-07-12,11,readtextgrid
2020-07-13,13,readtextgrid
2020-07-14,12,readtextgrid
2020-07-15,12,readtextgrid
2020-07-16,13,readtextgrid
2020-07-17,15,readtextgrid
2020-07-18,14,readtextgrid
2020-07-19,11,readtextgrid
2020-07-20,10,readtextgrid
2020-07-21,16,readtextgrid
2020-07-22,14,readtextgrid
2020-07-23,9,readtextgrid
2020-07-24,12,readtextgrid
2020-07-25,13,readtextgrid
2020-07-26,18,readtextgrid
2020-07-27,8,readtextgrid
2020-07-28,8,readtextgrid
2020-07-29,15,readtextgrid
2020-07-30,7,readtextgrid
2020-07-31,4,readtextgrid
2020-08-01,0,readtextgrid
2020-08-02,8,readtextgrid
2020-08-03,11,readtextgrid
2020-08-04,14,readtextgrid
2020-08-05,14,readtextgrid
2020-08-06,15,readtextgrid
2020-08-07,20,readtextgrid
2020-08-08,11,readtextgrid
2020-08-09,10,readtextgrid
2020-08-10,19,readtextgrid
2020-08-11,16,readtextgrid
2020-08-12,11,readtextgrid
2020-08-13,21,readtextgrid
2020-08-14,12,readtextgrid
2020-08-15,7,readtextgrid
2020-08-16,7,readtextgrid
2020-08-17,12,readtextgrid
2020-08-18,17,readtextgrid
2020-08-19,14,readtextgrid
2020-08-20,9,readtextgrid
2020-08-21,14,readtextgrid
2020-08-22,8,readtextgrid
2020-08-23,9,readtextgrid
2020-08-24,15,readtextgrid
2020-08-25,11,readtextgrid
2020-08-26,12,readtextgrid
2020-08-27,10,readtextgrid
2020-08-28,9,readtextgrid
2020-08-29,11,readtextgrid
2020-08-30,9,readtextgrid
2020-08-31,11,readtextgrid
2020-09-01,21,readtextgrid
2020-09-02,12,readtextgrid
2020-09-03,14,readtextgrid
2020-09-04,10,readtextgrid
2020-09-05,20,readtextgrid
2020-09-06,12,readtextgrid
2020-09-07,21,readtextgrid
2020-09-08,21,readtextgrid
2020-09-09,18,readtextgrid
2020-09-10,18,readtextgrid
2020-09-11,18,readtextgrid
2020-09-12,20,readtextgrid
2020-09-13,15,readtextgrid
2020-09-14,29,readtextgrid
2020-09-15,18,readtextgrid
2020-09-16,12,readtextgrid
2020-09-17,30,readtextgrid
2020-09-18,22,readtextgrid
2020-09-19,17,readtextgrid
2020-09-20,13,readtextgrid
2020-09-21,16,readtextgrid
2020-09-22,17,readtextgrid
2020-09-23,17,readtextgrid
2020-09-24,9,readtextgrid
2020-09-25,10,readtextgrid
2020-09-26,8,readtextgrid
2020-09-27,9,readtextgrid
2020-09-28,18,readtextgrid
2020-09-29,16,readtextgrid
2020-09-30,20,readtextgrid
2020-10-01,15,readtextgrid
2020-10-02,14,readtextgrid
2020-10-03,13,readtextgrid
2020-10-04,14,readtextgrid
2020-10-05,9,readtextgrid
2020-10-06,10,readtextgrid
2020-10-07,6,readtextgrid
2020-10-08,15,readtextgrid
2020-10-09,10,readtextgrid
2020-10-10,13,readtextgrid
2020-10-11,8,readtextgrid
2020-10-12,9,readtextgrid
2020-10-13,16,readtextgrid
2020-10-14,11,readtextgrid
2020-10-15,8,readtextgrid
2020-10-16,15,readtextgrid
2020-10-17,2,readtextgrid
2020-10-18,8,readtextgrid
2020-10-19,15,readtextgrid
2020-10-20,11,readtextgrid
2020-10-21,12,readtextgrid
2020-10-22,13,readtextgrid
2020-10-23,15,readtextgrid
2020-10-24,13,readtextgrid
2020-10-25,12,readtextgrid
2020-10-26,11,readtextgrid
2020-10-27,11,readtextgrid
2020-10-28,20,readtextgrid
2020-10-29,24,readtextgrid
2020-10-30,16,readtextgrid
2020-10-31,9,readtextgrid
2020-11-01,9,readtextgrid
2020-11-02,7,readtextgrid
2020-11-03,17,readtextgrid
2020-11-04,7,readtextgrid
2020-11-05,18,readtextgrid
2020-11-06,15,readtextgrid
2020-11-07,17,readtextgrid
2020-11-08,14,readtextgrid
2020-11-09,17,readtextgrid
2020-11-10,14,readtextgrid
2020-11-11,21,readtextgrid
2020-11-12,13,readtextgrid
2020-11-13,11,readtextgrid
2020-11-14,3,readtextgrid
2020-11-15,10,readtextgrid
2020-11-16,13,readtextgrid
2020-11-17,13,readtextgrid
2020-11-18,14,readtextgrid
2020-11-19,15,readtextgrid
2020-11-20,11,readtextgrid
2020-11-21,9,readtextgrid
2020-11-22,8,readtextgrid
2020-11-23,9,readtextgrid
2020-11-24,16,readtextgrid
2020-11-25,11,readtextgrid
2020-11-26,5,readtextgrid
2020-11-27,9,readtextgrid
2020-11-28,11,readtextgrid
2020-11-29,8,readtextgrid
2020-11-30,13,readtextgrid
2020-12-01,13,readtextgrid
2020-12-02,15,readtextgrid
2020-12-03,12,readtextgrid
2020-12-04,10,readtextgrid
2020-12-05,13,readtextgrid
2020-12-06,9,readtextgrid
2020-12-07,9,readtextgrid
2020-12-08,4,readtextgrid
2020-12-09,13,readtextgrid
2020-12-10,13,readtextgrid
2020-12-11,14,readtextgrid
2020-12-12,11,readtextgrid
2020-12-13,13,readtextgrid
2020-12-14,10,readtextgrid
2020-12-15,14,readtextgrid
2020-12-16,36,readtextgrid
2020-12-17,18,readtextgrid
2020-12-18,10,readtextgrid
2020-12-19,8,readtextgrid
2020-12-20,12,readtextgrid
2020-12-21,9,readtextgrid
2020-12-22,10,readtextgrid
2020-12-23,9,readtextgrid
2020-12-24,11,readtextgrid
2020-12-25,8,readtextgrid
2020-12-26,7,readtextgrid
2020-12-27,6,readtextgrid
2020-12-28,15,readtextgrid
2020-12-29,11,readtextgrid
2020-12-30,11,readtextgrid
2020-12-31,8,readtextgrid
2021-01-01,6,readtextgrid
2021-01-02,9,readtextgrid
2021-01-03,8,readtextgrid
2021-01-04,8,readtextgrid
2021-01-05,8,readtextgrid
2021-01-06,11,readtextgrid
2021-01-07,9,readtextgrid
2021-01-08,7,readtextgrid
2021-01-09,9,readtextgrid
2021-01-10,9,readtextgrid
2021-01-11,12,readtextgrid
2021-01-12,10,readtextgrid
2021-01-13,11,readtextgrid
2021-01-14,18,readtextgrid
2021-01-15,8,readtextgrid
2021-01-16,7,readtextgrid
2021-01-17,8,readtextgrid
2021-01-18,6,readtextgrid
2021-01-19,11,readtextgrid
2021-01-20,12,readtextgrid
2021-01-21,8,readtextgrid
2021-01-22,4,readtextgrid
2021-01-23,10,readtextgrid
2021-01-24,6,readtextgrid
2021-01-25,14,readtextgrid
2021-01-26,8,readtextgrid
2021-01-27,16,readtextgrid
2021-01-28,3,readtextgrid
2021-01-29,9,readtextgrid
2021-01-30,9,readtextgrid
2021-01-31,9,readtextgrid
2021-02-01,13,readtextgrid
2021-02-02,11,readtextgrid
2021-02-03,11,readtextgrid
2021-02-04,13,readtextgrid
2021-02-05,10,readtextgrid
2021-02-06,13,readtextgrid
2021-02-07,14,readtextgrid
2021-02-08,11,readtextgrid
2021-02-09,12,readtextgrid
2021-02-10,11,readtextgrid
2021-02-11,17,readtextgrid
2021-02-12,16,readtextgrid
2021-02-13,13,readtextgrid
2021-02-14,5,readtextgrid
2021-02-15,12,readtextgrid
2021-02-16,13,readtextgrid
2021-02-17,13,readtextgrid
2021-02-18,16,readtextgrid
2021-02-19,14,readtextgrid
2021-02-20,12,readtextgrid
2021-02-21,12,readtextgrid
2021-02-22,22,readtextgrid
2021-02-23,11,readtextgrid
