date,count,package
2020-01-01,0,registr
2020-01-02,0,registr
2020-01-03,0,registr
2020-01-04,0,registr
2020-01-05,0,registr
2020-01-06,0,registr
2020-01-07,0,registr
2020-01-08,0,registr
2020-01-09,0,registr
2020-01-10,0,registr
2020-01-11,0,registr
2020-01-12,0,registr
2020-01-13,0,registr
2020-01-14,0,registr
2020-01-15,0,registr
2020-01-16,0,registr
2020-01-17,0,registr
2020-01-18,0,registr
2020-01-19,0,registr
2020-01-20,0,registr
2020-01-21,0,registr
2020-01-22,0,registr
2020-01-23,0,registr
2020-01-24,0,registr
2020-01-25,0,registr
2020-01-26,0,registr
2020-01-27,0,registr
2020-01-28,0,registr
2020-01-29,0,registr
2020-01-30,0,registr
2020-01-31,0,registr
2020-02-01,0,registr
2020-02-02,0,registr
2020-02-03,0,registr
2020-02-04,0,registr
2020-02-05,0,registr
2020-02-06,0,registr
2020-02-07,0,registr
2020-02-08,0,registr
2020-02-09,0,registr
2020-02-10,0,registr
2020-02-11,0,registr
2020-02-12,0,registr
2020-02-13,0,registr
2020-02-14,0,registr
2020-02-15,0,registr
2020-02-16,0,registr
2020-02-17,0,registr
2020-02-18,0,registr
2020-02-19,0,registr
2020-02-20,0,registr
2020-02-21,0,registr
2020-02-22,0,registr
2020-02-23,0,registr
2020-02-24,0,registr
2020-02-25,0,registr
2020-02-26,0,registr
2020-02-27,0,registr
2020-02-28,0,registr
2020-02-29,0,registr
2020-03-01,0,registr
2020-03-02,0,registr
2020-03-03,0,registr
2020-03-04,0,registr
2020-03-05,0,registr
2020-03-06,0,registr
2020-03-07,0,registr
2020-03-08,0,registr
2020-03-09,0,registr
2020-03-10,0,registr
2020-03-11,0,registr
2020-03-12,0,registr
2020-03-13,0,registr
2020-03-14,0,registr
2020-03-15,0,registr
2020-03-16,6,registr
2020-03-17,15,registr
2020-03-18,7,registr
2020-03-19,30,registr
2020-03-20,34,registr
2020-03-21,26,registr
2020-03-22,25,registr
2020-03-23,25,registr
2020-03-24,9,registr
2020-03-25,29,registr
2020-03-26,24,registr
2020-03-27,14,registr
2020-03-28,26,registr
2020-03-29,29,registr
2020-03-30,30,registr
2020-03-31,25,registr
2020-04-01,19,registr
2020-04-02,8,registr
2020-04-03,23,registr
2020-04-04,16,registr
2020-04-05,18,registr
2020-04-06,23,registr
2020-04-07,22,registr
2020-04-08,23,registr
2020-04-09,18,registr
2020-04-10,10,registr
2020-04-11,6,registr
2020-04-12,14,registr
2020-04-13,11,registr
2020-04-14,11,registr
2020-04-15,26,registr
2020-04-16,24,registr
2020-04-17,20,registr
2020-04-18,6,registr
2020-04-19,2,registr
2020-04-20,7,registr
2020-04-21,8,registr
2020-04-22,23,registr
2020-04-23,11,registr
2020-04-24,17,registr
2020-04-25,23,registr
2020-04-26,10,registr
2020-04-27,16,registr
2020-04-28,18,registr
2020-04-29,33,registr
2020-04-30,16,registr
2020-05-01,17,registr
2020-05-02,25,registr
2020-05-03,17,registr
2020-05-04,19,registr
2020-05-05,18,registr
2020-05-06,23,registr
2020-05-07,23,registr
2020-05-08,14,registr
2020-05-09,25,registr
2020-05-10,48,registr
2020-05-11,36,registr
2020-05-12,16,registr
2020-05-13,14,registr
2020-05-14,14,registr
2020-05-15,12,registr
2020-05-16,13,registr
2020-05-17,15,registr
2020-05-18,24,registr
2020-05-19,21,registr
2020-05-20,18,registr
2020-05-21,10,registr
2020-05-22,12,registr
2020-05-23,8,registr
2020-05-24,10,registr
2020-05-25,10,registr
2020-05-26,14,registr
2020-05-27,22,registr
2020-05-28,15,registr
2020-05-29,15,registr
2020-05-30,13,registr
2020-05-31,21,registr
2020-06-01,12,registr
2020-06-02,12,registr
2020-06-03,10,registr
2020-06-04,11,registr
2020-06-05,11,registr
2020-06-06,9,registr
2020-06-07,13,registr
2020-06-08,16,registr
2020-06-09,16,registr
2020-06-10,19,registr
2020-06-11,12,registr
2020-06-12,9,registr
2020-06-13,10,registr
2020-06-14,13,registr
2020-06-15,10,registr
2020-06-16,13,registr
2020-06-17,13,registr
2020-06-18,24,registr
2020-06-19,21,registr
2020-06-20,11,registr
2020-06-21,13,registr
2020-06-22,16,registr
2020-06-23,23,registr
2020-06-24,13,registr
2020-06-25,12,registr
2020-06-26,18,registr
2020-06-27,10,registr
2020-06-28,11,registr
2020-06-29,12,registr
2020-06-30,8,registr
2020-07-01,12,registr
2020-07-02,13,registr
2020-07-03,13,registr
2020-07-04,8,registr
2020-07-05,10,registr
2020-07-06,13,registr
2020-07-07,19,registr
2020-07-08,19,registr
2020-07-09,8,registr
2020-07-10,9,registr
2020-07-11,7,registr
2020-07-12,11,registr
2020-07-13,13,registr
2020-07-14,14,registr
2020-07-15,11,registr
