date,count,package
2020-01-01,0,relgam
2020-01-02,0,relgam
2020-01-03,0,relgam
2020-01-04,0,relgam
2020-01-05,0,relgam
2020-01-06,0,relgam
2020-01-07,0,relgam
2020-01-08,0,relgam
2020-01-09,0,relgam
2020-01-10,0,relgam
2020-01-11,0,relgam
2020-01-12,0,relgam
2020-01-13,5,relgam
2020-01-14,7,relgam
2020-01-15,31,relgam
2020-01-16,42,relgam
2020-01-17,33,relgam
2020-01-18,22,relgam
2020-01-19,27,relgam
2020-01-20,28,relgam
2020-01-21,25,relgam
2020-01-22,26,relgam
2020-01-23,23,relgam
2020-01-24,18,relgam
2020-01-25,17,relgam
2020-01-26,17,relgam
2020-01-27,21,relgam
2020-01-28,25,relgam
2020-01-29,23,relgam
2020-01-30,16,relgam
2020-01-31,16,relgam
2020-02-01,11,relgam
2020-02-02,12,relgam
2020-02-03,11,relgam
2020-02-04,11,relgam
2020-02-05,16,relgam
2020-02-06,17,relgam
2020-02-07,12,relgam
2020-02-08,20,relgam
2020-02-09,16,relgam
2020-02-10,9,relgam
2020-02-11,12,relgam
2020-02-12,10,relgam
2020-02-13,12,relgam
2020-02-14,13,relgam
2020-02-15,14,relgam
2020-02-16,15,relgam
2020-02-17,8,relgam
2020-02-18,10,relgam
2020-02-19,12,relgam
2020-02-20,8,relgam
2020-02-21,14,relgam
2020-02-22,13,relgam
2020-02-23,22,relgam
2020-02-24,17,relgam
2020-02-25,16,relgam
2020-02-26,16,relgam
2020-02-27,12,relgam
2020-02-28,10,relgam
2020-02-29,4,relgam
2020-03-01,13,relgam
2020-03-02,8,relgam
2020-03-03,13,relgam
2020-03-04,19,relgam
2020-03-05,10,relgam
2020-03-06,16,relgam
2020-03-07,11,relgam
2020-03-08,15,relgam
2020-03-09,14,relgam
2020-03-10,14,relgam
2020-03-11,5,relgam
2020-03-12,18,relgam
2020-03-13,11,relgam
2020-03-14,8,relgam
2020-03-15,7,relgam
2020-03-16,12,relgam
2020-03-17,19,relgam
2020-03-18,6,relgam
2020-03-19,11,relgam
2020-03-20,12,relgam
2020-03-21,12,relgam
2020-03-22,8,relgam
2020-03-23,10,relgam
2020-03-24,7,relgam
2020-03-25,21,relgam
2020-03-26,8,relgam
2020-03-27,4,relgam
2020-03-28,12,relgam
2020-03-29,18,relgam
2020-03-30,18,relgam
2020-03-31,17,relgam
2020-04-01,11,relgam
2020-04-02,9,relgam
2020-04-03,14,relgam
2020-04-04,10,relgam
2020-04-05,12,relgam
2020-04-06,19,relgam
2020-04-07,18,relgam
2020-04-08,20,relgam
2020-04-09,18,relgam
2020-04-10,10,relgam
2020-04-11,7,relgam
2020-04-12,12,relgam
2020-04-13,10,relgam
2020-04-14,11,relgam
2020-04-15,26,relgam
2020-04-16,17,relgam
2020-04-17,19,relgam
2020-04-18,6,relgam
2020-04-19,2,relgam
2020-04-20,7,relgam
2020-04-21,10,relgam
2020-04-22,23,relgam
2020-04-23,11,relgam
2020-04-24,13,relgam
2020-04-25,22,relgam
2020-04-26,10,relgam
2020-04-27,27,relgam
2020-04-28,20,relgam
2020-04-29,31,relgam
2020-04-30,18,relgam
2020-05-01,16,relgam
2020-05-02,26,relgam
2020-05-03,18,relgam
2020-05-04,19,relgam
2020-05-05,15,relgam
2020-05-06,24,relgam
2020-05-07,21,relgam
2020-05-08,16,relgam
2020-05-09,22,relgam
2020-05-10,50,relgam
2020-05-11,36,relgam
2020-05-12,17,relgam
2020-05-13,18,relgam
2020-05-14,10,relgam
2020-05-15,12,relgam
2020-05-16,12,relgam
2020-05-17,14,relgam
2020-05-18,19,relgam
2020-05-19,15,relgam
2020-05-20,15,relgam
2020-05-21,11,relgam
2020-05-22,11,relgam
2020-05-23,9,relgam
2020-05-24,9,relgam
2020-05-25,8,relgam
2020-05-26,13,relgam
2020-05-27,12,relgam
2020-05-28,20,relgam
2020-05-29,10,relgam
2020-05-30,10,relgam
2020-05-31,21,relgam
2020-06-01,12,relgam
2020-06-02,12,relgam
2020-06-03,13,relgam
2020-06-04,12,relgam
2020-06-05,11,relgam
2020-06-06,9,relgam
2020-06-07,12,relgam
2020-06-08,16,relgam
2020-06-09,11,relgam
2020-06-10,16,relgam
2020-06-11,18,relgam
2020-06-12,9,relgam
2020-06-13,11,relgam
2020-06-14,9,relgam
2020-06-15,14,relgam
2020-06-16,13,relgam
2020-06-17,13,relgam
2020-06-18,24,relgam
2020-06-19,21,relgam
2020-06-20,9,relgam
2020-06-21,13,relgam
2020-06-22,14,relgam
2020-06-23,23,relgam
2020-06-24,11,relgam
2020-06-25,10,relgam
2020-06-26,18,relgam
2020-06-27,10,relgam
2020-06-28,12,relgam
2020-06-29,12,relgam
2020-06-30,8,relgam
2020-07-01,10,relgam
2020-07-02,10,relgam
2020-07-03,13,relgam
2020-07-04,9,relgam
2020-07-05,14,relgam
2020-07-06,15,relgam
2020-07-07,16,relgam
2020-07-08,14,relgam
2020-07-09,8,relgam
2020-07-10,9,relgam
2020-07-11,7,relgam
2020-07-12,11,relgam
2020-07-13,13,relgam
2020-07-14,12,relgam
2020-07-15,11,relgam
2020-07-16,12,relgam
2020-07-17,16,relgam
2020-07-18,14,relgam
2020-07-19,11,relgam
2020-07-20,10,relgam
2020-07-21,16,relgam
2020-07-22,13,relgam
2020-07-23,9,relgam
2020-07-24,17,relgam
2020-07-25,13,relgam
2020-07-26,11,relgam
2020-07-27,7,relgam
2020-07-28,8,relgam
2020-07-29,14,relgam
2020-07-30,6,relgam
2020-07-31,5,relgam
2020-08-01,0,relgam
2020-08-02,6,relgam
2020-08-03,14,relgam
2020-08-04,13,relgam
2020-08-05,14,relgam
2020-08-06,13,relgam
2020-08-07,18,relgam
2020-08-08,11,relgam
2020-08-09,17,relgam
2020-08-10,23,relgam
2020-08-11,10,relgam
2020-08-12,10,relgam
2020-08-13,15,relgam
2020-08-14,12,relgam
2020-08-15,7,relgam
2020-08-16,7,relgam
2020-08-17,14,relgam
2020-08-18,16,relgam
2020-08-19,14,relgam
2020-08-20,9,relgam
2020-08-21,13,relgam
2020-08-22,12,relgam
2020-08-23,7,relgam
2020-08-24,11,relgam
2020-08-25,11,relgam
2020-08-26,11,relgam
2020-08-27,18,relgam
2020-08-28,8,relgam
2020-08-29,11,relgam
2020-08-30,9,relgam
2020-08-31,11,relgam
2020-09-01,14,relgam
2020-09-02,13,relgam
2020-09-03,19,relgam
2020-09-04,9,relgam
2020-09-05,14,relgam
2020-09-06,12,relgam
2020-09-07,21,relgam
2020-09-08,18,relgam
2020-09-09,17,relgam
2020-09-10,13,relgam
2020-09-11,17,relgam
2020-09-12,19,relgam
2020-09-13,21,relgam
2020-09-14,28,relgam
2020-09-15,21,relgam
2020-09-16,12,relgam
2020-09-17,28,relgam
2020-09-18,19,relgam
2020-09-19,10,relgam
2020-09-20,13,relgam
2020-09-21,16,relgam
2020-09-22,17,relgam
2020-09-23,17,relgam
2020-09-24,9,relgam
2020-09-25,8,relgam
2020-09-26,8,relgam
2020-09-27,15,relgam
2020-09-28,17,relgam
2020-09-29,14,relgam
2020-09-30,21,relgam
2020-10-01,15,relgam
2020-10-02,13,relgam
2020-10-03,14,relgam
2020-10-04,14,relgam
2020-10-05,8,relgam
2020-10-06,11,relgam
2020-10-07,11,relgam
2020-10-08,9,relgam
2020-10-09,9,relgam
2020-10-10,18,relgam
2020-10-11,8,relgam
2020-10-12,11,relgam
2020-10-13,13,relgam
2020-10-14,11,relgam
2020-10-15,7,relgam
2020-10-16,12,relgam
2020-10-17,4,relgam
2020-10-18,7,relgam
2020-10-19,15,relgam
2020-10-20,11,relgam
2020-10-21,12,relgam
2020-10-22,16,relgam
2020-10-23,13,relgam
2020-10-24,11,relgam
2020-10-25,10,relgam
2020-10-26,10,relgam
2020-10-27,12,relgam
2020-10-28,13,relgam
2020-10-29,22,relgam
2020-10-30,15,relgam
2020-10-31,10,relgam
2020-11-01,8,relgam
2020-11-02,5,relgam
2020-11-03,22,relgam
2020-11-04,11,relgam
2020-11-05,17,relgam
2020-11-06,15,relgam
2020-11-07,14,relgam
2020-11-08,11,relgam
2020-11-09,17,relgam
2020-11-10,12,relgam
2020-11-11,18,relgam
2020-11-12,13,relgam
2020-11-13,11,relgam
2020-11-14,3,relgam
2020-11-15,10,relgam
2020-11-16,12,relgam
2020-11-17,13,relgam
2020-11-18,14,relgam
2020-11-19,11,relgam
2020-11-20,9,relgam
2020-11-21,11,relgam
2020-11-22,8,relgam
2020-11-23,8,relgam
2020-11-24,14,relgam
2020-11-25,13,relgam
2020-11-26,5,relgam
2020-11-27,12,relgam
2020-11-28,14,relgam
2020-11-29,8,relgam
2020-11-30,19,relgam
2020-12-01,20,relgam
2020-12-02,14,relgam
2020-12-03,12,relgam
2020-12-04,10,relgam
2020-12-05,10,relgam
2020-12-06,7,relgam
2020-12-07,11,relgam
2020-12-08,5,relgam
2020-12-09,15,relgam
2020-12-10,12,relgam
2020-12-11,15,relgam
2020-12-12,8,relgam
2020-12-13,12,relgam
2020-12-14,10,relgam
2020-12-15,14,relgam
2020-12-16,39,relgam
2020-12-17,17,relgam
2020-12-18,12,relgam
2020-12-19,8,relgam
2020-12-20,11,relgam
2020-12-21,10,relgam
2020-12-22,10,relgam
2020-12-23,12,relgam
2020-12-24,8,relgam
2020-12-25,8,relgam
2020-12-26,10,relgam
2020-12-27,10,relgam
2020-12-28,14,relgam
2020-12-29,8,relgam
2020-12-30,11,relgam
2020-12-31,10,relgam
2021-01-01,5,relgam
2021-01-02,9,relgam
2021-01-03,8,relgam
2021-01-04,11,relgam
2021-01-05,9,relgam
2021-01-06,10,relgam
2021-01-07,8,relgam
2021-01-08,7,relgam
2021-01-09,8,relgam
2021-01-10,8,relgam
2021-01-11,11,relgam
2021-01-12,10,relgam
2021-01-13,14,relgam
2021-01-14,14,relgam
2021-01-15,9,relgam
2021-01-16,9,relgam
2021-01-17,8,relgam
2021-01-18,9,relgam
2021-01-19,9,relgam
2021-01-20,11,relgam
2021-01-21,9,relgam
2021-01-22,3,relgam
2021-01-23,8,relgam
2021-01-24,7,relgam
2021-01-25,14,relgam
2021-01-26,8,relgam
2021-01-27,16,relgam
2021-01-28,3,relgam
2021-01-29,12,relgam
2021-01-30,10,relgam
2021-01-31,11,relgam
2021-02-01,10,relgam
2021-02-02,11,relgam
2021-02-03,10,relgam
2021-02-04,11,relgam
2021-02-05,5,relgam
2021-02-06,11,relgam
2021-02-07,16,relgam
2021-02-08,11,relgam
2021-02-09,12,relgam
2021-02-10,14,relgam
2021-02-11,15,relgam
2021-02-12,15,relgam
2021-02-13,12,relgam
2021-02-14,5,relgam
2021-02-15,15,relgam
2021-02-16,12,relgam
2021-02-17,17,relgam
2021-02-18,14,relgam
2021-02-19,13,relgam
2021-02-20,11,relgam
2021-02-21,15,relgam
2021-02-22,22,relgam
2021-02-23,10,relgam
2021-02-24,22,relgam
2021-02-25,16,relgam
2021-02-26,19,relgam
2021-02-27,14,relgam
2021-02-28,9,relgam
2021-03-01,13,relgam
2021-03-02,15,relgam
2021-03-03,20,relgam
2021-03-04,15,relgam
2021-03-05,12,relgam
2021-03-06,12,relgam
2021-03-07,12,relgam
2021-03-08,21,relgam
2021-03-09,14,relgam
2021-03-10,19,relgam
2021-03-11,13,relgam
