date,count,package
2020-01-01,0,resourcer
2020-01-02,0,resourcer
2020-01-03,0,resourcer
2020-01-04,0,resourcer
2020-01-05,0,resourcer
2020-01-06,0,resourcer
2020-01-07,0,resourcer
2020-01-08,0,resourcer
2020-01-09,0,resourcer
2020-01-10,0,resourcer
2020-01-11,0,resourcer
2020-01-12,0,resourcer
2020-01-13,0,resourcer
2020-01-14,0,resourcer
2020-01-15,0,resourcer
2020-01-16,0,resourcer
2020-01-17,0,resourcer
2020-01-18,0,resourcer
2020-01-19,0,resourcer
2020-01-20,0,resourcer
2020-01-21,0,resourcer
2020-01-22,0,resourcer
2020-01-23,0,resourcer
2020-01-24,0,resourcer
2020-01-25,0,resourcer
2020-01-26,0,resourcer
2020-01-27,0,resourcer
2020-01-28,0,resourcer
2020-01-29,0,resourcer
2020-01-30,0,resourcer
2020-01-31,0,resourcer
2020-02-01,0,resourcer
2020-02-02,0,resourcer
2020-02-03,0,resourcer
2020-02-04,0,resourcer
2020-02-05,0,resourcer
2020-02-06,0,resourcer
2020-02-07,0,resourcer
2020-02-08,0,resourcer
2020-02-09,0,resourcer
2020-02-10,0,resourcer
2020-02-11,0,resourcer
2020-02-12,0,resourcer
2020-02-13,0,resourcer
2020-02-14,0,resourcer
2020-02-15,0,resourcer
2020-02-16,0,resourcer
2020-02-17,0,resourcer
2020-02-18,0,resourcer
2020-02-19,0,resourcer
2020-02-20,0,resourcer
2020-02-21,0,resourcer
2020-02-22,0,resourcer
2020-02-23,0,resourcer
2020-02-24,0,resourcer
2020-02-25,0,resourcer
2020-02-26,0,resourcer
2020-02-27,0,resourcer
2020-02-28,0,resourcer
2020-02-29,0,resourcer
2020-03-01,0,resourcer
2020-03-02,0,resourcer
2020-03-03,0,resourcer
2020-03-04,0,resourcer
2020-03-05,0,resourcer
2020-03-06,0,resourcer
2020-03-07,0,resourcer
2020-03-08,0,resourcer
2020-03-09,0,resourcer
2020-03-10,0,resourcer
2020-03-11,0,resourcer
2020-03-12,0,resourcer
2020-03-13,0,resourcer
2020-03-14,0,resourcer
2020-03-15,0,resourcer
2020-03-16,0,resourcer
2020-03-17,0,resourcer
2020-03-18,0,resourcer
2020-03-19,0,resourcer
2020-03-20,0,resourcer
2020-03-21,0,resourcer
2020-03-22,0,resourcer
2020-03-23,0,resourcer
2020-03-24,0,resourcer
2020-03-25,0,resourcer
2020-03-26,0,resourcer
2020-03-27,0,resourcer
2020-03-28,0,resourcer
2020-03-29,0,resourcer
2020-03-30,0,resourcer
2020-03-31,0,resourcer
2020-04-01,0,resourcer
2020-04-02,8,resourcer
2020-04-03,25,resourcer
2020-04-04,13,resourcer
2020-04-05,12,resourcer
2020-04-06,14,resourcer
2020-04-07,22,resourcer
2020-04-08,24,resourcer
2020-04-09,15,resourcer
2020-04-10,21,resourcer
2020-04-11,7,resourcer
2020-04-12,23,resourcer
2020-04-13,19,resourcer
2020-04-14,22,resourcer
2020-04-15,20,resourcer
2020-04-16,14,resourcer
2020-04-17,34,resourcer
2020-04-18,6,resourcer
2020-04-19,1,resourcer
2020-04-20,11,resourcer
2020-04-21,8,resourcer
2020-04-22,30,resourcer
2020-04-23,11,resourcer
2020-04-24,13,resourcer
2020-04-25,19,resourcer
2020-04-26,10,resourcer
2020-04-27,14,resourcer
2020-04-28,15,resourcer
2020-04-29,27,resourcer
2020-04-30,12,resourcer
2020-05-01,13,resourcer
2020-05-02,22,resourcer
2020-05-03,13,resourcer
2020-05-04,11,resourcer
2020-05-05,14,resourcer
2020-05-06,23,resourcer
2020-05-07,17,resourcer
2020-05-08,10,resourcer
2020-05-09,17,resourcer
2020-05-10,49,resourcer
2020-05-11,33,resourcer
2020-05-12,12,resourcer
2020-05-13,11,resourcer
2020-05-14,13,resourcer
2020-05-15,29,resourcer
2020-05-16,13,resourcer
2020-05-17,33,resourcer
2020-05-18,45,resourcer
2020-05-19,58,resourcer
2020-05-20,44,resourcer
2020-05-21,39,resourcer
2020-05-22,30,resourcer
2020-05-23,19,resourcer
2020-05-24,21,resourcer
2020-05-25,19,resourcer
2020-05-26,37,resourcer
2020-05-27,20,resourcer
2020-05-28,33,resourcer
2020-05-29,30,resourcer
2020-05-30,24,resourcer
2020-05-31,20,resourcer
2020-06-01,18,resourcer
2020-06-02,35,resourcer
2020-06-03,16,resourcer
2020-06-04,14,resourcer
2020-06-05,14,resourcer
2020-06-06,11,resourcer
2020-06-07,15,resourcer
2020-06-08,29,resourcer
2020-06-09,26,resourcer
2020-06-10,47,resourcer
2020-06-11,55,resourcer
2020-06-12,29,resourcer
2020-06-13,26,resourcer
2020-06-14,25,resourcer
2020-06-15,20,resourcer
2020-06-16,26,resourcer
2020-06-17,24,resourcer
2020-06-18,39,resourcer
2020-06-19,34,resourcer
2020-06-20,12,resourcer
2020-06-21,17,resourcer
2020-06-22,25,resourcer
2020-06-23,36,resourcer
2020-06-24,28,resourcer
2020-06-25,33,resourcer
2020-06-26,31,resourcer
2020-06-27,18,resourcer
2020-06-28,30,resourcer
2020-06-29,30,resourcer
2020-06-30,22,resourcer
2020-07-01,34,resourcer
2020-07-02,50,resourcer
2020-07-03,24,resourcer
2020-07-04,13,resourcer
2020-07-05,16,resourcer
2020-07-06,43,resourcer
2020-07-07,31,resourcer
2020-07-08,26,resourcer
2020-07-09,31,resourcer
2020-07-10,14,resourcer
2020-07-11,14,resourcer
2020-07-12,19,resourcer
2020-07-13,28,resourcer
2020-07-14,27,resourcer
2020-07-15,31,resourcer
2020-07-16,19,resourcer
2020-07-17,15,resourcer
2020-07-18,15,resourcer
2020-07-19,14,resourcer
2020-07-20,31,resourcer
2020-07-21,34,resourcer
2020-07-22,33,resourcer
2020-07-23,28,resourcer
2020-07-24,36,resourcer
2020-07-25,10,resourcer
2020-07-26,15,resourcer
2020-07-27,22,resourcer
2020-07-28,15,resourcer
2020-07-29,27,resourcer
2020-07-30,18,resourcer
2020-07-31,15,resourcer
2020-08-01,4,resourcer
2020-08-02,11,resourcer
2020-08-03,32,resourcer
2020-08-04,14,resourcer
2020-08-05,27,resourcer
2020-08-06,38,resourcer
2020-08-07,26,resourcer
2020-08-08,12,resourcer
2020-08-09,13,resourcer
2020-08-10,27,resourcer
2020-08-11,16,resourcer
2020-08-12,30,resourcer
2020-08-13,34,resourcer
2020-08-14,22,resourcer
2020-08-15,8,resourcer
2020-08-16,20,resourcer
2020-08-17,18,resourcer
2020-08-18,21,resourcer
2020-08-19,28,resourcer
2020-08-20,14,resourcer
2020-08-21,20,resourcer
2020-08-22,12,resourcer
2020-08-23,8,resourcer
2020-08-24,17,resourcer
2020-08-25,27,resourcer
2020-08-26,37,resourcer
2020-08-27,27,resourcer
2020-08-28,24,resourcer
2020-08-29,30,resourcer
2020-08-30,12,resourcer
2020-08-31,21,resourcer
2020-09-01,30,resourcer
2020-09-02,25,resourcer
2020-09-03,22,resourcer
2020-09-04,30,resourcer
2020-09-05,18,resourcer
