date,count,package
2020-01-01,0,rtist
2020-01-02,0,rtist
2020-01-03,0,rtist
2020-01-04,0,rtist
2020-01-05,0,rtist
2020-01-06,0,rtist
2020-01-07,0,rtist
2020-01-08,0,rtist
2020-01-09,0,rtist
2020-01-10,0,rtist
2020-01-11,0,rtist
2020-01-12,0,rtist
2020-01-13,0,rtist
2020-01-14,0,rtist
2020-01-15,0,rtist
2020-01-16,0,rtist
2020-01-17,0,rtist
2020-01-18,0,rtist
2020-01-19,0,rtist
2020-01-20,0,rtist
2020-01-21,0,rtist
2020-01-22,0,rtist
2020-01-23,0,rtist
2020-01-24,0,rtist
2020-01-25,0,rtist
2020-01-26,0,rtist
2020-01-27,0,rtist
2020-01-28,0,rtist
2020-01-29,0,rtist
2020-01-30,0,rtist
2020-01-31,0,rtist
2020-02-01,0,rtist
2020-02-02,0,rtist
2020-02-03,0,rtist
2020-02-04,0,rtist
2020-02-05,0,rtist
2020-02-06,0,rtist
2020-02-07,0,rtist
2020-02-08,0,rtist
2020-02-09,0,rtist
2020-02-10,0,rtist
2020-02-11,0,rtist
2020-02-12,0,rtist
2020-02-13,0,rtist
2020-02-14,0,rtist
2020-02-15,0,rtist
2020-02-16,0,rtist
2020-02-17,0,rtist
2020-02-18,0,rtist
2020-02-19,0,rtist
2020-02-20,0,rtist
2020-02-21,0,rtist
2020-02-22,155,rtist
2020-02-23,80,rtist
2020-02-24,27,rtist
2020-02-25,16,rtist
2020-02-26,26,rtist
2020-02-27,34,rtist
2020-02-28,25,rtist
2020-02-29,8,rtist
2020-03-01,29,rtist
2020-03-02,23,rtist
2020-03-03,27,rtist
2020-03-04,32,rtist
2020-03-05,26,rtist
2020-03-06,32,rtist
2020-03-07,24,rtist
2020-03-08,30,rtist
2020-03-09,27,rtist
2020-03-10,29,rtist
2020-03-11,5,rtist
2020-03-12,35,rtist
2020-03-13,27,rtist
2020-03-14,26,rtist
2020-03-15,19,rtist
2020-03-16,23,rtist
2020-03-17,22,rtist
2020-03-18,5,rtist
2020-03-19,24,rtist
2020-03-20,25,rtist
2020-03-21,23,rtist
2020-03-22,21,rtist
2020-03-23,22,rtist
2020-03-24,7,rtist
2020-03-25,25,rtist
2020-03-26,20,rtist
2020-03-27,16,rtist
2020-03-28,21,rtist
2020-03-29,29,rtist
2020-03-30,29,rtist
2020-03-31,31,rtist
2020-04-01,11,rtist
2020-04-02,8,rtist
2020-04-03,28,rtist
2020-04-04,21,rtist
2020-04-05,25,rtist
2020-04-06,31,rtist
2020-04-07,30,rtist
2020-04-08,31,rtist
2020-04-09,30,rtist
2020-04-10,22,rtist
2020-04-11,6,rtist
2020-04-12,24,rtist
2020-04-13,21,rtist
2020-04-14,22,rtist
2020-04-15,32,rtist
2020-04-16,9,rtist
2020-04-17,31,rtist
2020-04-18,6,rtist
2020-04-19,2,rtist
2020-04-20,6,rtist
2020-04-21,8,rtist
2020-04-22,40,rtist
2020-04-23,11,rtist
2020-04-24,30,rtist
2020-04-25,37,rtist
2020-04-26,12,rtist
2020-04-27,32,rtist
2020-04-28,33,rtist
2020-04-29,45,rtist
2020-04-30,32,rtist
2020-05-01,26,rtist
2020-05-02,34,rtist
2020-05-03,25,rtist
2020-05-04,27,rtist
2020-05-05,22,rtist
2020-05-06,33,rtist
2020-05-07,27,rtist
2020-05-08,21,rtist
2020-05-09,29,rtist
2020-05-10,57,rtist
2020-05-11,45,rtist
2020-05-12,24,rtist
2020-05-13,22,rtist
2020-05-14,20,rtist
2020-05-15,21,rtist
2020-05-16,22,rtist
2020-05-17,24,rtist
2020-05-18,29,rtist
2020-05-19,25,rtist
2020-05-20,27,rtist
2020-05-21,18,rtist
2020-05-22,20,rtist
2020-05-23,16,rtist
2020-05-24,18,rtist
2020-05-25,18,rtist
2020-05-26,22,rtist
2020-05-27,22,rtist
2020-05-28,21,rtist
2020-05-29,20,rtist
2020-05-30,19,rtist
2020-05-31,24,rtist
2020-06-01,20,rtist
2020-06-02,21,rtist
2020-06-03,26,rtist
2020-06-04,19,rtist
2020-06-05,19,rtist
2020-06-06,19,rtist
2020-06-07,22,rtist
2020-06-08,22,rtist
2020-06-09,20,rtist
2020-06-10,31,rtist
2020-06-11,23,rtist
2020-06-12,22,rtist
2020-06-13,19,rtist
2020-06-14,23,rtist
2020-06-15,21,rtist
2020-06-16,23,rtist
2020-06-17,19,rtist
2020-06-18,34,rtist
2020-06-19,23,rtist
2020-06-20,18,rtist
2020-06-21,22,rtist
2020-06-22,23,rtist
2020-06-23,32,rtist
2020-06-24,20,rtist
2020-06-25,19,rtist
2020-06-26,23,rtist
2020-06-27,20,rtist
2020-06-28,20,rtist
2020-06-29,21,rtist
2020-06-30,16,rtist
2020-07-01,20,rtist
2020-07-02,19,rtist
2020-07-03,22,rtist
2020-07-04,23,rtist
2020-07-05,17,rtist
2020-07-06,18,rtist
2020-07-07,26,rtist
2020-07-08,22,rtist
2020-07-09,17,rtist
2020-07-10,18,rtist
