date,count,package
2020-01-01,0,rules
2020-01-02,0,rules
2020-01-03,0,rules
2020-01-04,0,rules
2020-01-05,0,rules
2020-01-06,0,rules
2020-01-07,0,rules
2020-01-08,0,rules
2020-01-09,0,rules
2020-01-10,0,rules
2020-01-11,0,rules
2020-01-12,0,rules
2020-01-13,0,rules
2020-01-14,0,rules
2020-01-15,0,rules
2020-01-16,0,rules
2020-01-17,0,rules
2020-01-18,0,rules
2020-01-19,0,rules
2020-01-20,0,rules
2020-01-21,0,rules
2020-01-22,0,rules
2020-01-23,0,rules
2020-01-24,0,rules
2020-01-25,0,rules
2020-01-26,0,rules
2020-01-27,0,rules
2020-01-28,0,rules
2020-01-29,0,rules
2020-01-30,0,rules
2020-01-31,0,rules
2020-02-01,0,rules
2020-02-02,0,rules
2020-02-03,0,rules
2020-02-04,0,rules
2020-02-05,0,rules
2020-02-06,0,rules
2020-02-07,0,rules
2020-02-08,0,rules
2020-02-09,0,rules
2020-02-10,0,rules
2020-02-11,0,rules
2020-02-12,0,rules
2020-02-13,0,rules
2020-02-14,0,rules
2020-02-15,0,rules
2020-02-16,0,rules
2020-02-17,0,rules
2020-02-18,0,rules
2020-02-19,0,rules
2020-02-20,0,rules
2020-02-21,0,rules
2020-02-22,0,rules
2020-02-23,0,rules
2020-02-24,0,rules
2020-02-25,0,rules
2020-02-26,0,rules
2020-02-27,0,rules
2020-02-28,0,rules
2020-02-29,0,rules
2020-03-01,0,rules
2020-03-02,0,rules
2020-03-03,0,rules
2020-03-04,0,rules
2020-03-05,0,rules
2020-03-06,0,rules
2020-03-07,0,rules
2020-03-08,0,rules
2020-03-09,0,rules
2020-03-10,0,rules
2020-03-11,0,rules
2020-03-12,0,rules
2020-03-13,0,rules
2020-03-14,0,rules
2020-03-15,0,rules
2020-03-16,0,rules
2020-03-17,0,rules
2020-03-18,0,rules
2020-03-19,0,rules
2020-03-20,0,rules
2020-03-21,0,rules
2020-03-22,0,rules
2020-03-23,0,rules
2020-03-24,0,rules
2020-03-25,0,rules
2020-03-26,0,rules
2020-03-27,0,rules
2020-03-28,0,rules
2020-03-29,0,rules
2020-03-30,0,rules
2020-03-31,0,rules
2020-04-01,0,rules
2020-04-02,0,rules
2020-04-03,0,rules
2020-04-04,0,rules
2020-04-05,0,rules
2020-04-06,0,rules
2020-04-07,0,rules
2020-04-08,0,rules
2020-04-09,0,rules
2020-04-10,0,rules
2020-04-11,0,rules
2020-04-12,0,rules
2020-04-13,0,rules
2020-04-14,0,rules
2020-04-15,0,rules
2020-04-16,0,rules
2020-04-17,0,rules
2020-04-18,0,rules
2020-04-19,0,rules
2020-04-20,0,rules
2020-04-21,0,rules
2020-04-22,0,rules
2020-04-23,0,rules
2020-04-24,0,rules
2020-04-25,0,rules
2020-04-26,0,rules
2020-04-27,0,rules
2020-04-28,0,rules
2020-04-29,0,rules
2020-04-30,0,rules
2020-05-01,0,rules
2020-05-02,0,rules
2020-05-03,0,rules
2020-05-04,0,rules
2020-05-05,0,rules
2020-05-06,0,rules
2020-05-07,0,rules
2020-05-08,0,rules
2020-05-09,0,rules
2020-05-10,0,rules
2020-05-11,0,rules
2020-05-12,0,rules
2020-05-13,0,rules
2020-05-14,0,rules
2020-05-15,0,rules
2020-05-16,0,rules
2020-05-17,0,rules
2020-05-18,0,rules
2020-05-19,0,rules
2020-05-20,8,rules
2020-05-21,21,rules
2020-05-22,45,rules
2020-05-23,24,rules
2020-05-24,18,rules
2020-05-25,30,rules
2020-05-26,32,rules
2020-05-27,24,rules
2020-05-28,27,rules
2020-05-29,28,rules
2020-05-30,22,rules
2020-05-31,24,rules
2020-06-01,18,rules
2020-06-02,18,rules
2020-06-03,18,rules
2020-06-04,21,rules
2020-06-05,19,rules
2020-06-06,15,rules
2020-06-07,17,rules
2020-06-08,15,rules
2020-06-09,20,rules
2020-06-10,44,rules
2020-06-11,43,rules
2020-06-12,42,rules
2020-06-13,37,rules
2020-06-14,27,rules
2020-06-15,23,rules
2020-06-16,28,rules
2020-06-17,28,rules
2020-06-18,31,rules
2020-06-19,22,rules
2020-06-20,19,rules
2020-06-21,21,rules
2020-06-22,20,rules
2020-06-23,24,rules
2020-06-24,23,rules
2020-06-25,11,rules
2020-06-26,19,rules
2020-06-27,16,rules
2020-06-28,11,rules
2020-06-29,23,rules
2020-06-30,11,rules
2020-07-01,14,rules
2020-07-02,20,rules
2020-07-03,16,rules
2020-07-04,10,rules
2020-07-05,10,rules
2020-07-06,16,rules
2020-07-07,21,rules
2020-07-08,19,rules
2020-07-09,18,rules
2020-07-10,11,rules
2020-07-11,11,rules
2020-07-12,14,rules
2020-07-13,18,rules
2020-07-14,16,rules
2020-07-15,14,rules
2020-07-16,13,rules
2020-07-17,11,rules
2020-07-18,18,rules
2020-07-19,10,rules
2020-07-20,9,rules
2020-07-21,15,rules
2020-07-22,15,rules
2020-07-23,14,rules
2020-07-24,6,rules
2020-07-25,12,rules
2020-07-26,11,rules
2020-07-27,6,rules
2020-07-28,14,rules
2020-07-29,16,rules
2020-07-30,10,rules
2020-07-31,12,rules
2020-08-01,1,rules
2020-08-02,5,rules
2020-08-03,9,rules
2020-08-04,14,rules
2020-08-05,16,rules
2020-08-06,14,rules
2020-08-07,23,rules
2020-08-08,10,rules
2020-08-09,7,rules
2020-08-10,24,rules
2020-08-11,11,rules
2020-08-12,11,rules
2020-08-13,12,rules
2020-08-14,13,rules
2020-08-15,5,rules
2020-08-16,5,rules
2020-08-17,17,rules
2020-08-18,11,rules
2020-08-19,16,rules
2020-08-20,11,rules
2020-08-21,13,rules
2020-08-22,8,rules
2020-08-23,7,rules
2020-08-24,9,rules
2020-08-25,12,rules
2020-08-26,10,rules
2020-08-27,8,rules
2020-08-28,10,rules
2020-08-29,9,rules
2020-08-30,7,rules
2020-08-31,12,rules
2020-09-01,12,rules
2020-09-02,12,rules
2020-09-03,17,rules
2020-09-04,7,rules
2020-09-05,16,rules
2020-09-06,12,rules
2020-09-07,36,rules
2020-09-08,26,rules
2020-09-09,29,rules
2020-09-10,25,rules
2020-09-11,19,rules
2020-09-12,18,rules
2020-09-13,17,rules
2020-09-14,36,rules
2020-09-15,16,rules
2020-09-16,21,rules
2020-09-17,38,rules
2020-09-18,22,rules
2020-09-19,15,rules
2020-09-20,16,rules
2020-09-21,21,rules
2020-09-22,18,rules
2020-09-23,24,rules
2020-09-24,19,rules
2020-09-25,11,rules
2020-09-26,17,rules
2020-09-27,9,rules
2020-09-28,17,rules
2020-09-29,21,rules
2020-09-30,13,rules
2020-10-01,20,rules
2020-10-02,48,rules
2020-10-03,27,rules
2020-10-04,38,rules
2020-10-05,26,rules
2020-10-06,35,rules
2020-10-07,37,rules
2020-10-08,32,rules
2020-10-09,28,rules
2020-10-10,30,rules
2020-10-11,21,rules
2020-10-12,30,rules
2020-10-13,22,rules
2020-10-14,47,rules
2020-10-15,29,rules
2020-10-16,34,rules
2020-10-17,7,rules
2020-10-18,14,rules
2020-10-19,23,rules
2020-10-20,20,rules
2020-10-21,30,rules
2020-10-22,25,rules
2020-10-23,16,rules
2020-10-24,15,rules
2020-10-25,12,rules
2020-10-26,17,rules
2020-10-27,20,rules
2020-10-28,63,rules
2020-10-29,34,rules
2020-10-30,36,rules
2020-10-31,23,rules
2020-11-01,35,rules
2020-11-02,21,rules
2020-11-03,40,rules
2020-11-04,22,rules
2020-11-05,32,rules
2020-11-06,26,rules
2020-11-07,25,rules
2020-11-08,25,rules
2020-11-09,36,rules
2020-11-10,20,rules
2020-11-11,56,rules
2020-11-12,26,rules
2020-11-13,25,rules
2020-11-14,11,rules
2020-11-15,15,rules
2020-11-16,19,rules
2020-11-17,19,rules
2020-11-18,28,rules
2020-11-19,18,rules
2020-11-20,16,rules
2020-11-21,17,rules
2020-11-22,12,rules
2020-11-23,59,rules
2020-11-24,28,rules
2020-11-25,22,rules
2020-11-26,11,rules
2020-11-27,17,rules
2020-11-28,13,rules
2020-11-29,12,rules
2020-11-30,17,rules
2020-12-01,27,rules
2020-12-02,25,rules
2020-12-03,15,rules
2020-12-04,18,rules
2020-12-05,21,rules
2020-12-06,14,rules
2020-12-07,16,rules
2020-12-08,11,rules
2020-12-09,28,rules
2020-12-10,21,rules
2020-12-11,19,rules
2020-12-12,14,rules
2020-12-13,22,rules
2020-12-14,17,rules
2020-12-15,16,rules
2020-12-16,11,rules
2020-12-17,18,rules
2020-12-18,11,rules
2020-12-19,12,rules
2020-12-20,16,rules
2020-12-21,13,rules
2020-12-22,20,rules
2020-12-23,25,rules
2020-12-24,13,rules
2020-12-25,9,rules
2020-12-26,10,rules
2020-12-27,9,rules
2020-12-28,22,rules
2020-12-29,13,rules
2020-12-30,26,rules
2020-12-31,11,rules
2021-01-01,13,rules
2021-01-02,9,rules
2021-01-03,14,rules
2021-01-04,14,rules
2021-01-05,16,rules
2021-01-06,29,rules
2021-01-07,17,rules
2021-01-08,14,rules
2021-01-09,11,rules
2021-01-10,12,rules
2021-01-11,18,rules
2021-01-12,15,rules
2021-01-13,21,rules
2021-01-14,21,rules
2021-01-15,12,rules
2021-01-16,22,rules
2021-01-17,37,rules
2021-01-18,44,rules
2021-01-19,37,rules
2021-01-20,41,rules
2021-01-21,24,rules
2021-01-22,23,rules
2021-01-23,32,rules
2021-01-24,13,rules
2021-01-25,31,rules
2021-01-26,19,rules
2021-01-27,33,rules
2021-01-28,16,rules
2021-01-29,22,rules
2021-01-30,25,rules
2021-01-31,14,rules
2021-02-01,27,rules
2021-02-02,32,rules
2021-02-03,32,rules
2021-02-04,22,rules
2021-02-05,12,rules
2021-02-06,20,rules
2021-02-07,16,rules
2021-02-08,9,rules
2021-02-09,17,rules
2021-02-10,28,rules
2021-02-11,25,rules
2021-02-12,19,rules
2021-02-13,15,rules
2021-02-14,7,rules
2021-02-15,24,rules
2021-02-16,27,rules
2021-02-17,23,rules
2021-02-18,26,rules
2021-02-19,21,rules
2021-02-20,17,rules
2021-02-21,16,rules
2021-02-22,27,rules
2021-02-23,10,rules
2021-02-24,32,rules
2021-02-25,24,rules
2021-02-26,27,rules
2021-02-27,17,rules
2021-02-28,10,rules
2021-03-01,17,rules
2021-03-02,21,rules
2021-03-03,38,rules
2021-03-04,23,rules
2021-03-05,23,rules
2021-03-06,18,rules
2021-03-07,14,rules
2021-03-08,20,rules
2021-03-09,17,rules
2021-03-10,29,rules
2021-03-11,23,rules
2021-03-12,19,rules
2021-03-13,21,rules
2021-03-14,16,rules
2021-03-15,21,rules
2021-03-16,28,rules
2021-03-17,29,rules
2021-03-18,16,rules
2021-03-19,18,rules
2021-03-20,14,rules
2021-03-21,7,rules
2021-03-22,14,rules
2021-03-23,16,rules
2021-03-24,32,rules
2021-03-25,26,rules
2021-03-26,34,rules
2021-03-27,8,rules
2021-03-28,19,rules
2021-03-29,20,rules
2021-03-30,28,rules
2021-03-31,18,rules
2021-04-01,28,rules
2021-04-02,16,rules
2021-04-03,24,rules
2021-04-04,16,rules
2021-04-05,21,rules
2021-04-06,19,rules
2021-04-07,26,rules
2021-04-08,22,rules
2021-04-09,23,rules
2021-04-10,21,rules
2021-04-11,12,rules
2021-04-12,32,rules
2021-04-13,24,rules
2021-04-14,26,rules
2021-04-15,12,rules
2021-04-16,24,rules
2021-04-17,6,rules
2021-04-18,25,rules
2021-04-19,23,rules
2021-04-20,28,rules
2021-04-21,36,rules
2021-04-22,34,rules
2021-04-23,22,rules
2021-04-24,20,rules
2021-04-25,6,rules
2021-04-26,19,rules
2021-04-27,26,rules
2021-04-28,26,rules
2021-04-29,13,rules
2021-04-30,5,rules
2021-05-01,18,rules
2021-05-02,13,rules
2021-05-03,28,rules
2021-05-04,34,rules
2021-05-05,19,rules
2021-05-06,24,rules
2021-05-07,18,rules
2021-05-08,11,rules
2021-05-09,11,rules
2021-05-10,30,rules
2021-05-11,23,rules
2021-05-12,36,rules
2021-05-13,26,rules
2021-05-14,26,rules
2021-05-15,8,rules
2021-05-16,17,rules
2021-05-17,12,rules
2021-05-18,35,rules
2021-05-19,44,rules
2021-05-20,32,rules
2021-05-21,24,rules
2021-05-22,22,rules
2021-05-23,13,rules
2021-05-24,26,rules
2021-05-25,39,rules
2021-05-26,31,rules
2021-05-27,11,rules
2021-05-28,21,rules
2021-05-29,7,rules
2021-05-30,16,rules
2021-05-31,16,rules
2021-06-01,19,rules
2021-06-02,28,rules
2021-06-03,20,rules
2021-06-04,14,rules
2021-06-05,10,rules
2021-06-06,17,rules
2021-06-07,14,rules
2021-06-08,23,rules
2021-06-09,30,rules
