date,count,package
2020-01-01,0,rutifier
2020-01-02,0,rutifier
2020-01-03,0,rutifier
2020-01-04,0,rutifier
2020-01-05,0,rutifier
2020-01-06,0,rutifier
2020-01-07,0,rutifier
2020-01-08,0,rutifier
2020-01-09,0,rutifier
2020-01-10,0,rutifier
2020-01-11,0,rutifier
2020-01-12,0,rutifier
2020-01-13,0,rutifier
2020-01-14,0,rutifier
2020-01-15,0,rutifier
2020-01-16,0,rutifier
2020-01-17,0,rutifier
2020-01-18,0,rutifier
2020-01-19,0,rutifier
2020-01-20,0,rutifier
2020-01-21,0,rutifier
2020-01-22,0,rutifier
2020-01-23,0,rutifier
2020-01-24,0,rutifier
2020-01-25,0,rutifier
2020-01-26,0,rutifier
2020-01-27,0,rutifier
2020-01-28,0,rutifier
2020-01-29,0,rutifier
2020-01-30,0,rutifier
2020-01-31,0,rutifier
2020-02-01,0,rutifier
2020-02-02,0,rutifier
2020-02-03,0,rutifier
2020-02-04,0,rutifier
2020-02-05,0,rutifier
2020-02-06,0,rutifier
2020-02-07,0,rutifier
2020-02-08,0,rutifier
2020-02-09,0,rutifier
2020-02-10,0,rutifier
2020-02-11,0,rutifier
2020-02-12,0,rutifier
2020-02-13,0,rutifier
2020-02-14,0,rutifier
2020-02-15,0,rutifier
2020-02-16,0,rutifier
2020-02-17,0,rutifier
2020-02-18,0,rutifier
2020-02-19,0,rutifier
2020-02-20,0,rutifier
2020-02-21,0,rutifier
2020-02-22,0,rutifier
2020-02-23,0,rutifier
2020-02-24,0,rutifier
2020-02-25,0,rutifier
2020-02-26,0,rutifier
2020-02-27,0,rutifier
2020-02-28,0,rutifier
2020-02-29,0,rutifier
2020-03-01,0,rutifier
2020-03-02,8,rutifier
2020-03-03,16,rutifier
2020-03-04,27,rutifier
2020-03-05,17,rutifier
2020-03-06,23,rutifier
2020-03-07,14,rutifier
2020-03-08,13,rutifier
2020-03-09,12,rutifier
2020-03-10,19,rutifier
2020-03-11,4,rutifier
2020-03-12,39,rutifier
2020-03-13,25,rutifier
2020-03-14,22,rutifier
2020-03-15,16,rutifier
2020-03-16,20,rutifier
2020-03-17,19,rutifier
2020-03-18,5,rutifier
2020-03-19,17,rutifier
2020-03-20,17,rutifier
2020-03-21,15,rutifier
2020-03-22,12,rutifier
2020-03-23,10,rutifier
2020-03-24,7,rutifier
2020-03-25,13,rutifier
2020-03-26,8,rutifier
2020-03-27,5,rutifier
2020-03-28,9,rutifier
2020-03-29,17,rutifier
2020-03-30,17,rutifier
2020-03-31,17,rutifier
2020-04-01,12,rutifier
2020-04-02,8,rutifier
2020-04-03,14,rutifier
2020-04-04,10,rutifier
2020-04-05,13,rutifier
2020-04-06,19,rutifier
2020-04-07,18,rutifier
2020-04-08,19,rutifier
2020-04-09,18,rutifier
2020-04-10,10,rutifier
2020-04-11,6,rutifier
2020-04-12,12,rutifier
2020-04-13,9,rutifier
2020-04-14,10,rutifier
2020-04-15,20,rutifier
2020-04-16,9,rutifier
2020-04-17,19,rutifier
2020-04-18,6,rutifier
2020-04-19,2,rutifier
2020-04-20,6,rutifier
2020-04-21,15,rutifier
2020-04-22,24,rutifier
2020-04-23,11,rutifier
2020-04-24,14,rutifier
2020-04-25,22,rutifier
2020-04-26,11,rutifier
2020-04-27,16,rutifier
2020-04-28,18,rutifier
2020-04-29,30,rutifier
2020-04-30,15,rutifier
2020-05-01,16,rutifier
2020-05-02,25,rutifier
2020-05-03,17,rutifier
2020-05-04,19,rutifier
2020-05-05,12,rutifier
2020-05-06,23,rutifier
2020-05-07,20,rutifier
2020-05-08,14,rutifier
2020-05-09,21,rutifier
2020-05-10,49,rutifier
2020-05-11,36,rutifier
2020-05-12,15,rutifier
2020-05-13,15,rutifier
2020-05-14,10,rutifier
2020-05-15,14,rutifier
2020-05-16,13,rutifier
2020-05-17,15,rutifier
2020-05-18,20,rutifier
2020-05-19,18,rutifier
2020-05-20,18,rutifier
2020-05-21,10,rutifier
2020-05-22,10,rutifier
2020-05-23,8,rutifier
2020-05-24,9,rutifier
2020-05-25,9,rutifier
2020-05-26,14,rutifier
2020-05-27,12,rutifier
2020-05-28,11,rutifier
2020-05-29,17,rutifier
2020-05-30,10,rutifier
2020-05-31,21,rutifier
2020-06-01,12,rutifier
2020-06-02,12,rutifier
2020-06-03,17,rutifier
2020-06-04,10,rutifier
2020-06-05,10,rutifier
2020-06-06,8,rutifier
2020-06-07,10,rutifier
2020-06-08,16,rutifier
2020-06-09,12,rutifier
2020-06-10,23,rutifier
2020-06-11,11,rutifier
2020-06-12,11,rutifier
2020-06-13,10,rutifier
2020-06-14,13,rutifier
2020-06-15,9,rutifier
2020-06-16,14,rutifier
2020-06-17,13,rutifier
2020-06-18,24,rutifier
2020-06-19,14,rutifier
2020-06-20,9,rutifier
2020-06-21,19,rutifier
2020-06-22,20,rutifier
2020-06-23,17,rutifier
2020-06-24,11,rutifier
2020-06-25,10,rutifier
2020-06-26,14,rutifier
2020-06-27,11,rutifier
2020-06-28,11,rutifier
2020-06-29,12,rutifier
2020-06-30,7,rutifier
2020-07-01,11,rutifier
2020-07-02,10,rutifier
2020-07-03,13,rutifier
2020-07-04,14,rutifier
2020-07-05,8,rutifier
2020-07-06,9,rutifier
2020-07-07,16,rutifier
2020-07-08,19,rutifier
2020-07-09,8,rutifier
2020-07-10,9,rutifier
2020-07-11,7,rutifier
2020-07-12,11,rutifier
2020-07-13,13,rutifier
2020-07-14,12,rutifier
2020-07-15,11,rutifier
2020-07-16,11,rutifier
2020-07-17,16,rutifier
2020-07-18,14,rutifier
2020-07-19,11,rutifier
2020-07-20,10,rutifier
2020-07-21,16,rutifier
2020-07-22,14,rutifier
2020-07-23,9,rutifier
2020-07-24,10,rutifier
2020-07-25,15,rutifier
2020-07-26,17,rutifier
2020-07-27,7,rutifier
2020-07-28,11,rutifier
2020-07-29,8,rutifier
2020-07-30,6,rutifier
2020-07-31,5,rutifier
2020-08-01,0,rutifier
2020-08-02,9,rutifier
2020-08-03,11,rutifier
2020-08-04,13,rutifier
2020-08-05,14,rutifier
2020-08-06,14,rutifier
2020-08-07,17,rutifier
2020-08-08,12,rutifier
2020-08-09,16,rutifier
2020-08-10,18,rutifier
2020-08-11,10,rutifier
2020-08-12,10,rutifier
2020-08-13,21,rutifier
2020-08-14,13,rutifier
2020-08-15,7,rutifier
2020-08-16,7,rutifier
2020-08-17,12,rutifier
2020-08-18,18,rutifier
2020-08-19,16,rutifier
2020-08-20,9,rutifier
2020-08-21,19,rutifier
2020-08-22,9,rutifier
2020-08-23,7,rutifier
2020-08-24,10,rutifier
2020-08-25,10,rutifier
2020-08-26,10,rutifier
2020-08-27,9,rutifier
2020-08-28,7,rutifier
2020-08-29,11,rutifier
2020-08-30,9,rutifier
2020-08-31,17,rutifier
2020-09-01,15,rutifier
2020-09-02,17,rutifier
2020-09-03,14,rutifier
2020-09-04,9,rutifier
2020-09-05,14,rutifier
2020-09-06,13,rutifier
2020-09-07,21,rutifier
2020-09-08,17,rutifier
2020-09-09,15,rutifier
2020-09-10,13,rutifier
2020-09-11,16,rutifier
2020-09-12,20,rutifier
2020-09-13,15,rutifier
2020-09-14,32,rutifier
2020-09-15,22,rutifier
2020-09-16,12,rutifier
2020-09-17,27,rutifier
2020-09-18,24,rutifier
2020-09-19,10,rutifier
2020-09-20,13,rutifier
2020-09-21,13,rutifier
2020-09-22,16,rutifier
2020-09-23,18,rutifier
2020-09-24,8,rutifier
2020-09-25,8,rutifier
2020-09-26,14,rutifier
2020-09-27,9,rutifier
2020-09-28,16,rutifier
2020-09-29,14,rutifier
2020-09-30,14,rutifier
2020-10-01,13,rutifier
2020-10-02,15,rutifier
2020-10-03,11,rutifier
2020-10-04,16,rutifier
2020-10-05,8,rutifier
2020-10-06,17,rutifier
2020-10-07,9,rutifier
2020-10-08,16,rutifier
2020-10-09,9,rutifier
2020-10-10,12,rutifier
2020-10-11,8,rutifier
2020-10-12,7,rutifier
2020-10-13,11,rutifier
2020-10-14,12,rutifier
2020-10-15,7,rutifier
2020-10-16,11,rutifier
2020-10-17,1,rutifier
2020-10-18,7,rutifier
2020-10-19,15,rutifier
2020-10-20,15,rutifier
2020-10-21,12,rutifier
2020-10-22,13,rutifier
2020-10-23,13,rutifier
2020-10-24,11,rutifier
2020-10-25,13,rutifier
2020-10-26,10,rutifier
2020-10-27,11,rutifier
2020-10-28,13,rutifier
2020-10-29,20,rutifier
2020-10-30,11,rutifier
2020-10-31,8,rutifier
2020-11-01,8,rutifier
2020-11-02,8,rutifier
2020-11-03,17,rutifier
2020-11-04,8,rutifier
2020-11-05,17,rutifier
2020-11-06,13,rutifier
2020-11-07,17,rutifier
2020-11-08,11,rutifier
2020-11-09,17,rutifier
2020-11-10,12,rutifier
2020-11-11,18,rutifier
2020-11-12,13,rutifier
2020-11-13,17,rutifier
2020-11-14,6,rutifier
2020-11-15,10,rutifier
2020-11-16,9,rutifier
2020-11-17,12,rutifier
2020-11-18,14,rutifier
2020-11-19,11,rutifier
2020-11-20,9,rutifier
2020-11-21,7,rutifier
2020-11-22,9,rutifier
2020-11-23,9,rutifier
2020-11-24,12,rutifier
2020-11-25,13,rutifier
2020-11-26,5,rutifier
2020-11-27,11,rutifier
2020-11-28,11,rutifier
2020-11-29,8,rutifier
2020-11-30,13,rutifier
2020-12-01,11,rutifier
2020-12-02,16,rutifier
2020-12-03,11,rutifier
2020-12-04,10,rutifier
2020-12-05,10,rutifier
2020-12-06,7,rutifier
2020-12-07,9,rutifier
2020-12-08,3,rutifier
2020-12-09,16,rutifier
2020-12-10,12,rutifier
2020-12-11,13,rutifier
2020-12-12,8,rutifier
2020-12-13,13,rutifier
2020-12-14,10,rutifier
2020-12-15,8,rutifier
2020-12-16,40,rutifier
2020-12-17,15,rutifier
2020-12-18,10,rutifier
2020-12-19,8,rutifier
2020-12-20,9,rutifier
2020-12-21,10,rutifier
2020-12-22,17,rutifier
2020-12-23,9,rutifier
2020-12-24,8,rutifier
2020-12-25,8,rutifier
2020-12-26,7,rutifier
2020-12-27,6,rutifier
2020-12-28,14,rutifier
2020-12-29,8,rutifier
2020-12-30,11,rutifier
2020-12-31,8,rutifier
2021-01-01,9,rutifier
2021-01-02,9,rutifier
2021-01-03,12,rutifier
2021-01-04,9,rutifier
2021-01-05,8,rutifier
2021-01-06,10,rutifier
2021-01-07,8,rutifier
2021-01-08,7,rutifier
2021-01-09,8,rutifier
2021-01-10,11,rutifier
2021-01-11,10,rutifier
2021-01-12,11,rutifier
2021-01-13,21,rutifier
2021-01-14,14,rutifier
2021-01-15,11,rutifier
2021-01-16,6,rutifier
