date,count,package
2020-01-01,0,sanzo
2020-01-02,0,sanzo
2020-01-03,0,sanzo
2020-01-04,0,sanzo
2020-01-05,0,sanzo
2020-01-06,0,sanzo
2020-01-07,0,sanzo
2020-01-08,0,sanzo
2020-01-09,0,sanzo
2020-01-10,0,sanzo
2020-01-11,0,sanzo
2020-01-12,5,sanzo
2020-01-13,7,sanzo
2020-01-14,26,sanzo
2020-01-15,38,sanzo
2020-01-16,36,sanzo
2020-01-17,31,sanzo
2020-01-18,19,sanzo
2020-01-19,21,sanzo
2020-01-20,25,sanzo
2020-01-21,19,sanzo
2020-01-22,25,sanzo
2020-01-23,20,sanzo
2020-01-24,15,sanzo
2020-01-25,14,sanzo
2020-01-26,15,sanzo
2020-01-27,18,sanzo
2020-01-28,24,sanzo
2020-01-29,23,sanzo
2020-01-30,15,sanzo
2020-01-31,17,sanzo
2020-02-01,12,sanzo
2020-02-02,11,sanzo
2020-02-03,7,sanzo
2020-02-04,12,sanzo
2020-02-05,15,sanzo
2020-02-06,16,sanzo
2020-02-07,14,sanzo
2020-02-08,19,sanzo
2020-02-09,9,sanzo
2020-02-10,10,sanzo
2020-02-11,11,sanzo
2020-02-12,10,sanzo
2020-02-13,12,sanzo
2020-02-14,11,sanzo
2020-02-15,14,sanzo
2020-02-16,12,sanzo
2020-02-17,7,sanzo
2020-02-18,10,sanzo
2020-02-19,12,sanzo
2020-02-20,8,sanzo
2020-02-21,13,sanzo
2020-02-22,9,sanzo
2020-02-23,11,sanzo
2020-02-24,14,sanzo
2020-02-25,9,sanzo
2020-02-26,13,sanzo
2020-02-27,11,sanzo
2020-02-28,10,sanzo
2020-02-29,1,sanzo
2020-03-01,13,sanzo
2020-03-02,8,sanzo
2020-03-03,13,sanzo
2020-03-04,17,sanzo
2020-03-05,10,sanzo
2020-03-06,15,sanzo
2020-03-07,11,sanzo
2020-03-08,14,sanzo
2020-03-09,12,sanzo
2020-03-10,14,sanzo
2020-03-11,3,sanzo
2020-03-12,19,sanzo
2020-03-13,12,sanzo
2020-03-14,8,sanzo
2020-03-15,7,sanzo
2020-03-16,11,sanzo
2020-03-17,18,sanzo
2020-03-18,6,sanzo
2020-03-19,11,sanzo
2020-03-20,11,sanzo
2020-03-21,10,sanzo
2020-03-22,9,sanzo
2020-03-23,10,sanzo
2020-03-24,7,sanzo
2020-03-25,13,sanzo
2020-03-26,8,sanzo
2020-03-27,4,sanzo
2020-03-28,8,sanzo
2020-03-29,17,sanzo
2020-03-30,17,sanzo
2020-03-31,17,sanzo
2020-04-01,13,sanzo
2020-04-02,8,sanzo
2020-04-03,15,sanzo
2020-04-04,9,sanzo
2020-04-05,13,sanzo
2020-04-06,19,sanzo
2020-04-07,18,sanzo
2020-04-08,19,sanzo
2020-04-09,19,sanzo
2020-04-10,11,sanzo
2020-04-11,6,sanzo
2020-04-12,12,sanzo
2020-04-13,9,sanzo
2020-04-14,11,sanzo
2020-04-15,20,sanzo
2020-04-16,22,sanzo
2020-04-17,19,sanzo
2020-04-18,5,sanzo
2020-04-19,2,sanzo
2020-04-20,6,sanzo
2020-04-21,8,sanzo
2020-04-22,24,sanzo
2020-04-23,10,sanzo
2020-04-24,13,sanzo
2020-04-25,22,sanzo
2020-04-26,11,sanzo
2020-04-27,16,sanzo
2020-04-28,19,sanzo
2020-04-29,30,sanzo
2020-04-30,15,sanzo
2020-05-01,16,sanzo
2020-05-02,25,sanzo
2020-05-03,16,sanzo
2020-05-04,17,sanzo
2020-05-05,14,sanzo
2020-05-06,26,sanzo
2020-05-07,20,sanzo
2020-05-08,15,sanzo
2020-05-09,20,sanzo
2020-05-10,50,sanzo
2020-05-11,37,sanzo
2020-05-12,16,sanzo
2020-05-13,17,sanzo
2020-05-14,10,sanzo
2020-05-15,12,sanzo
2020-05-16,13,sanzo
2020-05-17,14,sanzo
2020-05-18,19,sanzo
2020-05-19,18,sanzo
2020-05-20,19,sanzo
2020-05-21,8,sanzo
2020-05-22,10,sanzo
2020-05-23,8,sanzo
2020-05-24,8,sanzo
2020-05-25,12,sanzo
2020-05-26,13,sanzo
2020-05-27,13,sanzo
2020-05-28,11,sanzo
2020-05-29,17,sanzo
2020-05-30,10,sanzo
2020-05-31,21,sanzo
2020-06-01,13,sanzo
2020-06-02,13,sanzo
2020-06-03,10,sanzo
2020-06-04,10,sanzo
2020-06-05,10,sanzo
2020-06-06,8,sanzo
2020-06-07,12,sanzo
2020-06-08,14,sanzo
2020-06-09,11,sanzo
2020-06-10,16,sanzo
2020-06-11,18,sanzo
2020-06-12,11,sanzo
2020-06-13,10,sanzo
2020-06-14,9,sanzo
2020-06-15,13,sanzo
2020-06-16,12,sanzo
2020-06-17,13,sanzo
2020-06-18,23,sanzo
2020-06-19,21,sanzo
2020-06-20,9,sanzo
2020-06-21,13,sanzo
2020-06-22,16,sanzo
2020-06-23,17,sanzo
2020-06-24,23,sanzo
2020-06-25,10,sanzo
2020-06-26,16,sanzo
2020-06-27,11,sanzo
2020-06-28,11,sanzo
2020-06-29,13,sanzo
2020-06-30,7,sanzo
2020-07-01,11,sanzo
2020-07-02,10,sanzo
2020-07-03,13,sanzo
2020-07-04,8,sanzo
2020-07-05,8,sanzo
2020-07-06,9,sanzo
2020-07-07,28,sanzo
2020-07-08,13,sanzo
2020-07-09,9,sanzo
2020-07-10,8,sanzo
2020-07-11,7,sanzo
2020-07-12,11,sanzo
2020-07-13,13,sanzo
2020-07-14,12,sanzo
2020-07-15,11,sanzo
2020-07-16,11,sanzo
2020-07-17,10,sanzo
2020-07-18,14,sanzo
2020-07-19,17,sanzo
2020-07-20,10,sanzo
2020-07-21,16,sanzo
2020-07-22,14,sanzo
2020-07-23,9,sanzo
2020-07-24,10,sanzo
2020-07-25,15,sanzo
2020-07-26,10,sanzo
2020-07-27,7,sanzo
2020-07-28,8,sanzo
2020-07-29,7,sanzo
2020-07-30,6,sanzo
2020-07-31,4,sanzo
2020-08-01,7,sanzo
2020-08-02,7,sanzo
2020-08-03,11,sanzo
2020-08-04,13,sanzo
2020-08-05,15,sanzo
2020-08-06,13,sanzo
2020-08-07,16,sanzo
2020-08-08,12,sanzo
2020-08-09,10,sanzo
2020-08-10,23,sanzo
2020-08-11,13,sanzo
2020-08-12,10,sanzo
2020-08-13,21,sanzo
2020-08-14,11,sanzo
2020-08-15,8,sanzo
2020-08-16,8,sanzo
2020-08-17,12,sanzo
2020-08-18,15,sanzo
2020-08-19,17,sanzo
2020-08-20,9,sanzo
2020-08-21,13,sanzo
2020-08-22,6,sanzo
2020-08-23,7,sanzo
2020-08-24,10,sanzo
2020-08-25,16,sanzo
2020-08-26,10,sanzo
2020-08-27,9,sanzo
2020-08-28,13,sanzo
2020-08-29,11,sanzo
2020-08-30,9,sanzo
2020-08-31,11,sanzo
2020-09-01,13,sanzo
2020-09-02,12,sanzo
2020-09-03,14,sanzo
2020-09-04,9,sanzo
2020-09-05,14,sanzo
2020-09-06,19,sanzo
2020-09-07,21,sanzo
2020-09-08,17,sanzo
2020-09-09,15,sanzo
2020-09-10,13,sanzo
2020-09-11,16,sanzo
2020-09-12,19,sanzo
2020-09-13,15,sanzo
2020-09-14,25,sanzo
2020-09-15,23,sanzo
2020-09-16,14,sanzo
2020-09-17,27,sanzo
2020-09-18,21,sanzo
2020-09-19,16,sanzo
2020-09-20,13,sanzo
2020-09-21,14,sanzo
2020-09-22,17,sanzo
2020-09-23,17,sanzo
2020-09-24,10,sanzo
2020-09-25,8,sanzo
2020-09-26,8,sanzo
2020-09-27,9,sanzo
2020-09-28,16,sanzo
2020-09-29,16,sanzo
2020-09-30,14,sanzo
2020-10-01,19,sanzo
2020-10-02,21,sanzo
2020-10-03,13,sanzo
2020-10-04,14,sanzo
2020-10-05,8,sanzo
2020-10-06,11,sanzo
2020-10-07,6,sanzo
2020-10-08,9,sanzo
2020-10-09,9,sanzo
2020-10-10,12,sanzo
2020-10-11,8,sanzo
2020-10-12,11,sanzo
2020-10-13,17,sanzo
2020-10-14,12,sanzo
2020-10-15,7,sanzo
2020-10-16,12,sanzo
2020-10-17,1,sanzo
2020-10-18,6,sanzo
2020-10-19,15,sanzo
2020-10-20,13,sanzo
2020-10-21,14,sanzo
2020-10-22,13,sanzo
2020-10-23,13,sanzo
2020-10-24,12,sanzo
2020-10-25,10,sanzo
2020-10-26,13,sanzo
2020-10-27,10,sanzo
2020-10-28,14,sanzo
2020-10-29,19,sanzo
2020-10-30,11,sanzo
2020-10-31,8,sanzo
2020-11-01,8,sanzo
2020-11-02,5,sanzo
2020-11-03,16,sanzo
2020-11-04,8,sanzo
2020-11-05,17,sanzo
2020-11-06,13,sanzo
2020-11-07,16,sanzo
2020-11-08,16,sanzo
2020-11-09,17,sanzo
2020-11-10,13,sanzo
2020-11-11,18,sanzo
2020-11-12,12,sanzo
2020-11-13,11,sanzo
2020-11-14,3,sanzo
2020-11-15,11,sanzo
2020-11-16,8,sanzo
2020-11-17,13,sanzo
2020-11-18,14,sanzo
2020-11-19,11,sanzo
2020-11-20,10,sanzo
2020-11-21,7,sanzo
2020-11-22,12,sanzo
2020-11-23,11,sanzo
2020-11-24,11,sanzo
2020-11-25,17,sanzo
2020-11-26,5,sanzo
2020-11-27,8,sanzo
2020-11-28,11,sanzo
2020-11-29,8,sanzo
2020-11-30,13,sanzo
2020-12-01,11,sanzo
2020-12-02,13,sanzo
2020-12-03,16,sanzo
2020-12-04,10,sanzo
2020-12-05,11,sanzo
2020-12-06,10,sanzo
2020-12-07,9,sanzo
2020-12-08,4,sanzo
2020-12-09,12,sanzo
2020-12-10,13,sanzo
2020-12-11,12,sanzo
2020-12-12,9,sanzo
2020-12-13,26,sanzo
2020-12-14,18,sanzo
2020-12-15,13,sanzo
2020-12-16,50,sanzo
2020-12-17,19,sanzo
2020-12-18,12,sanzo
2020-12-19,12,sanzo
2020-12-20,10,sanzo
2020-12-21,10,sanzo
2020-12-22,12,sanzo
2020-12-23,11,sanzo
2020-12-24,9,sanzo
2020-12-25,9,sanzo
2020-12-26,9,sanzo
2020-12-27,7,sanzo
2020-12-28,15,sanzo
2020-12-29,9,sanzo
2020-12-30,15,sanzo
2020-12-31,11,sanzo
2021-01-01,9,sanzo
2021-01-02,10,sanzo
2021-01-03,10,sanzo
2021-01-04,9,sanzo
2021-01-05,12,sanzo
2021-01-06,18,sanzo
2021-01-07,14,sanzo
2021-01-08,9,sanzo
2021-01-09,9,sanzo
2021-01-10,9,sanzo
2021-01-11,11,sanzo
2021-01-12,12,sanzo
2021-01-13,11,sanzo
2021-01-14,19,sanzo
2021-01-15,10,sanzo
2021-01-16,8,sanzo
2021-01-17,12,sanzo
2021-01-18,11,sanzo
2021-01-19,11,sanzo
2021-01-20,16,sanzo
2021-01-21,10,sanzo
2021-01-22,5,sanzo
2021-01-23,12,sanzo
2021-01-24,9,sanzo
2021-01-25,16,sanzo
2021-01-26,14,sanzo
2021-01-27,18,sanzo
2021-01-28,5,sanzo
2021-01-29,11,sanzo
2021-01-30,11,sanzo
2021-01-31,9,sanzo
2021-02-01,12,sanzo
2021-02-02,13,sanzo
2021-02-03,11,sanzo
2021-02-04,13,sanzo
2021-02-05,11,sanzo
2021-02-06,14,sanzo
2021-02-07,18,sanzo
2021-02-08,13,sanzo
