date,count,package
2020-01-01,0,sequence
2020-01-02,0,sequence
2020-01-03,0,sequence
2020-01-04,0,sequence
2020-01-05,0,sequence
2020-01-06,0,sequence
2020-01-07,0,sequence
2020-01-08,0,sequence
2020-01-09,0,sequence
2020-01-10,0,sequence
2020-01-11,0,sequence
2020-01-12,0,sequence
2020-01-13,0,sequence
2020-01-14,0,sequence
2020-01-15,0,sequence
2020-01-16,0,sequence
2020-01-17,0,sequence
2020-01-18,0,sequence
2020-01-19,0,sequence
2020-01-20,0,sequence
2020-01-21,0,sequence
2020-01-22,0,sequence
2020-01-23,0,sequence
2020-01-24,0,sequence
2020-01-25,0,sequence
2020-01-26,0,sequence
2020-01-27,0,sequence
2020-01-28,0,sequence
2020-01-29,0,sequence
2020-01-30,0,sequence
2020-01-31,0,sequence
2020-02-01,0,sequence
2020-02-02,0,sequence
2020-02-03,0,sequence
2020-02-04,0,sequence
2020-02-05,0,sequence
2020-02-06,0,sequence
2020-02-07,0,sequence
2020-02-08,0,sequence
2020-02-09,0,sequence
2020-02-10,0,sequence
2020-02-11,9,sequence
2020-02-12,10,sequence
2020-02-13,11,sequence
2020-02-14,11,sequence
2020-02-15,8,sequence
2020-02-16,18,sequence
2020-02-17,15,sequence
2020-02-18,25,sequence
2020-02-19,29,sequence
2020-02-20,21,sequence
2020-02-21,30,sequence
2020-02-22,27,sequence
2020-02-23,26,sequence
2020-02-24,28,sequence
2020-02-25,23,sequence
2020-02-26,28,sequence
2020-02-27,24,sequence
2020-02-28,22,sequence
2020-02-29,8,sequence
2020-03-01,27,sequence
2020-03-02,20,sequence
2020-03-03,24,sequence
2020-03-04,28,sequence
2020-03-05,21,sequence
2020-03-06,26,sequence
2020-03-07,22,sequence
2020-03-08,29,sequence
2020-03-09,23,sequence
2020-03-10,25,sequence
2020-03-11,3,sequence
2020-03-12,30,sequence
2020-03-13,24,sequence
2020-03-14,19,sequence
2020-03-15,16,sequence
2020-03-16,20,sequence
2020-03-17,22,sequence
2020-03-18,5,sequence
2020-03-19,22,sequence
2020-03-20,19,sequence
2020-03-21,19,sequence
2020-03-22,18,sequence
2020-03-23,19,sequence
2020-03-24,7,sequence
2020-03-25,21,sequence
2020-03-26,17,sequence
2020-03-27,13,sequence
2020-03-28,17,sequence
2020-03-29,26,sequence
2020-03-30,27,sequence
2020-03-31,26,sequence
2020-04-01,15,sequence
2020-04-02,7,sequence
2020-04-03,23,sequence
2020-04-04,18,sequence
2020-04-05,22,sequence
2020-04-06,28,sequence
2020-04-07,27,sequence
2020-04-08,28,sequence
2020-04-09,27,sequence
2020-04-10,19,sequence
2020-04-11,6,sequence
2020-04-12,21,sequence
2020-04-13,18,sequence
2020-04-14,19,sequence
2020-04-15,28,sequence
2020-04-16,8,sequence
2020-04-17,29,sequence
2020-04-18,5,sequence
2020-04-19,2,sequence
2020-04-20,7,sequence
2020-04-21,8,sequence
2020-04-22,36,sequence
2020-04-23,8,sequence
2020-04-24,25,sequence
2020-04-25,34,sequence
2020-04-26,11,sequence
2020-04-27,32,sequence
2020-04-28,32,sequence
2020-04-29,42,sequence
2020-04-30,25,sequence
2020-05-01,29,sequence
2020-05-02,40,sequence
2020-05-03,28,sequence
