date,count,package
2020-01-01,0,serpstatr
2020-01-02,0,serpstatr
2020-01-03,0,serpstatr
2020-01-04,0,serpstatr
2020-01-05,0,serpstatr
2020-01-06,0,serpstatr
2020-01-07,0,serpstatr
2020-01-08,0,serpstatr
2020-01-09,0,serpstatr
2020-01-10,0,serpstatr
2020-01-11,0,serpstatr
2020-01-12,0,serpstatr
2020-01-13,6,serpstatr
2020-01-14,5,serpstatr
2020-01-15,32,serpstatr
2020-01-16,43,serpstatr
2020-01-17,32,serpstatr
2020-01-18,22,serpstatr
2020-01-19,28,serpstatr
2020-01-20,28,serpstatr
2020-01-21,26,serpstatr
2020-01-22,23,serpstatr
2020-01-23,26,serpstatr
2020-01-24,18,serpstatr
2020-01-25,17,serpstatr
2020-01-26,18,serpstatr
2020-01-27,17,serpstatr
2020-01-28,27,serpstatr
2020-01-29,21,serpstatr
2020-01-30,15,serpstatr
2020-01-31,17,serpstatr
2020-02-01,13,serpstatr
2020-02-02,11,serpstatr
2020-02-03,7,serpstatr
2020-02-04,11,serpstatr
2020-02-05,16,serpstatr
2020-02-06,16,serpstatr
2020-02-07,13,serpstatr
2020-02-08,21,serpstatr
2020-02-09,9,serpstatr
2020-02-10,10,serpstatr
2020-02-11,11,serpstatr
2020-02-12,11,serpstatr
2020-02-13,12,serpstatr
2020-02-14,11,serpstatr
2020-02-15,9,serpstatr
2020-02-16,10,serpstatr
2020-02-17,7,serpstatr
2020-02-18,10,serpstatr
2020-02-19,13,serpstatr
2020-02-20,8,serpstatr
2020-02-21,12,serpstatr
2020-02-22,12,serpstatr
2020-02-23,11,serpstatr
2020-02-24,12,serpstatr
2020-02-25,9,serpstatr
2020-02-26,13,serpstatr
2020-02-27,11,serpstatr
2020-02-28,10,serpstatr
2020-02-29,5,serpstatr
2020-03-01,13,serpstatr
2020-03-02,8,serpstatr
2020-03-03,13,serpstatr
2020-03-04,21,serpstatr
2020-03-05,13,serpstatr
2020-03-06,16,serpstatr
2020-03-07,11,serpstatr
2020-03-08,14,serpstatr
2020-03-09,12,serpstatr
2020-03-10,14,serpstatr
2020-03-11,3,serpstatr
2020-03-12,19,serpstatr
2020-03-13,12,serpstatr
2020-03-14,8,serpstatr
2020-03-15,7,serpstatr
2020-03-16,11,serpstatr
2020-03-17,18,serpstatr
2020-03-18,5,serpstatr
2020-03-19,11,serpstatr
2020-03-20,11,serpstatr
2020-03-21,10,serpstatr
2020-03-22,9,serpstatr
2020-03-23,10,serpstatr
2020-03-24,7,serpstatr
2020-03-25,13,serpstatr
2020-03-26,8,serpstatr
2020-03-27,4,serpstatr
2020-03-28,8,serpstatr
2020-03-29,17,serpstatr
2020-03-30,17,serpstatr
2020-03-31,17,serpstatr
2020-04-01,13,serpstatr
2020-04-02,8,serpstatr
2020-04-03,15,serpstatr
2020-04-04,9,serpstatr
2020-04-05,13,serpstatr
2020-04-06,19,serpstatr
2020-04-07,18,serpstatr
2020-04-08,18,serpstatr
2020-04-09,18,serpstatr
2020-04-10,11,serpstatr
2020-04-11,6,serpstatr
2020-04-12,12,serpstatr
2020-04-13,10,serpstatr
2020-04-14,10,serpstatr
2020-04-15,21,serpstatr
2020-04-16,15,serpstatr
2020-04-17,20,serpstatr
2020-04-18,12,serpstatr
2020-04-19,3,serpstatr
2020-04-20,7,serpstatr
2020-04-21,8,serpstatr
2020-04-22,24,serpstatr
2020-04-23,9,serpstatr
2020-04-24,14,serpstatr
2020-04-25,22,serpstatr
2020-04-26,11,serpstatr
2020-04-27,16,serpstatr
2020-04-28,20,serpstatr
2020-04-29,30,serpstatr
2020-04-30,15,serpstatr
2020-05-01,16,serpstatr
2020-05-02,28,serpstatr
2020-05-03,16,serpstatr
2020-05-04,17,serpstatr
2020-05-05,17,serpstatr
2020-05-06,22,serpstatr
2020-05-07,18,serpstatr
2020-05-08,12,serpstatr
2020-05-09,20,serpstatr
2020-05-10,49,serpstatr
2020-05-11,37,serpstatr
2020-05-12,17,serpstatr
2020-05-13,15,serpstatr
2020-05-14,10,serpstatr
2020-05-15,23,serpstatr
2020-05-16,19,serpstatr
2020-05-17,42,serpstatr
2020-05-18,32,serpstatr
2020-05-19,35,serpstatr
2020-05-20,33,serpstatr
2020-05-21,21,serpstatr
2020-05-22,23,serpstatr
2020-05-23,25,serpstatr
2020-05-24,28,serpstatr
2020-05-25,25,serpstatr
2020-05-26,23,serpstatr
2020-05-27,24,serpstatr
2020-05-28,23,serpstatr
2020-05-29,17,serpstatr
2020-05-30,17,serpstatr
2020-05-31,29,serpstatr
2020-06-01,16,serpstatr
2020-06-02,15,serpstatr
2020-06-03,15,serpstatr
2020-06-04,13,serpstatr
2020-06-05,17,serpstatr
2020-06-06,11,serpstatr
2020-06-07,14,serpstatr
2020-06-08,17,serpstatr
2020-06-09,15,serpstatr
2020-06-10,29,serpstatr
2020-06-11,15,serpstatr
2020-06-12,15,serpstatr
2020-06-13,13,serpstatr
2020-06-14,17,serpstatr
2020-06-15,13,serpstatr
2020-06-16,15,serpstatr
2020-06-17,17,serpstatr
2020-06-18,33,serpstatr
2020-06-19,17,serpstatr
2020-06-20,13,serpstatr
2020-06-21,16,serpstatr
2020-06-22,20,serpstatr
2020-06-23,27,serpstatr
2020-06-24,17,serpstatr
2020-06-25,13,serpstatr
2020-06-26,19,serpstatr
2020-06-27,18,serpstatr
2020-06-28,18,serpstatr
2020-06-29,20,serpstatr
2020-06-30,13,serpstatr
2020-07-01,15,serpstatr
2020-07-02,14,serpstatr
2020-07-03,17,serpstatr
2020-07-04,18,serpstatr
2020-07-05,12,serpstatr
2020-07-06,19,serpstatr
2020-07-07,20,serpstatr
2020-07-08,20,serpstatr
2020-07-09,12,serpstatr
2020-07-10,12,serpstatr
2020-07-11,12,serpstatr
2020-07-12,18,serpstatr
2020-07-13,18,serpstatr
2020-07-14,17,serpstatr
2020-07-15,13,serpstatr
2020-07-16,19,serpstatr
2020-07-17,11,serpstatr
2020-07-18,15,serpstatr
2020-07-19,12,serpstatr
2020-07-20,13,serpstatr
2020-07-21,16,serpstatr
2020-07-22,15,serpstatr
2020-07-23,17,serpstatr
2020-07-24,15,serpstatr
2020-07-25,9,serpstatr
2020-07-26,14,serpstatr
2020-07-27,7,serpstatr
2020-07-28,10,serpstatr
2020-07-29,14,serpstatr
2020-07-30,8,serpstatr
2020-07-31,4,serpstatr
2020-08-01,0,serpstatr
2020-08-02,6,serpstatr
2020-08-03,14,serpstatr
2020-08-04,12,serpstatr
2020-08-05,16,serpstatr
2020-08-06,13,serpstatr
2020-08-07,16,serpstatr
2020-08-08,13,serpstatr
2020-08-09,12,serpstatr
2020-08-10,31,serpstatr
2020-08-11,10,serpstatr
2020-08-12,12,serpstatr
2020-08-13,15,serpstatr
2020-08-14,13,serpstatr
2020-08-15,8,serpstatr
2020-08-16,7,serpstatr
2020-08-17,12,serpstatr
2020-08-18,17,serpstatr
2020-08-19,25,serpstatr
2020-08-20,9,serpstatr
2020-08-21,14,serpstatr
2020-08-22,12,serpstatr
2020-08-23,7,serpstatr
