date,count,package
2020-01-01,0,shinyloadtest
2020-01-02,0,shinyloadtest
2020-01-03,0,shinyloadtest
2020-01-04,0,shinyloadtest
2020-01-05,0,shinyloadtest
2020-01-06,0,shinyloadtest
2020-01-07,0,shinyloadtest
2020-01-08,0,shinyloadtest
2020-01-09,13,shinyloadtest
2020-01-10,28,shinyloadtest
2020-01-11,26,shinyloadtest
2020-01-12,18,shinyloadtest
2020-01-13,35,shinyloadtest
2020-01-14,36,shinyloadtest
2020-01-15,38,shinyloadtest
2020-01-16,38,shinyloadtest
2020-01-17,32,shinyloadtest
2020-01-18,17,shinyloadtest
2020-01-19,18,shinyloadtest
2020-01-20,15,shinyloadtest
2020-01-21,18,shinyloadtest
2020-01-22,19,shinyloadtest
2020-01-23,13,shinyloadtest
2020-01-24,17,shinyloadtest
2020-01-25,12,shinyloadtest
2020-01-26,18,shinyloadtest
2020-01-27,17,shinyloadtest
2020-01-28,20,shinyloadtest
2020-01-29,18,shinyloadtest
2020-01-30,15,shinyloadtest
2020-01-31,15,shinyloadtest
2020-02-01,21,shinyloadtest
2020-02-02,13,shinyloadtest
2020-02-03,12,shinyloadtest
2020-02-04,16,shinyloadtest
2020-02-05,21,shinyloadtest
2020-02-06,18,shinyloadtest
2020-02-07,17,shinyloadtest
2020-02-08,24,shinyloadtest
2020-02-09,12,shinyloadtest
2020-02-10,14,shinyloadtest
2020-02-11,13,shinyloadtest
2020-02-12,19,shinyloadtest
2020-02-13,13,shinyloadtest
2020-02-14,17,shinyloadtest
2020-02-15,11,shinyloadtest
2020-02-16,12,shinyloadtest
2020-02-17,10,shinyloadtest
2020-02-18,13,shinyloadtest
2020-02-19,18,shinyloadtest
2020-02-20,10,shinyloadtest
2020-02-21,17,shinyloadtest
2020-02-22,11,shinyloadtest
2020-02-23,12,shinyloadtest
2020-02-24,26,shinyloadtest
2020-02-25,16,shinyloadtest
2020-02-26,23,shinyloadtest
2020-02-27,20,shinyloadtest
2020-02-28,16,shinyloadtest
2020-02-29,6,shinyloadtest
2020-03-01,13,shinyloadtest
2020-03-02,8,shinyloadtest
2020-03-03,15,shinyloadtest
2020-03-04,19,shinyloadtest
2020-03-05,11,shinyloadtest
2020-03-06,18,shinyloadtest
2020-03-07,12,shinyloadtest
2020-03-08,16,shinyloadtest
2020-03-09,17,shinyloadtest
2020-03-10,14,shinyloadtest
2020-03-11,4,shinyloadtest
2020-03-12,24,shinyloadtest
2020-03-13,13,shinyloadtest
2020-03-14,10,shinyloadtest
2020-03-15,8,shinyloadtest
2020-03-16,18,shinyloadtest
2020-03-17,15,shinyloadtest
2020-03-18,15,shinyloadtest
2020-03-19,12,shinyloadtest
2020-03-20,13,shinyloadtest
2020-03-21,11,shinyloadtest
2020-03-22,10,shinyloadtest
2020-03-23,20,shinyloadtest
2020-03-24,7,shinyloadtest
2020-03-25,13,shinyloadtest
2020-03-26,12,shinyloadtest
2020-03-27,5,shinyloadtest
2020-03-28,9,shinyloadtest
2020-03-29,16,shinyloadtest
2020-03-30,20,shinyloadtest
2020-03-31,28,shinyloadtest
2020-04-01,18,shinyloadtest
2020-04-02,10,shinyloadtest
2020-04-03,16,shinyloadtest
2020-04-04,10,shinyloadtest
2020-04-05,13,shinyloadtest
2020-04-06,25,shinyloadtest
2020-04-07,20,shinyloadtest
2020-04-08,21,shinyloadtest
2020-04-09,21,shinyloadtest
2020-04-10,12,shinyloadtest
2020-04-11,7,shinyloadtest
2020-04-12,13,shinyloadtest
2020-04-13,19,shinyloadtest
2020-04-14,18,shinyloadtest
2020-04-15,21,shinyloadtest
2020-04-16,21,shinyloadtest
2020-04-17,32,shinyloadtest
2020-04-18,5,shinyloadtest
2020-04-19,3,shinyloadtest
2020-04-20,10,shinyloadtest
2020-04-21,13,shinyloadtest
2020-04-22,30,shinyloadtest
2020-04-23,12,shinyloadtest
2020-04-24,39,shinyloadtest
2020-04-25,29,shinyloadtest
2020-04-26,15,shinyloadtest
2020-04-27,20,shinyloadtest
2020-04-28,31,shinyloadtest
2020-04-29,40,shinyloadtest
2020-04-30,24,shinyloadtest
2020-05-01,25,shinyloadtest
2020-05-02,30,shinyloadtest
2020-05-03,19,shinyloadtest
2020-05-04,29,shinyloadtest
2020-05-05,13,shinyloadtest
2020-05-06,26,shinyloadtest
2020-05-07,30,shinyloadtest
2020-05-08,17,shinyloadtest
2020-05-09,22,shinyloadtest
2020-05-10,54,shinyloadtest
2020-05-11,46,shinyloadtest
2020-05-12,24,shinyloadtest
2020-05-13,26,shinyloadtest
2020-05-14,21,shinyloadtest
2020-05-15,17,shinyloadtest
2020-05-16,15,shinyloadtest
2020-05-17,17,shinyloadtest
2020-05-18,27,shinyloadtest
2020-05-19,24,shinyloadtest
2020-05-20,20,shinyloadtest
2020-05-21,13,shinyloadtest
2020-05-22,12,shinyloadtest
2020-05-23,8,shinyloadtest
2020-05-24,8,shinyloadtest
2020-05-25,11,shinyloadtest
2020-05-26,19,shinyloadtest
2020-05-27,21,shinyloadtest
2020-05-28,22,shinyloadtest
2020-05-29,17,shinyloadtest
2020-05-30,21,shinyloadtest
2020-05-31,16,shinyloadtest
2020-06-01,20,shinyloadtest
2020-06-02,20,shinyloadtest
2020-06-03,13,shinyloadtest
2020-06-04,11,shinyloadtest
2020-06-05,18,shinyloadtest
2020-06-06,10,shinyloadtest
2020-06-07,14,shinyloadtest
2020-06-08,20,shinyloadtest
2020-06-09,18,shinyloadtest
2020-06-10,23,shinyloadtest
2020-06-11,22,shinyloadtest
2020-06-12,14,shinyloadtest
2020-06-13,10,shinyloadtest
2020-06-14,9,shinyloadtest
2020-06-15,19,shinyloadtest
2020-06-16,21,shinyloadtest
2020-06-17,16,shinyloadtest
2020-06-18,30,shinyloadtest
2020-06-19,22,shinyloadtest
2020-06-20,21,shinyloadtest
2020-06-21,13,shinyloadtest
2020-06-22,23,shinyloadtest
2020-06-23,22,shinyloadtest
2020-06-24,17,shinyloadtest
2020-06-25,21,shinyloadtest
2020-06-26,20,shinyloadtest
2020-06-27,16,shinyloadtest
2020-06-28,12,shinyloadtest
2020-06-29,20,shinyloadtest
2020-06-30,8,shinyloadtest
2020-07-01,16,shinyloadtest
2020-07-02,16,shinyloadtest
2020-07-03,13,shinyloadtest
