date,count,package
2020-01-01,0,sim2Dpredictr
2020-01-02,0,sim2Dpredictr
2020-01-03,0,sim2Dpredictr
2020-01-04,0,sim2Dpredictr
2020-01-05,0,sim2Dpredictr
2020-01-06,0,sim2Dpredictr
2020-01-07,0,sim2Dpredictr
2020-01-08,0,sim2Dpredictr
2020-01-09,0,sim2Dpredictr
2020-01-10,0,sim2Dpredictr
2020-01-11,0,sim2Dpredictr
2020-01-12,0,sim2Dpredictr
2020-01-13,0,sim2Dpredictr
2020-01-14,0,sim2Dpredictr
2020-01-15,0,sim2Dpredictr
2020-01-16,0,sim2Dpredictr
2020-01-17,0,sim2Dpredictr
2020-01-18,0,sim2Dpredictr
2020-01-19,0,sim2Dpredictr
2020-01-20,0,sim2Dpredictr
2020-01-21,0,sim2Dpredictr
2020-01-22,0,sim2Dpredictr
2020-01-23,0,sim2Dpredictr
2020-01-24,0,sim2Dpredictr
2020-01-25,0,sim2Dpredictr
2020-01-26,0,sim2Dpredictr
2020-01-27,0,sim2Dpredictr
2020-01-28,0,sim2Dpredictr
2020-01-29,0,sim2Dpredictr
2020-01-30,0,sim2Dpredictr
2020-01-31,0,sim2Dpredictr
2020-02-01,0,sim2Dpredictr
2020-02-02,0,sim2Dpredictr
2020-02-03,0,sim2Dpredictr
2020-02-04,0,sim2Dpredictr
2020-02-05,0,sim2Dpredictr
2020-02-06,0,sim2Dpredictr
2020-02-07,0,sim2Dpredictr
2020-02-08,0,sim2Dpredictr
2020-02-09,0,sim2Dpredictr
2020-02-10,0,sim2Dpredictr
2020-02-11,0,sim2Dpredictr
2020-02-12,0,sim2Dpredictr
2020-02-13,0,sim2Dpredictr
2020-02-14,0,sim2Dpredictr
2020-02-15,0,sim2Dpredictr
2020-02-16,0,sim2Dpredictr
2020-02-17,0,sim2Dpredictr
2020-02-18,0,sim2Dpredictr
2020-02-19,0,sim2Dpredictr
2020-02-20,0,sim2Dpredictr
2020-02-21,0,sim2Dpredictr
2020-02-22,0,sim2Dpredictr
2020-02-23,0,sim2Dpredictr
2020-02-24,0,sim2Dpredictr
2020-02-25,0,sim2Dpredictr
2020-02-26,0,sim2Dpredictr
2020-02-27,0,sim2Dpredictr
2020-02-28,0,sim2Dpredictr
2020-02-29,0,sim2Dpredictr
2020-03-01,0,sim2Dpredictr
2020-03-02,0,sim2Dpredictr
2020-03-03,0,sim2Dpredictr
2020-03-04,0,sim2Dpredictr
2020-03-05,0,sim2Dpredictr
2020-03-06,0,sim2Dpredictr
2020-03-07,0,sim2Dpredictr
2020-03-08,0,sim2Dpredictr
2020-03-09,0,sim2Dpredictr
2020-03-10,0,sim2Dpredictr
2020-03-11,0,sim2Dpredictr
2020-03-12,0,sim2Dpredictr
2020-03-13,0,sim2Dpredictr
2020-03-14,2,sim2Dpredictr
2020-03-15,7,sim2Dpredictr
2020-03-16,19,sim2Dpredictr
2020-03-17,19,sim2Dpredictr
2020-03-18,11,sim2Dpredictr
2020-03-19,13,sim2Dpredictr
2020-03-20,24,sim2Dpredictr
2020-03-21,20,sim2Dpredictr
2020-03-22,30,sim2Dpredictr
2020-03-23,28,sim2Dpredictr
2020-03-24,8,sim2Dpredictr
2020-03-25,28,sim2Dpredictr
2020-03-26,23,sim2Dpredictr
2020-03-27,14,sim2Dpredictr
2020-03-28,25,sim2Dpredictr
2020-03-29,28,sim2Dpredictr
2020-03-30,30,sim2Dpredictr
2020-03-31,26,sim2Dpredictr
2020-04-01,15,sim2Dpredictr
2020-04-02,7,sim2Dpredictr
2020-04-03,23,sim2Dpredictr
2020-04-04,15,sim2Dpredictr
2020-04-05,19,sim2Dpredictr
2020-04-06,22,sim2Dpredictr
2020-04-07,22,sim2Dpredictr
2020-04-08,21,sim2Dpredictr
2020-04-09,18,sim2Dpredictr
2020-04-10,10,sim2Dpredictr
2020-04-11,6,sim2Dpredictr
2020-04-12,12,sim2Dpredictr
2020-04-13,9,sim2Dpredictr
2020-04-14,11,sim2Dpredictr
2020-04-15,26,sim2Dpredictr
2020-04-16,13,sim2Dpredictr
2020-04-17,24,sim2Dpredictr
2020-04-18,5,sim2Dpredictr
2020-04-19,2,sim2Dpredictr
2020-04-20,6,sim2Dpredictr
2020-04-21,9,sim2Dpredictr
2020-04-22,24,sim2Dpredictr
2020-04-23,8,sim2Dpredictr
2020-04-24,13,sim2Dpredictr
2020-04-25,22,sim2Dpredictr
2020-04-26,11,sim2Dpredictr
2020-04-27,16,sim2Dpredictr
2020-04-28,20,sim2Dpredictr
2020-04-29,30,sim2Dpredictr
2020-04-30,12,sim2Dpredictr
2020-05-01,16,sim2Dpredictr
2020-05-02,28,sim2Dpredictr
2020-05-03,17,sim2Dpredictr
2020-05-04,18,sim2Dpredictr
2020-05-05,13,sim2Dpredictr
2020-05-06,23,sim2Dpredictr
2020-05-07,21,sim2Dpredictr
2020-05-08,14,sim2Dpredictr
2020-05-09,21,sim2Dpredictr
2020-05-10,48,sim2Dpredictr
2020-05-11,37,sim2Dpredictr
2020-05-12,14,sim2Dpredictr
2020-05-13,16,sim2Dpredictr
2020-05-14,10,sim2Dpredictr
2020-05-15,13,sim2Dpredictr
2020-05-16,13,sim2Dpredictr
2020-05-17,16,sim2Dpredictr
2020-05-18,19,sim2Dpredictr
2020-05-19,18,sim2Dpredictr
2020-05-20,15,sim2Dpredictr
2020-05-21,8,sim2Dpredictr
2020-05-22,10,sim2Dpredictr
2020-05-23,7,sim2Dpredictr
2020-05-24,7,sim2Dpredictr
2020-05-25,10,sim2Dpredictr
2020-05-26,13,sim2Dpredictr
2020-05-27,24,sim2Dpredictr
2020-05-28,13,sim2Dpredictr
2020-05-29,14,sim2Dpredictr
2020-05-30,10,sim2Dpredictr
2020-05-31,15,sim2Dpredictr
2020-06-01,11,sim2Dpredictr
2020-06-02,12,sim2Dpredictr
2020-06-03,11,sim2Dpredictr
2020-06-04,9,sim2Dpredictr
2020-06-05,10,sim2Dpredictr
2020-06-06,11,sim2Dpredictr
2020-06-07,12,sim2Dpredictr
2020-06-08,17,sim2Dpredictr
2020-06-09,12,sim2Dpredictr
2020-06-10,16,sim2Dpredictr
2020-06-11,19,sim2Dpredictr
2020-06-12,23,sim2Dpredictr
2020-06-13,10,sim2Dpredictr
2020-06-14,13,sim2Dpredictr
2020-06-15,8,sim2Dpredictr
2020-06-16,18,sim2Dpredictr
2020-06-17,12,sim2Dpredictr
2020-06-18,22,sim2Dpredictr
2020-06-19,14,sim2Dpredictr
2020-06-20,9,sim2Dpredictr
2020-06-21,13,sim2Dpredictr
2020-06-22,14,sim2Dpredictr
2020-06-23,17,sim2Dpredictr
2020-06-24,13,sim2Dpredictr
2020-06-25,16,sim2Dpredictr
2020-06-26,15,sim2Dpredictr
2020-06-27,12,sim2Dpredictr
2020-06-28,10,sim2Dpredictr
2020-06-29,13,sim2Dpredictr
2020-06-30,7,sim2Dpredictr
2020-07-01,14,sim2Dpredictr
2020-07-02,13,sim2Dpredictr
2020-07-03,13,sim2Dpredictr
2020-07-04,8,sim2Dpredictr
2020-07-05,14,sim2Dpredictr
2020-07-06,9,sim2Dpredictr
2020-07-07,18,sim2Dpredictr
2020-07-08,18,sim2Dpredictr
2020-07-09,10,sim2Dpredictr
2020-07-10,8,sim2Dpredictr
2020-07-11,7,sim2Dpredictr
2020-07-12,11,sim2Dpredictr
2020-07-13,13,sim2Dpredictr
2020-07-14,12,sim2Dpredictr
2020-07-15,13,sim2Dpredictr
2020-07-16,19,sim2Dpredictr
2020-07-17,14,sim2Dpredictr
2020-07-18,14,sim2Dpredictr
2020-07-19,12,sim2Dpredictr
2020-07-20,10,sim2Dpredictr
2020-07-21,17,sim2Dpredictr
2020-07-22,23,sim2Dpredictr
2020-07-23,9,sim2Dpredictr
2020-07-24,11,sim2Dpredictr
2020-07-25,14,sim2Dpredictr
2020-07-26,16,sim2Dpredictr
2020-07-27,8,sim2Dpredictr
2020-07-28,6,sim2Dpredictr
2020-07-29,7,sim2Dpredictr
2020-07-30,8,sim2Dpredictr
2020-07-31,4,sim2Dpredictr
2020-08-01,1,sim2Dpredictr
2020-08-02,9,sim2Dpredictr
2020-08-03,12,sim2Dpredictr
2020-08-04,17,sim2Dpredictr
2020-08-05,14,sim2Dpredictr
2020-08-06,13,sim2Dpredictr
2020-08-07,16,sim2Dpredictr
2020-08-08,12,sim2Dpredictr
2020-08-09,12,sim2Dpredictr
2020-08-10,20,sim2Dpredictr
2020-08-11,10,sim2Dpredictr
2020-08-12,12,sim2Dpredictr
2020-08-13,21,sim2Dpredictr
2020-08-14,12,sim2Dpredictr
2020-08-15,8,sim2Dpredictr
2020-08-16,10,sim2Dpredictr
2020-08-17,14,sim2Dpredictr
2020-08-18,19,sim2Dpredictr
2020-08-19,23,sim2Dpredictr
2020-08-20,9,sim2Dpredictr
2020-08-21,14,sim2Dpredictr
2020-08-22,9,sim2Dpredictr
2020-08-23,7,sim2Dpredictr
2020-08-24,11,sim2Dpredictr
2020-08-25,10,sim2Dpredictr
2020-08-26,10,sim2Dpredictr
2020-08-27,11,sim2Dpredictr
2020-08-28,9,sim2Dpredictr
2020-08-29,14,sim2Dpredictr
2020-08-30,12,sim2Dpredictr
2020-08-31,10,sim2Dpredictr
2020-09-01,21,sim2Dpredictr
2020-09-02,10,sim2Dpredictr
2020-09-03,13,sim2Dpredictr
2020-09-04,10,sim2Dpredictr
2020-09-05,12,sim2Dpredictr
2020-09-06,13,sim2Dpredictr
2020-09-07,21,sim2Dpredictr
2020-09-08,20,sim2Dpredictr
2020-09-09,15,sim2Dpredictr
2020-09-10,15,sim2Dpredictr
2020-09-11,19,sim2Dpredictr
2020-09-12,22,sim2Dpredictr
2020-09-13,15,sim2Dpredictr
2020-09-14,23,sim2Dpredictr
2020-09-15,18,sim2Dpredictr
2020-09-16,12,sim2Dpredictr
2020-09-17,25,sim2Dpredictr
2020-09-18,18,sim2Dpredictr
2020-09-19,10,sim2Dpredictr
2020-09-20,18,sim2Dpredictr
2020-09-21,13,sim2Dpredictr
2020-09-22,16,sim2Dpredictr
2020-09-23,19,sim2Dpredictr
2020-09-24,8,sim2Dpredictr
2020-09-25,10,sim2Dpredictr
2020-09-26,9,sim2Dpredictr
2020-09-27,9,sim2Dpredictr
2020-09-28,16,sim2Dpredictr
2020-09-29,15,sim2Dpredictr
2020-09-30,14,sim2Dpredictr
2020-10-01,12,sim2Dpredictr
2020-10-02,16,sim2Dpredictr
2020-10-03,13,sim2Dpredictr
2020-10-04,14,sim2Dpredictr
2020-10-05,9,sim2Dpredictr
2020-10-06,13,sim2Dpredictr
2020-10-07,9,sim2Dpredictr
2020-10-08,11,sim2Dpredictr
