date,count,package
2020-01-01,0,sped
2020-01-02,0,sped
2020-01-03,0,sped
2020-01-04,0,sped
2020-01-05,0,sped
2020-01-06,0,sped
2020-01-07,0,sped
2020-01-08,0,sped
2020-01-09,0,sped
2020-01-10,0,sped
2020-01-11,0,sped
2020-01-12,0,sped
2020-01-13,0,sped
2020-01-14,0,sped
2020-01-15,0,sped
2020-01-16,0,sped
2020-01-17,0,sped
2020-01-18,0,sped
2020-01-19,0,sped
2020-01-20,0,sped
2020-01-21,0,sped
2020-01-22,0,sped
2020-01-23,0,sped
2020-01-24,0,sped
2020-01-25,0,sped
2020-01-26,0,sped
2020-01-27,0,sped
2020-01-28,0,sped
2020-01-29,0,sped
2020-01-30,0,sped
2020-01-31,0,sped
2020-02-01,0,sped
2020-02-02,0,sped
2020-02-03,0,sped
2020-02-04,0,sped
2020-02-05,0,sped
2020-02-06,0,sped
2020-02-07,0,sped
2020-02-08,0,sped
2020-02-09,0,sped
2020-02-10,0,sped
2020-02-11,0,sped
2020-02-12,0,sped
2020-02-13,0,sped
2020-02-14,0,sped
2020-02-15,0,sped
2020-02-16,0,sped
2020-02-17,0,sped
2020-02-18,0,sped
2020-02-19,0,sped
2020-02-20,0,sped
2020-02-21,0,sped
2020-02-22,0,sped
2020-02-23,0,sped
2020-02-24,0,sped
2020-02-25,0,sped
2020-02-26,0,sped
2020-02-27,0,sped
2020-02-28,0,sped
2020-02-29,0,sped
2020-03-01,0,sped
2020-03-02,0,sped
2020-03-03,0,sped
2020-03-04,0,sped
2020-03-05,0,sped
2020-03-06,0,sped
2020-03-07,0,sped
2020-03-08,0,sped
2020-03-09,0,sped
2020-03-10,0,sped
2020-03-11,0,sped
2020-03-12,0,sped
2020-03-13,0,sped
2020-03-14,0,sped
2020-03-15,0,sped
2020-03-16,0,sped
2020-03-17,0,sped
2020-03-18,0,sped
2020-03-19,0,sped
2020-03-20,0,sped
2020-03-21,0,sped
2020-03-22,0,sped
2020-03-23,0,sped
2020-03-24,0,sped
2020-03-25,0,sped
2020-03-26,4,sped
2020-03-27,9,sped
2020-03-28,8,sped
2020-03-29,13,sped
2020-03-30,13,sped
2020-03-31,20,sped
2020-04-01,15,sped
2020-04-02,9,sped
2020-04-03,23,sped
2020-04-04,23,sped
2020-04-05,25,sped
2020-04-06,31,sped
2020-04-07,31,sped
2020-04-08,30,sped
2020-04-09,31,sped
2020-04-10,21,sped
2020-04-11,7,sped
2020-04-12,25,sped
2020-04-13,22,sped
2020-04-14,22,sped
2020-04-15,32,sped
2020-04-16,12,sped
2020-04-17,28,sped
2020-04-18,5,sped
2020-04-19,2,sped
2020-04-20,7,sped
2020-04-21,8,sped
2020-04-22,37,sped
2020-04-23,9,sped
2020-04-24,27,sped
2020-04-25,34,sped
2020-04-26,11,sped
2020-04-27,28,sped
2020-04-28,32,sped
2020-04-29,43,sped
2020-04-30,29,sped
2020-05-01,25,sped
2020-05-02,36,sped
2020-05-03,34,sped
2020-05-04,27,sped
2020-05-05,22,sped
2020-05-06,30,sped
2020-05-07,29,sped
2020-05-08,23,sped
2020-05-09,32,sped
2020-05-10,58,sped
2020-05-11,46,sped
2020-05-12,24,sped
2020-05-13,21,sped
2020-05-14,19,sped
2020-05-15,22,sped
2020-05-16,22,sped
2020-05-17,24,sped
2020-05-18,27,sped
2020-05-19,26,sped
2020-05-20,26,sped
2020-05-21,18,sped
2020-05-22,19,sped
2020-05-23,17,sped
2020-05-24,16,sped
2020-05-25,19,sped
2020-05-26,23,sped
2020-05-27,21,sped
2020-05-28,20,sped
2020-05-29,20,sped
2020-05-30,25,sped
2020-05-31,24,sped
2020-06-01,21,sped
2020-06-02,22,sped
2020-06-03,25,sped
2020-06-04,21,sped
2020-06-05,19,sped
2020-06-06,25,sped
2020-06-07,20,sped
2020-06-08,22,sped
2020-06-09,20,sped
2020-06-10,26,sped
2020-06-11,28,sped
2020-06-12,20,sped
2020-06-13,20,sped
2020-06-14,22,sped
2020-06-15,17,sped
2020-06-16,24,sped
2020-06-17,18,sped
2020-06-18,31,sped
2020-06-19,23,sped
2020-06-20,16,sped
2020-06-21,20,sped
2020-06-22,23,sped
2020-06-23,33,sped
2020-06-24,27,sped
2020-06-25,19,sped
2020-06-26,24,sped
2020-06-27,25,sped
2020-06-28,20,sped
2020-06-29,22,sped
2020-06-30,17,sped
2020-07-01,19,sped
2020-07-02,20,sped
2020-07-03,22,sped
2020-07-04,18,sped
2020-07-05,22,sped
2020-07-06,20,sped
2020-07-07,26,sped
2020-07-08,24,sped
2020-07-09,17,sped
2020-07-10,19,sped
2020-07-11,16,sped
2020-07-12,21,sped
2020-07-13,22,sped
2020-07-14,20,sped
2020-07-15,21,sped
2020-07-16,21,sped
2020-07-17,32,sped
2020-07-18,23,sped
2020-07-19,20,sped
2020-07-20,19,sped
2020-07-21,25,sped
2020-07-22,22,sped
2020-07-23,21,sped
2020-07-24,19,sped
2020-07-25,18,sped
2020-07-26,19,sped
2020-07-27,16,sped
2020-07-28,17,sped
2020-07-29,7,sped
2020-07-30,12,sped
2020-07-31,5,sped
2020-08-01,0,sped
2020-08-02,6,sped
2020-08-03,22,sped
2020-08-04,22,sped
2020-08-05,22,sped
2020-08-06,22,sped
2020-08-07,27,sped
2020-08-08,26,sped
2020-08-09,21,sped
2020-08-10,27,sped
2020-08-11,20,sped
2020-08-12,26,sped
2020-08-13,24,sped
2020-08-14,21,sped
2020-08-15,17,sped
2020-08-16,17,sped
2020-08-17,21,sped
2020-08-18,26,sped
2020-08-19,32,sped
2020-08-20,19,sped
2020-08-21,23,sped
2020-08-22,18,sped
2020-08-23,16,sped
2020-08-24,25,sped
2020-08-25,18,sped
2020-08-26,19,sped
2020-08-27,18,sped
2020-08-28,16,sped
2020-08-29,20,sped
2020-08-30,24,sped
2020-08-31,20,sped
2020-09-01,24,sped
2020-09-02,19,sped
2020-09-03,26,sped
2020-09-04,18,sped
2020-09-05,31,sped
2020-09-06,22,sped
2020-09-07,29,sped
2020-09-08,28,sped
2020-09-09,24,sped
2020-09-10,13,sped
2020-09-11,25,sped
2020-09-12,28,sped
2020-09-13,24,sped
2020-09-14,32,sped
2020-09-15,26,sped
2020-09-16,18,sped
2020-09-17,40,sped
2020-09-18,28,sped
2020-09-19,18,sped
2020-09-20,27,sped
2020-09-21,23,sped
2020-09-22,26,sped
2020-09-23,28,sped
2020-09-24,10,sped
2020-09-25,16,sped
2020-09-26,18,sped
2020-09-27,18,sped
2020-09-28,25,sped
2020-09-29,30,sped
2020-09-30,23,sped
2020-10-01,21,sped
2020-10-02,23,sped
2020-10-03,19,sped
2020-10-04,25,sped
2020-10-05,17,sped
2020-10-06,20,sped
2020-10-07,18,sped
2020-10-08,19,sped
2020-10-09,17,sped
2020-10-10,21,sped
2020-10-11,29,sped
2020-10-12,16,sped
2020-10-13,17,sped
2020-10-14,21,sped
2020-10-15,17,sped
2020-10-16,20,sped
2020-10-17,1,sped
2020-10-18,15,sped
2020-10-19,25,sped
2020-10-20,21,sped
2020-10-21,21,sped
2020-10-22,23,sped
2020-10-23,25,sped
2020-10-24,20,sped
2020-10-25,16,sped
2020-10-26,20,sped
2020-10-27,20,sped
2020-10-28,22,sped
2020-10-29,29,sped
2020-10-30,16,sped
2020-10-31,11,sped
2020-11-01,14,sped
2020-11-02,8,sped
2020-11-03,28,sped
2020-11-04,13,sped
2020-11-05,27,sped
2020-11-06,23,sped
2020-11-07,22,sped
2020-11-08,21,sped
2020-11-09,30,sped
2020-11-10,22,sped
2020-11-11,31,sped
2020-11-12,22,sped
2020-11-13,20,sped
2020-11-14,15,sped
2020-11-15,19,sped
2020-11-16,17,sped
2020-11-17,24,sped
2020-11-18,22,sped
2020-11-19,20,sped
2020-11-20,17,sped
2020-11-21,17,sped
2020-11-22,17,sped
2020-11-23,17,sped
2020-11-24,23,sped
2020-11-25,22,sped
2020-11-26,4,sped
2020-11-27,21,sped
2020-11-28,19,sped
2020-11-29,20,sped
2020-11-30,21,sped
2020-12-01,23,sped
2020-12-02,23,sped
2020-12-03,27,sped
2020-12-04,19,sped
2020-12-05,19,sped
2020-12-06,16,sped
2020-12-07,18,sped
2020-12-08,4,sped
2020-12-09,20,sped
2020-12-10,21,sped
2020-12-11,25,sped
2020-12-12,17,sped
2020-12-13,20,sped
2020-12-14,19,sped
2020-12-15,17,sped
2020-12-16,23,sped
2020-12-17,23,sped
2020-12-18,21,sped
2020-12-19,17,sped
2020-12-20,18,sped
2020-12-21,17,sped
2020-12-22,20,sped
2020-12-23,21,sped
2020-12-24,17,sped
2020-12-25,16,sped
2020-12-26,14,sped
2020-12-27,15,sped
2020-12-28,22,sped
2020-12-29,19,sped
2020-12-30,19,sped
2020-12-31,18,sped
2021-01-01,16,sped
2021-01-02,18,sped
2021-01-03,18,sped
2021-01-04,17,sped
2021-01-05,20,sped
2021-01-06,19,sped
2021-01-07,18,sped
2021-01-08,22,sped
2021-01-09,16,sped
2021-01-10,16,sped
2021-01-11,23,sped
2021-01-12,26,sped
2021-01-13,18,sped
2021-01-14,23,sped
2021-01-15,18,sped
2021-01-16,12,sped
2021-01-17,19,sped
2021-01-18,15,sped
2021-01-19,18,sped
2021-01-20,20,sped
2021-01-21,18,sped
2021-01-22,2,sped
2021-01-23,17,sped
2021-01-24,7,sped
2021-01-25,24,sped
2021-01-26,6,sped
2021-01-27,24,sped
2021-01-28,5,sped
2021-01-29,21,sped
2021-01-30,21,sped
2021-01-31,16,sped
2021-02-01,19,sped
2021-02-02,21,sped
2021-02-03,18,sped
2021-02-04,20,sped
2021-02-05,8,sped
2021-02-06,20,sped
2021-02-07,27,sped
2021-02-08,15,sped
2021-02-09,21,sped
2021-02-10,20,sped
2021-02-11,27,sped
2021-02-12,22,sped
2021-02-13,21,sped
2021-02-14,6,sped
2021-02-15,18,sped
2021-02-16,12,sped
2021-02-17,17,sped
2021-02-18,22,sped
2021-02-19,23,sped
2021-02-20,19,sped
2021-02-21,18,sped
2021-02-22,32,sped
2021-02-23,8,sped
2021-02-24,31,sped
2021-02-25,27,sped
2021-02-26,25,sped
2021-02-27,19,sped
2021-02-28,17,sped
2021-03-01,18,sped
2021-03-02,18,sped
2021-03-03,20,sped
2021-03-04,22,sped
2021-03-05,19,sped
2021-03-06,18,sped
2021-03-07,18,sped
2021-03-08,25,sped
2021-03-09,20,sped
2021-03-10,19,sped
2021-03-11,19,sped
2021-03-12,16,sped
2021-03-13,20,sped
2021-03-14,18,sped
2021-03-15,16,sped
2021-03-16,21,sped
2021-03-17,22,sped
2021-03-18,21,sped
2021-03-19,2,sped
2021-03-20,17,sped
2021-03-21,2,sped
2021-03-22,17,sped
2021-03-23,5,sped
2021-03-24,25,sped
2021-03-25,5,sped
2021-03-26,21,sped
2021-03-27,2,sped
2021-03-28,21,sped
2021-03-29,5,sped
2021-03-30,20,sped
2021-03-31,5,sped
2021-04-01,23,sped
2021-04-02,1,sped
2021-04-03,21,sped
2021-04-04,6,sped
2021-04-05,19,sped
2021-04-06,3,sped
2021-04-07,22,sped
2021-04-08,20,sped
2021-04-09,12,sped
2021-04-10,20,sped
2021-04-11,7,sped
2021-04-12,24,sped
2021-04-13,10,sped
2021-04-14,20,sped
2021-04-15,7,sped
2021-04-16,22,sped
2021-04-17,3,sped
2021-04-18,21,sped
2021-04-19,6,sped
2021-04-20,22,sped
2021-04-21,12,sped
2021-04-22,24,sped
2021-04-23,8,sped
2021-04-24,20,sped
2021-04-25,5,sped
2021-04-26,18,sped
2021-04-27,16,sped
2021-04-28,26,sped
2021-04-29,7,sped
2021-04-30,7,sped
2021-05-01,18,sped
2021-05-02,7,sped
2021-05-03,22,sped
2021-05-04,20,sped
2021-05-05,7,sped
2021-05-06,23,sped
2021-05-07,6,sped
2021-05-08,15,sped
2021-05-09,1,sped
2021-05-10,20,sped
2021-05-11,13,sped
2021-05-12,26,sped
2021-05-13,8,sped
2021-05-14,18,sped
2021-05-15,3,sped
2021-05-16,16,sped
2021-05-17,5,sped
2021-05-18,24,sped
2021-05-19,13,sped
2021-05-20,25,sped
2021-05-21,13,sped
2021-05-22,26,sped
2021-05-23,11,sped
2021-05-24,8,sped
2021-05-25,22,sped
2021-05-26,6,sped
2021-05-27,6,sped
2021-05-28,15,sped
2021-05-29,0,sped
2021-05-30,18,sped
2021-05-31,10,sped
2021-06-01,13,sped
2021-06-02,6,sped
2021-06-03,15,sped
2021-06-04,3,sped
2021-06-05,4,sped
2021-06-06,20,sped
2021-06-07,2,sped
2021-06-08,19,sped
2021-06-09,7,sped
