date,count,package
2020-01-01,0,tbma
2020-01-02,0,tbma
2020-01-03,0,tbma
2020-01-04,0,tbma
2020-01-05,0,tbma
2020-01-06,0,tbma
2020-01-07,0,tbma
2020-01-08,0,tbma
2020-01-09,0,tbma
2020-01-10,0,tbma
2020-01-11,0,tbma
2020-01-12,0,tbma
2020-01-13,0,tbma
2020-01-14,0,tbma
2020-01-15,0,tbma
2020-01-16,0,tbma
2020-01-17,0,tbma
2020-01-18,0,tbma
2020-01-19,0,tbma
2020-01-20,0,tbma
2020-01-21,0,tbma
2020-01-22,0,tbma
2020-01-23,0,tbma
2020-01-24,0,tbma
2020-01-25,0,tbma
2020-01-26,0,tbma
2020-01-27,0,tbma
2020-01-28,0,tbma
2020-01-29,0,tbma
2020-01-30,0,tbma
2020-01-31,0,tbma
2020-02-01,0,tbma
2020-02-02,0,tbma
2020-02-03,0,tbma
2020-02-04,0,tbma
2020-02-05,0,tbma
2020-02-06,0,tbma
2020-02-07,0,tbma
2020-02-08,0,tbma
2020-02-09,0,tbma
2020-02-10,0,tbma
2020-02-11,0,tbma
2020-02-12,0,tbma
2020-02-13,0,tbma
2020-02-14,0,tbma
2020-02-15,0,tbma
2020-02-16,0,tbma
2020-02-17,0,tbma
2020-02-18,0,tbma
2020-02-19,0,tbma
2020-02-20,0,tbma
2020-02-21,0,tbma
2020-02-22,0,tbma
2020-02-23,0,tbma
2020-02-24,0,tbma
2020-02-25,0,tbma
2020-02-26,0,tbma
2020-02-27,0,tbma
2020-02-28,0,tbma
2020-02-29,0,tbma
2020-03-01,0,tbma
2020-03-02,0,tbma
2020-03-03,0,tbma
2020-03-04,0,tbma
2020-03-05,0,tbma
2020-03-06,0,tbma
2020-03-07,0,tbma
2020-03-08,0,tbma
2020-03-09,0,tbma
2020-03-10,0,tbma
2020-03-11,0,tbma
2020-03-12,0,tbma
2020-03-13,0,tbma
2020-03-14,0,tbma
2020-03-15,0,tbma
2020-03-16,0,tbma
2020-03-17,0,tbma
2020-03-18,0,tbma
2020-03-19,0,tbma
2020-03-20,0,tbma
2020-03-21,0,tbma
2020-03-22,0,tbma
2020-03-23,0,tbma
2020-03-24,0,tbma
2020-03-25,0,tbma
2020-03-26,0,tbma
2020-03-27,0,tbma
2020-03-28,0,tbma
2020-03-29,0,tbma
2020-03-30,0,tbma
2020-03-31,0,tbma
2020-04-01,0,tbma
2020-04-02,0,tbma
2020-04-03,0,tbma
2020-04-04,0,tbma
2020-04-05,0,tbma
2020-04-06,14,tbma
2020-04-07,13,tbma
2020-04-08,22,tbma
2020-04-09,12,tbma
2020-04-10,11,tbma
2020-04-11,7,tbma
2020-04-12,15,tbma
2020-04-13,12,tbma
2020-04-14,11,tbma
2020-04-15,22,tbma
2020-04-16,14,tbma
2020-04-17,25,tbma
2020-04-18,6,tbma
2020-04-19,1,tbma
2020-04-20,8,tbma
2020-04-21,11,tbma
2020-04-22,36,tbma
2020-04-23,9,tbma
2020-04-24,20,tbma
2020-04-25,21,tbma
2020-04-26,18,tbma
2020-04-27,19,tbma
2020-04-28,20,tbma
2020-04-29,32,tbma
2020-04-30,15,tbma
2020-05-01,16,tbma
2020-05-02,27,tbma
2020-05-03,25,tbma
2020-05-04,27,tbma
2020-05-05,22,tbma
2020-05-06,21,tbma
2020-05-07,19,tbma
2020-05-08,13,tbma
2020-05-09,22,tbma
2020-05-10,46,tbma
2020-05-11,39,tbma
2020-05-12,13,tbma
2020-05-13,13,tbma
2020-05-14,10,tbma
2020-05-15,12,tbma
2020-05-16,13,tbma
2020-05-17,15,tbma
2020-05-18,17,tbma
2020-05-19,16,tbma
2020-05-20,14,tbma
2020-05-21,8,tbma
2020-05-22,10,tbma
2020-05-23,14,tbma
2020-05-24,4,tbma
2020-05-25,8,tbma
2020-05-26,14,tbma
2020-05-27,12,tbma
2020-05-28,17,tbma
2020-05-29,17,tbma
2020-05-30,10,tbma
2020-05-31,14,tbma
2020-06-01,12,tbma
2020-06-02,12,tbma
2020-06-03,10,tbma
2020-06-04,10,tbma
2020-06-05,10,tbma
2020-06-06,10,tbma
2020-06-07,12,tbma
2020-06-08,19,tbma
2020-06-09,17,tbma
2020-06-10,23,tbma
2020-06-11,12,tbma
2020-06-12,10,tbma
2020-06-13,11,tbma
2020-06-14,13,tbma
2020-06-15,8,tbma
2020-06-16,17,tbma
2020-06-17,12,tbma
2020-06-18,22,tbma
2020-06-19,14,tbma
2020-06-20,7,tbma
2020-06-21,10,tbma
2020-06-22,15,tbma
2020-06-23,23,tbma
2020-06-24,11,tbma
2020-06-25,11,tbma
2020-06-26,16,tbma
2020-06-27,10,tbma
2020-06-28,11,tbma
2020-06-29,13,tbma
2020-06-30,7,tbma
2020-07-01,10,tbma
2020-07-02,12,tbma
2020-07-03,12,tbma
2020-07-04,16,tbma
2020-07-05,13,tbma
2020-07-06,9,tbma
2020-07-07,16,tbma
2020-07-08,12,tbma
2020-07-09,9,tbma
2020-07-10,9,tbma
2020-07-11,7,tbma
2020-07-12,12,tbma
2020-07-13,12,tbma
2020-07-14,12,tbma
2020-07-15,12,tbma
2020-07-16,24,tbma
2020-07-17,10,tbma
2020-07-18,14,tbma
2020-07-19,11,tbma
2020-07-20,14,tbma
2020-07-21,18,tbma
2020-07-22,12,tbma
2020-07-23,9,tbma
2020-07-24,10,tbma
2020-07-25,14,tbma
2020-07-26,11,tbma
2020-07-27,8,tbma
2020-07-28,14,tbma
2020-07-29,7,tbma
2020-07-30,7,tbma
2020-07-31,4,tbma
2020-08-01,0,tbma
2020-08-02,4,tbma
2020-08-03,11,tbma
2020-08-04,12,tbma
2020-08-05,14,tbma
2020-08-06,13,tbma
2020-08-07,20,tbma
2020-08-08,14,tbma
2020-08-09,12,tbma
2020-08-10,23,tbma
2020-08-11,10,tbma
2020-08-12,10,tbma
2020-08-13,13,tbma
2020-08-14,13,tbma
2020-08-15,8,tbma
2020-08-16,7,tbma
2020-08-17,12,tbma
2020-08-18,16,tbma
2020-08-19,23,tbma
2020-08-20,8,tbma
2020-08-21,13,tbma
2020-08-22,15,tbma
2020-08-23,7,tbma
2020-08-24,20,tbma
2020-08-25,10,tbma
2020-08-26,10,tbma
2020-08-27,9,tbma
2020-08-28,8,tbma
2020-08-29,12,tbma
2020-08-30,9,tbma
2020-08-31,10,tbma
2020-09-01,14,tbma
2020-09-02,11,tbma
2020-09-03,23,tbma
2020-09-04,10,tbma
2020-09-05,12,tbma
2020-09-06,14,tbma
2020-09-07,23,tbma
2020-09-08,16,tbma
2020-09-09,15,tbma
2020-09-10,13,tbma
2020-09-11,22,tbma
2020-09-12,19,tbma
2020-09-13,15,tbma
2020-09-14,25,tbma
2020-09-15,22,tbma
2020-09-16,11,tbma
