date,count,package
2020-01-01,0,tergmLite
2020-01-02,0,tergmLite
2020-01-03,0,tergmLite
2020-01-04,0,tergmLite
2020-01-05,0,tergmLite
2020-01-06,0,tergmLite
2020-01-07,0,tergmLite
2020-01-08,0,tergmLite
2020-01-09,0,tergmLite
2020-01-10,0,tergmLite
2020-01-11,0,tergmLite
2020-01-12,0,tergmLite
2020-01-13,0,tergmLite
2020-01-14,0,tergmLite
2020-01-15,0,tergmLite
2020-01-16,0,tergmLite
2020-01-17,0,tergmLite
2020-01-18,0,tergmLite
2020-01-19,0,tergmLite
2020-01-20,0,tergmLite
2020-01-21,0,tergmLite
2020-01-22,0,tergmLite
2020-01-23,0,tergmLite
2020-01-24,0,tergmLite
2020-01-25,0,tergmLite
2020-01-26,0,tergmLite
2020-01-27,0,tergmLite
2020-01-28,0,tergmLite
2020-01-29,0,tergmLite
2020-01-30,0,tergmLite
2020-01-31,0,tergmLite
2020-02-01,0,tergmLite
2020-02-02,0,tergmLite
2020-02-03,0,tergmLite
2020-02-04,0,tergmLite
2020-02-05,0,tergmLite
2020-02-06,0,tergmLite
2020-02-07,0,tergmLite
2020-02-08,0,tergmLite
2020-02-09,0,tergmLite
2020-02-10,0,tergmLite
2020-02-11,0,tergmLite
2020-02-12,0,tergmLite
2020-02-13,0,tergmLite
2020-02-14,0,tergmLite
2020-02-15,0,tergmLite
2020-02-16,0,tergmLite
2020-02-17,0,tergmLite
2020-02-18,0,tergmLite
2020-02-19,0,tergmLite
2020-02-20,0,tergmLite
2020-02-21,0,tergmLite
2020-02-22,0,tergmLite
2020-02-23,0,tergmLite
2020-02-24,0,tergmLite
2020-02-25,0,tergmLite
2020-02-26,0,tergmLite
2020-02-27,0,tergmLite
2020-02-28,0,tergmLite
2020-02-29,2,tergmLite
2020-03-01,8,tergmLite
2020-03-02,18,tergmLite
2020-03-03,23,tergmLite
2020-03-04,22,tergmLite
2020-03-05,25,tergmLite
2020-03-06,26,tergmLite
2020-03-07,17,tergmLite
2020-03-08,17,tergmLite
2020-03-09,16,tergmLite
2020-03-10,17,tergmLite
2020-03-11,4,tergmLite
2020-03-12,29,tergmLite
2020-03-13,19,tergmLite
2020-03-14,16,tergmLite
2020-03-15,17,tergmLite
2020-03-16,23,tergmLite
2020-03-17,17,tergmLite
2020-03-18,37,tergmLite
2020-03-19,34,tergmLite
2020-03-20,18,tergmLite
2020-03-21,14,tergmLite
2020-03-22,13,tergmLite
2020-03-23,11,tergmLite
2020-03-24,21,tergmLite
2020-03-25,11,tergmLite
2020-03-26,11,tergmLite
2020-03-27,18,tergmLite
2020-03-28,10,tergmLite
2020-03-29,17,tergmLite
2020-03-30,24,tergmLite
2020-03-31,21,tergmLite
2020-04-01,12,tergmLite
2020-04-02,11,tergmLite
2020-04-03,20,tergmLite
2020-04-04,10,tergmLite
2020-04-05,16,tergmLite
2020-04-06,20,tergmLite
2020-04-07,21,tergmLite
2020-04-08,18,tergmLite
2020-04-09,24,tergmLite
2020-04-10,16,tergmLite
2020-04-11,7,tergmLite
2020-04-12,12,tergmLite
2020-04-13,17,tergmLite
2020-04-14,35,tergmLite
2020-04-15,32,tergmLite
2020-04-16,9,tergmLite
2020-04-17,26,tergmLite
2020-04-18,6,tergmLite
2020-04-19,3,tergmLite
2020-04-20,8,tergmLite
2020-04-21,10,tergmLite
2020-04-22,24,tergmLite
2020-04-23,7,tergmLite
2020-04-24,19,tergmLite
2020-04-25,28,tergmLite
2020-04-26,19,tergmLite
2020-04-27,28,tergmLite
2020-04-28,24,tergmLite
2020-04-29,35,tergmLite
2020-04-30,19,tergmLite
2020-05-01,21,tergmLite
2020-05-02,30,tergmLite
2020-05-03,26,tergmLite
2020-05-04,28,tergmLite
2020-05-05,26,tergmLite
2020-05-06,22,tergmLite
2020-05-07,23,tergmLite
2020-05-08,13,tergmLite
2020-05-09,22,tergmLite
2020-05-10,47,tergmLite
2020-05-11,38,tergmLite
2020-05-12,16,tergmLite
2020-05-13,17,tergmLite
2020-05-14,11,tergmLite
2020-05-15,15,tergmLite
2020-05-16,13,tergmLite
2020-05-17,15,tergmLite
2020-05-18,24,tergmLite
2020-05-19,20,tergmLite
2020-05-20,13,tergmLite
2020-05-21,10,tergmLite
2020-05-22,10,tergmLite
2020-05-23,10,tergmLite
2020-05-24,10,tergmLite
2020-05-25,11,tergmLite
2020-05-26,44,tergmLite
2020-05-27,12,tergmLite
2020-05-28,12,tergmLite
2020-05-29,13,tergmLite
2020-05-30,10,tergmLite
2020-05-31,15,tergmLite
2020-06-01,23,tergmLite
2020-06-02,13,tergmLite
2020-06-03,10,tergmLite
2020-06-04,17,tergmLite
2020-06-05,13,tergmLite
2020-06-06,9,tergmLite
2020-06-07,18,tergmLite
2020-06-08,14,tergmLite
2020-06-09,19,tergmLite
2020-06-10,17,tergmLite
2020-06-11,16,tergmLite
2020-06-12,10,tergmLite
2020-06-13,25,tergmLite
2020-06-14,13,tergmLite
2020-06-15,12,tergmLite
2020-06-16,12,tergmLite
2020-06-17,12,tergmLite
2020-06-18,22,tergmLite
2020-06-19,15,tergmLite
2020-06-20,15,tergmLite
2020-06-21,12,tergmLite
2020-06-22,15,tergmLite
2020-06-23,17,tergmLite
2020-06-24,11,tergmLite
2020-06-25,9,tergmLite
2020-06-26,17,tergmLite
2020-06-27,12,tergmLite
2020-06-28,11,tergmLite
2020-06-29,13,tergmLite
2020-06-30,7,tergmLite
2020-07-01,18,tergmLite
2020-07-02,18,tergmLite
2020-07-03,12,tergmLite
2020-07-04,10,tergmLite
2020-07-05,7,tergmLite
2020-07-06,10,tergmLite
2020-07-07,18,tergmLite
2020-07-08,29,tergmLite
2020-07-09,9,tergmLite
2020-07-10,11,tergmLite
2020-07-11,15,tergmLite
2020-07-12,11,tergmLite
2020-07-13,12,tergmLite
2020-07-14,15,tergmLite
2020-07-15,16,tergmLite
2020-07-16,13,tergmLite
2020-07-17,12,tergmLite
2020-07-18,14,tergmLite
2020-07-19,18,tergmLite
2020-07-20,12,tergmLite
2020-07-21,16,tergmLite
2020-07-22,29,tergmLite
2020-07-23,47,tergmLite
2020-07-24,58,tergmLite
2020-07-25,45,tergmLite
2020-07-26,47,tergmLite
2020-07-27,34,tergmLite
2020-07-28,24,tergmLite
2020-07-29,19,tergmLite
2020-07-30,12,tergmLite
2020-07-31,12,tergmLite
2020-08-01,0,tergmLite
2020-08-02,9,tergmLite
2020-08-03,28,tergmLite
2020-08-04,20,tergmLite
2020-08-05,100,tergmLite
2020-08-06,100,tergmLite
2020-08-07,70,tergmLite
2020-08-08,95,tergmLite
2020-08-09,61,tergmLite
2020-08-10,57,tergmLite
2020-08-11,84,tergmLite
2020-08-12,67,tergmLite
2020-08-13,46,tergmLite
2020-08-14,61,tergmLite
2020-08-15,31,tergmLite
2020-08-16,36,tergmLite
2020-08-17,88,tergmLite
2020-08-18,65,tergmLite
2020-08-19,54,tergmLite
2020-08-20,35,tergmLite
2020-08-21,52,tergmLite
2020-08-22,24,tergmLite
2020-08-23,34,tergmLite
2020-08-24,56,tergmLite
2020-08-25,55,tergmLite
2020-08-26,48,tergmLite
2020-08-27,40,tergmLite
2020-08-28,38,tergmLite
2020-08-29,39,tergmLite
2020-08-30,28,tergmLite
2020-08-31,42,tergmLite
2020-09-01,53,tergmLite
2020-09-02,53,tergmLite
2020-09-03,57,tergmLite
2020-09-04,34,tergmLite
2020-09-05,38,tergmLite
2020-09-06,42,tergmLite
2020-09-07,62,tergmLite
2020-09-08,53,tergmLite
2020-09-09,69,tergmLite
