date,count,package
2020-01-01,0,terra
2020-01-02,0,terra
2020-01-03,0,terra
2020-01-04,0,terra
2020-01-05,0,terra
2020-01-06,0,terra
2020-01-07,0,terra
2020-01-08,0,terra
2020-01-09,0,terra
2020-01-10,0,terra
2020-01-11,0,terra
2020-01-12,0,terra
2020-01-13,0,terra
2020-01-14,0,terra
2020-01-15,0,terra
2020-01-16,0,terra
2020-01-17,0,terra
2020-01-18,0,terra
2020-01-19,0,terra
2020-01-20,0,terra
2020-01-21,0,terra
2020-01-22,0,terra
2020-01-23,0,terra
2020-01-24,0,terra
2020-01-25,0,terra
2020-01-26,0,terra
2020-01-27,0,terra
2020-01-28,0,terra
2020-01-29,0,terra
2020-01-30,0,terra
2020-01-31,0,terra
2020-02-01,0,terra
2020-02-02,0,terra
2020-02-03,0,terra
2020-02-04,0,terra
2020-02-05,0,terra
2020-02-06,0,terra
2020-02-07,0,terra
2020-02-08,0,terra
2020-02-09,0,terra
2020-02-10,0,terra
2020-02-11,0,terra
2020-02-12,0,terra
2020-02-13,0,terra
2020-02-14,0,terra
2020-02-15,0,terra
2020-02-16,0,terra
2020-02-17,0,terra
2020-02-18,0,terra
2020-02-19,0,terra
2020-02-20,0,terra
2020-02-21,0,terra
2020-02-22,0,terra
2020-02-23,0,terra
2020-02-24,0,terra
2020-02-25,0,terra
2020-02-26,0,terra
2020-02-27,0,terra
2020-02-28,0,terra
2020-02-29,0,terra
2020-03-01,0,terra
2020-03-02,0,terra
2020-03-03,0,terra
2020-03-04,0,terra
2020-03-05,0,terra
2020-03-06,0,terra
2020-03-07,0,terra
2020-03-08,0,terra
2020-03-09,0,terra
2020-03-10,0,terra
2020-03-11,0,terra
2020-03-12,0,terra
2020-03-13,0,terra
2020-03-14,0,terra
2020-03-15,0,terra
2020-03-16,0,terra
2020-03-17,0,terra
2020-03-18,0,terra
2020-03-19,0,terra
2020-03-20,12,terra
2020-03-21,11,terra
2020-03-22,22,terra
2020-03-23,15,terra
2020-03-24,27,terra
2020-03-25,39,terra
2020-03-26,24,terra
2020-03-27,20,terra
2020-03-28,33,terra
2020-03-29,36,terra
2020-03-30,41,terra
2020-03-31,53,terra
2020-04-01,19,terra
2020-04-02,25,terra
2020-04-03,37,terra
2020-04-04,20,terra
2020-04-05,30,terra
2020-04-06,32,terra
2020-04-07,35,terra
2020-04-08,34,terra
2020-04-09,31,terra
2020-04-10,15,terra
2020-04-11,10,terra
2020-04-12,16,terra
2020-04-13,16,terra
2020-04-14,63,terra
2020-04-15,70,terra
2020-04-16,44,terra
2020-04-17,56,terra
2020-04-18,21,terra
2020-04-19,14,terra
2020-04-20,13,terra
2020-04-21,22,terra
2020-04-22,62,terra
2020-04-23,25,terra
2020-04-24,50,terra
2020-04-25,54,terra
2020-04-26,58,terra
2020-04-27,58,terra
2020-04-28,67,terra
2020-04-29,67,terra
2020-04-30,55,terra
2020-05-01,75,terra
2020-05-02,43,terra
2020-05-03,35,terra
2020-05-04,48,terra
2020-05-05,51,terra
2020-05-06,57,terra
2020-05-07,33,terra
2020-05-08,22,terra
2020-05-09,34,terra
2020-05-10,71,terra
2020-05-11,61,terra
2020-05-12,36,terra
2020-05-13,26,terra
2020-05-14,26,terra
2020-05-15,34,terra
2020-05-16,22,terra
2020-05-17,77,terra
2020-05-18,81,terra
2020-05-19,127,terra
2020-05-20,95,terra
2020-05-21,54,terra
2020-05-22,65,terra
2020-05-23,66,terra
2020-05-24,44,terra
2020-05-25,49,terra
2020-05-26,58,terra
2020-05-27,64,terra
2020-05-28,39,terra
2020-05-29,49,terra
2020-05-30,36,terra
2020-05-31,43,terra
2020-06-01,38,terra
2020-06-02,49,terra
2020-06-03,44,terra
2020-06-04,47,terra
2020-06-05,25,terra
2020-06-06,29,terra
2020-06-07,26,terra
2020-06-08,41,terra
2020-06-09,31,terra
2020-06-10,41,terra
2020-06-11,47,terra
2020-06-12,30,terra
2020-06-13,26,terra
2020-06-14,30,terra
2020-06-15,28,terra
2020-06-16,26,terra
2020-06-17,33,terra
2020-06-18,105,terra
2020-06-19,31,terra
2020-06-20,25,terra
2020-06-21,41,terra
2020-06-22,38,terra
2020-06-23,51,terra
2020-06-24,107,terra
2020-06-25,78,terra
2020-06-26,81,terra
2020-06-27,66,terra
2020-06-28,67,terra
2020-06-29,62,terra
2020-06-30,49,terra
2020-07-01,50,terra
2020-07-02,122,terra
2020-07-03,62,terra
2020-07-04,52,terra
2020-07-05,37,terra
2020-07-06,81,terra
2020-07-07,81,terra
2020-07-08,72,terra
2020-07-09,74,terra
2020-07-10,52,terra
2020-07-11,44,terra
2020-07-12,42,terra
2020-07-13,50,terra
2020-07-14,49,terra
2020-07-15,47,terra
2020-07-16,53,terra
2020-07-17,63,terra
2020-07-18,31,terra
2020-07-19,49,terra
2020-07-20,39,terra
2020-07-21,36,terra
2020-07-22,54,terra
2020-07-23,35,terra
2020-07-24,51,terra
2020-07-25,27,terra
2020-07-26,23,terra
2020-07-27,28,terra
2020-07-28,87,terra
2020-07-29,64,terra
2020-07-30,58,terra
2020-07-31,59,terra
2020-08-01,43,terra
2020-08-02,48,terra
2020-08-03,165,terra
2020-08-04,56,terra
2020-08-05,89,terra
2020-08-06,81,terra
2020-08-07,122,terra
2020-08-08,32,terra
2020-08-09,45,terra
2020-08-10,65,terra
2020-08-11,50,terra
2020-08-12,66,terra
2020-08-13,55,terra
2020-08-14,36,terra
2020-08-15,34,terra
2020-08-16,27,terra
2020-08-17,60,terra
2020-08-18,68,terra
2020-08-19,78,terra
2020-08-20,34,terra
2020-08-21,39,terra
2020-08-22,42,terra
2020-08-23,57,terra
2020-08-24,43,terra
2020-08-25,53,terra
2020-08-26,55,terra
2020-08-27,66,terra
2020-08-28,42,terra
2020-08-29,35,terra
2020-08-30,32,terra
2020-08-31,37,terra
2020-09-01,63,terra
2020-09-02,56,terra
2020-09-03,55,terra
2020-09-04,36,terra
2020-09-05,32,terra
2020-09-06,38,terra
2020-09-07,42,terra
2020-09-08,55,terra
2020-09-09,74,terra
2020-09-10,39,terra
2020-09-11,53,terra
2020-09-12,42,terra
2020-09-13,40,terra
2020-09-14,57,terra
2020-09-15,54,terra
2020-09-16,57,terra
2020-09-17,58,terra
2020-09-18,70,terra
2020-09-19,41,terra
2020-09-20,39,terra
2020-09-21,66,terra
2020-09-22,42907,terra
2020-09-23,50293,terra
2020-09-24,44057,terra
2020-09-25,52350,terra
2020-09-26,75305,terra
2020-09-27,60696,terra
2020-09-28,38264,terra
2020-09-29,29446,terra
2020-09-30,39664,terra
2020-10-01,40092,terra
2020-10-02,41284,terra
2020-10-03,58177,terra
2020-10-04,54959,terra
2020-10-05,41840,terra
2020-10-06,43733,terra
2020-10-07,44482,terra
2020-10-08,42545,terra
2020-10-09,25099,terra
2020-10-10,32254,terra
2020-10-11,41,terra
2020-10-12,71,terra
2020-10-13,55,terra
2020-10-14,67,terra
2020-10-15,45,terra
2020-10-16,50,terra
2020-10-17,17,terra
2020-10-18,41,terra
2020-10-19,48,terra
2020-10-20,58,terra
2020-10-21,75,terra
2020-10-22,55,terra
2020-10-23,57,terra
2020-10-24,60,terra
2020-10-25,41,terra
2020-10-26,67,terra
2020-10-27,55,terra
2020-10-28,51,terra
2020-10-29,90,terra
2020-10-30,45,terra
2020-10-31,38,terra
2020-11-01,33,terra
2020-11-02,48,terra
2020-11-03,73,terra
2020-11-04,43,terra
2020-11-05,62,terra
2020-11-06,74,terra
2020-11-07,33,terra
2020-11-08,34,terra
2020-11-09,56,terra
2020-11-10,50,terra
2020-11-11,69,terra
2020-11-12,56,terra
2020-11-13,154,terra
2020-11-14,115,terra
2020-11-15,183,terra
2020-11-16,177,terra
2020-11-17,135,terra
2020-11-18,159,terra
2020-11-19,145,terra
2020-11-20,135,terra
2020-11-21,98,terra
2020-11-22,88,terra
2020-11-23,134,terra
2020-11-24,156,terra
2020-11-25,133,terra
2020-11-26,104,terra
2020-11-27,108,terra
2020-11-28,87,terra
2020-11-29,78,terra
2020-11-30,149,terra
2020-12-01,249,terra
2020-12-02,244,terra
2020-12-03,226,terra
2020-12-04,191,terra
2020-12-05,110,terra
2020-12-06,87,terra
2020-12-07,173,terra
2020-12-08,138,terra
2020-12-09,190,terra
2020-12-10,192,terra
2020-12-11,142,terra
2020-12-12,78,terra
2020-12-13,103,terra
2020-12-14,162,terra
2020-12-15,135,terra
2020-12-16,164,terra
2020-12-17,186,terra
2020-12-18,154,terra
2020-12-19,104,terra
2020-12-20,115,terra
2020-12-21,106,terra
2020-12-22,134,terra
2020-12-23,114,terra
2020-12-24,76,terra
2020-12-25,71,terra
2020-12-26,63,terra
2020-12-27,71,terra
2020-12-28,111,terra
2020-12-29,90,terra
2020-12-30,114,terra
2020-12-31,112,terra
2021-01-01,59,terra
2021-01-02,77,terra
2021-01-03,74,terra
2021-01-04,127,terra
2021-01-05,210,terra
2021-01-06,225,terra
2021-01-07,171,terra
2021-01-08,174,terra
2021-01-09,148,terra
2021-01-10,96,terra
2021-01-11,180,terra
2021-01-12,190,terra
2021-01-13,188,terra
2021-01-14,148,terra
2021-01-15,126,terra
2021-01-16,111,terra
2021-01-17,112,terra
2021-01-18,147,terra
2021-01-19,191,terra
2021-01-20,314,terra
2021-01-21,274,terra
2021-01-22,361,terra
2021-01-23,209,terra
2021-01-24,131,terra
2021-01-25,230,terra
2021-01-26,181,terra
2021-01-27,220,terra
2021-01-28,177,terra
2021-01-29,181,terra
2021-01-30,115,terra
2021-01-31,110,terra
2021-02-01,249,terra
2021-02-02,190,terra
2021-02-03,204,terra
2021-02-04,133,terra
2021-02-05,133,terra
2021-02-06,97,terra
2021-02-07,98,terra
2021-02-08,197,terra
2021-02-09,164,terra
2021-02-10,187,terra
2021-02-11,199,terra
2021-02-12,159,terra
2021-02-13,145,terra
2021-02-14,75,terra
2021-02-15,217,terra
2021-02-16,248,terra
2021-02-17,181,terra
2021-02-18,137,terra
2021-02-19,107,terra
2021-02-20,103,terra
2021-02-21,95,terra
2021-02-22,178,terra
2021-02-23,185,terra
2021-02-24,219,terra
2021-02-25,168,terra
2021-02-26,185,terra
2021-02-27,115,terra
2021-02-28,113,terra
2021-03-01,176,terra
2021-03-02,204,terra
2021-03-03,168,terra
2021-03-04,355,terra
2021-03-05,1066,terra
2021-03-06,754,terra
2021-03-07,885,terra
2021-03-08,1101,terra
2021-03-09,1394,terra
2021-03-10,1400,terra
2021-03-11,1365,terra
2021-03-12,1076,terra
2021-03-13,755,terra
2021-03-14,987,terra
2021-03-15,1105,terra
2021-03-16,1109,terra
2021-03-17,1582,terra
2021-03-18,1692,terra
2021-03-19,841,terra
2021-03-20,588,terra
2021-03-21,689,terra
2021-03-22,990,terra
2021-03-23,793,terra
2021-03-24,868,terra
2021-03-25,832,terra
2021-03-26,912,terra
2021-03-27,547,terra
2021-03-28,616,terra
2021-03-29,824,terra
2021-03-30,914,terra
2021-03-31,829,terra
2021-04-01,763,terra
2021-04-02,697,terra
2021-04-03,337,terra
2021-04-04,233,terra
2021-04-05,490,terra
2021-04-06,751,terra
2021-04-07,729,terra
2021-04-08,752,terra
2021-04-09,468,terra
2021-04-10,286,terra
2021-04-11,308,terra
2021-04-12,563,terra
2021-04-13,635,terra
2021-04-14,999,terra
2021-04-15,1128,terra
2021-04-16,1009,terra
2021-04-17,421,terra
2021-04-18,548,terra
2021-04-19,885,terra
2021-04-20,967,terra
2021-04-21,852,terra
2021-04-22,759,terra
2021-04-23,99146,terra
2021-04-24,39074,terra
2021-04-25,347,terra
2021-04-26,951,terra
2021-04-27,960,terra
2021-04-28,877,terra
2021-04-29,749,terra
2021-04-30,803,terra
2021-05-01,531,terra
2021-05-02,487,terra
2021-05-03,827,terra
2021-05-04,743,terra
2021-05-05,675,terra
2021-05-06,756,terra
2021-05-07,591,terra
2021-05-08,307,terra
2021-05-09,295,terra
2021-05-10,681,terra
2021-05-11,702,terra
2021-05-12,665,terra
2021-05-13,1181,terra
2021-05-14,955,terra
2021-05-15,506,terra
2021-05-16,526,terra
2021-05-17,785,terra
2021-05-18,889,terra
2021-05-19,935,terra
2021-05-20,830,terra
2021-05-21,698,terra
2021-05-22,363,terra
2021-05-23,325,terra
2021-05-24,619,terra
2021-05-25,688,terra
2021-05-26,728,terra
2021-05-27,649,terra
2021-05-28,684,terra
2021-05-29,356,terra
2021-05-30,324,terra
2021-05-31,559,terra
2021-06-01,582,terra
2021-06-02,612,terra
2021-06-03,632,terra
2021-06-04,471,terra
2021-06-05,300,terra
2021-06-06,269,terra
2021-06-07,539,terra
2021-06-08,613,terra
2021-06-09,738,terra
