date,count,package
2020-01-01,0,treestructure
2020-01-02,0,treestructure
2020-01-03,0,treestructure
2020-01-04,0,treestructure
2020-01-05,0,treestructure
2020-01-06,0,treestructure
2020-01-07,0,treestructure
2020-01-08,0,treestructure
2020-01-09,0,treestructure
2020-01-10,0,treestructure
2020-01-11,0,treestructure
2020-01-12,0,treestructure
2020-01-13,0,treestructure
2020-01-14,0,treestructure
2020-01-15,0,treestructure
2020-01-16,0,treestructure
2020-01-17,0,treestructure
2020-01-18,0,treestructure
2020-01-19,0,treestructure
2020-01-20,0,treestructure
2020-01-21,0,treestructure
2020-01-22,0,treestructure
2020-01-23,0,treestructure
2020-01-24,0,treestructure
2020-01-25,0,treestructure
2020-01-26,0,treestructure
2020-01-27,0,treestructure
2020-01-28,0,treestructure
2020-01-29,0,treestructure
2020-01-30,0,treestructure
2020-01-31,0,treestructure
2020-02-01,0,treestructure
2020-02-02,0,treestructure
2020-02-03,0,treestructure
2020-02-04,0,treestructure
2020-02-05,0,treestructure
2020-02-06,0,treestructure
2020-02-07,0,treestructure
2020-02-08,0,treestructure
2020-02-09,0,treestructure
2020-02-10,0,treestructure
2020-02-11,0,treestructure
2020-02-12,0,treestructure
2020-02-13,0,treestructure
2020-02-14,0,treestructure
2020-02-15,0,treestructure
2020-02-16,0,treestructure
2020-02-17,3,treestructure
2020-02-18,9,treestructure
2020-02-19,29,treestructure
2020-02-20,13,treestructure
2020-02-21,31,treestructure
2020-02-22,25,treestructure
2020-02-23,21,treestructure
2020-02-24,25,treestructure
2020-02-25,18,treestructure
2020-02-26,23,treestructure
2020-02-27,26,treestructure
2020-02-28,25,treestructure
2020-02-29,5,treestructure
2020-03-01,22,treestructure
2020-03-02,17,treestructure
2020-03-03,23,treestructure
2020-03-04,25,treestructure
2020-03-05,20,treestructure
2020-03-06,20,treestructure
2020-03-07,17,treestructure
2020-03-08,21,treestructure
2020-03-09,17,treestructure
2020-03-10,24,treestructure
2020-03-11,3,treestructure
2020-03-12,25,treestructure
2020-03-13,17,treestructure
2020-03-14,17,treestructure
2020-03-15,11,treestructure
2020-03-16,14,treestructure
2020-03-17,13,treestructure
2020-03-18,4,treestructure
2020-03-19,15,treestructure
2020-03-20,15,treestructure
2020-03-21,9,treestructure
2020-03-22,9,treestructure
2020-03-23,11,treestructure
2020-03-24,7,treestructure
2020-03-25,18,treestructure
2020-03-26,8,treestructure
2020-03-27,5,treestructure
2020-03-28,9,treestructure
2020-03-29,15,treestructure
2020-03-30,18,treestructure
2020-03-31,17,treestructure
2020-04-01,11,treestructure
2020-04-02,7,treestructure
2020-04-03,14,treestructure
2020-04-04,10,treestructure
2020-04-05,14,treestructure
2020-04-06,21,treestructure
2020-04-07,17,treestructure
2020-04-08,18,treestructure
2020-04-09,20,treestructure
2020-04-10,10,treestructure
2020-04-11,6,treestructure
2020-04-12,12,treestructure
2020-04-13,9,treestructure
2020-04-14,11,treestructure
2020-04-15,29,treestructure
2020-04-16,22,treestructure
2020-04-17,19,treestructure
2020-04-18,5,treestructure
2020-04-19,2,treestructure
2020-04-20,7,treestructure
2020-04-21,8,treestructure
2020-04-22,23,treestructure
2020-04-23,10,treestructure
2020-04-24,14,treestructure
2020-04-25,21,treestructure
2020-04-26,18,treestructure
2020-04-27,16,treestructure
2020-04-28,20,treestructure
2020-04-29,33,treestructure
2020-04-30,16,treestructure
2020-05-01,17,treestructure
2020-05-02,29,treestructure
2020-05-03,25,treestructure
2020-05-04,27,treestructure
2020-05-05,36,treestructure
2020-05-06,20,treestructure
2020-05-07,19,treestructure
2020-05-08,11,treestructure
2020-05-09,21,treestructure
2020-05-10,46,treestructure
2020-05-11,40,treestructure
2020-05-12,15,treestructure
2020-05-13,12,treestructure
2020-05-14,10,treestructure
2020-05-15,12,treestructure
2020-05-16,13,treestructure
2020-05-17,15,treestructure
2020-05-18,19,treestructure
2020-05-19,23,treestructure
2020-05-20,17,treestructure
2020-05-21,8,treestructure
2020-05-22,13,treestructure
2020-05-23,10,treestructure
2020-05-24,6,treestructure
2020-05-25,10,treestructure
2020-05-26,14,treestructure
2020-05-27,12,treestructure
2020-05-28,17,treestructure
2020-05-29,11,treestructure
2020-05-30,10,treestructure
2020-05-31,21,treestructure
2020-06-01,12,treestructure
2020-06-02,13,treestructure
2020-06-03,10,treestructure
2020-06-04,9,treestructure
2020-06-05,11,treestructure
2020-06-06,10,treestructure
2020-06-07,14,treestructure
2020-06-08,14,treestructure
2020-06-09,11,treestructure
2020-06-10,19,treestructure
2020-06-11,18,treestructure
2020-06-12,12,treestructure
2020-06-13,11,treestructure
2020-06-14,13,treestructure
2020-06-15,10,treestructure
2020-06-16,12,treestructure
2020-06-17,12,treestructure
2020-06-18,28,treestructure
2020-06-19,14,treestructure
2020-06-20,9,treestructure
2020-06-21,12,treestructure
2020-06-22,16,treestructure
